Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology (%),Grain size max (mm),Lithification,Comment,File Data,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1369C-1H-3-A,329,U1369,C,1,1-3,H,3,A,0,40,3,3.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,10
329-U1369C-1H-3-A,329,U1369,C,1,1-3,H,3,A,50,60,3.5,3.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,11
329-U1369C-1H-3-A,329,U1369,C,1,1-3,H,3,A,75,90,3.75,3.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,12
329-U1369C-1H-3-A,329,U1369,C,1,1-3,H,3,A,100,140,4,4.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,13
329-U1369C-1H-4-A,329,U1369,C,1,1-4,H,4,A,0,90,4.5,5.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,14
329-U1369C-1H-4-A,329,U1369,C,1,1-4,H,4,A,100,110,5.5,5.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,15
329-U1369C-1H-CC-A,329,U1369,C,1,1-CC,H,CC,A,0,21,5.82,6.03,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,16
329-U1369C-2H-1-A,329,U1369,C,2,2-1,H,1,A,0,60,6,6.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,17
329-U1369C-2H-1-A,329,U1369,C,2,2-1,H,1,A,75,140,6.75,7.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,18
329-U1369C-2H-2-A,329,U1369,C,2,2-2,H,2,A,0,60,7.5,8.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,19
329-U1369C-2H-2-A,329,U1369,C,2,2-2,H,2,A,75,140,8.25,8.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,20
329-U1369C-2H-3-A,329,U1369,C,2,2-3,H,3,A,0,120,9,10.2,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,21
329-U1369C-2H-4-A,329,U1369,C,2,2-4,H,4,A,0,60,10.5,11.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,22
329-U1369C-2H-4-A,329,U1369,C,2,2-4,H,4,A,75,140,11.25,11.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,23
329-U1369C-2H-5-A,329,U1369,C,2,2-5,H,5,A,0,40,12,12.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,24
329-U1369C-2H-5-A,329,U1369,C,2,2-5,H,5,A,50,60,12.5,12.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,25
329-U1369C-2H-5-A,329,U1369,C,2,2-5,H,5,A,100,110,13,13.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,26
329-U1369C-2H-5-A,329,U1369,C,2,2-5,H,5,A,130,140,13.3,13.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,27
329-U1369C-2H-6-A,329,U1369,C,2,2-6,H,6,A,0,40,13.5,13.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,28
329-U1369C-2H-6-A,329,U1369,C,2,2-6,H,6,A,50,60,14,14.1,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,29
329-U1369C-2H-6-A,329,U1369,C,2,2-6,H,6,A,75,90,14.25,14.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,30
329-U1369C-2H-6-A,329,U1369,C,2,2-6,H,6,A,100,110,14.5,14.6,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,31
329-U1369C-2H-6-A,329,U1369,C,2,2-6,H,6,A,130,140,14.8,14.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,32
329-U1369C-2H-7-A,329,U1369,C,2,2-7,H,7,A,0,35,15,15.35,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,33
329-U1369C-2H-7-A,329,U1369,C,2,2-7,H,7,A,45,54,15.45,15.54,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,34
329-U1369C-2H-CC-A,329,U1369,C,2,2-CC,H,CC,A,0,27,15.79,16.06,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,35
,,,,,,,,,,,,,,,,,,,,,,,,,,36
