Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithification,Lithology Prefix,Lithology Principal Name,Texture Rank,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],"FACIES (neritic, hemipelagic, pelagic)",MAJ lith color (simple),Fossil,Sedimentary structure,Diagenetic structure,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
356-U1460B-7F-2-A,0,150,25.4,26.9,partially lithified,,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1460,B,7,F,2,A,,,,44
356-U1460B-7F-3-A,0,133,26.9,28.23,partially lithified,,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,foraminifera (planktic),,concretion [BJ80],,slight [B06],2,,,,,,,356,U1460,B,7,F,3,A,,,,45
356-U1460B-7F-CC-A,0,9,28.23,28.32,partially lithified,,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1460,B,7,F,CC,A,,,,46
356-U1460B-8F-1-A,0,45,28.6,29.05,unlithified [Leg194],,floatstone [E&K72; D62],5,,floatstone,neritic,beige,,,,,absent [B06],0,,,,,,,356,U1460,B,8,F,1,A,,,,47
356-U1460B-8F-1-A,45,86,29.05,29.46,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1460,B,8,F,1,A,,,,48
356-U1460B-8F-1-A,86,137,29.46,29.97,partially lithified,skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,beige,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1460,B,8,F,1,A,,,,49
356-U1460B-8F-1-A,137,150,29.97,30.1,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1460,B,8,F,1,A,,,,50
356-U1460B-8F-2-A,0,18,30.1,30.28,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1460,B,8,F,2,A,,,,51
356-U1460B-8F-2-A,18,60,30.28,30.7,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,hemipelagic,beige,bivalve,,concretion [BJ80],,absent [B06],0,,,,,,,356,U1460,B,8,F,2,A,,,,52
356-U1460B-8F-2-A,60,150,30.7,31.6,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,hemipelagic,light greenish gray,,,concretion [BJ80],,slight [B06],2,,,,,,,356,U1460,B,8,F,2,A,,,,53
356-U1460B-8F-3-A,0,141,31.6,33.01,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,hemipelagic,light greenish gray,,,,,slight [B06],2,,,,,,,356,U1460,B,8,F,3,A,,,,54
356-U1460B-8F-CC-A,0,8,33.01,33.09,,,,,,,,,,,,,,,,,"not described, all to paleo",,,,356,U1460,B,8,F,CC,A,,,,55
356-U1460B-9F-1-A,0,57,33.3,33.87,unlithified [Leg194],,floatstone [E&K72; D62],5,,floatstone,neritic,beige,foraminifera (large benthic),,,,absent [B06],0,,,fall-in bioclastic gravel,,,,356,U1460,B,9,F,1,A,,,,56
356-U1460B-9F-1-A,0,57,33.3,33.87,,,,,,,,,bivalve,,,,,,,,,,,,356,U1460,B,9,F,1,A,,,,57
356-U1460B-9F-1-A,0,57,33.3,33.87,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1460,B,9,F,1,A,,,,58
356-U1460B-9F-1-A,0,57,33.3,33.87,,,,,,,,,gastropod,,,,,,,,,,,,356,U1460,B,9,F,1,A,,,,59
356-U1460B-9F-1-A,0,57,33.3,33.87,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1460,B,9,F,1,A,,,,60
356-U1460B-9F-1-A,57,107,33.87,34.37,unlithified [Leg194],,wackestone [E&K72; D62],2,,wackestone,hemipelagic,greenish gray,,,,,slight [B06],2,,,,,,,356,U1460,B,9,F,1,A,,,,61
356-U1460B-9F-1-A,107,150,34.37,34.8,partially lithified,skeletal,packstone [E&K72; D62],3,,skeletal packstone,hemipelagic,beige,,,,,slight [B06],2,,,,,,,356,U1460,B,9,F,1,A,,,,62
356-U1460B-9F-2-A,0,75,34.8,35.55,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,hemipelagic,beige,,,,,moderate [B06],3,,,,,,,356,U1460,B,9,F,2,A,,,,63
356-U1460B-9F-2-A,75,87,35.55,35.67,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,hemipelagic,beige,Echinoderm,,,,absent [B06],0,,,"concentration of echinoderms and bivalve cm-sized bioclasts, likely transportet",,,,356,U1460,B,9,F,2,A,,,,64
356-U1460B-9F-2-A,75,87,35.55,35.67,,,,,,,,,bivalve,,,,,,,,,,,,356,U1460,B,9,F,2,A,,,,65
356-U1460B-9F-2-A,75,87,35.55,35.67,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1460,B,9,F,2,A,,,,66
356-U1460B-9F-2-A,87,132,35.67,36.12,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,hemipelagic,beige,,,,,,,,,,,,,356,U1460,B,9,F,2,A,,,,67
356-U1460B-9F-CC-A,0,17,36.12,36.29,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,hemipelagic,light greenish gray,,,,,,,,,"Unlithified, light greenish gray skeletal packstone with gravel size grains and bioclasts (caved in)",,,,356,U1460,B,9,F,CC,A,,,,68
356-U1460B-9F-CC-A,17,21,36.29,36.33,,,,,,,,,,,,,,,,,sample to paleo,,,,356,U1460,B,9,F,CC,A,,,,69
356-U1460B-10F-1-A,0,58,36.3,36.88,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,,skeletal grainstone,hemipelagic,gray,bivalve,,,,absent [B06],0,,,"Unlithified, gray skeletal grainstone with bivalves, gastropods, sea urchins, bryozoans. Hemipelagic.",,,,356,U1460,B,10,F,1,A,,,,70
356-U1460B-10F-1-A,0,58,36.3,36.88,,,,,,,,,bryozoa,,,,,,,,,,,,356,U1460,B,10,F,1,A,,,,71
356-U1460B-10F-1-A,0,58,36.3,36.88,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1460,B,10,F,1,A,,,,72
356-U1460B-10F-1-A,0,58,36.3,36.88,,,,,,,,,gastropod,,,,,,,,,,,,356,U1460,B,10,F,1,A,,,,73
356-U1460B-10F-1-A,58,108,36.88,37.38,partially lithified,,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,cream,gastropod,,,,absent [B06],0,,,"partially lithified, cream packstone with glauconite and gastropod. Hemipelagic.",,,,356,U1460,B,10,F,1,A,,,,74
356-U1460B-10F-1-A,108,150,37.38,37.8,,,,,,,,,,,,,,,,,void,,,,356,U1460,B,10,F,1,A,,,,75
356-U1460B-10F-2-A,0,48,37.8,38.28,partially lithified,,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,cream,gastropod,,,,absent [B06],0,,,"Partially lithified, gradational from creme to beige, packstone with glauconite in the uper part of the Section and glauconite rich in the lower half of the Section. Gastropod. Hemipelagic.",,,,356,U1460,B,10,F,2,A,,,,76
356-U1460B-10F-2-A,48,150,38.28,39.3,partially lithified,glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,hemipelagic,beige,foraminifera (small benthic),,,,absent [B06],0,,,,,,,356,U1460,B,10,F,2,A,,,,77
356-U1460B-10F-2-A,48,150,38.28,39.3,,,,,,,,,gastropod,,,,,,,,,,,,356,U1460,B,10,F,2,A,,,,78
356-U1460B-10F-3-A,0,114,39.3,40.44,unlithified [Leg194],glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,hemipelagic,light gray,bivalve,,,,absent [B06],0,,,"Unlithified to partially lithified, light gray, coarser sand size glauconite rich packstone. Between about 15 to 30 cm is well-lithified. bivalve molusk. Hemipelagic.",,,,356,U1460,B,10,F,3,A,,,,79
356-U1460B-10F-3-A,0,114,39.3,40.44,,,,,,,,,brachiopod,,,,,,,,,,,,356,U1460,B,10,F,3,A,,,,80
356-U1460B-10F-3-A,0,114,39.3,40.44,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1460,B,10,F,3,A,,,,81
356-U1460B-10F-3-A,114,117,40.44,40.47,unlithified [Leg194],,grainstone [E&K72; D62],4,,grainstone,hemipelagic,light gray,,,,,,,,,"Unlithified, light gray grainstone",,,,356,U1460,B,10,F,3,A,,,,82
356-U1460B-10F-CC-A,0,7,40.47,40.54,partially lithified,glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,hemipelagic,beige,,,,,,,,,"Partially to unlithified, beige, glauconite rich packstone. Hemipelagic.",,,,356,U1460,B,10,F,CC,A,,,,83
356-U1460B-10F-CC-A,7,12,40.54,40.59,,,,,,,,,,,,,,,,,sample to paleo,,,,356,U1460,B,10,F,CC,A,,,,84
356-U1460B-11F-1-A,0,23,40.5,40.73,lithified [B84],foraminifer rich,packstone [E&K72; D62],3,,foraminifer rich packstone,hemipelagic,cream,foraminifera (small benthic),,,,,,,,"Lithified, cream foraminifer rich packstone",,,,356,U1460,B,11,F,1,A,,,,85
356-U1460B-11F-1-A,0,23,40.5,40.73,,,,,,,,,gastropod,,,,,,,,,,,,356,U1460,B,11,F,1,A,,,,86
356-U1460B-11F-1-A,0,23,40.5,40.73,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1460,B,11,F,1,A,,,,87
356-U1460B-11F-1-A,23,114,40.73,41.64,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,cream,echinoderm,,,,,,,,"Partially lithified to unlithified, cream to light greenish gray packstone with glauconite. Glaucnoite increases from the top of the interval down.",,,,356,U1460,B,11,F,1,A,,,,88
356-U1460B-11F-1-A,23,114,40.73,41.64,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1460,B,11,F,1,A,,,,89
356-U1460B-11F-1-A,114,150,41.64,42,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,beige,bivalve,,,,,,,,"Unlithified, beige, packstone with glauconite and bivalves and foraminfera",,,,356,U1460,B,11,F,1,A,,,,90
356-U1460B-11F-1-A,114,150,41.64,42,,,,,,,,,foraminifera (small benthic),,,,,,,,,,,,356,U1460,B,11,F,1,A,,,,91
356-U1460B-11F-2-A,0,150,42,43.5,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,light brown,coral (solitary),,,,,,,,"Unlithified light brown packstone with glauconite, bivalves, gastropods and a solitary coral present",,,,356,U1460,B,11,F,2,A,,,,92
356-U1460B-11F-2-A,0,150,42,43.5,,,,,,,,,bivalve,,,,,,,,,,,,356,U1460,B,11,F,2,A,,,,93
356-U1460B-11F-2-A,0,150,42,43.5,,,,,,,,,gastropod,,,,,,,,,,,,356,U1460,B,11,F,2,A,,,,94
356-U1460B-11F-3-A,0,90,43.5,44.4,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,light greenish gray,,,,,,,,,"Unlthified, light greenish gray packstone with glauconite. A cemented interval is present between 9 and 95 cm and here the packstone is lithified and glauconite rich",,,,356,U1460,B,11,F,3,A,,,,95
356-U1460B-11F-3-A,90,95,44.4,44.45,lithified [B84],glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,hemipelagic,light grayish green,,,,,,,,,"lithified, light grayish gray glauconite rich packstone",,,,356,U1460,B,11,F,3,A,,,,96
356-U1460B-11F-3-A,95,102,44.45,44.52,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,light greenish gray,,,,,,,,,"lithified, light greenish gray packstone with glauconite",,,,356,U1460,B,11,F,3,A,,,,97
356-U1460B-11F-4-A,0,34,44.52,44.86,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,light brown,,,,,,,,,Unlithified light brow packstone,,,,356,U1460,B,11,F,4,A,,,,98
356-U1460B-11F-4-A,34,44,44.86,44.96,lithified [B84],,mudstone [E&K72; D62],1,,mudstone,hemipelagic,dark green,,,,,,,,,Lithified dark green to black mudstone,,,,356,U1460,B,11,F,4,A,,,,99
356-U1460B-11F-4-A,44,55,44.96,45.07,partially lithified,,grainstone [E&K72; D62],4,,grainstone,hemipelagic,creamy gray,,,,,,,,,Partially lithified creamy grey grainstone,,,,356,U1460,B,11,F,4,A,,,,100
356-U1460B-11F-CC-A,0,15,45.07,45.22,partially lithified,,packstone [E&K72; D62],3,,packstone,hemipelagic,brown,,,,,,,,,"Partially lithified packstone, severely fragmented (drilling disturbance)",,,,356,U1460,B,11,F,CC,A,,,,101
356-U1460B-12F-1-A,0,29,45.2,45.49,unlithified [Leg194],skeletal,grainstone [E&K72; D62],4,,skeletal grainstone,neritic,beige,gastropod,,,,,,,,"Unlithified skeletal grainstone, graded gravel (fall-in)",,,,356,U1460,B,12,F,1,A,,,,102
356-U1460B-12F-1-A,0,29,45.2,45.49,,,,,,,,,bivalve,,,,,,,,,,,,356,U1460,B,12,F,1,A,,,,103
356-U1460B-12F-1-A,0,29,45.2,45.49,,,,,,,,,echinoderm,,,,,,,,,,,,356,U1460,B,12,F,1,A,,,,104
356-U1460B-12F-1-A,0,29,45.2,45.49,,,,,,,,,scaphopod,,,,,,,,,,,,356,U1460,B,12,F,1,A,,,,105
356-U1460B-12F-1-A,29,34,45.49,45.54,unlithified [Leg194],glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,hemipelagic,dark greenish gray,,,,,,,,,Unlithified greenish-grey glauc.-rich packstone,,,,356,U1460,B,12,F,1,A,,,,106
356-U1460B-12F-1-A,34,150,45.54,46.7,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,beige,brachiopod,,,,,,,,Unlith. beige packstone with glauconite; brachiopod fragment at 72 cm; glauc.-rich greenish patches towards bottom,,,,356,U1460,B,12,F,1,A,,,,107
356-U1460B-12F-2-A,0,150,46.7,48.2,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,brown,Sponge spicules N/A,,,,,,,,Unlith. brown packstone with sponge spicules,,,,356,U1460,B,12,F,2,A,,,,108
356-U1460B-12F-3-A,0,84,48.2,49.04,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,brown,Sponge spicules N/A,,,,,,,,"Unlithified brown packstone with sponge spicules, with greenish glauconite-rich band at base",,,,356,U1460,B,12,F,3,A,,,,109
356-U1460B-12F-3-A,84,98,49.04,49.18,unlithified [Leg194],glauconite rich,packstone [E&K72; D62],3,,glauconite rich packstone,hemipelagic,creamy gray,,,,,,,,,Unlithified creamy gray glauconite rich packstone,,,,356,U1460,B,12,F,3,A,,,,110
356-U1460B-12F-3-A,98,128,49.18,49.48,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,creamy gray,,,,,,,,,Unlithified greamy gray packstone with glauconite,,,,356,U1460,B,12,F,3,A,,,,111
356-U1460B-12F-CC-A,0,34,49.48,49.82,unlithified [Leg194],,packstone [E&K72; D62],3,with glauconite [2014],packstone with glauconite,hemipelagic,greenish gray,,,,,,,,,Unlithified greenish gray packstone with glauconite,,,,356,U1460,B,12,F,CC,A,,,,112
356-U1460B-13F-1-A,0,13,49.9,50.03,unlithified [Leg194],skeletal,packstone [E&K72; D62],3,,skeletal packstone,neritic,creamy gray,bivalve,,,,,,,,Unlithified creamy gray skeletal packstone (fall-in) with bivalve,,,,356,U1460,B,13,F,1,A,,,,113
356-U1460B-13F-1-A,13,150,50.03,51.4,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,bivalve,,,,,,,,Unlithified creamy gray packstone with greenish glauonite-rich patches towards the bottom; large fragment of pectinid bivalve,,,,356,U1460,B,13,F,1,A,,,,114
356-U1460B-13F-2-A,0,150,51.4,52.9,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,bivalve,,,,,,,,Unlithified creamy gray packstone with scattered green patches,,,,356,U1460,B,13,F,2,A,,,,115
356-U1460B-13F-3-A,0,146,52.9,54.36,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,,,,,,,,,Unlithified creamy gray packstone with a few small scattered greenish patches; crystalline concretion 90-92 cm,,,,356,U1460,B,13,F,3,A,,,,116
356-U1460B-13F-CC-A,0,7,54.36,54.43,unlithified [Leg194],,packstone [E&K72; D62],3,,packstone,hemipelagic,creamy gray,Sponge spicules N/A,,,,,,,,Unlithified creamy gray packstone with sponge spicules,,,,356,U1460,B,13,F,CC,A,,,,117
