Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Lithology color (Munsell),Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,TEPHRA type,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
353-U1443C-3H-2-A,9,150,7.79,9.2,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,Alternating gray (10YR 6/1) to paler gray (10YR 7/1) color gradation over this section.,,,,353,U1443,C,3,H,2,A,,,
353-U1443C-3H-3-A,0,150,9.2,10.7,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,Alternating gray (10YR 6/1) to paler gray (10YR 7/1) color gradation over this section. Green banding at 79-84 cm.,,,,353,U1443,C,3,H,3,A,,,
353-U1443C-3H-4-A,0,109,10.7,11.79,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,Alternating gray (10YR 6/1) to paler gray (10YR 7/1) color gradation over this section.,,,,353,U1443,C,3,H,4,A,,,
353-U1443C-3H-4-A,109,122,11.79,11.92,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),irregular,bioturbated,,,,,,,mottling,,,,Two shades of gray in this ash: a paler gray (10 YR 7/1) and a darker gray (10YR 6/1),,,,353,U1443,C,3,H,4,A,,,
353-U1443C-3H-4-A,122,150,11.92,12.2,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,Alternating gray (10YR 6/1) to paler gray (10YR 7/1) color gradation over this section.,,,,353,U1443,C,3,H,4,A,,,
353-U1443C-3H-5-A,0,30,12.2,12.5,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,Alternating gray (10YR 6/1) to paler gray (10YR 7/1) color gradation over this section.,,,,353,U1443,C,3,H,5,A,,,
353-U1443C-3H-6-A,0,141,13.12,14.53,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,Alternating gray (10YR 6/1) to paler gray (10YR 7/1) color gradation over this section. Green colored banding from 59-68 cm,,,,353,U1443,C,3,H,6,A,,,
353-U1443C-3H-CC-A,0,13,14.53,14.66,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,gray,5Y 5/1 (gray),,,,,,,,,mottling,,,,Alternating gray (10YR 6/1) to paler gray (10YR 7/1) color gradation over this section.,,,,353,U1443,C,3,H,CC,A,,,
353-U1443C-4H-1-A,0,150,15.7,17.2,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?).,,,,353,U1443,C,4,H,1,A,,,
353-U1443C-4H-2-A,0,150,17.2,18.7,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,4,H,2,A,,,
353-U1443C-4H-3-A,0,150,18.7,20.2,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,4,H,3,A,,,
353-U1443C-4H-4-A,0,102,20.2,21.22,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,4,H,4,A,,,
353-U1443C-4H-4-A,102,105,21.22,21.25,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),irregular,bioturbated,,,,,,,mottling,,,,Two shades of gray in this ash: a paler gray (10 YR 7/1) and a darker gray (10YR 6/1),,,,353,U1443,C,4,H,4,A,,,
353-U1443C-4H-4-A,105,150,21.25,21.7,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,4,H,4,A,,,
353-U1443C-4H-5-A,0,101,21.7,22.71,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,4,H,5,A,,,
353-U1443C-4H-6-A,0,70,22.71,23.41,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,4,H,6,A,,,
353-U1443C-4H-CC-A,0,14,23.41,23.55,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,4,H,CC,A,,,
353-U1443C-5H-1-A,0,150,23.1,24.6,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,5,H,1,A,,,
353-U1443C-5H-2-A,0,121,24.6,25.81,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?)Green bands at 19 cm and 22 cm.,,,,353,U1443,C,5,H,2,A,,,
353-U1443C-5H-2-A,121,132,25.81,25.92,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),irregular,bioturbated,,,,,,,mottling,,,,Two shades of gray in this ash: a paler gray (10 YR 7/1) and a darker gray (10YR 6/1),,,,353,U1443,C,5,H,2,A,,,
353-U1443C-5H-2-A,132,150,25.92,26.1,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,5,H,2,A,,,
353-U1443C-5H-3-A,0,150,26.1,27.6,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,5,H,3,A,,,
353-U1443C-5H-4-A,0,150,27.6,29.1,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,5,H,4,A,,,
353-U1443C-5H-5-A,0,103,29.1,30.13,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/N (light gray),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,5,H,5,A,,,
353-U1443C-5H-6-A,0,77,30.13,30.9,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 8/1 (white),,,,,,,,,mottling,,,,Alternating darker light gray (GLEY 1 7/N) to paler light gray (GLEY 1 7/10Y) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?),,,,353,U1443,C,5,H,6,A,,,
353-U1443C-6H-1-A,0,150,32.6,34.1,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 8/1 (white),,,,,,,,,mottling,,,,"Alternating darker light gray (GLEY 1 7/10Y) to paler light gray (5Y 8/1) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?) Green banding at 28, 67, 124 cm.",,,,353,U1443,C,6,H,1,A,,,
353-U1443C-6H-2-A,0,150,34.1,35.6,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,mottling,,,,Gradual transition from light gray (5Y 8/1 to a greener shade of light gray (GLEY 1 7/5 GY). Black blebs are visible and mottling is prevalent.,,,,353,U1443,C,6,H,2,A,,,
353-U1443C-6H-3-A,0,150,35.6,37.1,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 8/1 (white),,,,,,,,,mottling,,,,Alternating light gray (GLEY 1 7/10Y) to paler light gray (GLEY 1 7/5GY) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?) and mottling is prevalent.,,,,353,U1443,C,6,H,3,A,,,
353-U1443C-6H-4-A,0,150,37.1,38.6,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 8/1 (white),,,,,,,,,mottling,,,,Alternating light gray (GLEY 1 7/10Y) to paler light gray (GLEY 1 7/5GY) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?) and mottling is prevalent.,,,,353,U1443,C,6,H,4,A,,,
353-U1443C-6H-5-A,0,150,38.6,40.1,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 8/1 (white),,,,,,,,,mottling,,,,Alternating light gray (GLEY 1 7/10Y) to paler light gray (GLEY 1 7/5GY) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?) and mottling is prevalent.,,,,353,U1443,C,6,H,5,A,,,
353-U1443C-6H-6-A,0,101,40.1,41.11,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 8/1 (white),,,,,,,,,mottling,,,,Alternating light gray (GLEY 1 7/10Y) to paler light gray (GLEY 1 7/5GY) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?) and mottling is prevalent.,,,,353,U1443,C,6,H,6,A,,,
353-U1443C-6H-7-A,0,71,41.11,41.82,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 8/1 (white),,,,,,,,,mottling,,,,Alternating light gray (GLEY 1 7/10Y) to paler light gray (GLEY 1 7/5GY) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?) and mottling is prevalent.,,,,353,U1443,C,6,H,7,A,,,
353-U1443C-6H-CC-A,0,9,41.82,41.91,,clayey,nannofossil ooze,with foraminifers,clayey nannofossil ooze,clayey nannofossil ooze with foraminifers,nannofossil ooze with foraminifers,,light gray,5Y 8/1 (white),,,,,,,,,mottling,,,,Alternating light gray (GLEY 1 7/10Y) to paler light gray (GLEY 1 7/5GY) color gradation over this section. Black blebs are visible (iron sulphide or iron oide?) and mottling is prevalent.,,,,353,U1443,C,6,H,CC,A,,,
353-U1443C-7H-1-A,0,150,42.1,43.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,mottling,,,,Faint color variations from light gray (5Y 7/1) to greenish light gray (GLEY 1 7/5GY) with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,7,H,1,A,,,
353-U1443C-7H-2-A,0,150,43.6,45.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,mottling,,,,Faint color variations from light gray (5Y 7/1) to greenish light gray (GLEY 1 7/5GY) with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,7,H,2,A,,,
353-U1443C-7H-3-A,0,150,45.1,46.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,mottling,,,,Faint color variations from light gray (5Y 7/1) to greenish light gray (GLEY 1 7/5GY) with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,7,H,3,A,,,
353-U1443C-7H-4-A,0,150,46.6,48.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,mottling,,,,Faint color variations from light gray (5Y 7/1) to greenish light gray (GLEY 1 7/5GY) with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,7,H,4,A,,,
353-U1443C-7H-5-A,0,150,48.1,49.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,mottling,,,,Faint color variations from light gray (5Y 7/1) to greenish light gray (GLEY 1 7/5GY) with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,7,H,5,A,,,
353-U1443C-7H-6-A,0,121,49.6,50.81,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,mottling,,,,Faint color variations from light gray (5Y 7/1) to greenish light gray (GLEY 1 7/5GY) with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,7,H,6,A,,,
353-U1443C-7H-7-A,0,62,50.81,51.43,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,mottling,,,,Faint color variations from light gray (5Y 7/1) to greenish light gray (GLEY 1 7/5GY) with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,7,H,7,A,,,
353-U1443C-7H-CC-A,0,13,51.43,51.56,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 7/5GY (light greenish grey),,,,,,,,,mottling,,,,Faint color variations from light gray (5Y 7/1) to greenish light gray (GLEY 1 7/5GY) with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,7,H,CC,A,,,
353-U1443C-8H-1-A,0,150,51.6,53.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/N (white gray),,,,,,,,,mottling,,,,Faint color variations with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,8,H,1,A,,,
353-U1443C-8H-2-A,0,150,53.1,54.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/N (white gray),,,,,,,,,mottling,,,,Faint color variations with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,8,H,2,A,,,
353-U1443C-8H-3-A,0,151,54.6,56.11,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,2.5Y 7/1 (light gray),,,,,,,,,mottling,,,,Faint color variations with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,8,H,3,A,,,
353-U1443C-8H-CC-A,0,22,56.11,56.33,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,8,H,CC,A,,,
353-U1443C-9H-1-A,0,150,61.1,62.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling.,,,,353,U1443,C,9,H,1,A,,,
353-U1443C-9H-2-A,0,58,62.6,63.18,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),gradational,gradational,,,,,,,mottling,,,,"Faint color variations with mottling. Black blebs (ash).at 7, 12, 29 cm.",,,,353,U1443,C,9,H,2,A,,,
353-U1443C-9H-2-A,58,62,63.18,63.22,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),planar,sharp,horizontal,,,,,,mottling,,,,,,,,353,U1443,C,9,H,2,A,,,
353-U1443C-9H-2-A,62,150,63.22,64.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Black bleb (ash) at 66 cm.,,,,353,U1443,C,9,H,2,A,,,
353-U1443C-9H-3-A,0,150,64.1,65.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,9,H,3,A,,,
353-U1443C-9H-4-A,0,148,65.6,67.08,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),bioturbated,bioturbated,,,,,,,mottling,,,,Faint color variations with mottling and black blebs (iron oxide or iron sulphide).,,,,353,U1443,C,9,H,4,A,,,
353-U1443C-9H-4-A,148,149,67.08,67.09,,,volcanic ash,,volcanic ash,volcanic ash,volcanic ash,,gray,10YR 6/1 (gray),planar,sharp,horizontal,,,,,,mottling,,,,,,,,353,U1443,C,9,H,4,A,,,
353-U1443C-9H-4-A,149,150,67.09,67.1,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,,,,,353,U1443,C,9,H,4,A,,,
353-U1443C-9H-5-A,0,150,67.1,68.6,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,,,,,Black blebs (ash) from 1 to 3 cm.,,,,353,U1443,C,9,H,5,A,,,
353-U1443C-9H-6-A,0,140,68.6,70.0,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,,,,,,,,,353,U1443,C,9,H,6,A,,,
353-U1443C-9H-7-A,0,52,70.0,70.52,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,,,,,Faint black bleb (ash) at 4 cm.,,,,353,U1443,C,9,H,7,A,,,
353-U1443C-9H-CC-A,0,10,70.52,70.62,,clayey,nannofossil ooze,,clayey nannofossil ooze,clayey nannofossil ooze,nannofossil ooze,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,,,,,,,,,353,U1443,C,9,H,CC,A,,,
353-U1443C-10H-1-A,0,150,70.6,72.1,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5G (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some black dots (ash) between 129 and 146 cm.,,,,353,U1443,C,10,H,1,A,,,
353-U1443C-10H-2-A,0,93,72.1,73.03,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,10,H,2,A,,,
353-U1443C-10H-3-A,0,97,73.03,74.0,,,nannofossil ooze,with clay,nannofossil ooze,nannofossil ooze with clay,nannofossil ooze with clay,,light gray,GLEY 1 8/5GY (light greenish gray),,,,,,,,,mottling,,,,Faint color variations with mottling. Some small black dots (ash) all along the section.,,,,353,U1443,C,10,H,3,A,,,
