Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Minor Lithology Suffix,Lithology name,Lithology classification,Lithology [%],Grain size max (mm),Lithification,Comment,File Data,Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name,row_index
329-U1370D-3H-2-A,329,U1370,D,3,3-2,H,2,A,0,144,19.67,21.11,,clay [S54] ,,clay,"Shepard, 1954",,,,,,,,,16
329-U1370D-3H-3-A,329,U1370,D,3,3-3,H,3,A,0,100,21.11,22.11,,clay [S54] ,,clay,"Shepard, 1954",,,,,,,,,17
329-U1370D-3H-3-A,329,U1370,D,3,3-3,H,3,A,100,150,22.11,22.61,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,18
329-U1370D-3H-4-A,329,U1370,D,3,3-4,H,4,A,0,150,22.61,24.11,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,19
329-U1370D-3H-5-A,329,U1370,D,3,3-5,H,5,A,0,79,24.11,24.9,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,20
329-U1370D-3H-CC-A,329,U1370,D,3,3-CC,H,CC,A,0,14,24.9,25.04,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,21
329-U1370D-4H-1-A,329,U1370,D,4,4-1,H,1,A,0,150,25,26.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,22
329-U1370D-4H-2-A,329,U1370,D,4,4-2,H,2,A,0,150,26.5,28,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,23
329-U1370D-4H-3-A,329,U1370,D,4,4-3,H,3,A,0,150,28,29.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,24
329-U1370D-4H-4-A,329,U1370,D,4,4-4,H,4,A,0,100,29.5,30.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,25
329-U1370D-4H-5-A,329,U1370,D,4,4-5,H,5,A,0,72,30.5,31.22,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,26
329-U1370D-4H-CC-A,329,U1370,D,4,4-CC,H,CC,A,0,22,31.22,31.44,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,27
329-U1370D-5H-1-A,329,U1370,D,5,5-1,H,1,A,0,150,34.5,36,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,28
329-U1370D-5H-2-A,329,U1370,D,5,5-2,H,2,A,0,150,36,37.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,29
329-U1370D-5H-3-A,329,U1370,D,5,5-3,H,3,A,0,150,37.5,39,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,30
329-U1370D-5H-4-A,329,U1370,D,5,5-4,H,4,A,0,150,39,40.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,31
329-U1370D-5H-5-A,329,U1370,D,5,5-5,H,5,A,0,147,40.5,41.97,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,32
329-U1370D-5H-6-A,329,U1370,D,5,5-6,H,6,A,0,118,41.97,43.15,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,33
329-U1370D-5H-CC-A,329,U1370,D,5,5-CC,H,CC,A,0,25,43.15,43.4,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,34
329-U1370D-6H-1-A,329,U1370,D,6,6-1,H,1,A,0,150,44,45.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,35
329-U1370D-6H-2-A,329,U1370,D,6,6-2,H,2,A,0,150,45.5,47,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,36
329-U1370D-6H-3-A,329,U1370,D,6,6-3,H,3,A,0,150,47,48.5,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,37
329-U1370D-6H-4-A,329,U1370,D,6,6-4,H,4,A,0,150,48.5,50,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,38
329-U1370D-6H-5-A,329,U1370,D,6,6-5,H,5,A,0,150,50,51.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,39
329-U1370D-6H-6-A,329,U1370,D,6,6-6,H,6,A,0,150,51.5,53,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,40
329-U1370D-6H-7-A,329,U1370,D,6,6-7,H,7,A,0,66,53,53.66,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,41
329-U1370D-6H-CC-A,329,U1370,D,6,6-CC,H,CC,A,0,22,53.66,53.88,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,42
329-U1370D-7H-1-A,329,U1370,D,7,7-1,H,1,A,0,150,53.5,55,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,43
329-U1370D-7H-2-A,329,U1370,D,7,7-2,H,2,A,0,151,55,56.51,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,44
329-U1370D-7H-3-A,329,U1370,D,7,7-3,H,3,A,0,150,56.51,58.01,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,45
329-U1370D-7H-4-A,329,U1370,D,7,7-4,H,4,A,0,151,58.01,59.52,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,46
329-U1370D-7H-5-A,329,U1370,D,7,7-5,H,5,A,0,150,59.52,61.02,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,47
329-U1370D-7H-6-A,329,U1370,D,7,7-6,H,6,A,0,93,61.02,61.95,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",,,,,,,,,48
329-U1370D-7H-6-A,329,U1370,D,7,7-6,H,6,A,93,150,61.95,62.52,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,49
329-U1370D-7H-7-A,329,U1370,D,7,7-7,H,7,A,0,53,62.52,63.05,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,50
329-U1370D-7H-CC-A,329,U1370,D,7,7-CC,H,CC,A,0,22,63.05,63.27,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,51
329-U1370D-8H-1-A,329,U1370,D,8,8-1,H,1,A,0,142,63,64.42,nannofossil,ooze [MMK88],,nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",50,,,,,,,,52
329-U1370D-8H-1-A,329,U1370,D,8,8-1,H,1,A,0,142,63,64.42,zeolitic metalliferous pelagic,clay [S54] ,,zeolitic metalliferous pelagic clay,"Shepard, 1954",50,,,,,,,,53
329-U1370D-8H-1-A,329,U1370,D,8,8-1,H,1,A,142,150,64.42,64.5,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,54
329-U1370D-8H-2-A,329,U1370,D,8,8-2,H,2,A,0,10,64.5,64.6,clay-bearing nannofossil,ooze [MMK88],,clay-bearing nannofossil ooze,"Mazullo, Meyer & Kidd, 1988",,,,,,,,,55
329-U1370D-8H-2-A,329,U1370,D,8,8-2,H,2,A,10,150,64.6,66,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,56
329-U1370D-8H-3-A,329,U1370,D,8,8-3,H,3,A,0,150,66,67.5,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,57
329-U1370D-8H-4-A,329,U1370,D,8,8-4,H,4,A,0,150,67.5,69,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,58
329-U1370D-8H-5-A,329,U1370,D,8,8-5,H,5,A,0,151,69,70.51,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,59
329-U1370D-8H-6-A,329,U1370,D,8,8-6,H,6,A,0,150,70.51,72.01,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,60
329-U1370D-8H-7-A,329,U1370,D,8,8-7,H,7,A,0,78,72.01,72.79,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,61
329-U1370D-8H-CC-A,329,U1370,D,8,8-CC,H,CC,A,0,31,72.79,73.1,metalliferous,clay [S54] ,,metalliferous clay,"Shepard, 1954",,,,,,,,,62
,,,,,,,,,,,,,,,,,,,,,,,,,,63
