Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color,Lithology lithification,Lithology ave. grain size class,Lithology ave. grain size rank [read only],Lithology max. grain size class,Lithology max. grain size rank [read only],General interval comment,Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Sorting,Grading,Sedimentary structure,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,Macrofossil abundance name,Clasts (>2 mm) DOMINANT,Clasts (>2 mm) 2ND ORDER,Clasts (>2 mm) 3ND ORDER,Lithic clasts (>2 mm) DOMINANT,DOMINANT lithic roundness,Lithic clasts (>2 mm) 2ND ORDER,2ND lithic roundness,Lithic clasts (>2 mm) 3RD ORDER,3RD lithic roundness,Vitric clasts (>2 mm) DOMINANT,DOMINANT vitric roundness,Vitric clasts (>2 mm) 2ND ORDER,2ND vitric roundness,Vitric clasts (>2 mm) 3RD ORDER,3RD vitric roundness,Crystals (>2 mm) DOMINANT,DOMINANT crystal roundness,Crystals (>2 mm) 2ND ORDER,2ND crystal roundness,Crystals (>2 mm) 3RD ORDER,3RD crystal roundness,Clast comments,"Matrix, fines (<2 mm) DOMINANT","Matrix, fines (<2 mm) 2ND ORDER","Matrix, fines (<2 mm) 3ND ORDER",Matrix sorting,Matrix comments,File Data,Shore File Links,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
350-U1437E-4R-2-A,350,U1437,E,4,4-2,R,2,A,36,40,1105.78,1105.82,IV,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,dark gray,,silt [W22_1],2,very fine sand [W22_2],3,,,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-4R-2-A,350,U1437,E,4,4-2,R,2,A,40,46,1105.82,1105.88,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,silt [W22_1],2,,,,,bioturbated,,,,,,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-4R-2-A,350,U1437,E,4,4-2,R,2,A,46,73,1105.88,1106.15,IV,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,dark gray,,silt [W22_1],2,fine sand [W22_2],4,,,not recovered,,,,normally graded,stratification,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,"with feldspar, pyroxene and altered glass",vitric matrix [2014],crystal matrix [2014],,,"with feldspar, pyroxene and altered glass",,,,,
350-U1437E-4R-2-A,350,U1437,E,4,4-2,R,2,A,73,80,1106.15,1106.22,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,silt [W22_1],2,,,,,bioturbated,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-4R-2-A,350,U1437,E,4,4-2,R,2,A,80,97,1106.22,1106.39,IV,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,dark gray,,silt [W22_1],2,fine sand [W22_2],4,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-4R-2-A,350,U1437,E,4,4-2,R,2,A,97,115,1106.39,1106.57,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,silt [W22_1],2,,,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-4R-2-A,350,U1437,E,4,4-2,R,2,A,115,131,1106.57,1106.73,IV,,,,evolved,tuff [2014],,evolved tuff,evolved tuff,tuff,,dark gray,,silt [W22_1],2,fine sand [W22_2],4,,,not recovered,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,vitric matrix [2014],,,,,,,,,
350-U1437E-4R-2-A,350,U1437,E,4,4-2,R,2,A,131,140,1106.73,1106.82,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,silt [W22_1],2,,,,,,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-1-A,350,U1437,E,5,5-1,R,1,A,0,6,1110,1110.06,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-1-A,350,U1437,E,5,5-1,R,1,A,6,65,1110.06,1110.65,IV,,,,evolved,tuff [2014],,tuff,tuff,tuff,,green,consolidated [2014],fine sand [W22_2],4,medium sand [W22_2],5,,planar,sharp,horizontal,,,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-1-A,350,U1437,E,5,5-1,R,1,A,65,96,1110.65,1110.96,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-1-A,350,U1437,E,5,5-1,R,1,A,96,99,1110.96,1110.99,IV,,,,evolved,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,silt [W22_1],2,,curviplanar,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-1-A,350,U1437,E,5,5-1,R,1,A,99,120,1110.99,1111.2,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-1-A,350,U1437,E,5,5-1,R,1,A,120,121,1111.2,1111.21,IV,,,,evolved,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,silt [W22_1],2,,,not recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-2-A,350,U1437,E,5,5-2,R,2,A,0,1,1111.21,1111.22,IV,,,,,tuff [2014],,tuff,tuff,tuff,,gray,,silt [W22_1],2,silt [W22_1],2,,planar,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-2-A,350,U1437,E,5,5-2,R,2,A,1,30,1111.22,1111.51,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-2-A,350,U1437,E,5,5-2,R,2,A,30,31,1111.51,1111.52,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,fine sand [W22_2],4,fine sand [W22_2],4,,curviplanar,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-2-A,350,U1437,E,5,5-2,R,2,A,31,49,1111.52,1111.7,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-2-A,350,U1437,E,5,5-2,R,2,A,49,54,1111.7,1111.75,IV,,,,,tuff [2014],,tuff,tuff,tuff,,light green,,silt [W22_1],2,silt [W22_1],2,,irregular,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-2-A,350,U1437,E,5,5-2,R,2,A,54,65,1111.75,1111.86,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,curviplanar,sharp to gradational,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-2-A,350,U1437,E,5,5-2,R,2,A,65,73,1111.86,1111.94,IV,,,,,tuff [2014],,tuff,tuff,tuff,,light green,,silt [W22_1],2,medium sand [W22_2],5,,irregular,diffuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,plagioclase and pyroxene,,,,,plagioclase and pyroxene,,,,,
350-U1437E-5R-2-A,350,U1437,E,5,5-2,R,2,A,73,95,1111.94,1112.16,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,planar,sharp,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-2-A,350,U1437,E,5,5-2,R,2,A,95,105,1112.16,1112.26,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,0,3,1112.26,1112.29,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,planar,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,3,48,1112.29,1112.74,IV,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,dark gray,,silt [W22_1],2,fine sand [W22_2],4,,,not recovered,,,,normally graded,convolute bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,48,52,1112.74,1112.78,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,52,53,1112.78,1112.79,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,silt [W22_1],2,,planar,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,53,63,1112.79,1112.89,IV,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,gray,,silt [W22_1],2,fine sand [W22_2],4,,irregular,bioturbated,,,,,stratification,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,63,68,1112.89,1112.94,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,not recovered,,,,,,high,3,,foraminifer,Tr [A85],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,68,71,1112.94,1112.97,IV,,,,,tuff [2014],,tuff,tuff,tuff,,green,,silt [W22_1],2,silt [W22_1],2,,planar,bioturbated,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,71,75,1112.97,1113.01,IV,,,,,tuff [2014],,tuff,tuff,tuff,,gray,,silt [W22_1],2,silt [W22_1],2,,curviplanar,bioturbated,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,75,79,1113.01,1113.05,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,diffuse,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,79,88,1113.05,1113.14,IV,,,,,tuff [2014],,tuff,tuff,tuff,,green,,silt [W22_1],2,fine sand [W22_2],4,,irregular,bioturbated,,,,normally graded,convolute bedded,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,88,94,1113.14,1113.2,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,curviplanar,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,94,99,1113.2,1113.25,IV,,,,,tuff [2014],,tuff,tuff,tuff,,gray,,silt [W22_1],2,silt [W22_1],2,,curviplanar,sharp,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,99,121,1113.25,1113.47,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,planar,diffuse,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,121,133,1113.47,1113.59,IV,,,,,tuff [2014],,tuff,tuff,tuff,,gray,,silt [W22_1],2,silt [W22_1],2,,,not recovered,,,,,stratification,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-3-A,350,U1437,E,5,5-3,R,3,A,133,139,1113.59,1113.65,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-4-A,350,U1437,E,5,5-4,R,4,A,0,14,1113.65,1113.79,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-4-A,350,U1437,E,5,5-4,R,4,A,14,25,1113.79,1113.9,IV,,,,,tuff [2014],,tuff,tuff,tuff,,green,,silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,,,,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-4-A,350,U1437,E,5,5-4,R,4,A,25,50,1113.9,1114.15,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-4-A,350,U1437,E,5,5-4,R,4,A,50,53,1114.15,1114.18,IV,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,green,,silt [W22_1],2,silt [W22_1],2,,irregular,bioturbated,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-4-A,350,U1437,E,5,5-4,R,4,A,53,61,1114.18,1114.26,IV,,,,,tuff [2014],,tuff,tuff,tuff,,gray,,silt [W22_1],2,silt [W22_1],2,,curviplanar,diffuse,,,,,cross-bedded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-4-A,350,U1437,E,5,5-4,R,4,A,61,65,1114.26,1114.3,IV,,,,,tuff [2014],,tuff,tuff,tuff,,green,,silt [W22_1],2,silt [W22_1],2,,,not recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-CC-A,350,U1437,E,5,5-CC,R,CC,A,0,8,1114.3,1114.38,IV,,,,,tuff [2014],,tuff,tuff,tuff,,green,,silt [W22_1],2,medium sand [W22_2],5,,,not recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-5R-CC-A,350,U1437,E,5,5-CC,R,CC,A,13,19,1114.43,1114.49,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,silt [W22_1],2,silt [W22_1],2,,,not recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-1-A,350,U1437,E,6,6-1,R,1,A,0,14,1116.3,1116.44,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,fine sand [W22_2],4,fine sand [W22_2],4,,curviplanar,sharp,,,,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-1-A,350,U1437,E,6,6-1,R,1,A,14,17,1116.44,1116.47,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,silt [W22_1],2,silt [W22_1],2,,irregular,bioturbated,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-1-A,350,U1437,E,6,6-1,R,1,A,17,24,1116.47,1116.54,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-1-A,350,U1437,E,6,6-1,R,1,A,24,28,1116.54,1116.58,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,silt [W22_1],2,silt [W22_1],2,,irregular,bioturbated,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-1-A,350,U1437,E,6,6-1,R,1,A,28,69,1116.58,1116.99,IV,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,dark green,,silt [W22_1],2,silt [W22_1],2,,curviplanar,sharp,,,,,stratification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-1-A,350,U1437,E,6,6-1,R,1,A,69,105,1116.99,1117.35,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,fine sand [W22_2],4,medium sand [W22_2],5,,curviplanar,sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-1-A,350,U1437,E,6,6-1,R,1,A,105,108,1117.35,1117.38,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,silt [W22_1],2,silt [W22_1],2,,irregular,bioturbated,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-1-A,350,U1437,E,6,6-1,R,1,A,108,115,1117.38,1117.45,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-2-A,350,U1437,E,6,6-2,R,2,A,0,8,1117.45,1117.53,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,curviplanar,sharp,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-2-A,350,U1437,E,6,6-2,R,2,A,8,24,1117.53,1117.69,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-2-A,350,U1437,E,6,6-2,R,2,A,24,114,1117.69,1118.59,IV,,,,,tuff [2014],with mudstone [2014],tuff,tuff with mudstone,tuff with mudstone,,green,,silt [W22_1],2,fine sand [W22_2],4,,planar,sharp,,,,,convolute bedded,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-2-A,350,U1437,E,6,6-2,R,2,A,114,127,1118.59,1118.72,IV,,,,,tuff [2014],with fiamme [2014],tuff,tuff with fiamme,tuff with fiamme,,dark green,,silt [W22_1],2,fine sand [W22_2],4,,curviplanar,sharp,,,,,stratification,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-2-A,350,U1437,E,6,6-2,R,2,A,127,129,1118.72,1118.74,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-2-A,350,U1437,E,6,6-2,R,2,A,129,131,1118.74,1118.76,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,silt [W22_1],2,silt [W22_1],2,,irregular,bioturbated,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-2-A,350,U1437,E,6,6-2,R,2,A,131,144,1118.76,1118.89,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,not recovered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-3-A,350,U1437,E,6,6-3,R,3,A,0,17,1118.89,1119.06,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark green,,silt [W22_1],2,silt [W22_1],2,,irregular,bioturbated,,,,,stratification,slight [DB86],1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-3-A,350,U1437,E,6,6-3,R,3,A,17,29,1119.06,1119.18,IV,,,,tuffaceous,mudstone [2014],,tuffaceous mudstone,tuffaceous mudstone,mudstone,,,,,,,,,,not recovered,,,,,,high,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350-U1437E-6R-3-A,350,U1437,E,6,6-3,R,3,A,29,40,1119.18,1119.29,IV,,,,,tuff [2014],,tuff,tuff,tuff,,dark gray,,silt [W22_1],2,silt [W22_1],2,,curviplanar,sharp,,,,,,moderate [DB86],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
