Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
341-U1417D-1H-3-A,341,U1417,D,1,1-3,H,3,A,0,14,3,3.14,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,faint green bands,,,,,,,,,10
341-U1417D-1H-3-A,341,U1417,D,1,1-3,H,3,A,14,15,3.14,3.15,,silt [Leg210],,silt ,,,,10YR 4/2 (dark grayish brown),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,11
341-U1417D-1H-3-A,341,U1417,D,1,1-3,H,3,A,15,150,3.15,4.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,faint green bands,,,,,,,,,12
341-U1417D-1H-4-A,341,U1417,D,1,1-4,H,4,A,0,39,4.5,4.89,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,faint green bands,,,,,,,,,13
341-U1417D-1H-4-A,341,U1417,D,1,1-4,H,4,A,39,137,4.89,5.87,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,5GY 4/1 (dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,faint black bands; small carbonate component in smear slide,,,,,,,,,14
341-U1417D-1H-CC-A,341,U1417,D,1,1-CC,H,CC,A,0,13,5.87,6,,mud [Leg210],,mud ,,,structureless,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,,,,,,,,,,15
341-U1417D-1H-CC-A,341,U1417,D,1,1-CC,H,CC,A,13,18,6,6.05,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,,16
341-U1417D-2H-1-A,341,U1417,D,2,2-1,H,1,A,0,150,6,7.5,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,black mottling; w/ green/black bands,,,,,,,,,17
341-U1417D-2H-2-A,341,U1417,D,2,2-2,H,2,A,0,117,7.5,8.67,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,faint black mottling; w/ green/black color bands,,,,,,,,,18
341-U1417D-2H-2-A,341,U1417,D,2,2-2,H,2,A,117,118,8.67,8.68,,silt [Leg210],,silt ,,,,N 3 (very dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,19
341-U1417D-2H-2-A,341,U1417,D,2,2-2,H,2,A,118,150,8.68,9,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,faint black mottling; w/ green/black color bands,,,,,,,,,20
341-U1417D-2H-3-A,341,U1417,D,2,2-3,H,3,A,0,25,9,9.25,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,faint green color bands,,,,,,,,,21
341-U1417D-2H-3-A,341,U1417,D,2,2-3,H,3,A,25,150,9.25,10.5,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,22
341-U1417D-2H-4-A,341,U1417,D,2,2-4,H,4,A,0,68,10.5,11.18,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,,1,,,,,granule [W22_2],subrounded,,,,1 elongate clast 1 cm at 23 cm,,,,,,,,,23
341-U1417D-2H-4-A,341,U1417,D,2,2-4,H,4,A,68,148,11.18,11.98,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,,,,24
341-U1417D-2H-5-A,341,U1417,D,2,2-5,H,5,A,0,11,12,12.11,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,,,,25
341-U1417D-2H-5-A,341,U1417,D,2,2-5,H,5,A,11,14,12.11,12.14,,ash(tuff) [MMK88m],,ash(tuff),ash,4,normal grading,10Y 4/2 (grayish green),,,,,,,,,,,,,,,,,,,,,,,26
341-U1417D-2H-5-A,341,U1417,D,2,2-5,H,5,A,14,122,12.14,13.22,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,,27
341-U1417D-2H-6-A,341,U1417,D,2,2-6,H,6,A,0,118,13.22,14.4,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,,28
341-U1417D-2H-CC-A,341,U1417,D,2,2-CC,H,CC,A,0,6,14.4,14.46,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,,29
341-U1417D-2H-CC-A,341,U1417,D,2,2-CC,H,CC,A,6,11,14.46,14.51,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,,30
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,0,12,15.5,15.62,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,mottled,,,,,,,,,31
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,12,13,15.62,15.63,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,32
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,13,37,15.63,15.87,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,mottled,,,,,,,,,33
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,37,38,15.87,15.88,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,34
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,38,61,15.88,16.11,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,mottled,,,,,,,,,35
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,61,62,16.11,16.12,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,36
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,62,92,16.12,16.42,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,mottled,,,,,,,,,37
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,92,93,16.42,16.43,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,38
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,93,120,16.43,16.7,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,39
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,120,121,16.7,16.71,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,40
341-U1417D-3H-1-A,341,U1417,D,3,3-1,H,1,A,121,150,16.71,17,diatom bearing,mud [Leg210],,diatom bearing mud ,,,color banding,N 4 (dark gray),,,present [A79],3,,,,,pebble [W22_2],subrounded,,,,"1 clast 0.5 cm, rounded, at 133; 1 clast 1.5 cm, angular, at 141 cm; 1 clast 2.5 cm, subrounded, at 143 cm",,,,,,,,,41
341-U1417D-3H-2-A,341,U1417,D,3,3-2,H,2,A,0,12,17,17.12,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,42
341-U1417D-3H-2-A,341,U1417,D,3,3-2,H,2,A,12,150,17.12,18.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],4,,,,,pebble [W22_2],angular,,,,"1 clast 1 cm, elongate, rounded, at 28 cm; 1 clast 0.5 cm at 72.5 cm; 1 clast 2 cm, subangular, at 118 cm; 1 clast 0.5 cm at 136 cm",,,,,,,,,43
341-U1417D-3H-3-A,341,U1417,D,3,3-3,H,3,A,0,150,18.5,20,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,massive mud,,,,,,,,,44
341-U1417D-3H-4-A,341,U1417,D,3,3-4,H,4,A,0,106,20,21.06,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,,45
341-U1417D-3H-5-A,341,U1417,D,3,3-5,H,5,A,0,140,21.06,22.46,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,present [A79],1,,,,,pebble [W22_2],subrounded,,,,massive mud; clast at 65 cm moved upward from 115 cm during coring,,,,,,,,,46
341-U1417D-3H-6-A,341,U1417,D,3,3-6,H,6,A,0,76,22.46,23.22,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,present [A79],1,,,,,pebble [W22_2],subrounded,,,,"1 clast 2.5 cm, subrounded, argillite, at 48.5 cm",,,,,,,,,47
341-U1417D-3H-6-A,341,U1417,D,3,3-6,H,6,A,76,81,23.22,23.27,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,48
341-U1417D-3H-6-A,341,U1417,D,3,3-6,H,6,A,81,87,23.27,23.33,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,,,,49
341-U1417D-3H-6-A,341,U1417,D,3,3-6,H,6,A,87,108,23.33,23.54,,diatom ooze [Leg339],,diatom ooze ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,50
341-U1417D-3H-6-A,341,U1417,D,3,3-6,H,6,A,108,125,23.54,23.71,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,,51
341-U1417D-3H-7-A,341,U1417,D,3,3-7,H,7,A,0,50,23.71,24.21,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,52
341-U1417D-3H-CC-A,341,U1417,D,3,3-CC,H,CC,A,0,7,24.21,24.28,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,53
341-U1417D-3H-CC-A,341,U1417,D,3,3-CC,H,CC,A,7,11,24.28,24.32,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,,,,54
341-U1417D-3H-CC-A,341,U1417,D,3,3-CC,H,CC,A,11,27,24.32,24.48,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,55
341-U1417D-3H-CC-A,341,U1417,D,3,3-CC,H,CC,A,27,35,24.48,24.56,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,,56
341-U1417D-4H-1-A,341,U1417,D,4,4-1,H,1,A,0,31.5,25,25.315,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,57
341-U1417D-4H-1-A,341,U1417,D,4,4-1,H,1,A,31.5,32,25.315,25.32,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,,,,58
341-U1417D-4H-1-A,341,U1417,D,4,4-1,H,1,A,32,65,25.32,25.65,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,59
341-U1417D-4H-1-A,341,U1417,D,4,4-1,H,1,A,65,67,25.65,25.67,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,60
341-U1417D-4H-1-A,341,U1417,D,4,4-1,H,1,A,67,150,25.67,26.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,61
341-U1417D-4H-2-A,341,U1417,D,4,4-2,H,2,A,0,17,26.5,26.67,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,1,,,,,pebble [W22_2],subangular,,,,"argillite, 2 cm",,,,,,,,,62
341-U1417D-4H-2-A,341,U1417,D,4,4-2,H,2,A,17,150,26.67,28,diatom rich,mud [Leg210],,diatom rich mud ,,,color banding,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,colou5r banded with N 4,,,,,,,,,63
341-U1417D-4H-3-A,341,U1417,D,4,4-3,H,3,A,0,150,28,29.5,diatom rich,mud [Leg210],,diatom rich mud ,,,color banding,10Y 3/2 (very dark grayish green),,,,1,,,pebble [W22_2],angular,,,,,,"mottled, frozen sand clast 2 cm at 123, angular",,,,,,,,,64
341-U1417D-4H-4-A,341,U1417,D,4,4-4,H,4,A,0,39.5,29.5,29.895,diatom rich,mud [Leg210],,diatom rich mud ,,,color banding,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,65
341-U1417D-4H-4-A,341,U1417,D,4,4-4,H,4,A,39.5,42,29.895,29.92,,ash(tuff) [MMK88m],,ash(tuff) ,ash,4,,2.5Y 6/1 (gray),,,,,,,,,,,,,,,,,,,,,,,66
341-U1417D-4H-4-A,341,U1417,D,4,4-4,H,4,A,42,92,29.92,30.42,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,colour banding,,,,,,,,,67
341-U1417D-4H-4-A,341,U1417,D,4,4-4,H,4,A,92,102,30.42,30.52,volcaniclastic rich,silt [Leg210],,volcaniclastic rich silt ,volcaniclastic-rich,3,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,colour banding,,,,,,,,,68
341-U1417D-4H-4-A,341,U1417,D,4,4-4,H,4,A,102,118.5,30.52,30.685,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,69
341-U1417D-4H-4-A,341,U1417,D,4,4-4,H,4,A,118.5,142,30.685,30.92,,mud [Leg210],,mud ,,,,N 5 (gray),,,,,,,,,,,,,,,,,,,,,,,70
341-U1417D-4H-4-A,341,U1417,D,4,4-4,H,4,A,142,150,30.92,31,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,,,,,,,,,,71
341-U1417D-4H-5-A,341,U1417,D,4,4-5,H,5,A,0,18,31,31.18,diatom rich,mud [Leg210],,diatom rich mud ,,,,10Y 3/2 (very dark grayish green),,,,,,,,,,,,,,colour banding,,,,,,,,,72
341-U1417D-4H-5-A,341,U1417,D,4,4-5,H,5,A,18,150,31.18,32.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,73
341-U1417D-4H-6-A,341,U1417,D,4,4-6,H,6,A,0,58,32.5,33.08,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,74
341-U1417D-4H-6-A,341,U1417,D,4,4-6,H,6,A,58,61,33.08,33.11,,diatom ooze [Leg339],,diatom ooze ,,,,5Y 3/2 (dark olive gray),,,,,,,,,,,,,,,,,,,,,,,75
341-U1417D-4H-6-A,341,U1417,D,4,4-6,H,6,A,61,150,33.11,34,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],3,,,,,pebble [W22_2],subrounded,,,,"1 clast 2 cm at 79 cm, rounded; 1 clast 1 cm at 95 cm, subrounded; 1 clast 1cm at 122, subrounded",,,,,,,,,76
341-U1417D-4H-7-A,341,U1417,D,4,4-7,H,7,A,0,65,34,34.65,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,"clast 1.5 cm missing at 41 cm, present in WH, argillite",,,,,,,,,77
341-U1417D-4H-CC-A,341,U1417,D,4,4-CC,H,CC,A,0,9,34.65,34.74,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,78
341-U1417D-4H-CC-A,341,U1417,D,4,4-CC,H,CC,A,9,10.5,34.74,34.755,,ash(tuff) [MMK88m],,ash(tuff) ,ash,4,,2.5Y 6/1 (gray),,,,,,,,,,,,,,,,,,,,,,,79
341-U1417D-4H-CC-A,341,U1417,D,4,4-CC,H,CC,A,10.5,18,34.755,34.83,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,,80
341-U1417D-5H-1-A,341,U1417,D,5,5-1,H,1,A,0,10,34.5,34.6,,,,,,,,,,,,,,,,,,,,,,VOID,,,,,,,,,81
341-U1417D-5H-1-A,341,U1417,D,5,5-1,H,1,A,10,144.5,34.6,35.945,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],7,,,,,,,,,,green/black color bands,,,,,,,,,82
341-U1417D-5H-1-A,341,U1417,D,5,5-1,H,1,A,144.5,150,35.945,36,,ash(tuff) [MMK88m],,ash(tuff) ,ash,4,,5Y 5/1 (gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,83
341-U1417D-5H-2-A,341,U1417,D,5,5-2,H,2,A,0,3,36,36.03,,ash(tuff) [MMK88m],,ash(tuff) ,ash,4,,2.5Y 4/1 (dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,84
341-U1417D-5H-2-A,341,U1417,D,5,5-2,H,2,A,3,150,36.03,37.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),none [DB86],0,present [A79],5,,,,,,,,,,faint green/black color bands,,,,,,,,,85
341-U1417D-5H-3-A,341,U1417,D,5,5-3,H,3,A,0,70,37.5,38.2,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],5,,,,,,,,,,faint green/black color bands,,,,,,,,,86
341-U1417D-5H-3-A,341,U1417,D,5,5-3,H,3,A,70,71.5,38.2,38.215,,silt [Leg210],,silt ,,,,N 3 (very dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,,,,,,,,,,87
341-U1417D-5H-3-A,341,U1417,D,5,5-3,H,3,A,71.5,75,38.215,38.25,,,,,,,,,,,absent [A79],,,,,,,,,,,VOID,,,,,,,,,88
341-U1417D-5H-3-A,341,U1417,D,5,5-3,H,3,A,75,83,38.25,38.33,,silt [Leg210],,silt ,,,patch or bleb,N 3 (very dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,,,,,,,,,,89
341-U1417D-5H-3-A,341,U1417,D,5,5-3,H,3,A,83,150,38.33,39,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],2,,,,,,,,,,faint black mottling,,,,,,,,,90
341-U1417D-5H-4-A,341,U1417,D,5,5-4,H,4,A,0,109,39,40.09,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],5,,,,,,,,,,green/black color bands,,,,,,,,,91
341-U1417D-5H-4-A,341,U1417,D,5,5-4,H,4,A,109,112,40.09,40.12,,mud [Leg210],,mud ,,,,5G 4/1 (dark greenish gray),slight [DB86],1,absent [A79],,,,,,,,,,,,,,,,,,,,92
341-U1417D-5H-4-A,341,U1417,D,5,5-4,H,4,A,112,113,40.12,40.13,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,,,,,,,,,,93
341-U1417D-5H-4-A,341,U1417,D,5,5-4,H,4,A,113,130,40.13,40.3,,diatom ooze [Leg339],,diatom ooze ,,,,2.5Y 5/1 (gray),slight [DB86],1,present [A79],1,,,,,,,,,,,gradational contact,,,,,,,,94
341-U1417D-5H-4-A,341,U1417,D,5,5-4,H,4,A,130,150,40.3,40.5,,mud [Leg210],,mud ,,,,N 4 (dark gray),slight [DB86],1,absent [A79],,,,,,,,,,,black mottling,,,,,,,,,95
341-U1417D-5H-5-A,341,U1417,D,5,5-5,H,5,A,0,66,40.5,41.16,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],2,,,,,pebble [W22_2],angular,,,,"1 clast 1.5 cm, angular, at 23 cm; 1 clast 1.5 cm, subrounded, at 37 cm",,,,,,,,,96
341-U1417D-5H-5-A,341,U1417,D,5,5-5,H,5,A,66,81,41.16,41.31,diatom bearing,mud [Leg210],,diatom bearing mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,97
341-U1417D-5H-5-A,341,U1417,D,5,5-5,H,5,A,81,150,41.31,42,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,,98
341-U1417D-5H-6-A,341,U1417,D,5,5-6,H,6,A,0,150,42,43.5,,mud [Leg210],,mud ,,,color banding,N 4 (dark gray),,,present [A79],3,,,,,pebble [W22_2],subrounded,,,,"1 clast 2 cm, subrounded, at 61 cm; 1 clast 0.5 cm, subrounded, at 96 cm; 1 clast 2 cm, angular, at 115 cm; argillites",,,,,,,,,99
341-U1417D-5H-7-A,341,U1417,D,5,5-7,H,7,A,0,59,43.5,44.09,,mud [Leg210],,mud ,,,,N 4 (dark gray),,,,,,,,,,,,,,"imprint of clast present in WH, 1.5 cm, rounded, argillite",,,,,,,,,100
341-U1417D-5H-CC-A,341,U1417,D,5,5-CC,H,CC,A,0,6,44.09,44.15,,mud [Leg210],,mud,,,,N 4 (dark gray),,,,,,,,,,,,,,,,,,,,,,,101
341-U1417D-5H-CC-A,341,U1417,D,5,5-CC,H,CC,A,0,11,44.09,44.2,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,,,,102
341-U1417D-6H-1-A,341,U1417,D,6,6-1,H,1,A,0,150,44,45.5,diatom bearing,mud [Leg210],,diatom bearing mud,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],10,,,,,,,,,,green/black bands; 2cm sandstone clast at 135cm,,,,,,,,,103
341-U1417D-6H-2-A,341,U1417,D,6,6-2,H,2,A,0,87,45.5,46.37,diatom bearing,mud [Leg210],,diatom bearing mud,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],3,,,,,,,,,,black mottling; green/black bands; 2.5cm green siltstone at 23cm,gradational contact,,,,,,,,104
341-U1417D-6H-2-A,341,U1417,D,6,6-2,H,2,A,87,150,46.37,47,diatom bearing,mud [Leg210],,diatom bearing mud,,,color banding,5G 4/1 (dark greenish gray),slight [DB86],1,present [A79],2,,,,,,,,,,black bands; black mottling,,,,,,,,,105
341-U1417D-6H-3-A,341,U1417,D,6,6-3,H,3,A,0,61,47,47.61,diatom bearing,mud [Leg210],,diatom bearing mud,,,,5G 4/1 (dark greenish gray),slight [DB86],1,present [A79],1,,,,,,,,,,black mottling,,,,,,,,,106
341-U1417D-6H-3-A,341,U1417,D,6,6-3,H,3,A,61,62,47.61,47.62,,mud [Leg210],,mud,,,,5G 3/1 (very dark greenish gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,,,,107
341-U1417D-6H-3-A,341,U1417,D,6,6-3,H,3,A,62,96,47.62,47.96,diatom bearing,mud [Leg210],,diatom bearing mud,,,,5G 4/1 (dark greenish gray),slight [DB86],1,present [A79],1,,,,,,,,,,black mottling,,,,,,,,,108
341-U1417D-6H-3-A,341,U1417,D,6,6-3,H,3,A,96,150,47.96,48.5,,mud [Leg210],,mud,,,color banding,N 4 (dark gray),slight [DB86],1,present [A79],1,,,,,,,,,,green/black bands; black mottling; fine silt patches (N 3) 97-100cm,,,,,,,,,109
341-U1417D-6H-4-A,341,U1417,D,6,6-4,H,4,A,0,76,48.5,49.26,,mud [Leg210],,mud,,,,N 4 (dark gray),,,present [A79],,,,,,,,,,,,,,,,,,,,110
341-U1417D-6H-4-A,341,U1417,D,6,6-4,H,4,A,76,84,49.26,49.34,volcaniclastic rich,sand [Leg210],with diatoms [Leg339],volcaniclastic rich sand with diatoms [Leg339],volcaniclastic-rich,3,,5Y 3/1 (very dark gray),,,,,,,,,,,,,,,,,,,,,,,111
