Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],Amount of ash in lithology,Amount of ash in lithology rank [read only],Sed. structures,MAJ Lith. color,Bioturbation intensity,Bioturbation intensity rank [read only],Clast abundance,Number of clasts (>2mm),Clast 1 igneous -  grain size,Clast 1 igneous -  roundness,Clast 2 sediment - grain size,Clast 2 sediment - roundness,Clast 3 metamorphic - grain size,Clast 3 metamorphic - roundness,Macrofossil,Diagenetic constituent,Diagenetic constituent composition,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
341-U1420A-6R-CC-A,0,13,48.5,48.63,muddy [Leg339],clast-rich diamict [M89m],,muddy  clast-rich diamict ,,,,N 3 (very dark gray),none [DB86],0,present [A79],,,,,,,,,,,"clasts include: siltstone, sandstone, metasiltstone",,,,,,341,U1420,A,6,R,CC,A,,,,10
341-U1420A-6R-CC-A,13,17,48.63,48.67,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1420,A,6,R,CC,A,,,,11
341-U1420A-7R-CC-A,0,7,58.2,58.27,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,"all matrix (major lithology) washed away/not recovered;
6cm siltstone",,,,,,341,U1420,A,7,R,CC,A,,,,12
341-U1420A-8R-CC-#1-A,0,5,67.9,67.95,,mud [Leg210],,mud ,,,,N 3 (very dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1420,A,8,R,CC,A,,,,13
341-U1420A-8R-CC-#2-A,0,14,67.95,68.09,,,,,,,,,,,present [A79],8,,,pebble [W22_2],subrounded,,,,,,"all matrix (major lithology) washed away/not recovered;
clasts include: sandstone, slate; up to 4cm",,,,,,341,U1420,A,8,R,CC,A,,,,14
341-U1420A-8R-CC-#3-A,0,21,68.09,68.3,,,,,,,,,,,,,,,pebble [W22_2],subrounded,pebble [W22_2],subrounded,,,,"all matrix (major lithology) washed away/not recovered;
clasts include: argillite, metasandstone, volcanic; up to 6cm",,,,,,341,U1420,A,8,R,CC,A,,,,15
341-U1420A-9R-CC-A,0,10,73.4,73.5,,mud [Leg210],with dispersed clasts,mud  with dispersed clasts,,,,N 3 (very dark gray),none [DB86],0,present [A79],5,,,pebble [W22_2],subrounded,pebble [W22_2],subrounded,,,,"clasts include: sandstone, argillite, siltstone, volcanic",,,,,,341,U1420,A,9,R,CC,A,,,,16
341-U1420A-9R-CC-A,10,33,73.5,73.73,,,,,,,,,,,present [A79],4,,,pebble [W22_2],subrounded,cobble [W22_2],subrounded,,,,11cm metasiltstone; sandstones,,,,,,341,U1420,A,9,R,CC,A,,,,17
341-U1420A-9R-CC-A,33,38,73.73,73.78,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1420,A,9,R,CC,A,,,,18
341-U1420A-9R-CC-A,38,41,73.78,73.81,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,5cm siltstone,,,,,,341,U1420,A,9,R,CC,A,,,,19
341-U1420A-10R-1-#1,0,9,79.9,79.99,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,pyrite bearing (meta?)graywacke,,,,,,341,U1420,A,10,R,1,,,,,20
341-U1420A-10R-1-#2,0,13,79.99,80.12,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,"chlorite bearing, greenstone",,,,,,341,U1420,A,10,R,1,,,,,21
341-U1420A-10R-1-#3,0,10,80.12,80.22,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,fine grained sandstone,,,,,,341,U1420,A,10,R,1,,,,,22
341-U1420A-10R-1-#4,0,3,80.22,80.25,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subangular,,,,,,siltstone,,,,,,341,U1420,A,10,R,1,,,,,23
341-U1420A-11R-1-#1-A,0,10,89.6,89.7,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,medium to coarse grained sandstone (with pyrite),,,,,,341,U1420,A,11,R,1,A,,,,24
341-U1420A-11R-1-#2-A,0,8,89.7,89.78,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,greenstone,,,,,,341,U1420,A,11,R,1,A,,,,25
341-U1420A-12R,0,8,99.3,99.38,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,green metasiltstone?,,,,,,341,U1420,A,12,R,,,,,,26
341-U1420A-13R-1-#1-A,0,8,109,109.08,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone,,,,,,341,U1420,A,13,R,1,A,,,,27
341-U1420A-13R-1-#2-A,0,10,109.08,109.18,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone or very fine sandstone,,,,,,341,U1420,A,13,R,1,A,,,,28
341-U1420A-13R-1-#3-A,0,7,109.18,109.25,,,,,,,,,,,present [A79],1,pebble [W22_2],subrounded,,,,,,,,coarse grained granite,,,,,,341,U1420,A,13,R,1,A,,,,29
341-U1420A-13R-1-#4-A,0,10,109.25,109.35,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone (with bioturbation burrows?),,,,,,341,U1420,A,13,R,1,A,,,,30
341-U1420A-13R-1-#5-A,0,8,109.35,109.43,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,"coarse grained, mica-rich diorite",,,,,,341,U1420,A,13,R,1,A,,,,31
341-U1420A-13R-1-#6-A,0,7,109.43,109.5,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,"coarse grained, mica-rich diorite",,,,,,341,U1420,A,13,R,1,A,,,,32
341-U1420A-13R-1-#7-A,0,9,109.5,109.59,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,"coarse grained, mica-rich diorite",,,,,,341,U1420,A,13,R,1,A,,,,33
341-U1420A-14R-1-#1-A,0,8,118.7,118.78,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone,,,,,,341,U1420,A,14,R,1,A,,,,34
341-U1420A-14R-1-#2-A,0,8,118.78,118.86,,,,,,,,,,,present [A79],1,cobble [W22_2],subangular,,,,,,,,"coarse grained, mica-rich diorite",,,,,,341,U1420,A,14,R,1,A,,,,35
341-U1420A-14R-1-#3-A,0,7,118.86,118.93,,,,,,,,,,,present [A79],3,pebble [W22_2],subangular,,,,,,,,"1 quartz, two siltstone pebbles",,,,,,341,U1420,A,14,R,1,A,,,,36
341-U1420A-14R-1-#4-A,0,10,118.93,119.03,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone (or very fine sandstone),,,,,,341,U1420,A,14,R,1,A,,,,37
341-U1420A-15R,0,6,128.4,128.46,,,,,,,,,,,present [A79],1,pebble [W22_2],subangular,,,,,,,,greenstone?,,,,,,341,U1420,A,15,R,,,,,,38
341-U1420A-15R,0,6,128.4,128.46,,,,,,,,,,,present [A79],2,,,pebble [W22_2],subangular,,,,,,siltstone and laminated siltstone,,,,,,341,U1420,A,15,R,,,,,,39
341-U1420A-16R-1-#1-A,0,5,138.1,138.15,,,,,,,,,,,,,,,,,,,,,,PAL sample,,,,,,341,U1420,A,16,R,1,A,,,,40
341-U1420A-16R-1-#2-A,0,4,138.15,138.19,,,,,,,,,,,present [A79],3,pebble [W22_2],subangular,,,,,,,,3 siltstone pebbles,,,,,,341,U1420,A,16,R,1,A,,,,41
341-U1420A-16R-1-#3-A,0,6,138.19,138.25,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone,,,,,,341,U1420,A,16,R,1,A,,,,42
341-U1420A-16R-1-#4-A,0,6,138.25,138.31,,,,,,,,,,,present [A79],1,,,cobble [W22_2],subangular,,,,,,siltstone (with pyrite),,,,,,341,U1420,A,16,R,1,A,,,,43
341-U1420A-17R-1-#1-A,0,8,147.8,147.88,,,,,,,,,,,present [A79],3,,,,,,,,,,sandstones; small bit of matrix attached,,,,,,341,U1420,A,17,R,1,A,,,,44
341-U1420A-17R-1-#10-A,0,10,148.56,148.66,,,,,,,,,,,present [A79],2,,,,,,,,,,sandstone,,,,,,341,U1420,A,17,R,1,A,,,,45
341-U1420A-17R-1-#2-A,0,11,147.88,147.99,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 3 (very dark gray),none [DB86],0,present [A79],14,pebble [W22_2],subangular,pebble [W22_2],subrounded,,,,,,"clasts include: siltstone, sandstone, igneous (1.5cm); 1-3cm clasts",,,,,,341,U1420,A,17,R,1,A,,,,46
341-U1420A-17R-1-#3-A,0,5,147.99,148.04,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,17,R,1,A,,,,47
341-U1420A-17R-1-#4-A,0,11,148.04,148.15,,,,,,,,,,,present [A79],1,,,,,,,,,,volcaniclastic sandstone,,,,,,341,U1420,A,17,R,1,A,,,,48
341-U1420A-17R-1-#5-A,0,11,148.15,148.26,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,17,R,1,A,,,,49
341-U1420A-17R-1-#6-A,0,7,148.26,148.33,,,,,,,,,,,present [A79],1,,,,,,,,,,coarse grained metasandstone,,,,,,341,U1420,A,17,R,1,A,,,,50
341-U1420A-17R-1-#7-A,0,11,148.33,148.44,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,17,R,1,A,,,,51
341-U1420A-17R-1-#8-A,0,8,148.44,148.52,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,17,R,1,A,,,,52
341-U1420A-17R-1-#9-A,0,4,148.52,148.56,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,17,R,1,A,,,,53
341-U1420A-18R-1-#1-A,0,4,157.5,157.54,,,,,,,,,,,present [A79],1,,,,,,,,,,felsic magmatic,,,,,,341,U1420,A,18,R,1,A,,,,54
341-U1420A-18R-1-#2-A,0,5,157.54,157.59,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1420,A,18,R,1,A,,,,55
341-U1420A-18R-1-#3-A,0,7,157.59,157.66,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone,,,,,,341,U1420,A,18,R,1,A,,,,56
341-U1420A-18R-1-#4-A,0,7,157.66,157.73,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,18,R,1,A,,,,57
341-U1420A-19R-1-#1-A,0,4,167.2,167.24,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,19,R,1,A,,,,58
341-U1420A-19R-1-#10-A,0,7,167.8,167.87,,,,,,,,,,,present [A79],1,,,,,,,,,,metasiltstone,,,,,,341,U1420,A,19,R,1,A,,,,59
341-U1420A-19R-1-#11-A,0,3,167.87,167.9,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,19,R,1,A,,,,60
341-U1420A-19R-1-#12-A,0,9,167.9,167.99,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,19,R,1,A,,,,61
341-U1420A-19R-1-#2-A,0,3,167.24,167.27,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,19,R,1,A,,,,62
341-U1420A-19R-1-#3-A,0,3,167.27,167.3,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1420,A,19,R,1,A,,,,63
341-U1420A-19R-1-#4-A,0,12,167.3,167.42,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,19,R,1,A,,,,64
341-U1420A-19R-1-#5-A,0,8,167.42,167.5,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,19,R,1,A,,,,65
341-U1420A-19R-1-#6-A,0,6,167.5,167.56,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,19,R,1,A,,,,66
341-U1420A-19R-1-#7-A,0,9,167.56,167.65,,,,,,,,,,,present [A79],1,,,,,,,,,,dolomite,,,,,,341,U1420,A,19,R,1,A,,,,67
341-U1420A-19R-1-#8-A,0,7,167.65,167.72,,,,,,,,,,,present [A79],1,,,,,,,,,,granite,,,,,,341,U1420,A,19,R,1,A,,,,68
341-U1420A-19R-1-#9-A,0,8,167.72,167.8,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,19,R,1,A,,,,69
341-U1420A-20R-1-#1-A,0,3,176.9,176.93,sandy,mud [Leg210],with dispersed clasts,sandy mud  with dispersed clasts,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,,341,U1420,A,20,R,1,A,,,,70
341-U1420A-20R-1-#2-A,0,7,176.93,177,,,,,,,,,,,present [A79],1,pebble [W22_2],subangular,,,,,,,,volcanic breccia,,,,,,341,U1420,A,20,R,1,A,,,,71
341-U1420A-20R-1-#3-A,0,13,177,177.13,,mud [Leg210],,mud ,,,,N 3 (very dark gray),,,present [A79],2,,,,,pebble [W22_2],,,,,,,,,,,341,U1420,A,20,R,1,A,,,,72
341-U1420A-20R-1-#3-A,13,15,177.13,177.15,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1420,A,20,R,1,A,,,,73
341-U1420A-20R-1-#4-A,0,3,177.15,177.18,,,,,,,,,,,present [A79],6,,,,,pebble [W22_2],subrounded,,,,"1 argillite pebble, 5 argillite granules",,,,,,341,U1420,A,20,R,1,A,,,,74
341-U1420A-20R-1-#5-A,0,4,177.18,177.22,,,,,,,,,,,present [A79],1,pebble [W22_2],subangular,,,,,,,,rhyolite,,,,,,341,U1420,A,20,R,1,A,,,,75
341-U1420A-20R-1-#6-A,0,4,177.22,177.26,,,,,,,,,,,present [A79],1,pebble [W22_2],subrounded,,,,,,,,rhyolite,,,,,,341,U1420,A,20,R,1,A,,,,76
341-U1420A-20R-1-#7-A,0,4,177.26,177.3,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,sandstone,,,,,,341,U1420,A,20,R,1,A,,,,77
341-U1420A-20R-1-#8-A,0,3,177.3,177.33,,,,,,,,,,,present [A79],1,pebble [W22_2],subangular,,,,,,,,aplitic granite,,,,,,341,U1420,A,20,R,1,A,,,,78
341-U1420A-21R-1-#1-A,0,4,186.6,186.64,,,,,,,,,,,present [A79],1,pebble [W22_2],subrounded,,,,,,,,volcanic breccia,,,,,,341,U1420,A,21,R,1,A,,,,79
341-U1420A-21R-1-#2-A,0,11,186.64,186.75,sandy,clast-poor diamict [M89m],,sandy clast-poor diamict ,,,,N 3 (very dark gray),,,,,,,,,,,,,,,,,,,,341,U1420,A,21,R,1,A,,,,80
341-U1420A-21R-1-#3-A,0,7,186.75,186.82,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,sandstone,,,,,,341,U1420,A,21,R,1,A,,,,81
341-U1420A-21R-1-#4-A,0,9,186.82,186.91,,,,,,,,,,,present [A79],1,pebble [W22_2],subrounded,,,,,,,,rhyolite,,,,,,341,U1420,A,21,R,1,A,,,,82
341-U1420A-21R-1-#5-A,0,3,186.91,186.94,,,,,,,,,,,present [A79],3,,,,,pebble [W22_2],subangular,,,,"1 argillite, 1 granite, 1 basalt",,,,,,341,U1420,A,21,R,1,A,,,,83
341-U1420A-21R-1-#6-A,0,7,186.94,187.01,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subangular,,,,,,sandstone,,,,,,341,U1420,A,21,R,1,A,,,,84
341-U1420A-21R-1-#7-A,0,14,187.01,187.15,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,sandstone,,,,,,341,U1420,A,21,R,1,A,,,,85
341-U1420A-21R-1-#8-A,0,6,187.15,187.21,,,,,,,,,,,present [A79],1,pebble [W22_2],subrounded,,,,,,,,rhyolite,,,,,,341,U1420,A,21,R,1,A,,,,86
341-U1420A-21R-1-#9-A,0,5,187.21,187.26,,,,,,,,,,,present [A79],1,,,pebble [W22_2],subrounded,,,,,,siltstone,,,,,,341,U1420,A,21,R,1,A,,,,87
341-U1420A-22R-1-#1-A,0,5,196.3,196.35,,,,,,,,,,,present [A79],1,,,pebble [W22_2],,,,,,,siltstone,,,,,,341,U1420,A,22,R,1,A,,,,88
341-U1420A-22R-1-#10-A,0,9,196.88,196.97,,,,,,,,,,,present [A79],1,,,,,,,,,,rhyolite,,,,,,341,U1420,A,22,R,1,A,,,,89
341-U1420A-22R-1-#11-A,0,23,196.97,197.2,,,,,,,,,,,present [A79],1,,,,,,,,,,rhyolite,,,,,,341,U1420,A,22,R,1,A,,,,90
341-U1420A-22R-1-#12-A,0,5,197.2,197.25,,,,,,,,,,,present [A79],1,,,,,,,,,,granite,,,,,,341,U1420,A,22,R,1,A,,,,91
341-U1420A-22R-1-#2-A,0,5,196.35,196.4,,,,,,,,,,,present [A79],1,,,pebble [W22_2],,,,,,,siltstone,,,,,,341,U1420,A,22,R,1,A,,,,92
341-U1420A-22R-1-#3-A,0,7,196.4,196.47,,,,,,,,,,,present [A79],1,,,pebble [W22_2],,,,,,,siltstone,,,,,,341,U1420,A,22,R,1,A,,,,93
341-U1420A-22R-1-#4-A,0,3,196.47,196.5,,,,,,,,,,,present [A79],1,,,,,,,,,,rhyolite,,,,,,341,U1420,A,22,R,1,A,,,,94
341-U1420A-22R-1-#5-A,0,8,196.5,196.58,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,22,R,1,A,,,,95
341-U1420A-22R-1-#6-A,0,9,196.58,196.67,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,22,R,1,A,,,,96
341-U1420A-22R-1-#7-A,0,7,196.67,196.74,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,22,R,1,A,,,,97
341-U1420A-22R-1-#8-A,0,7,196.74,196.81,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,22,R,1,A,,,,98
341-U1420A-22R-1-#9-A,0,7,196.81,196.88,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,22,R,1,A,,,,99
341-U1420A-23R-1-#1-A,0,4,206,206.04,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone with fabric,,,,,,341,U1420,A,23,R,1,A,,,,100
341-U1420A-23R-1-#2-A,0,5,206.04,206.09,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,23,R,1,A,,,,101
341-U1420A-23R-1-#3-A,0,3,206.09,206.12,,,,,,,,,,,present [A79],2,,,,,,,,,,metasandstone with fabric,,,,,,341,U1420,A,23,R,1,A,,,,102
341-U1420A-23R-1-#4-A,0,3,206.12,206.15,sandy,mud [Leg210],,sandy mud ,,,,N 3 (very dark gray),none [DB86],0,absent [A79],,,,,,,,,,,,,,,,,341,U1420,A,23,R,1,A,,,,103
341-U1420A-23R-1-#5-A,0,11,206.15,206.26,,,,,,,,,,,present [A79],2,,,cobble [W22_2],subrounded,,,,,,"green sandstone (10cm), green sandstone with fabric (1.5cm)",,,,,,341,U1420,A,23,R,1,A,,,,104
341-U1420A-23R-1-#6-A,0,8,206.26,206.34,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,23,R,1,A,,,,105
341-U1420A-23R-1-#7-A,0,7,206.34,206.41,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,23,R,1,A,,,,106
341-U1420A-23R-1-#8-A,0,8,206.41,206.49,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,23,R,1,A,,,,107
341-U1420A-24R-1-#3-A,0,4,215.89,215.93,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,24,R,1,A,,,,108
341-U1420A-24R-1-#4-A,0,4,215.93,215.97,,,,,,,,,,,present [A79],1,,,,,,,,,,green sandstone,,,,,,341,U1420,A,24,R,1,A,,,,109
341-U1420A-24R-1-#5-A,0,7,215.97,216.04,,,,,,,,,,,present [A79],1,,,,,,,,,,brecciated sandstone,,,,,,341,U1420,A,24,R,1,A,,,,110
341-U1420A-24R-1-#6-A,0,4,216.04,216.08,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,24,R,1,A,,,,111
341-U1420A-25R-1-#1-A,0,2,225.4,225.42,,,,,,,,,,,,,,,,,,,,,,PAL,,,,,,341,U1420,A,25,R,1,A,,,,112
341-U1420A-25R-1-#2-A,0,4,225.42,225.46,,,,,,,,,,,present [A79],4,,,pebble [W22_2],subrounded,pebble [W22_2],subangular,,,,"3 argillite, 1 sandstone",,,,,,341,U1420,A,25,R,1,A,,,,113
341-U1420A-25R-1-#3-A,0,7,225.46,225.53,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,25,R,1,A,,,,114
341-U1420A-25R-1-#4-A,0,6,225.53,225.59,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,25,R,1,A,,,,115
341-U1420A-25R-1-#5-A,0,7,225.59,225.66,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,25,R,1,A,,,,116
341-U1420A-25R-1-#6-A,0,5,225.66,225.71,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,25,R,1,A,,,,117
341-U1420A-25R-1-#7-A,0,7,225.71,225.78,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone,,,,,,341,U1420,A,25,R,1,A,,,,118
341-U1420A-25R-1-#8-A,0,7,225.78,225.85,,,,,,,,,,,present [A79],1,,,,,,,,,,metasandstone,,,,,,341,U1420,A,25,R,1,A,,,,119
341-U1420A-25R-1-#9-A,0,7,225.85,225.92,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,25,R,1,A,,,,120
341-U1420A-27R-1-#1-A,0,17,244.8,244.97,,mud [Leg210],with abundant clasts,mud  with abundant clasts,,,,N 3 (very dark gray),none [DB86],0,present [A79],10,,,pebble [W22_2],subrounded,,,,,,"clasts include: 6cm sandstone, ~1cm siltstones and sandstones",,,,,,341,U1420,A,27,R,1,A,,,,121
341-U1420A-27R-1-#2-A,0,6,244.97,245.03,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,27,R,1,A,,,,122
341-U1420A-27R-1-#3-A,0,6,245.03,245.09,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,27,R,1,A,,,,123
341-U1420A-27R-1-#4-A,0,3,245.09,245.12,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,27,R,1,A,,,,124
341-U1420A-27R-1-#5-A,0,5,245.12,245.17,,,,,,,,,,,present [A79],1,,,,,,,,,,gabbro,,,,,,341,U1420,A,27,R,1,A,,,,125
341-U1420A-27R-1-#6-A,0,4,245.17,245.21,,,,,,,,,,,present [A79],1,,,,,,,,,,sandstone,,,,,,341,U1420,A,27,R,1,A,,,,126
341-U1420A-27R-1-#7-A,0,6,245.21,245.27,,,,,,,,,,,present [A79],1,,,,,,,,,,basalt,,,,,,341,U1420,A,27,R,1,A,,,,127
341-U1420A-27R-1-#8-A,0,10,245.27,245.37,,,,,,,,,,,present [A79],1,,,,,,,,,,basalt,,,,,,341,U1420,A,27,R,1,A,,,,128
341-U1420A-27R-1-#9-A,0,3,245.37,245.4,,,,,,,,,,,present [A79],3,,,pebble [W22_2],subangular,,,,,,~1.5cm siltstones,,,,,,341,U1420,A,27,R,1,A,,,,129
341-U1420A-28R-1-#1-A,0,5,254.5,254.55,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,28,R,1,A,,,,130
341-U1420A-28R-1-#10-A,0,8,255.22,255.3,,,,,,,,,,,present [A79],1,,,,,,,,,,siltstone,,,,,,341,U1420,A,28,R,1,A,,,,131
341-U1420A-28R-1-#11-A,0,5,255.3,255.35,,,,,,,,,,,present [A79],1,,,,,,,,,,"siltstone, bioturbated
",,,,,,341,U1420,A,28,R,1,A,,,,132
