Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lithology prefix+name [read only],Lithology prefix+name+suffix [read only],Lithology name+suffix [read only],Lithology  abundance [%],Lithology color (simple),Bottom contact or boundary geometry,Bottom contact or boundary attitude,Bedding thickness of MAJOR lithology,Interbed lithology,Thickness of interbeds,INTERPRETATION - Turbiditic or Hemipelagic,TEPHRA type,Sedimentary structure,Sedimentary structure comment,Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name
354-U1452C-1H-5-A,108,151,6.58,7.01,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,1,H,5,A,,,
354-U1452C-3H-1-A,0,70,11,11.7,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,3,H,1,A,,,
354-U1452C-3H-1-A,70,74,11.7,11.74,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,3,H,1,A,,,
354-U1452C-3H-1-A,74,150,11.74,12.5,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,medium bed [B01],silt [Leg210],very thin bed [B01],,,,parallel laminations in clayey silt beds,,,,,,,354,U1452,C,3,H,1,A,,,
354-U1452C-3H-2-A,0,150,12.5,14,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1452,C,3,H,2,A,,,
354-U1452C-3H-3-A,0,150,14,15.5,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1452,C,3,H,3,A,,,
354-U1452C-3H-4-A,0,150,15.5,17,,,clay [Leg210],,clay,clay,clay,,dark gray,sharp planar,horizontal,medium bed [B01],silt [Leg210],very thin bed [B01],,,,parallel laminations in silt.,,,,,,,354,U1452,C,3,H,4,A,,,
354-U1452C-3H-5-A,0,65,17,17.65,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,sub-horizontal,medium bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1452,C,3,H,5,A,,,
354-U1452C-3H-5-A,65,75,17.65,17.75,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,3,H,5,A,,,
354-U1452C-3H-5-A,75,102,17.75,18.02,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1452,C,3,H,5,A,,,
354-U1452C-3H-6-A,0,59,18.02,18.61,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,parallel laminations in clayey silt beds.,,,,,,,354,U1452,C,3,H,6,A,,,
354-U1452C-3H-7-A,0,65,18.61,19.26,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],,,,parallel laminations in dark gray silt beds.,,,,,,,354,U1452,C,3,H,7,A,,,
354-U1452C-3H-7-A,65,73,19.26,19.34,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,sub-horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,3,H,7,A,,,
354-U1452C-3H-7-A,73,101,19.34,19.62,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],,,,parallel laminations in dark gray silt beds.,,,,,,,354,U1452,C,3,H,7,A,,,
354-U1452C-3H-CC-A,0,16,19.62,19.78,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1452,C,3,H,CC,A,,,
354-U1452C-4H-1-A,0,150,20.5,22,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],very thin bed [B01],,,,parallel laminations in dark gray clayey silt.,,,,,,,354,U1452,C,4,H,1,A,,,
354-U1452C-4H-2-A,0,25,22,22.25,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,parallel laminations in dark gray clayey silt beds.,,,,,,,354,U1452,C,4,H,2,A,,,
354-U1452C-4H-2-A,25,32,22.25,22.32,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,2,A,,,
354-U1452C-4H-2-A,32,40,22.32,22.4,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,2,A,,,
354-U1452C-4H-2-A,40,53,22.4,22.53,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,4,H,2,A,,,
354-U1452C-4H-2-A,53,71,22.53,22.71,,,clay [Leg210],,clay,clay,clay,,gray,gradational,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,2,A,,,
354-U1452C-4H-2-A,71,82,22.71,22.82,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,2,A,,,
354-U1452C-4H-2-A,82,97,22.82,22.97,,,clay [Leg210],,clay,clay,clay,,gray,sharp irregular,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1452,C,4,H,2,A,,,
354-U1452C-4H-2-A,97,120,22.97,23.2,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,2,A,,,
354-U1452C-4H-2-A,120,125,23.2,23.25,,,clay [Leg210],,clay,clay,clay,,gray,gradational,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,2,A,,,
354-U1452C-4H-2-A,125,150,23.25,23.5,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,gray,,,,,,,,,,,,,,,,354,U1452,C,4,H,2,A,,,
354-U1452C-4H-3-A,0,13,23.5,23.63,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,13,22,23.63,23.72,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,22,40,23.72,23.9,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,sub-horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,40,45,23.9,23.95,,,clay [Leg210],,clay,clay,clay,,gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,45,59,23.95,24.09,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,59,68,24.09,24.18,,,clay [Leg210],,clay,clay,clay,,gray,sharp irregular,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,68,100,24.18,24.5,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,100,113,24.5,24.63,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,113,120,24.63,24.7,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,120,129,24.7,24.79,,,clay [Leg210],,clay,clay,clay,,gray,gradational,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,129,146,24.79,24.96,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-3-A,146,150,24.96,25,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1452,C,4,H,3,A,,,
354-U1452C-4H-4-A,0,10,25,25.1,,,clay [Leg210],,clay,clay,clay,,gray,gradational,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,4,A,,,
354-U1452C-4H-4-A,10,33,25.1,25.33,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,4,H,4,A,,,
354-U1452C-4H-4-A,33,42,25.33,25.42,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,4,A,,,
354-U1452C-4H-4-A,42,66,25.42,25.66,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,4,A,,,
354-U1452C-4H-4-A,66,88,25.66,25.88,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,sub-horizontal,thin bed [B01],silt [Leg210],lamina [M&W53],,,,,,,,,,,354,U1452,C,4,H,4,A,,,
354-U1452C-4H-4-A,88,101,25.88,26.01,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp irregular,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,4,A,,,
354-U1452C-4H-4-A,101,111,26.01,26.11,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1452,C,4,H,4,A,,,
354-U1452C-4H-5-A,0,18,26.11,26.29,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,5,A,,,
354-U1452C-4H-5-A,18,29,26.29,26.4,,,clay [Leg210],,clay,clay,clay,,gray,sharp irregular,horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,5,A,,,
354-U1452C-4H-5-A,29,43,26.4,26.54,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,sharp planar,horizontal,,,,,,parallel lamination,,,,,,,,354,U1452,C,4,H,5,A,,,
354-U1452C-4H-5-A,43,55,26.54,26.66,,,clay [Leg210],,clay,clay,clay,,gray,sharp irregular,sub-horizontal,,,,,,,,,,,,,,354,U1452,C,4,H,5,A,,,
354-U1452C-4H-5-A,55,59,26.66,26.7,,clayey [Leg339],silt [Leg210],,clayey silt,clayey silt,silt,,dark gray,,,,,,,,,,,,,,,,354,U1452,C,4,H,5,A,,,
354-U1452C-5H-1-A,0,51,30,30.51,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,1,A,,,
354-U1452C-5H-1-A,51,91,30.51,30.91,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,,354,U1452,C,5,H,1,A,,,
354-U1452C-5H-1-A,91,150,30.91,31.5,,,silt [Leg210],,silt,silt,silt,,gray,,,medium bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1452,C,5,H,1,A,,,
354-U1452C-5H-2-A,0,70,31.5,32.2,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,thick bed [B01],clay [Leg210],thin bed [B01],,,normally graded,,,,,,,,354,U1452,C,5,H,2,A,,,
354-U1452C-5H-2-A,70,121,32.2,32.71,,,clay [Leg210],,clay,clay,clay,,gray,sharp planar,horizontal,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,2,A,,,
354-U1452C-5H-2-A,121,136,32.71,32.86,,,silt [Leg210],,silt,silt,silt,,gray,sharp irregular,,,,,,,normally graded,,,,,,,,354,U1452,C,5,H,2,A,,,
354-U1452C-5H-2-A,136,150,32.86,33,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,2,A,,,
354-U1452C-5H-3-A,0,8,33,33.08,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,3,A,,,
354-U1452C-5H-3-A,8,24,33.08,33.24,,,silt [Leg210],,silt,silt,silt,,gray,sharp irregular,,,,,,,normally graded,,,,,,,,354,U1452,C,5,H,3,A,,,
354-U1452C-5H-3-A,24,39,33.24,33.39,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,3,A,,,
354-U1452C-5H-3-A,39,50,33.39,33.5,,,silt [Leg210],,silt,silt,silt,,gray,sharp irregular,,,,,,,parallel lamination,,,,,,,,354,U1452,C,5,H,3,A,,,
354-U1452C-5H-3-A,50,81,33.5,33.81,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,3,A,,,
354-U1452C-5H-3-A,81,91,33.81,33.91,,,silt [Leg210],,silt,silt,silt,,gray,sharp irregular,,,,,,,parallel lamination,,,,,,,,354,U1452,C,5,H,3,A,,,
354-U1452C-5H-3-A,91,150,33.91,34.5,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,3,A,,,
354-U1452C-5H-4-A,0,105,34.5,35.55,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,4,A,,,
354-U1452C-5H-4-A,105,119,35.55,35.69,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,,354,U1452,C,5,H,4,A,,,
354-U1452C-5H-4-A,119,150,35.69,36,,,clay [Leg210],,clay,clay,clay,,gray,,,thin bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,4,A,,,
354-U1452C-5H-5-A,0,13,36,36.13,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,,,,,,,,,,,,,,354,U1452,C,5,H,5,A,,,
354-U1452C-5H-5-A,13,31,36.13,36.31,,,silt [Leg210],,silt,silt,silt,,gray,sharp irregular,,,,,,,normally graded,,,,,,,,354,U1452,C,5,H,5,A,,,
354-U1452C-5H-5-A,31,150,36.31,37.5,,,clay [Leg210],,clay,clay,clay,,gray,,,medium bed [B01],silt [Leg210],thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,5,A,,,
354-U1452C-5H-6-A,0,34,37.5,37.84,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,thin bed [B01],silt [Leg210],very thin bed [B01],,,,,,,,,,,354,U1452,C,5,H,6,A,,,
354-U1452C-5H-6-A,34,66,37.84,38.16,,sandy [Leg339],silt [Leg210],,sandy silt,sandy silt,silt,,gray,sharp planar,horizontal,,,,,,normally graded,,,,,,,,354,U1452,C,5,H,6,A,,,
354-U1452C-5H-6-A,66,74,38.16,38.24,,,clay [Leg210],,clay,clay,clay,,gray,gradational,,,,,,,,,,,,,,,354,U1452,C,5,H,6,A,,,
354-U1452C-5H-6-A,74,86,38.24,38.36,,,silt [Leg210],,silt,silt,silt,,gray,sharp planar,,,,,,,parallel lamination,,,,,,,,354,U1452,C,5,H,6,A,,,
354-U1452C-5H-6-A,86,91,38.36,38.41,,,clay [Leg210],,clay,clay,clay,,gray,,,,,,,,,,,,,,,,354,U1452,C,5,H,6,A,,,
354-U1452C-6H-1-A,0,112,38.5,39.62,,,sand [Leg210],,sand,sand,sand,,dark gray,,,,,,,,,,,,,,,,354,U1452,C,6,H,1,A,,,
354-U1452C-6H-2-A,0,143,39.62,41.05,,,sand [Leg210],,sand,sand,sand,,dark gray,sharp planar,horizontal,,,,,,,,,,,,,,354,U1452,C,6,H,2,A,,,
354-U1452C-6H-2-A,143,150,41.05,41.12,,,clay [Leg210],,clay,clay,clay,,dark gray,,,,,,,,,,,,,,,,354,U1452,C,6,H,2,A,,,
