Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Sample domain number (if >1 domain),Sample domain name (if >1 domain),Domain relative abundance [%],Lithology Prefix,Lithology Principal Name,Lithology Suffix,Lith. prefix+name+suffix,Lithological Accessories 1,Lithological Accessories 2,Lithology color,Layer/Beddding, Lamination,Grading,Other sedimentary feature,Layer or bedding thickness,Lithology avg. grain size ,Lithology avg. grain size rank,Diagenetic constituent,Diagenetic constituent composition,Bioturbation intensity,Bioturbation intensity rank,General interval comment,Bottom contact or boundary type,Bottom contact geometry,Bottom contact definition,Clasts abundance,Clasts [%],Clast -  grain size,Diagenetic structure,Macrofossil,Macrofossil abundance name,Lithology prefix + name,Lithology name+suffix,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Suffix,Minor Lithology Prefix,Minor Lithology Name
371-U1509A-7R-2-A,130.0,150.0,51.2,51.4,,,,,nannofossil-rich [2014b],foraminiferal ooze [Leg339],,nannofossil-rich foraminiferal ooze,,,N 8.5 (white),,,,,,fine sand [W22_2],4,,,,,This interval is foraminfer sand with scattered green grains.,,,,,,,,,,nannofossil-rich foraminiferal ooze,foraminiferal ooze,,,,371,U1509,A,7,R,2,A,,,
371-U1509A-7R-3-A,0.0,141.0,51.4,52.81,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,Alternates between nannofossil ooze with forams and nannofossil-rich foraminferal ooze. There are scattered green grains throughout this section.,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1509,A,7,R,3,A,,,
371-U1509A-7R-4-A,0.0,53.0,52.9,53.43,,,,,foraminiferal [Leg339],nannofossil ooze [Leg339],,foraminiferal nannofossil ooze,clay,,N 8.5 (white),,,,,,silt [W22_1],2,,,,,,,,,,,,,,,foraminiferal nannofossil ooze,nannofossil ooze,,,,371,U1509,A,7,R,4,A,,,
371-U1509A-8R-1-A,0.0,146.0,58.1,59.56,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,8,R,1,A,,,
371-U1509A-8R-2-A,0.0,125.0,59.56,60.81,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,sparse [B06],1,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,8,R,2,A,,,
371-U1509A-8R-3-A,0.0,67.0,60.91,61.58,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,sparse [B06],1,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,8,R,3,A,,,
371-U1509A-8R-CC-A,0.0,9.0,61.58,61.67,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,sparse [B06],1,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,8,R,CC,A,,,
371-U1509A-9R-1-A,0.0,147.0,67.8,69.27,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,9,R,1,A,,,
371-U1509A-9R-2-A,0.0,143.0,69.27,70.7,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,9,R,2,A,,,
371-U1509A-9R-3-A,0.0,121.0,70.7,71.91,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,9,R,3,A,,,
371-U1509A-9R-4-A,0.0,71.0,71.91,72.62,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Subtly darker in color than the overlying material. Pale green laminae observed for first time, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,9,R,4,A,,,
371-U1509A-9R-CC-A,0.0,8.0,72.62,72.7,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,9,R,CC,A,,,
371-U1509A-10R-1-A,0.0,146.0,77.5,78.96,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,radiolarians,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,10,R,1,A,,,
371-U1509A-10R-2-A,0.0,150.0,78.96,80.46,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,radiolarians,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,10,R,2,A,,,
371-U1509A-10R-3-A,0.0,105.0,80.46,81.51,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,radiolarians,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,10,R,3,A,,,
371-U1509A-10R-4-A,0.0,81.0,81.61,82.42,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,radiolarians,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,10,R,4,A,,,
371-U1509A-11R-1-A,0.0,145.0,87.2,88.65,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,radiolarians,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,11,R,1,A,,,
371-U1509A-11R-2-A,0.0,65.0,88.65,89.3,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,radiolarians,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,11,R,2,A,,,
371-U1509A-11R-2-A,65.0,95.0,89.3,89.6,,,,,tuffaceous,foraminiferal chalk [Leg339],with nannofossils and radiolarians [2014],tuffaceous foraminiferal chalk with nannofossils and radiolarians,,,GLEY 1 7/10GY (light greenish grey),bed,,normal grading,,medium bed [B01],fine sand [W22_2],4,,,moderate [B06],3,Color darkens towards the base of the bed.,,sharp,sharp,,,,,,,tuffaceous foraminiferal chalk,foraminiferal chalk with nannofossils and radiolarians,,,,371,U1509,A,11,R,2,A,,,
371-U1509A-11R-2-A,95.0,143.0,89.6,90.08,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,sponge spicules,radiolarians,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,11,R,2,A,,,
371-U1509A-12R-1-A,0.0,150.0,96.8,98.3,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,sponge spicules,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains.",,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1509,A,12,R,1,A,,,
371-U1509A-12R-2-A,0.0,130.0,98.3,99.6,,,,,,nannofossil chalk [Leg339],with foraminifers [2014],nannofossil chalk with foraminifers,sponge spicules,,N 8 (white),,,,,,silt [W22_1],2,,,slight [B06],2,"Pale green laminae observed, along with sporadic occurrences of green grains. Sub-vertical diagenetic front from ~85cm to ~129cm",,,,,,,,,,nannofossil chalk,nannofossil chalk with foraminifers,,,,371,U1509,A,12,R,2,A,,,
371-U1509A-12R-2-A,130.0,150.0,99.6,99.8,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],with sponge spicules [2014],foraminiferal nannofossil chalk with sponge spicules,,,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,complete [AI355],5,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with sponge spicules,,,,371,U1509,A,12,R,2,A,,,
371-U1509A-12R-3-A,0.0,150.0,99.8,101.3,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],with sponge spicules [2014],foraminiferal nannofossil chalk with sponge spicules,,,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,complete [AI355],5,section moderately bioturbated by light brownish grey (10YR 6/2) to light grey (10YR 7/2) burrows from zoophycos and planolites. Presence of reddish grey (5R 6/1) diagenetic halo.,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with sponge spicules,,,,371,U1509,A,12,R,3,A,,,
371-U1509A-12R-4-A,0.0,150.0,101.3,102.8,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],with sponge spicules [2014],foraminiferal nannofossil chalk with sponge spicules,,,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,complete [AI355],5,"section moderately bioturbated by light brownish grey (10YR 6/2) to light grey (10YR 7/2) burrows from zoophycos and planolites. Presence of reddish grey (5R 6/1) diagenetic halo. At ~91cm, presence of very thin tilted lamina",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with sponge spicules,,,,371,U1509,A,12,R,4,A,,,
371-U1509A-12R-5-A,0.0,96.0,102.8,103.76,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],with sponge spicules [2014],foraminiferal nannofossil chalk with sponge spicules,,,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,complete [AI355],5,section moderately bioturbated by light brownish grey (10YR 6/2) to light grey (10YR 7/2) burrows from zoophycos and planolites. Presence of reddish grey (5R 6/1) diagenetic halo.,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with sponge spicules,,,,371,U1509,A,12,R,5,A,,,
371-U1509A-12R-6-A,0.0,115.0,103.86,105.01,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],with sponge spicules [2014],foraminiferal nannofossil chalk with sponge spicules,,,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,complete [AI355],5,section moderately bioturbated by light brownish grey (10YR 6/2) to light grey (10YR 7/2) burrows from zoophycos and planolites. Presence of reddish grey (5R 6/1) diagenetic halo.,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk with sponge spicules,,,,371,U1509,A,12,R,6,A,,,
371-U1509A-13R-1-A,0.0,150.0,106.3,107.8,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,13,R,1,A,,,
371-U1509A-13R-2-A,0.0,150.0,107.8,109.3,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Prominent pyrite bleb at 54 cm. Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,13,R,2,A,,,
371-U1509A-13R-3-A,0.0,150.0,109.3,110.8,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Some planar laminations at 41-50cm. Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,13,R,3,A,,,
371-U1509A-13R-4-A,0.0,150.0,110.8,112.3,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,13,R,4,A,,,
371-U1509A-13R-5-A,0.0,150.0,112.3,113.8,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,13,R,5,A,,,
371-U1509A-13R-6-A,0.0,83.0,113.8,114.63,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,13,R,6,A,,,
371-U1509A-14R-1-A,0.0,150.0,115.8,117.3,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,14,R,1,A,,,
371-U1509A-14R-2-A,0.0,150.0,117.3,118.8,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,14,R,2,A,,,
371-U1509A-14R-3-A,0.0,150.0,118.8,120.3,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,14,R,3,A,,,
371-U1509A-14R-4-A,0.0,62.0,120.3,120.92,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",bioturbated boundary or contact,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,14,R,4,A,,,
371-U1509A-14R-4-A,62.0,95.0,120.92,121.25,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,interval severely deformed. syn-sedimentary deformation,sharp boundary or contact,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,14,R,4,A,,,
371-U1509A-14R-4-A,95.0,101.0,121.25,121.31,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,14,R,4,A,,,
371-U1509A-14R-5-A,0.0,70.0,121.41,122.11,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,14,R,5,A,,,
371-U1509A-14R-CC-A,0.0,8.0,122.11,122.19,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,14,R,CC,A,,,
371-U1509A-15R-1-A,0.0,150.0,125.4,126.9,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,15,R,1,A,,,
371-U1509A-15R-2-A,0.0,150.0,126.9,128.4,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,15,R,2,A,,,
371-U1509A-15R-3-A,0.0,48.0,128.4,128.88,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,"Abundant darker brownish burrows, and diagenetic halos",,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,15,R,3,A,,,
371-U1509A-15R-3-A,48.0,150.0,128.88,129.9,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,Slump deformation,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,15,R,3,A,,,
371-U1509A-15R-4-A,0.0,50.0,129.9,130.4,,,,,foraminiferal [Leg339],nannofossil chalk [Leg339],,foraminiferal nannofossil chalk,radiolarians,sponge spicules,GLEY 1 8/5GY (light greenish gray),,,,,,silt [W22_1],2,,,heavy [DB91],4,Slump deformation,,,,,,,,,,foraminiferal nannofossil chalk,nannofossil chalk,,,,371,U1509,A,15,R,4,A,,,
