Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Triquetrorhabdulus carinatus	Sphenolithus moriformis	Sphenolithus dissimilis	Sphenolithus delphix	Sphenolithus capricornutus	Reticulofenestra minutula	Reticulofenestra bisecta	Helicosphaera spp.	Discoaster spp.	Discoaster deflandrei	Cyclicargolithus floridanus	Coccolithus pelagicus	Coccolithus miopelagicus	Discoaster variabilis	Helicosphaera granulata	Cyclicargolithus abisectus	Coronocyclus nitescens	Calcidiscus premacintyrei	Sphenolithus conicus	Calcidiscus leptoporus	Discoaster adamanteus	Helicosphaera carteri	Sphenolithus belemnos	Discoaster druggii	Reticulofenestra pseudoumbilicus	Sphenolithus heteromorphus	Reticulofenestra minuta	Helicosphaera ampliaperta	Cyclolithus annulus	Calcidiscus macintyrei	Discoaster signus	Syracosphaera spp.	Rhabdosphaera clavigera	Discoaster intercalaris	Triquetrorhabdulus extensus	Pontosphaera spp.	Helicosphaera euphratis	Scapholithus spp.	Discoaster exilis	Discoaster musicus	Coccolithus streckerii	Tetralithoides symeonidesii	Discolithina multipora	Dictyococcites spp.	Sphenolithus abies	Discoaster petaliformis	Discoaster moorei	Discoaster pseudovariabilis	Discoaster prepentaradiatus	Triquetrorhabdulus rugosus	Umbilicosphaera sibogae	Oolithotus antillarum	Discoaster kugleri	Discoaster pentaradiatus	Discoaster brouweri	Discoaster bollii	Discoaster bellus	Catinaster coalitus	Discoaster quinqueramus	Discoaster icarus	Discoaster hamatus	Catinaster calyculus	Discoaster surculus	Discoaster pansus	Discoaster neohamatus	Discoaster decorus	Discoaster loeblichii	Minylitha convallis	Sphenolithus neoabies	Discoaster neorectus	Discoaster calcaris	Discoaster berggrenii	Scapholithus fossilis	Discoaster challengeri	Gephyrocapsa spp. (small)	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus spp.	Amaurolithus amplificus	Helicosphaera wallichii	Discoaster triradiatus	Pyrocyclus spp.	Discoaster quadramus	Helicosphaera neogranulata	Ceratolithus acutus	Ceratolithus rugosus	Ceratolithus cristatus	Amaurolithus tricorniculatus	Discoaster asymmetricus	Discolithina japonica	Helicosphaera sellii	Discoaster tamalis	Pseudoemiliania lacunosa	Syracosphaera pulchra	Helicosphaera hyalina	Rhabdosphaera longistylis	Reticulofenestra minutula (circ. form)	Reticulofenestra ampla	Rhabdosphaera stylifera	Coccolithus crassipons	Comment

  SR	                 	                 	CN12d             	              	165	 998	A	  5	H	 5	  20.00	     43.5000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	13                       	                        	+                 	               	                     	                           	+                    	                        	+                    	                       	                          	                      	                         	                    	+                     	                     	9                    	                     	                  	                                	                          	124                    	                         	                   	1                     	                 	10                	28                     	                       	                           	+                	                       	+                	                 	                  	                      	                           	+                     	6                  	                  	                       	                 	                           	                           	                          	19                     	2                    	                  	                        	4                  	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	2                    	                      	49                       	                   	                      	                 	                       	+                      	+                     	               	                    	                          	                   	+                   	+                     	                            	                       	+                    	                    	                  	19                      	11                   	1                    	                         	                                      	                      	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12c             	              	165	 998	A	  5	H	 6	  20.00	     45.0000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	34                       	                        	                  	               	                     	                           	+                    	                        	                     	                       	                          	                      	                         	                    	1                     	                     	5                    	                     	                  	                                	                          	97                     	                         	3                  	+                     	                 	9                 	24                     	                       	                           	1                	                       	+                	                 	                  	                      	                           	                      	13                 	+                 	                       	                 	                           	                           	                          	14                     	7                    	                  	5                       	3                  	                 	                 	                   	                       	                 	                  	                    	1                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	3                    	                      	48                       	                   	                      	                 	                       	+                      	1                     	1              	                    	                          	                   	+                   	+                     	                            	                       	+                    	                    	+                 	15                      	6                    	2                    	2                        	                                      	                      	                       	                      	Total count = 300 specimens including 5 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12c             	              	165	 998	A	  6	H	 1	  20.00	     47.0000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	23                       	                        	1                 	               	                     	                           	+                    	                        	                     	                       	                          	                      	                         	                    	1                     	                     	10                   	                     	                  	                                	                          	70                     	                         	                   	1                     	                 	4                 	23                     	+                      	                           	+                	                       	+                	                 	                  	                      	                           	                      	27                 	                  	                       	                 	                           	                           	                          	27                     	9                    	                  	+                       	8                  	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	1                    	+                     	34                       	                   	                      	                 	                       	                       	+                     	4              	                    	                          	                   	+                   	+                     	                            	                       	+                    	1                   	                  	29                      	9                    	+                    	2                        	                                      	                      	2                      	                      	Total count = 300 specimens including 14 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12c             	              	165	 998	A	  6	H	 2	  20.00	     48.5000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	13                       	                        	                  	               	                     	                           	1                    	                        	                     	                       	                          	                      	                         	                    	8                     	                     	19                   	                     	                  	                                	                          	55                     	                         	1                  	2                     	                 	12                	22                     	                       	                           	+                	                       	+                	                 	                  	                      	                           	                      	32                 	                  	                       	                 	                           	                           	                          	24                     	9                    	                  	2                       	8                  	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	2                    	                      	42                       	                   	                      	                 	                       	+                      	+                     	4              	                    	                          	                   	1                   	+                     	                            	                       	2                    	1                   	                  	22                      	9                    	1                    	2                        	                                      	                      	                       	                      	Total count = 300 specimens including 6 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12c             	              	165	 998	A	  6	H	 3	  20.00	     50.0000	Kameo    	Nannofossils                                 	               	M-G               	                            	                       	                       	                    	                          	52                       	                        	1                 	               	                     	                           	+                    	                        	                     	                       	                          	                      	                         	                    	+                     	                     	24                   	                     	                  	                                	                          	56                     	                         	1                  	1                     	                 	7                 	39                     	                       	                           	1                	                       	+                	                 	                  	                      	2                          	                      	4                  	                  	                       	                 	                           	                           	                          	22                     	4                    	                  	25                      	3                  	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	+                    	                      	2                        	                   	                      	                 	                       	3                      	+                     	1              	1                   	                          	                   	+                   	                      	                            	                       	1                    	3                   	                  	12                      	11                   	4                    	1                        	                                      	                      	                       	                      	Total count = 300 specimens including 19 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12c             	              	165	 998	A	  6	H	 4	  10.00	     51.4000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	39                       	                        	                  	               	                     	                           	+                    	                        	                     	                       	                          	                      	                         	                    	+                     	                     	15                   	                     	                  	                                	                          	79                     	                         	3                  	4                     	                 	10                	25                     	                       	                           	2                	                       	1                	                 	                  	                      	                           	                      	8                  	+                 	                       	                 	                           	                           	                          	16                     	8                    	                  	30                      	3                  	                 	                 	                   	                       	                 	                  	                    	                   	                 	                     	                  	                     	                   	                     	                    	                   	                     	3                    	                      	3                        	                   	                      	                 	                       	+                      	                      	1              	                    	                          	                   	1                   	+                     	                            	1                      	1                    	5                   	                  	22                      	6                    	5                    	2                        	                                      	                      	                       	                      	Total count = 300 specimens including 7 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12b             	              	165	 998	A	  6	H	 5	  70.00	     53.5000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	69                       	                        	2                 	               	                     	                           	+                    	                        	                     	                       	                          	                      	                         	                    	2                     	                     	8                    	                     	                  	                                	                          	79                     	                         	1                  	4                     	                 	11                	25                     	                       	                           	+                	                       	1                	                 	                  	                      	2                          	                      	8                  	+                 	                       	                 	                           	                           	                          	7                      	13                   	                  	15                      	2                  	                 	                 	                   	                       	                 	                  	                    	+                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	3                    	                      	2                        	                   	                      	                 	                       	+                      	+                     	               	                    	                          	                   	2                   	+                     	                            	+                      	+                    	1                   	                  	17                      	10                   	3                    	                         	                                      	                      	                       	                      	Total count = 300 specimens including 13 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12b             	              	165	 998	A	  6	H	 6	  21.00	     54.5100	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	80                       	                        	                  	               	                     	                           	+                    	                        	                     	                       	                          	                      	                         	                    	+                     	+                    	5                    	                     	                  	                                	                          	123                    	                         	2                  	+                     	                 	8                 	22                     	                       	                           	1                	                       	+                	                 	                  	                      	                           	                      	1                  	                  	                       	                 	                           	                           	                          	7                      	2                    	                  	3                       	4                  	                 	                 	                   	                       	                 	                  	                    	1                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	+                    	                      	                         	                   	                      	                 	                       	1                      	                      	2              	                    	                          	                   	1                   	1                     	                            	+                      	+                    	1                   	                  	27                      	+                    	3                    	                         	                                      	                      	                       	                      	Total count = 300 specimens including 5 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12a             	              	165	 998	A	  7	H	 1	  20.00	     56.5000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	92                       	                        	                  	               	                     	                           	                     	                        	                     	                       	                          	                      	                         	                    	3                     	                     	13                   	                     	                  	                                	                          	71                     	                         	6                  	6                     	                 	2                 	9                      	                       	                           	1                	                       	1                	                 	                  	                      	                           	                      	12                 	+                 	                       	                 	                           	                           	                          	9                      	7                    	                  	19                      	7                  	                 	                 	                   	                       	                 	                  	                    	2                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	1                    	1                     	                         	                   	                      	                 	                       	5                      	                      	2              	                    	                          	                   	2                   	                      	                            	2                      	                     	2                   	1                 	16                      	5                    	1                    	                         	                                      	1                     	                       	                      	Total count = 300 specimens including 1  miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12a             	              	165	 998	A	  7	H	 2	  18.00	     57.9800	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	62                       	                        	                  	               	                     	                           	+                    	                        	                     	                       	                          	                      	                         	                    	7                     	                     	13                   	                     	                  	                                	                          	85                     	                         	7                  	3                     	                 	6                 	22                     	                       	                           	1                	                       	+                	                 	                  	                      	                           	                      	6                  	                  	                       	                 	                           	                           	                          	2                      	8                    	                  	41                      	4                  	                 	                 	                   	                       	                 	                  	                    	+                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	+                    	                      	1                        	                   	                      	                 	                       	3                      	                      	               	                    	                          	                   	+                   	1                     	                            	1                      	                     	2                   	+                 	16                      	1                    	2                    	1                        	                                      	2                     	                       	                      	Total count = 300 specimens including 3 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12a             	              	165	 998	A	  7	H	 3	  20.00	     59.5000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	90                       	                        	                  	1              	                     	                           	1                    	                        	                     	                       	                          	                      	                         	                    	6                     	                     	7                    	                     	                  	                                	                          	104                    	                         	5                  	4                     	                 	7                 	6                      	                       	                           	+                	                       	+                	                 	                  	                      	1                          	                      	2                  	+                 	                       	                 	                           	                           	                          	6                      	8                    	                  	21                      	4                  	                 	                 	                   	                       	                 	                  	                    	+                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	1                    	                      	2                        	                   	                      	                 	                       	1                      	                      	               	+                   	                          	                   	+                   	                      	                            	+                      	                     	4                   	+                 	9                       	3                    	2                    	                         	                                      	2                     	                       	                      	Total count = 300 specimens including 3 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12a             	              	165	 998	A	  7	H	 4	  20.00	     61.0000	Kameo    	Nannofossils                                 	               	M-G               	                            	                       	                       	                    	                          	63                       	                        	1                 	               	                     	                           	+                    	                        	                     	                       	                          	                      	                         	                    	4                     	                     	9                    	                     	                  	                                	                          	118                    	                         	10                 	2                     	                 	8                 	9                      	                       	                           	+                	                       	+                	                 	                  	                      	+                          	                      	3                  	                  	                       	                 	                           	                           	                          	2                      	7                    	                  	27                      	5                  	                 	                 	                   	                       	                 	                  	                    	+                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	+                    	                      	4                        	                   	                      	                 	                       	+                      	+                     	               	                    	                          	                   	1                   	1                     	                            	+                      	                     	1                   	+                 	17                      	1                    	3                    	2                        	                                      	+                     	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B

  SR	                 	                 	CN12a             	              	165	 998	A	  7	H	 5	  20.00	     62.5000	Kameo    	Nannofossils                                 	               	G                 	                            	                       	                       	                    	                          	95                       	                        	                  	               	                     	                           	1                    	                        	                     	                       	                          	                      	                         	                    	4                     	                     	20                   	                     	                  	                                	                          	78                     	                         	4                  	3                     	                 	3                 	8                      	+                      	                           	1                	                       	2                	                 	                  	                      	4                          	                      	6                  	                  	                       	                 	                           	                           	                          	5                      	3                    	                  	24                      	6                  	                 	                 	                   	                       	                 	                  	                    	2                  	                 	                     	                  	                     	                   	                     	                    	                   	                     	1                    	                      	3                        	                   	                      	                 	                       	1                      	1                     	1              	2                   	                          	                   	+                   	                      	                            	1                      	                     	2                   	+                 	12                      	+                    	2                    	1                        	                                      	2                     	                       	                      	Total count = 300 specimens including 2 miscellaneous specimens. From 165SR. Chapter 1. Appendix B
