Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Cyrtocapsella japonica	Stylatractus sp.	Stichocorys wolffii	Carpocanistrum (unspecified taxon or taxa)	Stichocorys delmontensis	Didymocyrtis laticonus	Lithelius nautiloides	Cornutella profunda	Stylochlamidium asteriscus	Eucyrtidium hexagonatum	Stichocorys peregrina	Druppatractus acquilonius	Dictyocoryne profunda	Spongaster tetras	Spongaster pentas	Lamprocyclas maritalis maritalis	Hymeniastrum euclidis	Heliodiscus asteriscus	Eucyrtidium acuminatum	Didymocyrtis tetrathalamus	Amphirhopalum ypsilon	Tetrapyle octacantha	Pterocanium praetextum	Phormostichoartus doliolum	Dictyophimus hirundo group.	Carpocanopsis (unspecified taxon or taxa)	Botryostrobus auritus/australis	Anthocyrtidium zanguebaricum	Didymocyrtis avita	Spongocore puella	Pterocanium prismatium	Comment
  SR	Late Pliocene    	                 	S. pentas         	              	126	 792	E	  4	R	 1	  44.00	    164.9400	Aitchison	Radiolarians                                 	F              	G                 	                      	R               	                   	R                                         	                        	                      	                     	                   	R                         	                       	R                    	                         	                     	R                	F                	R                               	R                    	R                     	R                     	R                         	F                    	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Late Pliocene    	                 	S. pentas         	              	126	 792	E	  5	R	 1	  19.00	    174.2900	Aitchison	Radiolarians                                 	F              	G                 	                      	                	                   	                                          	                        	                      	                     	                   	                          	                       	R                    	R                        	R                    	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Late Miocene     	                 	D. penultima (RN8)	              	126	 792	E	  9	R	 1	  21.00	    212.8100	Aitchison	Radiolarians                                 	R              	P                 	                      	                	                   	                                          	F                       	                      	                     	                   	                          	R                      	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Late Miocene     	                 	D. penultima (RN8)	              	126	 792	E	 10	R	 2	  92.00	    224.6200	Aitchison	Radiolarians                                 	R              	P                 	                      	                	                   	                                          	                        	                      	R                    	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Late Miocene     	                 	D. penultima (RN8)	              	126	 792	E	 11	R	CC	  12.00	    234.5100	Aitchison	Radiolarians                                 	R              	P                 	                      	R               	                   	                                          	                        	                      	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Late Miocene     	                 	D. penultima (RN8)	              	126	 792	E	 13	R	 1	  58.00	    251.7800	Aitchison	Radiolarians                                 	R              	P                 	                      	R               	                   	                                          	R                       	                      	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	                 	                 	                  	              	126	 792	E	 14	R	CC	  21.00	    261.1100	Aitchison	Radiolarians                                 	R              	P                 	                      	R               	                   	R                                         	                        	                      	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	126	 792	E	 15	R	 1	   0.00	    270.5000	Aitchison	Radiolarians                                 	R              	P                 	                      	                	                   	R                                         	                        	                      	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	126	 792	E	 15	R	CC	  10.00	    273.9400	Aitchison	Radiolarians                                 	F              	M                 	                      	R               	                   	R                                         	                        	R                     	R                    	                   	R                         	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	126	 792	E	 16	R	CC	  10.00	    282.8200	Aitchison	Radiolarians                                 	C              	M                 	                      	                	                   	                                          	F                       	R                     	                     	R                  	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	126	 792	E	 17	R	CC	  14.00	    295.1800	Aitchison	Radiolarians                                 	C              	M                 	F                     	                	                   	R                                         	F                       	F                     	R                    	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	126	 792	E	 18	R	CC	  11.00	    305.4000	Aitchison	Radiolarians                                 	C              	G                 	R                     	                	R                  	R                                         	F                       	F                     	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	126	 792	E	 19	R	CC	   7.00	    312.8800	Aitchison	Radiolarians                                 	C              	M                 	R                     	                	                   	                                          	R                       	R                     	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	126	 792	E	 20	R	CC	   7.00	    322.4500	Aitchison	Radiolarians                                 	C              	M                 	R                     	                	                   	                                          	R                       	R                     	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Middle Miocene   	                 	D. petterssoni (RN6)	              	126	 792	E	 21	R	CC	   9.00	    330.4800	Aitchison	Radiolarians                                 	F              	P                 	R                     	                	                   	                                          	                        	R                     	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	                 	                 	                  	              	126	 792	E	 22	R	CC	   8.00	    342.5800	Aitchison	Radiolarians                                 	F              	P                 	                      	                	                   	                                          	R                       	R                     	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Middle Miocene   	                 	D. alata (RN5)    	              	126	 792	E	 23	R	CC	  11.00	    349.6400	Aitchison	Radiolarians                                 	F              	P                 	R                     	R               	R                  	R                                         	                        	                      	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

  SR	Early Miocene    	                 	                  	              	126	 792	E	 28	R	 2	  20.00	    397.7000	Aitchison	Radiolarians                                 	F              	P                 	R                     	                	                   	                                          	                        	                      	                     	                   	                          	                       	                     	                         	                     	                 	                 	                                	                     	                      	                      	                          	                     	                    	                      	                          	                           	                                         	                               	                            	                  	                 	                      	from ODP Leg 126 Table 11 p 329

