Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina sp. (juv.),Neogloboquadrina dutertrei,Neogloboquadrina cf. dutertrei sin.,Neogloboquadrina pachyderma (dextral),Globigerinita glutinata,Neogloboquadrina praehumerosa,Globigerina quinqueloba,Globigerina bulloides,Globoconella scitula,Globigerinella obesa,Comment
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 4, 116.00,      6.9600,Spiegler ,Planktonic Foraminifers                      ,A              ,M                 ,A                                      ,A                          ,R                         ,                                   ,VR                                   ,                       ,R                            ,R                      ,                     ,VR                  ,VR                  ,Cretaceous ice-rafted fossils; from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 5,  54.00,      7.8400,Spiegler ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,A                          ,                          ,R                                  ,R                                    ,                       ,VR                           ,R                      ,R                    ,VR                  ,                    ,Cretaceous ice-rafted fossils; from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,A,  1,H, 5,  94.00,      8.2400,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,                           ,                          ,                                   ,R                                    ,                       ,                             ,R                      ,R                    ,                    ,                    ,from ODP 104 IR Ch 4 Table 12 p 124-125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 5, 116.00,      8.4600,Spiegler ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,C                          ,R                         ,C                                  ,VR                                   ,VR                     ,R                            ,                       ,                     ,                    ,                    ,from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 6,  54.00,      9.3400,Spiegler ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,R                          ,R                         ,C                                  ,VR                                   ,VR                     ,                             ,                       ,                     ,                    ,                    ,from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 6, 116.00,      9.9600,Spiegler ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,R                          ,R                         ,R                                  ,                                     ,                       ,                             ,                       ,                     ,                    ,                    ,Cretaceous ice-rafted fossils; from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,104, 642,A,  1,H, 7,  54.00,     10.8400,Spiegler ,Planktonic Foraminifers                      ,A              ,G                 ,A                                      ,                           ,                          ,                                   ,                                     ,                       ,                             ,                       ,                     ,                    ,                    ,from ODP 104 SR Chapter 34 Table 2 p 684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NSPF6             ,              ,104, 642,A,  1,H,CC,  16.00,     11.1100,Jansen   ,Planktonic Foraminifers                      ,               ,                  ,A                                      ,                           ,                          ,                                   ,                                     ,                       ,                             ,                       ,                     ,                    ,                    ,from ODP 104 IR Ch 4 Table 12 p 124-125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
