Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylatractus universus	Pterocanium korotnevi	Pseudocubus warreni	Lamprocyrtis heteroporos	Lamprocyrtis daniellae	Eucyrtidium acuminatum	Dictyophimus crisiae	Clathrocyclas bicornis	Botryostrobus praetumidulus	Actinomma popofskii	Lychnocanoma nipponica sakaii	Gondwanaria dogieli	Rhizosphaera antarctica	Cycladophora davisiana davisiana	Sphaeropyle langii	Phormostichoartus multiseriatus	Phormostichoartus crustula	Lipmanella virchowii	Stylodictya validispina	Spongotrochus glacialis	Pterocanium auritum	Lamprocyclas junonis	Eucyrtidium calvertense	Eucyrtidium teuscheri group	Ceratospyris hyperborea	Stylacontarium acquilonium	Lamprocyrtis neoheteroporos	Lamprocyclas hannai	Botryostrobus tumidulus	Eucyrtidium matuyamai	Botryostrobus aquilonaris	Cycladophora bicincta	Pterocorys clausus	Cycladophora craspedota	Amphimelissa setosa	Actinomma delicatulum	Siphostichartus scalaris	Lamprocyrtis nigriniae	Acrosphaera murrayana	Comment
  IR	                 	                 	S. universus      	              	167	1020	B	  5	H	CC	  30.00	     46.4000	Caulet   	Radiolarians                                 	A              	G                 	F                     	C                    	                   	                        	                      	                      	R                   	                      	                           	F                  	C                            	                   	R                      	A                               	C                 	                               	                          	                    	                       	                       	                   	                    	R                      	                           	A                      	C                         	                           	                   	                       	                     	F                        	A                    	A                 	                       	                   	R                    	R                       	A                     	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. universus      	              	167	1020	B	  6	H	CC	  33.00	     55.9300	Caulet   	Radiolarians                                 	A              	G                 	F                     	C                    	                   	                        	                      	                      	R                   	                      	                           	F                  	R                            	                   	R                      	A                               	C                 	                               	                          	                    	                       	                       	                   	                    	R                      	                           	A                      	R                         	                           	                   	                       	                     	F                        	A                    	A                 	                       	                   	R                    	R                       	A                     	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. universus      	              	167	1020	B	  7	H	CC	  36.00	     65.4300	Caulet   	Radiolarians                                 	R              	M                 	                      	                     	                   	                        	                      	                      	+                   	                      	                           	+                  	+                            	                   	                       	+                               	+                 	                               	                          	                    	                       	+                      	+                  	                    	                       	+                          	                       	+                         	                           	                   	+                      	                     	+                        	+                    	                  	+                      	+                  	                     	+                       	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. universus      	              	167	1020	B	  8	H	CC	  33.00	     74.8700	Caulet   	Radiolarians                                 	A              	G                 	C                     	F                    	                   	                        	                      	                      	R                   	                      	                           	R                  	R                            	T                  	R                      	A                               	                  	                               	                          	                    	                       	R                      	                   	                    	                       	R                          	A                      	R                         	                           	                   	R                      	                     	C                        	A                    	C                 	R                      	                   	R                    	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. universus      	              	167	1020	B	  9	H	CC	  30.00	     84.3600	Caulet   	Radiolarians                                 	F              	G                 	F                     	R                    	                   	                        	                      	                      	R                   	                      	                           	R                  	R                            	R                  	                       	A                               	R                 	                               	                          	                    	                       	R                      	                   	                    	                       	                           	F                      	                          	                           	                   	T                      	                     	R                        	                     	F                 	R                      	                   	R                    	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. universus      	              	167	1020	B	 10	H	CC	  23.00	     93.7100	Caulet   	Radiolarians                                 	F              	M                 	+                     	                     	                   	                        	                      	                      	                    	+                     	                           	                   	                             	                   	                       	+                               	+                 	                               	                          	                    	+                      	+                      	                   	                    	                       	                           	+                      	+                         	                           	                   	                       	                     	+                        	                     	+                 	+                      	+                  	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	                  	              	167	1020	B	 11	H	CC	  31.00	    103.3900	Caulet   	Radiolarians                                 	R              	P                 	+                     	                     	                   	                        	                      	                      	                    	+                     	                           	                   	                             	                   	                       	+                               	                  	                               	                          	                    	                       	                       	                   	                    	                       	                           	+                      	                          	                           	                   	                       	                     	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	                  	              	167	1020	B	 12	H	CC	  34.00	    112.7500	Caulet   	Radiolarians                                 	R              	P                 	+                     	                     	                   	                        	                      	                      	                    	+                     	                           	                   	                             	                   	                       	+                               	                  	                               	                          	                    	                       	                       	                   	                    	                       	                           	+                      	                          	                           	                   	                       	                     	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	E. matuyamai (N Pac)	              	167	1020	B	 15	H	CC	  25.00	    141.2300	Caulet   	Radiolarians                                 	A              	G                 	C                     	                     	                   	R                       	                      	                      	                    	A                     	                           	A                  	                             	                   	                       	A                               	C                 	R                              	                          	                    	R                      	R                      	                   	                    	                       	R                          	C                      	                          	F                          	                   	A                      	R                    	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	E. matuyamai (N Pac)	              	167	1020	B	 16	H	CC	  37.00	    150.8300	Caulet   	Radiolarians                                 	C              	G                 	                      	                     	                   	                        	                      	                      	R                   	C                     	                           	R                  	                             	                   	                       	A                               	                  	R                              	                          	                    	                       	                       	                   	                    	                       	                           	C                      	                          	                           	                   	                       	                     	                         	R                    	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	E. matuyamai (N Pac)	              	167	1020	B	 17	H	CC	  54.00	    160.4600	Caulet   	Radiolarians                                 	A              	G                 	F                     	                     	R                  	A                       	                      	                      	R                   	A                     	R                          	                   	R                            	                   	R                      	A                               	                  	                               	                          	                    	F                      	                       	                   	                    	R                      	R                          	                       	                          	C                          	                   	                       	C                    	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	E. matuyamai (N Pac)	              	167	1020	B	 18	H	CC	  60.00	    169.9400	Caulet   	Radiolarians                                 	A              	G                 	                      	                     	C                  	A                       	                      	                      	                    	F                     	                           	                   	                             	                   	R                      	A                               	R                 	                               	                          	                    	R                      	                       	                   	                    	                       	R                          	                       	                          	C                          	                   	                       	R                    	A                        	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1020	B	 19	X	CC	  33.00	    178.8900	Caulet   	Radiolarians                                 	A              	G                 	                      	                     	C                  	A                       	                      	                      	R                   	A                     	A                          	                   	R                            	                   	R                      	C                               	R                 	C                              	R                         	T                   	F                      	                       	R                  	                    	                       	R                          	C                      	R                         	R                          	T                  	F                      	                     	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1020	B	 20	X	CC	  35.00	    180.2300	Caulet   	Radiolarians                                 	A              	G                 	R                     	                     	A                  	A                       	                      	                      	R                   	F                     	                           	                   	                             	                   	                       	A                               	R                 	                               	                          	T                   	R                      	                       	                   	                    	                       	R                          	C                      	                          	                           	                   	                       	                     	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1020	B	 21	X	CC	  15.00	    198.2100	Caulet   	Radiolarians                                 	C              	G                 	R                     	                     	C                  	A                       	                      	T                     	                    	C                     	                           	                   	                             	                   	R                      	C                               	R                 	C                              	                          	                    	R                      	R                      	T                  	T                   	R                      	                           	                       	                          	                           	                   	                       	                     	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1020	B	 22	X	CC	  29.00	    207.8900	Caulet   	Radiolarians                                 	C              	G                 	                      	                     	C                  	C                       	                      	                      	                    	C                     	                           	                   	                             	                   	C                      	                                	R                 	C                              	R                         	T                   	                       	                       	                   	                    	                       	                           	                       	                          	                           	                   	                       	                     	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1020	B	 23	X	CC	  21.00	    217.4300	Caulet   	Radiolarians                                 	C              	G                 	                      	                     	                   	A                       	                      	                      	                    	C                     	                           	                   	R                            	                   	R                      	T                               	                  	                               	                          	                    	                       	                       	                   	                    	                       	                           	                       	                          	                           	                   	                       	                     	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1020	B	 25	X	CC	  15.00	    236.5100	Caulet   	Radiolarians                                 	C              	G                 	C                     	                     	C                  	A                       	                      	                      	R                   	C                     	                           	                   	R                            	T                  	                       	                                	                  	                               	                          	                    	                       	                       	                   	                    	                       	                           	                       	                          	                           	                   	                       	                     	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

  IR	                 	                 	S. langii (N Pac) 	              	167	1020	B	 26	X	CC	  16.00	    246.2400	Caulet   	Radiolarians                                 	C              	G                 	F                     	R                    	R                  	C                       	R                     	T                     	R                   	C                     	C                          	R                  	                             	                   	                       	                                	                  	                               	                          	                    	                       	                       	                   	                    	                       	                           	                       	                          	                           	                   	                       	                     	                         	                     	                  	                       	                   	                     	                        	                      	                     	from IR. Ch 14. Table 7.

