Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiosira convexa	Rhizosolenia barboi	Denticulopsis lauta s.l.	Coscinodiscus marginatus	Thalassiothrix longissima	Stephanopyxis turris	Neodenticula seminae	Neodenticula koizumii	Neodenticula kamtschatica	Actinocyclus oculatus	Thalassiothrix spp.	Actinocyclus curvatulus	Thalassionema nitzschioides	Hemidiscus cuneiformis	Thalassiosira oestrupii	Thalassiosira antiqua	Nitzschia reinholdii	Neodenticula seminae (sensu Akiba)	Pseudoeunotia doliolus	Coscinodiscus radiatus	Simonseniella (R.) cf. S. curvirostris	Neodenticula cf. N. koizumii	Nitzschia marina	Simonseniella curvirostris	Actinocyclus cf. oculatus	Diatom fragments	Grammatophora sp.	Diatom fragments (girdle bands)	Biddulphia aurita	Thalassiosira spp. (native type)	Aulacosira granulata	Actinoptychus senarius	Thalassiosira eccentrica	Cocconeis costata	Thalassiosira sp.	Gomphonema sp.	Rhaphoneis sp.	Stephanopyxis sp.	Synedra sp.	Paralia sulcata	Cocconeis sp.	Comment
  IR	Quaternary       	                 	NPD 11            	              	167	1020	B	 12	H	CC	  34.00	    112.7500	Maruyama 	Diatoms                                      	C              	P/M               	                     	R                  	                        	                        	R                        	C                   	R                   	                     	                         	                     	                   	                       	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	R                         	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Quaternary       	                 	NPD 11            	              	167	1020	B	 13	H	CC	  23.00	    122.3300	Maruyama 	Diatoms                                      	T              	P                 	                     	                   	                        	                        	                         	                    	T                   	                     	                         	                     	                   	                       	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	                          	                         	R               	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Quaternary       	                 	NPD 11            	              	167	1020	B	 14	H	CC	  28.00	    131.6900	Maruyama 	Diatoms                                      	R              	P                 	                     	                   	                        	                        	                         	R                   	F                   	                     	                         	                     	                   	                       	                           	                      	                       	                     	                    	                                  	                      	                      	                                      	                            	                	R                         	R                        	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Quaternary       	                 	NPD 11            	              	167	1020	B	 15	H	CC	  25.00	    141.2300	Maruyama 	Diatoms                                      	A              	P/M               	                     	                   	                        	                        	F                        	C                   	F                   	                     	                         	                     	A                  	F                      	                           	                      	                       	                     	R                   	                                  	                      	F                     	+                                     	                            	                	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

  IR	Pliocene         	                 	NPD 10            	              	167	1020	B	 16	H	CC	  37.00	    150.8300	Maruyama 	Diatoms                                      	A              	M                 	                     	R                  	                        	                        	R                        	C                   	F                   	                     	                         	R                    	A                  	R                      	                           	F                     	                       	                     	                    	F                                 	                      	                      	                                      	                            	R               	                          	                         	                	                 	                               	                 	                                	                    	                      	                        	                 	                 	              	              	                 	           	               	             	from IR. Ch 14. Table 5.

