Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Globorotalia peripheroronda,Globorotalia miotumida,Globorotalia mayeri,Globorotalia conica,Globigerinita glutinata,Globigerina quinqueloba,Globigerina praebulloides,Globigerina decoraperta,Globigerina bulloides,Globigerina apertura,Orbulina universa,Zeaglobigerina woodi,Globorotalia panda,Globigerinoides sacculifer,Neogloboquadrina continuosa,Globoquadrina dehiscens,Globorotalia scitula,Globorotalia crassaformis,Neogloboquadrina humerosa,Globorotalia menardii,Globorotalia inflata,Neogloboquadrina pachyderma (sinistral),Globorotalia truncatulinoides,Globigerinoides ruber,Globigerinella aequilateralis,Comment
  IR,                 ,Miocene          ,                  ,              ,177,1088,C,  5,H,CC,  12.00,    162.1300,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,A                     ,D                  ,                   ,                       ,                       ,A                        ,                       ,A                    ,                    ,                 ,                    ,A                 ,                          ,                           ,                       ,                    ,                         ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,not finished
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,177,1088,C,  6,X,CC,  11.00,    165.9400,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,F                     ,D                  ,                   ,                       ,                       ,                         ,A                      ,A                    ,                    ,F                ,                    ,                  ,                          ,                           ,                       ,A                   ,A                        ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,not finished
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,177,1088,C,  7,X,CC,  16.00,    171.8300,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,A                     ,A                  ,                   ,F                      ,                       ,                         ,                       ,F                    ,                    ,                 ,                    ,F                 ,                          ,R                          ,R                      ,                    ,                         ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,177,1088,C,  8,X,CC,  20.00,    185.2200,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,A                     ,D                  ,                   ,A                      ,                       ,F                        ,                       ,A                    ,                    ,                 ,                    ,A                 ,R                         ,                           ,                       ,                    ,                         ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,177,1088,C,  9,X,CC,  15.00,    194.0600,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,A                     ,D                  ,                   ,A                      ,                       ,                         ,                       ,D                    ,                    ,                 ,                    ,A                 ,                          ,                           ,                       ,                    ,                         ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,177,1088,C, 10,X,CC,  18.00,    202.4800,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                      ,D                  ,                   ,A                      ,                       ,F                        ,                       ,A                    ,                    ,F                ,                    ,A                 ,                          ,                           ,                       ,                    ,                         ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,177,1088,C, 11,X,CC,  72.00,    209.3700,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,A                     ,F                  ,                   ,A                      ,                       ,                         ,                       ,D                    ,                    ,                 ,F                   ,A                 ,                          ,                           ,                       ,                    ,                         ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,177,1088,C, 12,X,CC,  89.00,    215.3700,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,                           ,                      ,A                  ,A                  ,                       ,                       ,F                        ,                       ,A                    ,                    ,F                ,                    ,                  ,                          ,                           ,                       ,                    ,                         ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Miocene          ,                  ,              ,177,1088,C, 13,X,CC,  17.00,    233.2700,Andersson,Planktonic Foraminifers                      ,A              ,M                 ,R                          ,D                     ,A                  ,A                  ,R                      ,F                      ,F                        ,F                      ,A                    ,F                   ,                 ,                    ,                  ,                          ,                           ,                       ,                    ,                         ,                         ,                     ,                    ,                                       ,                             ,                     ,                             ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
