Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sin.),Globigerina bulloides,Turborotalita quinqueloba,Globorotalia scitula,Globigerinita glutinata,Globorotalia theyeri,Neogloboquadrina pachyderma (dex.),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),Globigerinita uvula,Globigerinita minuta,Comment
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 858,A,  6,H,CC,  16.00,     45.0600,Brunner  ,Planktonic Foraminifers                      ,C              ,P                 ,+                                 ,+                    ,                         ,                    ,                       ,                    ,                                  ,                                       ,                                     ,                   ,                    ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 858,A,  7,H,CC,   6.00,     58.9600,Brunner  ,Planktonic Foraminifers                      ,F              ,P                 ,+                                 ,+                    ,                         ,                    ,                       ,                    ,                                  ,                                       ,                                     ,                   ,                    ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 858,A,  8,H, 3,  73.00,     62.5600,Brunner  ,Planktonic Foraminifers                      ,A              ,M                 ,+                                 ,+                    ,+                        ,+                   ,+                      ,                    ,                                  ,                                       ,                                     ,                   ,                    ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,CD2               ,              ,139, 858,A,  9,X,CC,  13.00,     72.0600,Brunner  ,Planktonic Foraminifers                      ,A              ,P                 ,A                                 ,A                    ,                         ,                    ,                       ,                    ,                                  ,                                       ,                                     ,                   ,                    ,zone assignment uncertain; from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A, 12,X,CC,  46.00,     82.2600,Brunner  ,Planktonic Foraminifers                      ,R              ,P                 ,+                                 ,                     ,                         ,                    ,                       ,                    ,                                  ,                                       ,                                     ,                   ,                    ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 858,A, 14,X,CC,  30.00,    101.3000,Brunner  ,Planktonic Foraminifers                      ,R              ,P                 ,+                                 ,                     ,                         ,                    ,                       ,                    ,                                  ,                                       ,                                     ,                   ,                    ,from ODP Leg 139 IR; Chapter 8; Tables 6 & 8; p 460-463 + 466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
