Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Pulleniatina obliquiloculata,Orbulina universa,Neogloboquadrina dutertrei,Hastigerina digitata,Globorotalia tumida flexuosa,Globorotalia tumida,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia menardii,Globorotalia inflata,Globorotalia hexagonus,Globorotalia fimbriata,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globigerinoides trilobus trilobus,Globigerinoides trilobus sacculifer,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerina calida calida,Globigerina bulloides,Bolliella adamsi,Comment
  IR,                 ,                 ,                  ,              ,155, 934,A,  4,H,CC,  37.00,     33.5400,Showers  ,Planktonic Foraminifers                      ,F              ,M                 ,C                           ,-                ,C                         ,-                   ,-                           ,-                  ,F                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,F                                ,F                                  ,C                            ,R                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 934,A,  5,H,CC,  24.00,     42.9200,Showers  ,Planktonic Foraminifers                      ,               ,M                 ,C                           ,-                ,C                         ,-                   ,-                           ,-                  ,C                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,F                                ,-                                  ,F                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 934,A,  6,H,CC,  24.00,     51.9300,Showers  ,Planktonic Foraminifers                      ,               ,P                 ,R                           ,R                ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 934,A,  7,H,CC,  38.00,            ,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 934,A,  8,H, 8,  32.00,     70.8800,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 934,A,  9,H,CC,   0.00,     76.2500,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 934,A, 10,H,CC,   0.00,     90.1600,Showers  ,Planktonic Foraminifers                      ,B              ,                  ,-                           ,-                ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,-                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,155, 934,A, 11,H,CC,  30.00,     99.9800,Showers  ,Planktonic Foraminifers                      ,               ,M                 ,-                           ,-                ,-                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,R                                ,-                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Pleistocene      ,                 ,R                 ,              ,155, 934,A, 12,H,CC,   0.00,    108.8800,Showers  ,Planktonic Foraminifers                      ,R              ,P                 ,-                           ,-                ,R                         ,-                   ,-                           ,-                  ,-                            ,-                     ,-                    ,-                   ,-                     ,-                     ,-                              ,-                              ,R                                ,R                                  ,-                            ,-                           ,-                        ,-                    ,-               ,from Leg 155IR p. 257 Table 4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
