Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Rosita patelliformis	Hedbergella infracretacea	Globotruncana arca	Hedbergella trocoidea	Hedbergella gorbachikae	Globigerinelloides ferreolensis	Radotruncana calcarata	Pseudotextularia nuttalli	Globotruncanita stuartiformis	Globotruncana linneiana	Contusotruncana patelliformis	Heterohelix globulosa	Globigerinelloides prairiehillensis	Contusotruncana fornicata	Globotruncanita stuarti	Globotruncanella havanensis	Globotruncana falsostuarti	Globotruncana dupeublei	Racemiguembelina fructicosa	Globotruncana aegyptiaca	Globigerinelloides subcarinatus	Contusotruncana contusa	Abathomphalus mayaroensis	Rugoglobigerina hexacamerata	Pseudotextularia elegans	Planoglobulina multicamerata	Hedbergella monmouthensis	Parvularugoglobigerina eugubina	Parvularugoglobigerina alabamensis	Subbotina trivialis	Subbotina triloculinoides	Praemurica taurica	Praemurica inconstans	Parasubbotina varianta	Parasubbotina pseudobulloides	Morozovella lensiformis	Globanomalina compressa	Eoglobigerina eobulloides	Eoglobigerina edita	Chiloguembelina midwayensis	Acarinina bullbrooki	Subbotina triangularis	Rectoguembelina cretacea	Morozovella aragonensis	Globigerinatheka mexicana	Subbotina inaequispira	Morozovella caucasica	Globigerintheca subcoinglobata	Truncorotaloides rohri	Guembelitrioides higginsi	Morozovella spinulosa	Morozovella lehneri	Hantkenina dumblei	Pseudohastigerina micra	Globigerinatheka index	Acarinina primitiva	Comment

  IR	                 	Early Eocene     	                  	P9            	171	1049	C	  5	H	CC	  20.00	     49.9100	Bellier  	Planktonic Foraminifers                      	               	G                 	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	F                   	                      	                        	R                      	                         	F                     	F                    	R                             	                      	                         	                     	                   	                  	                       	                      	                   	       

  IR	                 	                 	                  	P1c           	171	1049	C	  6	X	CC	   7.00	     95.3100	Huber    	Planktonic Foraminifers                      	A              	G                 	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	R                        	                  	A                    	                      	                             	c                      	R                      	                         	                   	                           	c                   	F                     	R                       	c                      	c                        	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	Downhole contamination

  IR	                 	Early Paleocene  	                  	              	171	1049	C	  7	X	CC	   7.00	     98.0100	Huber    	Planktonic Foraminifers                      	A              	G                 	                    	                         	r                 	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	F                  	F                        	F                 	A                    	F                     	F                            	c                      	R                      	F                        	R                  	A                          	c                   	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	       

  IR	                 	Paleocene        	                  	Pa            	171	1049	C	  8	X	 5	  69.00	    112.7900	Huber    	Planktonic Foraminifers                      	A              	VG                	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	A                              	F                                 	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	                    	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	>38 micron sieve used

  IR	                 	Paleocene        	                  	Pa            	171	1049	C	  8	X	 5	  78.00	    112.8800	Huber    	Planktonic Foraminifers                      	A              	VG                	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	A                              	F                                 	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	                    	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	>38 micron sieve used

  IR	                 	Paleocene        	                  	P0            	171	1049	C	  8	X	 5	  87.00	    112.9700	Huber    	Planktonic Foraminifers                      	A              	VG                	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	F                        	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	                    	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	>38 micron sieve used

  IR	                 	Maestrichtian    	                  	A. mayaroensis	171	1049	C	  8	X	CC	  22.00	    115.5900	Huber    	Planktonic Foraminifers                      	A              	G                 	                    	                         	                  	                     	                       	                               	                      	F                        	                             	                       	                             	                     	                                   	                         	A                      	                           	                          	R                      	A                          	R                       	                               	F                      	P                        	F                           	R                       	F                           	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	                    	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	       

  IR	                 	Maestrichtian    	                  	R. fructicosa 	171	1049	C	  9	X	CC	  11.00	    121.0200	Huber    	Planktonic Foraminifers                      	A              	G                 	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	                             	A                    	                                   	                         	                       	                           	                          	                       	F                          	F                       	F                              	F                      	-                        	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	                    	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	No inoceramid prismsNo A. mayaroensis Below G. minuta interval

  IR	Campanian        	Maestrichtian    	G. falsostuarti   	G. gansseri   	171	1049	C	 10	H	CC	   9.00	    129.9300	Huber    	Planktonic Foraminifers                      	A              	G                 	                    	                         	                  	                     	                       	                               	                      	                         	                             	                       	F                            	                     	                                   	                         	F                      	R                          	F                         	R                      	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	                    	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	Inoceramid prisms common

  IR	Campanian        	Maestrichtian    	G. falsostuarti   	G. gansseri   	171	1049	C	 11	X	 2	  77.00	    131.9700	Bellier  	Planktonic Foraminifers                      	A              	M                 	                    	                         	                  	                     	                       	                               	                      	                         	                             	F                      	F                            	F                    	R                                  	F                        	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	                    	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	       

  IR	                 	Campanian        	                  	R. calcarata  	171	1049	C	 11	X	 2	 113.00	    132.3300	Huber    	Planktonic Foraminifers                      	A              	G                 	                    	                         	F                 	                     	                       	                               	R                     	F                        	A                            	F                      	F                            	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	                    	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	       

  IR	                 	Aptian           	                  	H. gorbachikae	171	1049	C	 12	X	CC	  18.00	    148.2800	Huber    	Planktonic Foraminifers                      	A              	VG                	                    	                         	                  	A                    	F                      	R                              	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	                    	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	       

  IR	                 	Aptian           	                  	              	171	1049	C	 13	X	CC	  48.00	    153.2800	Huber    	Planktonic Foraminifers                      	R              	M                 	c                   	F                        	c                 	                     	                       	                               	                      	                         	                             	                       	                             	                     	                                   	                         	                       	                           	                          	                       	                           	                        	                               	                       	                         	                            	                        	                            	                         	                               	                                  	                   	                         	                  	                     	                      	                             	                       	                       	                         	                   	                           	                    	                      	                        	                       	                         	                      	                     	                              	                      	                         	                     	                   	                  	                       	                      	                   	Benthic forams rare Dilution by white calcareous material

