Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Trinacria excavata	Thalassiothrix longissima	Thalassiosira torokina	Thalassiosira symbolophora	Thalassionema nitzschioides	Rouxia heteropolara	Rhizosolenia styliformis	Rhizosolenia barboi	Paralia sulcata	Nitzschia reinholdii	Nitzschia fossilis	Hemidiscus cuneiformis	Eucampia antarctica	Ethmodiscus sp.	Denticulopsis hustedtii	Denticulopsis dimorpha	Thalassiosira praeconvexa	Thalassiosira nativa	Rhizosolenia hebetata	Hemidiscus karstenii	Thalassiosira miocenica	Nitzschia cylindrus	Thalassiosira convexa	Rouxia californica	Stephanopyxis turris	Rocella vigilans	Rhizosolenia miocenica	Thalassiosira oestrupii	Thalassiosira inura	Stephanogonia hanzawae	Nitzschia praeinterfrigidaria	Pyxilla (all generic taxa)	Nitzschia barronii	Nitzschia interfrigidaria	Nitzschia weaveri	Thalassiosira kolbei	Stephanopyxis grunowii	Cosmiodiscus insignis	Coscinodiscus vulnificus	Actinocyclus ingens	Nitzschia kerguelenis	Coscinodiscus elliptopora	Diatoms (unspecified pennate taxa)	Diatoms (unspecified centric taxa)	Chaetoceros spp. (resting spores)	Comment

  SR	                 	                 	                  	              	119	 745	B	  4	H	 2	 130.00	     26.8000	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	1520                              	674                               	30                               	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 3	  38.00	     27.3800	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	8018                              	2222                              	1133                             	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 3	  65.00	     27.6500	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	10136                             	2548                              	510                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 3	 130.00	     28.3000	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	42504                             	8680                              	898                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 4	  38.00	     28.8800	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	43074                             	5631                              	0                                	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 4	  85.00	     29.3500	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	7436                              	3956                              	200                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 4	 130.00	     29.8000	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	14354                             	6749                              	214                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 5	  38.00	     30.3800	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	15785                             	5314                              	313                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 5	  85.00	     30.8500	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	17704                             	3310                              	0                                	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 5	 130.00	     31.3000	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	29397                             	6350                              	717                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 6	  38.00	     31.8800	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	30999                             	5925                              	317                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 6	  85.00	     32.3500	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	16714                             	1836                              	494                              	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 6	 130.00	     32.8000	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	1033                              	324                               	0                                	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	 7	  38.00	     33.3800	Stockwell	Diatoms                                      	               	                  	                  	                         	                      	                          	                           	                   	                        	                   	               	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	368                               	514                               	12                               	counts as specimens per gram x 10 000. from 119 SR Chapter 30 Appendix pages 605 - 606.

  SR	                 	                 	                  	              	119	 745	B	  4	H	CC	   9.00	     33.7400	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	                      	                          	R                          	                   	                        	                   	               	                    	                  	                      	R                  	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	R                      	                   	                      	                             	                          	R                 	                         	                 	                    	                      	                     	                        	R                  	F                    	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	  5	H	CC	   8.00	     43.2800	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	                      	                          	R                          	                   	R                       	                   	               	                    	                  	                      	R                  	               	R                      	R                     	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	R                      	                   	                      	                             	                          	R                 	                         	                 	                    	                      	                     	                        	R                  	F                    	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	  6	H	CC	  17.00	     52.2800	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	                      	R                         	R                          	                   	                        	                   	               	                    	                  	                      	R                  	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	                       	R                  	                      	                             	                          	R                 	                         	                 	                    	                      	                     	                        	R                  	R                    	R                        	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	  7	H	CC	   7.00	     62.2100	Baldauf  	Diatoms                                      	A              	M                 	                  	R                        	                      	                          	F                          	                   	R                       	                   	R              	                    	                  	                      	R                  	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	R                      	R                  	                      	                             	                          	R                 	                         	                 	                    	                      	                     	                        	F                  	R                    	R                        	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	  8	H	CC	  10.00	     71.8100	Baldauf  	Diatoms                                      	A              	M                 	                  	C                        	                      	                          	F                          	                   	R                       	                   	R              	                    	                  	                      	R                  	               	                       	                      	                         	                    	R                    	                    	                       	                   	                     	                  	                    	                	                      	R                      	R                  	                      	                             	                          	R                 	                         	                 	                    	                      	                     	                        	C                  	R                    	R                        	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	  9	H	CC	  28.00	     81.5100	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	                      	                          	F                          	                   	                        	                   	R              	                    	                  	                      	                   	R              	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	R                   	                	                      	R                      	R                  	                      	                             	                          	F                 	                         	                 	                    	                      	                     	                        	A                  	R                    	R                        	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 10	H	CC	  11.00	     90.8000	Baldauf  	Diatoms                                      	C              	M                 	                  	R                        	                      	                          	F                          	                   	R                       	R                  	R              	                    	                  	R                     	                   	               	R                      	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	F                      	                   	                      	                             	                          	C                 	                         	                 	                    	                      	rR                   	                        	C                  	R                    	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 11	H	 3	  60.00	     94.1000	Baldauf  	Diatoms                                      	C              	M                 	                  	R                        	                      	                          	C                          	                   	R                       	R                  	R              	                    	                  	                      	                   	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	R                      	R                  	                      	                             	                          	C                 	                         	R                	R                   	                      	                     	                        	C                  	R                    	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 11	H	 6	  60.00	     98.6000	Baldauf  	Diatoms                                      	C              	M                 	                  	R                        	                      	                          	F                          	                   	R                       	R                  	R              	                    	                  	                      	R                  	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	R                      	R                  	                      	                             	                          	F                 	R                        	R                	F                   	                      	                     	                        	F                  	R                    	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 12	H	 1	  60.00	    100.6000	Baldauf  	Diatoms                                      	R              	P                 	                  	R                        	R                     	                          	R                          	                   	R                       	R                  	R              	                    	                  	                      	                   	               	                       	                      	                         	                    	R                    	                    	                       	                   	                     	                  	                    	                	                      	                       	                   	                      	                             	                          	R                 	R                        	                 	R                   	                      	                     	                        	R                  	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 12	H	 2	  60.00	    102.1000	Baldauf  	Diatoms                                      	F              	P                 	                  	R                        	R                     	                          	R                          	R                  	R                       	R                  	F              	                    	                  	                      	F                  	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	R                   	                	                      	R                      	R                  	                      	                             	                          	F                 	R                        	R                	R                   	                      	R                    	                        	R                  	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 12	H	 4	  60.00	    105.1000	Baldauf  	Diatoms                                      	F              	M                 	                  	R                        	                      	R                         	R                          	                   	R                       	R                  	R              	                    	                  	                      	F                  	               	                       	                      	                         	                    	R                    	                    	                       	                   	                     	                  	R                   	                	                      	R                      	R                  	                      	                             	                          	F                 	F                        	R                	R                   	                      	                     	R                       	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 12	H	 6	  60.00	    108.1000	Baldauf  	Diatoms                                      	C              	M                 	                  	R                        	                      	                          	F                          	                   	R                       	R                  	R              	                    	                  	                      	R                  	               	R                      	                      	                         	                    	R                    	                    	                       	R                  	                     	R                 	R                   	                	                      	                       	                   	                      	                             	                          	R                 	                         	R                	R                   	                      	                     	R                       	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 13	H	 2	 141.00	    112.4100	Baldauf  	Diatoms                                      	C              	P                 	                  	R                        	                      	                          	C                          	                   	                        	                   	R              	                    	                  	                      	R                  	               	R                      	                      	                         	                    	                     	                    	                       	                   	                     	R                 	R                   	                	                      	                       	R                  	                      	                             	                          	F                 	                         	                 	R                   	                      	R                    	F                       	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 13	H	 4	  60.00	    114.6000	Baldauf  	Diatoms                                      	C              	M                 	                  	R                        	                      	R                         	C                          	                   	                        	                   	R              	                    	                  	                      	R                  	               	                       	                      	                         	                    	R                    	                    	                       	                   	                     	                  	R                   	                	                      	R                      	R                  	                      	                             	                          	R                 	R                        	F                	R                   	                      	R                    	R                       	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 13	H	 7	  60.00	    119.1000	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	                      	                          	F                          	                   	                        	                   	               	R                   	                  	                      	R                  	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	R                 	C                   	                	                      	R                      	F                  	                      	F                            	                          	R                 	R                        	F                	R                   	F                     	F                    	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 14	H	 1	  60.00	    119.6000	Baldauf  	Diatoms                                      	F              	M                 	                  	F                        	                      	R                         	F                          	                   	R                       	R                  	               	                    	                  	                      	R                  	               	                       	                      	                         	                    	R                    	                    	                       	                   	                     	                  	F                   	                	                      	R                      	F                  	                      	R                            	                          	R                 	R                        	R                	R                   	F                     	R                    	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 14	H	 2	  64.00	    121.1400	Baldauf  	Diatoms                                      	F              	P                 	                  	F                        	R                     	R                         	F                          	R                  	R                       	R                  	R              	                    	                  	                      	R                  	               	R                      	                      	                         	                    	                     	                    	                       	                   	                     	                  	R                   	                	                      	R                      	R                  	                      	R                            	                          	R                 	R                        	R                	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 14	H	 3	  64.00	    122.6400	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	R                     	R                         	F                          	                   	R                       	                   	R              	                    	                  	                      	R                  	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	R                   	                	                      	R                      	R                  	                      	                             	R                         	R                 	R                        	R                	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 14	H	 4	  64.00	    124.1400	Baldauf  	Diatoms                                      	F              	P                 	                  	R                        	                      	                          	F                          	R                  	R                       	R                  	R              	                    	                  	                      	R                  	               	R                      	                      	                         	                    	                     	                    	                       	                   	                     	                  	R                   	                	                      	R                      	F                  	                      	R                            	                          	R                 	R                        	R                	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 14	H	 5	  64.00	    125.6400	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	R                     	R                         	F                          	                   	R                       	                   	R              	                    	                  	                      	R                  	               	                       	                      	                         	                    	                     	                    	                       	                   	                     	                  	R                   	                	                      	R                      	R                  	                      	                             	R                         	R                 	R                        	R                	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 14	H	 6	  64.00	    127.1400	Baldauf  	Diatoms                                      	C              	M                 	                  	F                        	                      	R                         	F                          	                   	                        	R                  	R              	                    	                  	                      	R                  	               	R                      	                      	                         	                    	                     	                    	                       	                   	                     	                  	F                   	                	                      	R                      	F                  	                      	                             	                          	R                 	                         	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 14	H	 7	  64.00	    128.6400	Baldauf  	Diatoms                                      	F              	P                 	                  	R                        	                      	                          	R                          	                   	                        	                   	R              	                    	                  	                      	R                  	               	R                      	                      	                         	                    	                     	                    	                       	                   	                     	                  	                    	                	                      	R                      	R                  	                      	                             	                          	R                 	                         	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 15	H	 2	  60.00	    130.6000	Baldauf  	Diatoms                                      	F              	P                 	                  	F                        	                      	                          	R                          	                   	R                       	                   	               	R                   	                  	                      	R                  	               	R                      	                      	                         	                    	                     	R                   	                       	                   	                     	R                 	R                   	                	                      	R                      	R                  	                      	R                            	                          	F                 	R                        	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 15	H	 3	  60.00	    132.1000	Baldauf  	Diatoms                                      	C              	M                 	                  	R                        	R                     	R                         	R                          	                   	                        	R                  	R              	                    	                  	                      	                   	R              	R                      	                      	                         	                    	                     	R                   	                       	                   	                     	R                 	F                   	                	                      	R                      	F                  	                      	F                            	                          	F                 	R                        	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 15	H	 5	  60.00	    135.1000	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	                      	R                         	R                          	R                  	R                       	R                  	               	                    	                  	                      	                   	               	R                      	                      	                         	                    	R                    	                    	                       	                   	                     	                  	R                   	                	                      	R                      	R                  	                      	R                            	                          	F                 	R                        	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 15	H	 6	  60.00	    136.6000	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	                      	R                         	R                          	                   	                        	R                  	R              	R                   	                  	                      	R                  	               	R                      	                      	                         	                    	                     	                    	                       	                   	                     	F                 	R                   	                	                      	R                      	R                  	                      	F                            	                          	F                 	                         	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 16	H	CC	   0.00	    138.0000	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	                      	                          	F                          	F                  	R                       	R                  	               	R                   	                  	R                     	R                  	               	                       	                      	                         	                    	                     	                    	                       	R                  	                     	                  	R                   	                	                      	R                      	F                  	                      	F                            	                          	C                 	                         	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 17	H	 2	  60.00	    141.1000	Baldauf  	Diatoms                                      	A              	M                 	                  	A                        	                      	R                         	R                          	                   	                        	R                  	               	                    	R                 	                      	R                  	               	R                      	                      	                         	R                   	R                    	                    	                       	                   	                     	R                 	F                   	                	                      	R                      	F                  	                      	F                            	                          	R                 	                         	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 17	H	 3	  60.00	    142.6000	Baldauf  	Diatoms                                      	A              	M                 	                  	C                        	R                     	R                         	R                          	                   	R                       	F                  	R              	R                   	R                 	                      	R                  	R              	R                      	                      	                         	R                   	                     	                    	                       	R                  	                     	                  	F                   	                	R                     	R                      	R                  	R                     	R                            	                          	R                 	                         	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 17	H	 4	  60.00	    144.1000	Baldauf  	Diatoms                                      	A              	M                 	                  	A                        	R                     	                          	F                          	                   	R                       	R                  	               	R                   	R                 	                      	                   	               	R                      	                      	                         	R                   	                     	                    	                       	R                  	                     	R                 	F                   	                	                      	R                      	R                  	                      	R                            	                          	R                 	                         	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 17	H	 5	  60.00	    145.6000	Baldauf  	Diatoms                                      	A              	M                 	                  	F                        	R                     	                          	C                          	                   	R                       	R                  	F              	R                   	                  	                      	R                  	R              	R                      	                      	                         	                    	                     	R                   	                       	                   	                     	R                 	R                   	                	                      	R                      	F                  	                      	R                            	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 18	H	 2	  60.00	    150.6000	Baldauf  	Diatoms                                      	C              	M                 	                  	A                        	                      	                          	R                          	                   	R                       	                   	R              	R                   	R                 	                      	R                  	               	R                      	                      	                         	                    	                     	                    	                       	                   	                     	R                 	F                   	                	                      	R                      	F                  	                      	F                            	R                         	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

  SR	                 	                 	                  	              	119	 745	B	 18	H	 4	  60.00	    153.6000	Baldauf  	Diatoms                                      	A              	M                 	                  	C                        	R                     	                          	F                          	                   	R                       	                   	R              	R                   	                  	                      	                   	R              	R                      	                      	                         	                    	                     	                    	                       	                   	                     	R                 	R                   	                	                      	R                      	R                  	                      	R                            	                          	                  	                         	                 	                    	                      	                     	                        	                   	                     	                         	                                  	                                  	                                 	from 119 SR Chapter 29 Table 9 pages 576 - 577.

