Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Hormosina ovuloides,Dendrophrya excelsa,Glomospira charoides,Rhabdammina spp.,Saccammina cf. placenta,Recurvoides spp.,Paratrochamminoides spp.,Glomospira gordialis,Ammodiscus cretaceus,Hyperammina subdiscreta,Glomospira irregularis,Karrerulina conformis,Glomospira serpens,Uvigerina spp.,Bolivinid taxa,Spiroplectammina subhaeringensis,Reticulophragmium amplectens,Remesella varians,Osangularia spp.,Nuttallides truempyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,149, 897,D,  4,R, 1, 118.00,    627.3800,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,                   ,                   ,16                  ,25              ,                       ,3               ,2                       ,1                   ,                    ,20                     ,4                     ,                     ,                  ,              ,              ,                                ,                            ,                 ,                ,                    ,from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,149, 897,D,  4,R, 2,  30.00,    628.0000,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,                   ,2                  ,36                  ,1               ,                       ,2               ,                        ,1                   ,                    ,                       ,                      ,                     ,                  ,              ,              ,                                ,                            ,                 ,                ,                    ,5 indet. aggl. fragments. 22 ichthyoliths. from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Eocene     ,                 ,                  ,              ,149, 897,D,  4,R, 2,  80.00,    628.5000,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,                   ,                   ,8                   ,                ,                       ,5               ,                        ,1                   ,1                   ,                       ,                      ,                     ,                  ,              ,              ,                                ,                            ,                 ,                ,                    ,2 smooth tubular fragments. 5 ichthyoliths. from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,                  ,              ,149, 897,D,  4,R,CC,  18.00,    629.1200,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,2                  ,                   ,4                   ,7               ,1                      ,1               ,3                       ,1                   ,4                   ,                       ,                      ,                     ,                  ,              ,              ,                                ,                            ,                 ,                ,                    ,Hormosina ovuloides questionable identity. 5 tubular aggl. fragments. 10 indet. aggl. fragments. 31 ichthyoliths. from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,                  ,              ,149, 897,D,  5,R, 1,  28.00,    636.1800,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,                   ,                   ,6                   ,3               ,                       ,                ,                        ,                    ,                    ,                       ,                      ,                     ,                  ,              ,              ,                                ,                            ,                 ,                ,                    ,from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,                  ,              ,149, 897,D,  5,R, 2,  93.00,    638.3300,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,2                  ,                   ,1                   ,                ,                       ,                ,                        ,                    ,                    ,                       ,                      ,                     ,                  ,              ,              ,                                ,                            ,                 ,                ,                    ,Hormosina ovuloides questionable identity. 12 ichthyoliths. from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Paleocene        ,                 ,                  ,              ,149, 897,D,  5,R,CC,  19.00,    638.6500,Kuhnt    ,Benthic Foraminifers                         ,               ,                  ,5                  ,33                 ,                    ,                ,                       ,                ,                        ,                    ,                    ,                       ,                      ,                     ,                  ,              ,              ,                                ,                            ,                 ,                ,                    ,Hormosina ovuloides questionable identity. 4 indet. aggl. fragments. from 149 SR. Chapter 8. Table 2. page 204.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
