Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Systematophora placacantha	Spiniferites spp.	Saturnodinium pansum	Palaeocystodinium golzowense	Lingulodinium multivirgatum	Hystrichokolpoma rigaudiae	Distatodinium biffii	Deflandrea phosphoritica	Dapsilidinium pseudocolligerum	Cordosphaeridium cantharellus	Chiropteridium galea	Caligodinium amiculum	Spiniferites pseudofurcatus	Membranophoridium aspinatum	Homotryblium vallum	Distatodinium paradoxum	Batiacasphaera sphaerica	Tuberculodinium vancampoae	Saturnodinium sp. cf. S. perforatum	Reticulatosphaera actinocoronata	Polysphaeridium zoharyi	Lingulodinium machaerophorum	Hystrichokolpoma truncatum	Apteodinium spiridoides	Hystrichokolpoma cinctum	Sumatradinium soucouyantae	Pyxidinopsis fairhavenensis	Operculodinium sp.	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Hystrichosphaeropsis obscura	Exochosphaeridium insigne	Dinopterygium cladoides	Cousteaudinium aubryae	Cerebrocysta satchelliae	Sumatradinium hamulatum	Melitasphaeridium choanophorum	Cribroperidinium tenuitabulatum	Apteodinium tectatum	Pentadinium laticinctum	Lejeunecysta convexa	Tectatodinium pellitum	Operculodinium longispinigerum	Operculodinium cf. israelianum (small)	Sumatradinium hispidum	Evittosphaerula paratabulata	Sumatradinium druggii	Selenopemphix brevispinosa brevispinosa	Labyrinthodinium truncatum modicum	Cerebrocysta poulsenii	Labyrinthodinium truncatum truncatum	Tectatodinium simplex	Impagidinium paradoxum	Impagidinium arachnion	Xandarodinium xanthum	Unipontidinium aquaeductum	Hystrichosphaeropsis sp. (serrate periblast)	Habibacysta tectata	Cordosphaeridium? minimum	Trinovantedinium? xylochoporum	Selenopemphix nephroides	Lejeunecysta sp.8	Invertocysta lacrymosa	Cristadinium sp.4	Capillicysta fusca	Brigantedinium spp.	Polykrikos kofoidii?	Operculodinium sp.3	Impagidinium patulum	Brigantedinium cariacoense	Algidasphaeridium? sp.11	Trinovantedinium sp.	Trinovantedinium harpagonium	Algidasphaeridium? euaxum	Selenopemphix sp. cf. S. nephroides	Operculodinium crassum	Artemisiocysta sp.1	Selenopemphix dionaeacysta	Lejeunecysta? sp. (lateral horns)	Lejeunecysta sp.3	Lejeunecysta paratenella	Cyclopsiella elliptica/granosa complex	Batiacasphaera sp. cf. B. hirsuta	Ascostomocystis sp.1	Cannosphaeropsis passio	Trinovantedinium sp. cf. T. boreale	Impagidinium? pallidum	Dissodium? sp.	Quadrina? condita	Algidasphaeridium? sp.8	Brigantedinium? sp.5	Selenopemphix brevispinosa conspicua	Cristadinium diminutivum	Cristadinium cristatoserratum	Trinovantedinium ferugnomatum	Geonettia clineae	Algidasphaeridium? sp.5	Brigantedinium? sp.6	Comment

  SR	Middle Miocene   	                 	DN7               	              	150	 903	C	 15	R	CC	   7.00	    722.8500	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	+                           	                           	                          	                    	                        	+                             	                             	                    	                     	                           	                           	                   	                       	                        	                          	                                   	+                               	                       	                            	                          	                       	                        	+                         	                           	                  	                           	                            	                            	                         	                       	                      	                        	                       	                              	                               	                    	                       	                    	                      	                              	+                                     	                      	                            	                     	                                       	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	+                  	+                        	+                             	                        	                 	                      	                 	                  	                   	+                   	                   	                    	                          	                        	                    	+                           	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	+                                	                    	                       	                                   	                      	              	                 	                       	+                   	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN7               	              	150	 903	C	 20	R	CC	  20.00	    775.7300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	                            	                           	                          	                    	                        	                              	                             	                    	                     	+                          	                           	                   	                       	+                       	                          	                                   	+                               	                       	+                           	                          	                       	                        	+                         	                           	                  	+                          	                            	+                           	                         	                       	                      	                        	                       	                              	                               	                    	                       	                    	+                     	                              	                                      	+                     	                            	                     	                                       	                                  	                      	+                                   	                     	                      	                      	+                    	                          	                                            	+                  	+                        	                              	                        	                 	                      	                 	                  	                   	+                   	                   	                    	                          	+                       	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	+                      	                                   	                      	              	+                	+                      	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN7               	              	150	 903	C	 21	R	CC	   0.00	    785.1600	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	                            	                           	                          	                    	                        	                              	                             	                    	                     	+                          	                           	                   	                       	+                       	                          	                                   	+                               	                       	+                           	                          	                       	                        	+                         	                           	+                 	+                          	                            	+                           	                         	                       	                      	                        	                       	                              	                               	                    	+                      	                    	+                     	                              	                                      	                      	                            	                     	                                       	                                  	                      	                                    	                     	                      	                      	+                    	                          	                                            	                   	+                        	+                             	                        	                 	                      	                 	                  	+                  	                    	                   	                    	                          	+                       	                    	+                           	                         	                                   	                      	                   	                          	+                                	                 	                        	                                      	                                 	                    	+                      	+                                  	+                     	+             	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN7               	              	150	 903	C	 22	R	CC	   0.00	    794.7100	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	+                           	                           	                          	                    	                        	                              	                             	                    	                     	                           	                           	                   	                       	                        	                          	                                   	+                               	                       	                            	                          	                       	                        	                          	                           	                  	+                          	+                           	+                           	                         	                       	                      	                        	                       	                              	                               	                    	                       	                    	                      	                              	                                      	                      	                            	                     	                                       	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	+                  	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	+                       	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	+                      	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN6               	              	150	 903	C	 23	R	CC	   0.00	    804.4700	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	+                           	                           	                          	                    	                        	+                             	                             	                    	                     	                           	                           	                   	                       	                        	+                         	                                   	+                               	                       	                            	                          	                       	                        	+                         	                           	                  	+                          	                            	                            	                         	                       	                      	                        	                       	                              	                               	                    	                       	+                   	+                     	                              	                                      	                      	                            	+                    	+                                      	                                  	                      	+                                   	                     	                      	                      	+                    	                          	+                                           	+                  	+                        	+                             	                        	                 	                      	+                	                  	                   	+                   	+                  	                    	+                         	+                       	                    	                            	+                        	                                   	                      	                   	+                         	+                                	+                	+                       	+                                     	+                                	+                   	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN6               	              	150	 903	C	 24	R	CC	   0.00	    806.0000	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	                            	                           	+                         	                    	                        	+                             	                             	                    	                     	+                          	                           	                   	                       	                        	                          	                                   	+                               	                       	+                           	                          	                       	                        	+                         	                           	                  	                           	                            	                            	                         	                       	                      	                        	                       	                              	                               	                    	                       	+                   	                      	                              	                                      	                      	                            	                     	+                                      	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	                   	+                        	+                             	                        	                 	                      	                 	                  	                   	+                   	                   	                    	+                         	                        	                    	                            	                         	+                                  	+                     	+                  	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN6               	              	150	 903	C	 25	R	CC	  14.00	    818.6300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	+                	                    	+                           	                           	                          	                    	                        	                              	                             	                    	                     	+                          	                           	                   	                       	                        	+                         	                                   	                                	                       	+                           	                          	                       	                        	                          	                           	                  	+                          	                            	                            	                         	                       	                      	                        	                       	                              	                               	                    	                       	                    	                      	                              	                                      	                      	                            	+                    	                                       	                                  	                      	+                                   	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	+                	                      	                 	                  	                   	                    	                   	                    	+                         	+                       	+                   	+                           	+                        	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN5               	              	150	 903	C	 26	R	CC	   0.00	    823.5000	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                	                    	                            	                           	                          	                    	                        	                              	                             	                    	                     	                           	                           	                   	                       	+                       	                          	                                   	+                               	                       	+                           	                          	                       	                        	+                         	                           	                  	+                          	                            	                            	                         	                       	                      	                        	                       	                              	                               	                    	                       	                    	+                     	                              	                                      	                      	                            	+                    	                                       	                                  	                      	+                                   	                     	                      	                      	                     	                          	                                            	+                  	                         	                              	                        	                 	                      	                 	                  	                   	+                   	+                  	+                   	+                         	+                       	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN5               	              	150	 903	C	 27	R	CC	   0.00	    834.6000	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                	                    	+                           	                           	+                         	                    	                        	                              	                             	                    	                     	+                          	                           	                   	                       	+                       	                          	                                   	+                               	                       	+                           	                          	                       	                        	+                         	                           	                  	+                          	                            	+                           	r                        	                       	                      	                        	                       	+                             	                               	                    	+                      	                    	+                     	                              	                                      	                      	                            	+                    	                                       	+                                 	+                     	                                    	                     	                      	+                     	                     	                          	                                            	+                  	                         	+                             	+                       	+                	+                     	+                	+                 	+                  	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN5               	              	150	 903	C	 28	R	CC	   5.00	    846.3300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                	                    	                            	                           	+                         	                    	                        	+                             	                             	                    	                     	+                          	                           	                   	                       	                        	                          	                                   	+                               	                       	+                           	                          	                       	                        	+                         	                           	+                 	                           	+                           	+                           	                         	                       	                      	                        	                       	+                             	                               	                    	                       	                    	                      	                              	                                      	                      	                            	                     	+                                      	                                  	                      	                                    	                     	                      	                      	+                    	+                         	+                                           	+                  	+                        	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN4               	              	150	 903	C	 29	R	CC	  13.00	    860.4000	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                	                    	+                           	                           	+                         	                    	                        	+                             	                             	                    	                     	+                          	                           	                   	+                      	+                       	+                         	                                   	+                               	                       	+                           	                          	                       	                        	+                         	                           	                  	                           	+                           	+                           	                         	                       	                      	                        	                       	                              	                               	+                   	+                      	+                   	+                     	                              	+                                     	                      	                            	                     	+                                      	                                  	                      	                                    	+                    	+                     	+                     	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN4               	              	150	 903	C	 31	R	CC	   0.00	    875.1300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                	                    	+                           	                           	+                         	                    	                        	+                             	                             	                    	                     	+                          	                           	                   	                       	+                       	                          	                                   	+                               	                       	+                           	                          	                       	                        	+                         	                           	                  	                           	                            	+                           	                         	                       	+                     	                        	                       	                              	                               	                    	                       	                    	+                     	                              	+                                     	                      	                            	                     	                                       	                                  	                      	+                                   	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Middle Miocene   	                 	DN4               	              	150	 903	C	 32	R	CC	   0.00	    886.4800	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                	                    	+                           	                           	+                         	                    	                        	+                             	                             	                    	                     	+                          	                           	                   	                       	+                       	+                         	                                   	+                               	                       	+                           	                          	                       	                        	+                         	                           	                  	+                          	                            	                            	                         	                       	+                     	                        	                       	                              	                               	                    	                       	+                   	+                     	                              	                                      	                      	                            	+                    	+                                      	+                                 	+                     	                                    	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Early Miocene    	                 	DN3               	              	150	 903	C	 33	R	CC	  10.00	    900.6200	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                	                    	                            	                           	                          	                    	                        	+                             	                             	                    	                     	+                          	                           	                   	                       	+                       	+                         	                                   	+                               	                       	                            	                          	                       	                        	+                         	                           	                  	                           	                            	                            	                         	                       	+                     	                        	                       	+                             	                               	                    	+                      	+                   	                      	                              	                                      	+                     	+                           	                     	                                       	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Early Miocene    	                 	DN3               	              	150	 903	C	 34	R	CC	   6.00	    903.0300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                	                    	                            	                           	                          	                    	                        	+                             	                             	                    	                     	+                          	                           	                   	                       	+                       	+                         	                                   	+                               	                       	+                           	                          	+                      	                        	+                         	                           	                  	+                          	                            	                            	                         	                       	                      	                        	                       	+                             	                               	                    	                       	                    	+                     	+                             	+                                     	                      	                            	                     	                                       	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Early Miocene    	                 	DN2               	              	150	 903	C	 35	R	CC	  17.00	    920.3800	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	                 	                    	                            	+                          	                          	                    	                        	                              	                             	                    	                     	                           	                           	                   	+                      	                        	                          	+                                  	+                               	+                      	+                           	                          	                       	                        	+                         	                           	                  	+                          	+                           	                            	+                        	                       	+                     	+                       	                       	+                             	                               	+                   	+                      	+                   	                      	                              	                                      	                      	                            	                     	                                       	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Early Miocene    	                 	DN2               	              	150	 903	C	 36	R	CC	   9.00	    923.6300	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                	                    	+                           	                           	                          	                    	                        	                              	                             	                    	                     	                           	                           	                   	+                      	+                       	+                         	                                   	+                               	+                      	+                           	                          	                       	                        	+                         	                           	                  	+                          	                            	+                           	+                        	                       	+                     	+                       	+                      	+                             	+                              	+                   	                       	                    	                      	                              	                                      	                      	                            	                     	                                       	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Early Miocene    	                 	DN2               	              	150	 903	C	 38	R	CC	   8.00	    948.3500	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	+                	                    	                            	                           	+                         	                    	                        	                              	                             	                    	                     	+                          	                           	                   	                       	                        	+                         	+                                  	                                	                       	+                           	                          	                       	                        	+                         	+                          	+                 	+                          	+                           	+                           	+                        	+                      	+                     	+                       	                       	                              	                               	                    	                       	                    	                      	                              	                                      	                      	                            	                     	                                       	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Early Miocene    	                 	DN2               	              	150	 903	C	 39	R	CC	   8.00	    957.6400	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                          	                 	                    	                            	                           	+                         	                    	                        	                              	+                            	                    	                     	                           	                           	                   	+                      	                        	+                         	                                   	                                	                       	+                           	                          	                       	                        	+                         	                           	                  	                           	                            	                            	                         	                       	                      	                        	                       	                              	                               	                    	                       	                    	                      	                              	                                      	                      	                            	                     	                                       	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Late Oligocene   	                 	                  	              	150	 903	C	 40	R	CC	  15.00	    966.3200	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	                 	                    	                            	                           	                          	+                   	+                       	+                             	                             	+                   	                     	                           	+                          	                   	+                      	                        	                          	                                   	+                               	                       	+                           	+                         	                       	+                       	                          	                           	                  	                           	                            	                            	                         	                       	                      	                        	                       	                              	                               	                    	                       	                    	                      	                              	                                      	                      	                            	                     	                                       	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

  SR	Late Oligocene   	                 	                  	              	150	 903	C	 43	R	CC	  11.00	    986.9100	de Verteuil	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	+                         	                 	                    	                            	                           	                          	                    	+                       	+                             	+                            	                    	+                    	+                          	                           	                   	+                      	                        	+                         	+                                  	+                               	+                      	+                           	+                         	+                      	                        	                          	                           	                  	                           	                            	                            	                         	                       	                      	                        	                       	                              	                               	                    	                       	                    	                      	                              	                                      	                      	                            	                     	                                       	                                  	                      	                                    	                     	                      	                      	                     	                          	                                            	                   	                         	                              	                        	                 	                      	                 	                  	                   	                    	                   	                    	                          	                        	                    	                            	                         	                                   	                      	                   	                          	                                 	                 	                        	                                      	                                 	                    	                       	                                   	                      	              	                 	                       	                    	                                    	                        	                             	                             	                 	                       	                    	From 150SR. Ch 27. Table 3. p  444-445.

