Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera mirabilis,Syracosphaera pulchra,Rhabdosphaera clavigera,Pseudoemiliania lacunosa,Pontosphaera sp. 1,Pontosphaera japonica,Helicosphaera sellii,Helicosphaera hyalina,Helicosphaera carteri,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Ceratolithus cristatus,Calcidiscus macintyrei,Calcidiscus leptoporus,Rhabdosphaera stylifera,Pontosphaera multipora,Coccolithus pelagicus,Helicosphaera neogranulata,Helicosphaera inversa,Syracosphaera histrica,Emiliania huxleyi,Comment
  SR,Pleistocene      ,                 ,CN14a             ,              ,125, 785,A,  2,H, 2,  83.00,     11.8300,Ciampo   ,Nannofossils                                 ,               ,M                 ,                         ,R                    ,R                      ,R                       ,R                 ,                     ,                    ,R                    ,R                    ,F                    ,F                        ,                      ,                      ,R                     ,                       ,                      ,F                    ,R                         ,R                    ,                      ,                 ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,125, 785,A,  2,H, 5,  84.00,     16.3400,Ciampo   ,Nannofossils                                 ,               ,G                 ,                         ,                     ,                       ,                        ,                  ,                     ,R                   ,                     ,R                    ,C                    ,A                        ,R                     ,R                     ,F                     ,                       ,                      ,                     ,                          ,                     ,                      ,                 ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,125, 785,A,  2,H, 6,  11.00,     17.1100,Ciampo   ,Nannofossils                                 ,               ,G                 ,                         ,                     ,                       ,R                       ,R                 ,                     ,R                   ,                     ,R                    ,F                    ,A                        ,R                     ,                      ,F                     ,                       ,                      ,R                    ,                          ,                     ,                      ,                 ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,125, 785,A,  2,H,CC,  17.00,     17.7200,Ciampo   ,Nannofossils                                 ,               ,G                 ,                         ,                     ,                       ,                        ,R                 ,R                    ,R                   ,                     ,R                    ,R                    ,R                        ,                      ,R                     ,F                     ,                       ,                      ,                     ,                          ,                     ,                      ,                 ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,125, 785,A,  5,X,CC,  21.00,     38.5100,Ciampo   ,Nannofossils                                 ,               ,G                 ,R                        ,R                    ,                       ,C                       ,                  ,                     ,                    ,                     ,R                    ,C                    ,                         ,                      ,R                     ,C                     ,                       ,                      ,R                    ,R                         ,                     ,                      ,                 ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,125, 785,A,  6,X,CC,   0.00,     47.8000,Ciampo   ,Nannofossils                                 ,               ,M                 ,R                        ,R                    ,R                      ,A                       ,F                 ,R                    ,                    ,                     ,R                    ,R                    ,R                        ,                      ,R                     ,F                     ,R                      ,R                     ,R                    ,                          ,                     ,                      ,                 ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN14a             ,              ,125, 785,A,  7,X,CC,  12.00,     57.4200,Ciampo   ,Nannofossils                                 ,               ,G                 ,R                        ,R                    ,F                      ,A                       ,F                 ,R                    ,R                   ,R                    ,R                    ,R                    ,C                        ,R                     ,R                     ,F                     ,                       ,                      ,                     ,                          ,                     ,                      ,                 ,from 125SR.Chapter 2.Table 4.page 31.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
