Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Ticinella roberti	Ticinella raynaudi	Ticinella primula	Hedbergella rischi	Hedbergella planispira	Pseudotextularia nuttalli	Pseudoguembelina costulata	Laeviheterohelix pulchra	Heterohelix globulosa	Heterohelix carinata	Hedbergella holmdelensis	Globotruncanita stuartiformis	Globotruncanita elevata	Globotruncana orientalis	Globotruncana linneiana	Globotruncana arca	Globigerinelloides messinae	Contusotruncana fornicata	Contusotruncana patelliformis	Schackoina multispinata	Schackoina cenomana	Rugoglobigerina rugosa	Globotruncanita subspinosa	Globotruncanita atlantica	Globigerinelloides prairiehillensis	Archaeoglobigerina cretacea	Tenuitella gemma	Globorotaloides suteri	Globigerinita glutinata	Globigerina druryi	Globigerina angustiumbilicata	Sphaeroidinellopsis seminulina	Sphaeroidinellopsis disjuncta	Globoturborotalita woodi	Globoturborotalita druryi	Globigerina praebulloides	Orbulina universa	Orbulina suturalis	Globorotalia miozea	Globorotalia conoidea	Globoquadrina venezuelana	Globoquadrina dehiscens	Paragloborotalia siakensis	Globigerina bulloides	Dentoglobigerina altispira	Globoturborotalita nepenthes	Globoturborotalita decoraperta	Globigerina decoraperta	Globigerinatella insueta	Globorotalia scitula	Neogloboquadrina acostaensis	Sphaeroidinellopsis paenedehiscens	Neogloboquadrina pachyderma (dextral)	Globorotalia plesiotumida	Globorotalia merotumida	Globorotalia menardii	Globorotalia challengeri	Globigerinoides sacculifer	Globigerinoides conglobatus	Sphaeroidinellopsis subdehiscens	Neogloboquadrina dutertrei	Globigerinoides obliquus	Globorotalia tumida	Globorotalia margaritae	Candeina nitida	Globorotalia puncticulata	Globoconella conomiozea	Truncorotalia crassaformis	Globigerinoides extremus	Truncorotalia tosaensis	Sphaeroidinella dehiscens s.l.	Globorotalia crassula	Globigerinoides ruber	Globorotalia inflata	Neogloboquadrina humerosa	Globigerinoides trilobus	Pulleniatina primalis	Globigerinella aequilateralis	Pulleniatina obliquiloculata	Globigerinoides fistulosus	Truncorotalia truncatulinoides	Globorotalia hirsuta	Globigerina angulisuturalis	Comment

  IR	Pleistocene      	Pleistocene      	N22               	N22           	198	1208	A	  5	H	CC	  14.00	     43.1100	planks   	Planktonic Foraminifers                      	F              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	R                	                  	                   	                     	                         	                       	                          	F                    	                          	                            	                              	                       	                        	                    	                            	                                  	F                                    	                         	                       	R                    	                        	                          	                           	                                	R                         	                        	                   	                       	               	                         	                       	A                         	                        	F                      	                              	                     	P                    	A                   	                         	                        	F                    	                             	R                           	                          	P                             	                    	                           	Rad F

  IR	Pleistocene      	Pleistocene      	N22               	N22           	198	1208	A	  6	H	CC	  26.00	     52.6200	planks   	Planktonic Foraminifers                      	A              	G                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	+                      	                  	                             	                              	                             	                        	                         	                         	F                	+                 	                   	                     	                         	                       	                          	A                    	                          	                            	                              	                       	                        	F                   	                            	                                  	F                                    	                         	                       	F                    	                        	R                         	                           	                                	R                         	R                       	F                  	                       	               	                         	                       	A                         	                        	R                      	                              	P                    	F                    	A                   	                         	                        	R                    	                             	                            	                          	R                             	R                   	                           	rads F

  IR	Pleistocene      	Pleistocene      	N22               	N22           	198	1208	A	  7	H	CC	  29.00	     62.1500	planks   	Planktonic Foraminifers                      	A              	G                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	+                      	                  	                             	                              	                             	                        	                         	                         	F                	F                 	                   	                     	                         	                       	                          	A                    	                          	                            	                              	                       	                        	F                   	R                           	                                  	R                                    	                         	                       	F                    	                        	R                         	F                          	                                	A                         	F                       	F                  	                       	               	                         	                       	A                         	                        	F                      	                              	                     	F                    	A                   	F                        	F                       	F                    	P                            	                            	                          	R                             	R                   	                           	rads F, diatom

  IR	Pleistocene      	Pleistocene      	N22               	N22           	198	1208	A	  8	H	CC	  16.00	     71.6000	planks   	Planktonic Foraminifers                      	A              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	R                	P                 	                   	                     	                         	                       	                          	A                    	                          	                            	                              	                       	                        	R                   	                            	                                  	F                                    	                         	                       	R                    	                        	R                         	F                          	                                	F                         	F                       	F                  	                       	               	                         	                       	A                         	                        	R                      	                              	F                    	F                    	A                   	R                        	R                       	                     	R                            	R                           	                          	R                             	                    	                           	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	198	1208	A	  9	H	CC	  25.00	     81.0900	planks   	Planktonic Foraminifers                      	A              	G                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	F                	R                 	                   	                     	                         	                       	                          	A                    	                          	                            	                              	                       	                        	F                   	R                           	                                  	F                                    	                         	                       	F                    	                        	                          	                           	                                	F                         	F                       	F                  	                       	               	                         	                       	F                         	                        	R                      	                              	P                    	F                    	F                   	F                        	P                       	                     	F                            	                            	                          	                              	R                   	+                          	       

  IR	Pleistocene      	Pleistocene      	N22               	N22           	198	1208	A	 10	H	CC	  24.00	     90.6200	planks   	Planktonic Foraminifers                      	A              	G                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	F                	                  	                   	                     	                         	                       	                          	A                    	                          	                            	                              	                       	                        	F                   	R                           	                                  	F                                    	                         	                       	P                    	                        	F                         	F                          	                                	F                         	F                       	F                  	                       	               	                         	                       	F                         	                        	                       	F                             	                     	F                    	A                   	F                        	F                       	R                    	F                            	                            	R                         	R                             	                    	                           	       

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	198	1208	A	 11	H	CC	  24.00	    100.1600	planks   	Planktonic Foraminifers                      	C              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	F                	                  	                   	                     	                         	                       	                          	A                    	                          	                            	                              	                       	                        	R                   	                            	                                  	F                                    	                         	                       	                     	                        	                          	R                          	                                	F                         	F                       	F                  	                       	               	                         	                       	F                         	                        	                       	F                             	                     	F                    	D                   	R                        	R                       	                     	                             	                            	R                         	                              	                    	                           	rads, ostracods

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	198	1208	A	 12	H	CC	  13.00	    109.5000	planks   	Planktonic Foraminifers                      	A              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	F                	R                 	                   	                     	                         	                       	                          	A                    	                          	                            	                              	                       	                        	R                   	R                           	                                  	F                                    	                         	                       	R                    	                        	                          	F                          	                                	F                         	F                       	F                  	                       	               	                         	                       	F                         	R                       	R                      	R                             	R                    	F                    	A                   	F                        	R                       	R                    	R                            	R                           	                          	                              	                    	                           	       

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	198	1208	A	 13	H	CC	  23.00	    119.0800	planks   	Planktonic Foraminifers                      	C              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	R                	                  	                   	                     	                         	                       	                          	A                    	                          	                            	                              	                       	                        	F                   	                            	                                  	F                                    	                         	                       	R                    	                        	F                         	R                          	                                	F                         	R                       	F                  	                       	               	                         	                       	F                         	R                       	                       	F                             	R                    	R                    	F                   	R                        	                        	R                    	R                            	                            	                          	                              	                    	                           	rads, diatoms

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	198	1208	A	 14	H	CC	  23.00	    128.7000	planks   	Planktonic Foraminifers                      	C              	P                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	                             	                        	                         	                         	F                	P                 	                   	                     	                         	                       	                          	F                    	                          	                            	                              	                       	                        	R                   	                            	                                  	F                                    	                         	                       	R                    	                        	R                         	F                          	                                	F                         	R                       	F                  	                       	               	                         	                       	F                         	                        	                       	                              	                     	R                    	R                   	R                        	R                       	                     	                             	                            	                          	                              	                    	                           	rads

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	198	1208	A	 15	H	CC	  26.00	    138.2000	planks   	Planktonic Foraminifers                      	F              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	R                      	                  	                             	                              	                             	R                       	                         	                         	R                	                  	                   	                     	                         	P                      	                          	R                    	                          	                            	                              	                       	                        	R                   	                            	                                  	F                                    	P                        	                       	                     	                        	R                         	                           	                                	R                         	R                       	F                  	                       	P              	                         	                       	F                         	R                       	R                      	R                             	                     	R                    	A                   	                         	                        	                     	                             	                            	                          	                              	                    	                           	abund rads & diatoms; few spicules & echinoderm.

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	198	1208	A	 16	H	CC	  23.00	    147.7700	planks   	Planktonic Foraminifers                      	F              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	R                             	                             	                        	                         	                         	R                	                  	                   	                     	                         	                       	                          	R                    	R                         	                            	                              	                       	                        	R                   	                            	                                  	F                                    	                         	                       	                     	                        	                          	                           	                                	F                         	R                       	                   	                       	               	                         	                       	A                         	                        	R                      	R                             	R                    	                     	R                   	                         	                        	                     	                             	                            	                          	                              	                    	                           	abund rads & diatoms; pumice chunk

  IR	Late Pliocene    	Late Pliocene    	N21               	N21           	198	1208	A	 17	H	CC	  26.00	    157.2100	planks   	Planktonic Foraminifers                      	F              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	R                             	                             	R                       	                         	                         	R                	                  	                   	                     	                         	                       	                          	R                    	R                         	                            	                              	                       	                        	R                   	                            	                                  	                                     	P                        	                       	R                    	                        	                          	                           	                                	                          	R                       	R                  	                       	               	R                        	R                      	A                         	                        	R                      	R                             	R                    	R                    	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	abund rads & diatoms

  IR	                 	                 	                  	              	198	1208	A	 18	H	CC	  26.00	    166.6600	planks   	Planktonic Foraminifers                      	F              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	R                             	                             	R                       	                         	                         	R                	                  	                   	                     	                         	                       	                          	F                    	R                         	                            	                              	                       	                        	R                   	F                           	                                  	R                                    	R                        	                       	                     	                        	R                         	                           	R                               	R                         	R                       	                   	                       	               	A                        	F                      	A                         	R                       	R                      	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	abund rads

  IR	Early Pliocene   	Early Pliocene   	N19-N20           	N19-N20       	198	1208	A	 19	H	CC	  19.00	    176.0900	planks   	Planktonic Foraminifers                      	F              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	R                             	                             	                        	                         	                         	                 	                  	                   	                     	                         	                       	                          	F                    	R                         	                            	                              	                       	                        	                    	                            	                                  	                                     	R                        	                       	F                    	                        	                          	                           	R                               	R                         	                        	                   	R                      	               	A                        	F                      	F                         	F                       	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	abund.rads

  IR	Early Pliocene   	Early Pliocene   	N19-N20           	N19-N20       	198	1208	A	 20	H	CC	  17.00	    185.6500	planks   	Planktonic Foraminifers                      	F              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	R                             	                             	R                       	                         	                         	                 	                  	                   	                     	                         	                       	                          	R                    	                          	P                           	                              	                       	                        	                    	                            	                                  	                                     	                         	                       	                     	                        	                          	                           	R                               	                          	                        	                   	                       	               	A                        	F                      	R                         	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	abund. rads

  IR	Early Pliocene   	Early Pliocene   	N19-N20           	N18           	198	1208	A	 21	X	CC	  13.00	    191.0700	planks   	Planktonic Foraminifers                      	F              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	R                             	                             	                        	                         	                         	R                	                  	                   	                     	                         	                       	                          	R                    	R                         	R                           	                              	                       	                        	                    	R                           	                                  	                                     	                         	                       	R                    	                        	R                         	                           	                                	R                         	                        	                   	R                      	R              	F                        	R                      	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	abund. rads

  IR	Early Pliocene   	Early Pliocene   	N19-N20           	N18           	198	1208	A	 22	X	CC	  23.00	    199.9900	planks   	Planktonic Foraminifers                      	R              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	R                             	                             	                        	                         	                         	R                	                  	                   	                     	                         	                       	                          	                     	R                         	R                           	                              	                       	                        	                    	R                           	                                  	                                     	R                        	                       	R                    	                        	R                         	                           	R                               	                          	                        	R                  	R                      	R              	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	abund. rads; v. few plank. forams

  IR	Early Pliocene   	Late Miocene     	N18               	N17b          	198	1208	A	 23	X	CC	  23.00	    208.1800	planks   	Planktonic Foraminifers                      	R              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	R                             	                             	                        	                         	                         	R                	                  	                   	                     	                         	                       	                          	R                    	                          	R                           	                              	                       	                        	                    	                            	                                  	                                     	                         	                       	                     	                        	                          	                           	                                	                          	                        	R                  	R                      	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	abund. rads; v. few plank. forams

  IR	                 	                 	                  	              	198	1208	A	 24	X	CC	  16.00	    218.7400	planks   	Planktonic Foraminifers                      	               	                  	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	R                            	                        	                         	                         	                 	                  	                   	                     	                         	                       	                          	                     	                          	                            	                              	                       	                        	                    	                            	                                  	                                     	                         	                       	                     	                        	                          	                           	                                	                          	                        	                   	                       	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	       

  IR	Late Miocene     	Late Miocene     	N17b              	N17b          	198	1208	A	 25	X	CC	   8.00	    224.5900	planks   	Planktonic Foraminifers                      	F              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	R                             	                             	                        	                         	                         	F                	R                 	                   	                     	                         	                       	                          	R                    	                          	R                           	                              	                       	                        	                    	F                           	                                  	P                                    	R                        	P                      	R                    	                        	R                         	R                          	+                               	R                         	R                       	                   	                       	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	abud. ostracods, rads

  IR	Late Miocene     	Late Miocene     	N17a              	N17a          	198	1208	A	 26	X	CC	  12.00	    235.5200	planks   	Planktonic Foraminifers                      	F              	P                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	F                             	                             	R                       	                         	                         	                 	                  	                   	                     	                         	                       	                          	R                    	                          	R                           	                              	                       	                        	P                   	F                           	F                                 	P                                    	R                        	R                      	R                    	R                       	P                         	R                          	                                	                          	                        	                   	                       	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	abund. rads,

  IR	Late Miocene     	Late Miocene     	N16               	N17a          	198	1208	A	 27	X	CC	   8.00	    246.1400	planks   	Planktonic Foraminifers                      	R              	P                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	P                             	F                            	R                       	                         	P                        	R                	P                 	                   	                     	                         	                       	                          	                     	                          	R                           	                              	                       	+                       	                    	P                           	                                  	                                     	                         	                       	                     	                        	                          	                           	                                	                          	                        	                   	                       	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	plankR, benthics AA, rads

  IR	Late Miocene     	Late Miocene     	N16               	N17a          	198	1208	A	 28	X	CC	  23.00	    256.7100	planks   	Planktonic Foraminifers                      	T              	P                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	                              	+                            	                        	                         	R                        	R                	                  	                   	                     	                         	                       	                          	                     	                          	                            	                              	                       	                        	P                   	                            	                                  	                                     	                         	                       	                     	                        	                          	                           	                                	                          	                        	                   	                       	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	planks very rare, benthics AA, rads

  IR	Late Miocene     	Late Miocene     	N14               	N15           	198	1208	A	 29	X	CC	  24.00	    265.9400	planks   	Planktonic Foraminifers                      	C              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	R                      	                  	                             	F                             	F                            	R                       	+                        	R                        	R                	                  	                   	                     	A                        	A                      	                          	R                    	F                         	A                           	+                             	                       	+                       	                    	                            	                                  	                                     	                         	                       	                     	                        	                          	                           	                                	                          	                        	                   	                       	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	benthics AA

  IR	Late Miocene     	Late Miocene     	N14               	N15           	198	1208	A	 30	X	CC	  24.00	    274.2000	planks   	Planktonic Foraminifers                      	F              	P                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	R                 	                             	R                             	                             	R                       	P                        	R                        	F                	F                 	                   	                     	A                        	F                      	                          	P                    	F                         	F                           	P                             	P                      	+                       	                    	                            	                                  	                                     	                         	                       	                     	                        	                          	                           	                                	                          	                        	                   	                       	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	benthics, rads

  IR	Late Miocene     	Late Miocene     	N14               	N14           	198	1208	A	 31	X	CC	  27.00	    285.0600	planks   	Planktonic Foraminifers                      	C              	M                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	F                 	                             	                              	P                            	                        	R                        	F                        	                 	                  	                   	                     	F                        	F                      	                          	F                    	F                         	F                           	F                             	R                      	                        	                    	                            	                                  	                                     	                         	                       	                     	                        	                          	                           	                                	                          	                        	                   	                       	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	radsAA, diatoms, spicules

  IR	Middle Miocene   	Middle Miocene   	N9                	N12           	198	1208	A	 32	X	CC	  25.00	    295.4100	planks   	Planktonic Foraminifers                      	F              	P                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	P                      	                  	                             	F                             	                             	                        	                         	F                        	F                	R                 	P                  	F                    	                         	                       	R                         	R                    	R                         	                            	                              	                       	                        	                    	                            	                                  	                                     	                         	                       	                     	                        	                          	                           	                                	                          	                        	                   	                       	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	rads AA, diatoms, spicules

  IR	Middle Miocene   	Middle Miocene   	N9                	N12           	198	1208	A	 33	X	CC	  22.00	    304.1600	planks   	Planktonic Foraminifers                      	F              	P                 	                 	                  	                 	                  	                      	                         	                          	                        	                     	                    	                        	                             	                       	                        	                       	                  	                           	                         	                             	                       	                   	                      	                          	                         	                                   	                           	                	                      	                       	                  	                             	F                             	R                            	                        	                         	                         	F                	F                 	R                  	F                    	F                        	F                      	                          	                     	                          	                            	                              	                       	                        	                    	                            	                                  	                                     	                         	                       	                     	                        	                          	                           	                                	                          	                        	                   	                       	               	                         	                       	                          	                        	                       	                              	                     	                     	                    	                         	                        	                     	                             	                            	                          	                              	                    	                           	spicules, rads R

