Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Datum name,Datum type,Datum region,Datum name generic,Datum comment,Datum age average [Ma],Zone name (short),Zone name,Zone comment,Upper boundary age av. [Ma],Lower boundary age av. [Ma],Preservation,Group abundance,Percentage of planktic forams in total foram assemblage [%],Fragmentation,Fragmentation rank [auto-pop],"Reworking comment (1= <1%, 2=light 1-10%, 3= >10%)",Aspect comment (etching),Comment (general),Beella digitata,Beella praedigitata,Candeina nitida,Dentoglobigerina altispira,Dentoglobigerina globosa,Globigerina bulloides,Globigerina conglomerata,Globigerina eamesi,Globigerina falconensis,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella pseudobesa,Globigerinita glutinata,Globigerinita uvula,Globigerinoides conglobatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides obliquus,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoquadrina dehiscens,Globoquadrina venezuelana,Globorotalia crassaformis,Globorotalia crassula,Globorotalia exilis,Globorotalia flexuosa,Globorotalia hessi,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia limbata,Globorotalia margaritae,Globorotalia menardii,Globorotalia miocenica,Globorotalia multicamerata,Globorotalia pertenuis,Globorotalia plesiotumida,Globorotalia praemenardii,Globorotalia puncticulata,Globorotalia scitula,Globorotalia theyeri,Globorotalia tosaensis,Globorotalia truncatulinoides,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagona,Globorotaloides variabilis,Globoturborotalita apertura,Globoturborotalita decoraperta,Globoturborotalita nepenthes,Globoturborotalita rubescens,Globoturborotalita woodi,Neogloboquadrina acostaensis,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina incompta (dextral),Neogloboquadrina pachyderma (sin.),Orbulina suturalis,Orbulina universa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina primalis,Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis kochi,Sphaeroidinellopsis seminulina,Turborotalita humilis,Turborotalita quinqueloba,Ship File Links,Shore File Links,File Data
353-U1447A-16H-CC-PAL-FORAMP,0,5,145.52,145.57,,,,,,,,,,,,G,D,,,,,,,,,R,,,C,R,,,R,F,,,A,,C,,,,,,,,A,F,,,F,,,,,,,,,,,,,R,,,,,,,,,,,F,,,,,,,,,,A,,C,,,F,,,,C,,,F,,,,,,,
353-U1447A-17H-CC-PAL-FORAMP,0,5,154.82,154.87,,,,,,,,,,0.61,,G,D,,,,,,,,,,,,F,,,,C,F,,,,,F,,,,,,,,A,C,,,R,,,,,,,,,,,,,R,,,,,,,F,,F,,F,,F,,,,,,,,A,,C,,,F,,,,C,,,F,,,,,,,
353-U1447A-18H-CC-PAL-FORAMP,0,5,164.51,164.56,,,,,,,,,,1.3,,G,D,,,,,,,,,,,,R,,,,F,R,,,C,,C,,,,,R,,,D,A,,,F,,,,,,,,,,,,,R,,,,,,,R,,,,R,,F,,,,,R,,,A,,F,,,F,,,,C,,,F,,,,,,,
353-U1447A-19H-CC-PAL-FORAMP,0,5,173.85,173.9,,,,,,,,,,1.3,,G,D,,,,,,,,,,,,F,R,,,F,F,,,F,,C,,,,,R,,,D,A,,R,F,,,,,,,,,,,,,,,,,,,,,,,,,R,F,,,,,,,,A,,F,,,C,,,,A,,,R,,,,,,,
353-U1447A-20H-CC-PAL-FORAMP,0,5,183.5,183.55,,,,,,,,,,1.3,,G,D,,,,,,,,,,,,F,,,,,R,,,C,,F,,,,,R,,,D,C,,R,F,,,,,,,,,,,,,,,,,,,,,,R,,F,R,,,,,,,,,A,,F,,,F,,,,F,,,F,,,,,,,
353-U1447A-21H-CC-PAL-FORAMP,0,5,192.35,192.4,,,,,,,,,,1.3,,G,D,,,,,,,R,,R,,,R,R,,,R,R,,,F,,F,,,,,R,,,C,A,,R,C,,,,,,,,,,,,,,,,,,,,R,,R,,F,R,R,,,,,,,,A,,C,,,C,,,,C,,,R,,,,,,,
353-U1447A-22H-CC-PAL-FORAMP,0,5,202.66,202.71,,,,,,,,,,1.3,,M,C,,,,,,,,,,,,F,,,,,,,,,,,,,,,F,,,A,,,,R,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,R,R,,,,,,,R,,,,,,,,,,
353-U1447A-23H-CC-PAL-FORAMP,0,5,211.85,211.9,,,,,,,,,,1.3,,G,A,,,,,,,,,,,,R,,,,,,,,C,,,,,,,F,,,C,,,R,R,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,R,,F,,,,,,,R,,,,,,,,,,
353-U1447A-24H-CC-PAL-FORAMP,0,5,221.19,221.24,,,,,,,,,,,,G,D,,,,,,,,,R,,,C,,,,,,,,C,,,,,,,R,,,C,,,,,,,,,,,,,,,,,R,,,,,,,R,R,R,,R,,,,,,,,,R,F,F,F,,,,,,,R,,,R,,,,,,,
353-U1447A-25H-CC-PAL-FORAMP,0,5,230.63,230.68,,,,,,,,,,1.58,,G,D,,,,,,,,,,,,C,,,,,,,,F,,,,,,,,,,C,R,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,F,R,C,,,,,,,R,,,R,,,,,,,
353-U1447A-26H-CC-PAL-FORAMP,0,5,240.05,240.1,,,,,,,,,,1.88,,G,C,,,,1,,,,,,,,R,,,,,R,,,R,,,,R,,,R,,,C,R,,,R,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,R,,,F,,R,R,,,,F,,,R,,,,,,,
353-U1447A-27H-CC-PAL-FORAMP,0,5,247.99,248.04,,,,,,,,,,1.88,,G,D,,,,,,,,,,,,C,,,,,,,,C,,,,R,,,R,,,A,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,F,,,R,,,,R,,,,,,,,,,
353-U1447A-28H-CC-PAL-FORAMP,0,5,254.83,254.88,,,,,,,,,,1.98,,G,D,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,C,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,F,,,R,,,,R,,,R,,,,,,,
353-U1447A-29H-CC-PAL-FORAMP,0,10,260.88,260.98,,,,,,,,,,1.98,,G,D,,,,,,,,,R,,,F,,,,R,,,,F,,R,R,R,,,R,,,A,R,,,F,,,,,,,,,,,,,R,,,,,,,,,,,R,,R,,,,,,,,F,R,F,,,R,,,,R,,,R,,,,,,,
353-U1447A-30F-CC-PAL-FORAMP,0,5,265.96,266.01,,,,,,,,,,1.98,,G,D,,,,1,,,,,,,,F,,,,,,,,,,R,R,R,,,,,,A,R,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,F,,,R,,,,F,,,R,,,,,,,
353-U1447A-31F-CC-PAL-FORAMP,0,7,267.25,267.32,,,,,,,,,,,,P,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353-U1447A-32F-CC-PAL-FORAMP,0,5,275.84,275.89,,,,,,,,,,1.98,,M,C,,,,1,,,,,,,,A,F,,,R,,,,A,,F,R,,,,R,,,D,C,,F,R,,,R,,,,,,,,,,R,,,,,,,R,,,,R,,R,,,,,,,R,A,R,F,,,F,,,,F,,,R,,,,,,,
353-U1447A-33F-CC-PAL-FORAMP,0,5,280.67,280.72,,,,,,,,,,1.98,,G,D,,,,,,,,,,,,R,R,,,R,R,,,R,,F,R,,,,R,,,D,A,,F,R,,,R,,,,,,,,,,F,,,,,,,F,,,,F,,F,,,,,,,R,A,R,F,,,F,,,,F,,,F,,,,,,,
353-U1447A-34F-CC-PAL-FORAMP,0,5,285.33,285.38,,,,,,,,,,1.98,,G,D,,,,,,,,,,,,C,R,,,,R,,,C,,R,R,,,,R,,,A,A,,R,C,,,,,,,,,,,,,R,,,,,,,R,,,,R,R,,,,,,,,R,A,R,F,,,C,,,,F,,,R,,,,,,,
353-U1447A-35F-CC-PAL-FORAMP,0,5,290.21,290.26,,,,,,,,,,2.75,,G,D,,,,,,,,,,,,R,R,,,,R,,,C,,R,F,,,,R,,,A,A,,F,C,,,,,,,,,,,F,,F,,,,,,,R,,,,C,,,,R,R,,,R,R,C,R,F,,,F,,,,F,,,F,,,,,,,
353-U1447A-36F-CC-PAL-FORAMP,0,5,294.98,295.03,,,,,,,,,,2.75,,G,D,,,,,,,,,,,,R,R,,,R,,,,C,,,R,,,,R,,,A,A,,R,C,,,,,,,,,,,R,,R,,,,,,,R,,,,,,R,,R,R,,,,R,F,C,R,,,F,,,,C,,,R,,,,,,,
353-U1447A-37F-CC-PAL-FORAMP,0,5,299.75,299.8,,,,,,,,,,,3.35,G,D,,,,,,,,,,,,R,R,,,R,,,,F,,,,,,,R,,,A,A,,,A,,,,,,,,,,,R,,F,,,,,,,,,R,,F,,,,R,,,,R,R,A,A,C,,,C,,,,R,,,C,,,,,,,
353-U1447A-38F-CC-PAL-FORAMP,0,5,304.63,304.68,,,,,,,,,,,,M,D,,,,,,,,,,,,F,,,,,,,,C,,,F,,,,C,,,D,A,,,C,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,F,C,,,F,F,A,F,F,,,F,,,,F,,,F,,,,,,,
353-U1447A-39F-CC-PAL-FORAMP,0,5,309.39,309.44,,,,,,,,,,,3.33,M,D,,,,,,,,,R,,,F,,,,R,,,,C,,R,A,R,,,F,,,A,A,,,,,,,,R,,,,,,R,,F,,,,,,,F,,,,R,,R,,R,,,,R,F,C,,F,,,F,,,,F,,,F,,,,,,,
353-U1447A-40F-CC-PAL-FORAMP,0,5,314.12,314.17,,,,,,,,,,2.75,3.47,G,D,,,,,,,,,F,,,,R,,,R,,,,C,,F,C,,,,F,,,A,A,,,C,,,,,,,,,,,C,,F,,,,,,,,,,,R,R,R,,R,R,,,R,,C,R,F,,,F,,,,F,,,C,,,,,,,
353-U1447A-41F-CC-PAL-FORAMP,0,5,314.96,315.01,,,,,,,,,,2.75,,G,D,,,,,,,,,,,,F,,,,R,,,,F,,R,R,,,,R,,,C,R,,,C,,,R,,,,,,,,R,,R,,,,,,,,,,,R,,R,,R,R,,,R,,C,,F,,,R,,,,R,,,R,,,,,,,
353-U1447A-42F-CC-PAL-FORAMP,0,5,319.62,319.67,,,,,,,,,,2.98,3.33,G,D,,,,,,,,,,,,R,,,,,,,,R,,R,F,R,,,,,,C,R,,,C,,,,,,,,,,,R,,R,,R,,,,,R,,,,R,,,,F,,,,,,F,,F,,R,,,,,,,,R,,,,,,,
353-U1447A-43F-CC-PAL-FORAMP,0,5,325,325.05,,,,,,,,,,,3.33,G,D,,,,,,,,,R,,,F,,,,R,,,,F,,,F,R,,,,,,C,R,,,F,,,,,,,,,,,R,,R,,,,,,,R,,,,R,,R,,,,,,,,F,F,F,,,R,,,,,,,F,,,,,,,
353-U1447A-44F-CC-PAL-FORAMP,0,5,328.83,328.88,,,,,,,,,,2.98,3.33,G,D,,,,,,,,,,,,F,,,,R,,,,F,,R,F,R,,,,,,C,R,,,C,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,F,,,,,,F,,F,,,R,,,,R,,,R,,,,,,,
353-U1447A-45X-CC-PAL-FORAMP,0,5,333.05,333.1,,,,,,,,,,,3.33,G,D,,,,,,,,,,,,F,,,,,,,,,,R,C,R,,,,,,C,R,,,F,,,,,,,,,,,R,,R,,,,,,,,,,,,,R,,R,,,,,,,,F,,R,R,,,,R,,,F,,,,,,,
353-U1447A-47X-1-W 20/24-FORAMP,0,4,343,343.04,,,,,,,,,,3.58,,G,D,,,,,,,,,,C,,,,,,,,,,,,R,,,,,A,,,A,A,,,A,,,,,,R,,,,,,,C,,,,,,,R,,,,R,,,,,R,,,,R,,,,,,,,,,,,,C,,F,,,,,
353-U1447A-47X-CC-PAL-FORAMP,0,5,352.84,352.89,,,,,,,,,,3.66,,G,D,,,,,,,,,,F,,,,,,,,,,R,,R,F,,,,R,,,C,R,,,R,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,R,F,,,R,,,,R,R,,F,,,,,,,
353-U1447A-48X-CC-PAL-FORAMP,0,5,362.17,362.22,,,,,,,,,,3.77,,G,D,,,,,,,,,,C,,R,,,,,,,,R,,R,F,,,,,,,F,R,,,C,,,,,,,,,,,R,,R,R,,,R,,,,,,,R,,,,,,,,,R,F,R,F,,R,R,,,,R,,,R,,R,,,,,
353-U1447A-49X-CC-PAL-FORAMP,0,5,372.04,372.09,,,,,,,,,,3.77,,G,D,,,,,,,,,,C,,R,,,,,,,,,,,C,,,,,,,,R,,,F,,,,,,,,,,,R,,R,R,,,R,,,R,,,,R,,,,,,,,,R,,R,F,,R,R,,,,,,,,,F,,,,,
353-U1447A-50X-CC-PAL-FORAMP,0,4,381.08,381.12,,,,,,,,,,3.77,,G,D,,,,,,,,,,C,,,,,,,,,,,,,C,,,,C,,,R,F,,,F,,,,,,,,,,,R,,,,,,F,,,,,,,,,,,,,,,,R,,,R,,,R,,,,,,,,,R,,,,,
353-U1447A-51X-CC-PAL-FORAMP,0,5,391.3,391.35,,,,,,,,,,3.85,,G,A,,,,,,,,,R,A,,,R,,,,,,,F,,,A,,,,,,,,A,,,C,,,,,,R,,,,,,R,C,,,,R,,,R,,,,R,,R,,F,F,,,F,,F,,F,,,F,,,,C,R,,,,F,,,,,
353-U1447A-52X-CC-PAL-FORAMP,0,5,401.21,401.26,,,,,,,,,,4.53,,G,D,,,,,,,,,R,A,F,R,R,,,R,,,,F,,F,A,,,,C,,,R,A,,,,,,,,,,,,,,,R,,,,,R,,,,,,,,,R,,F,F,,,F,R,C,R,F,R,,F,,,,,,,,F,C,,,,,
353-U1447A-53X-CC-PAL-FORAMP,0,5,410.8,410.85,,,,,,,,,,4.53,,G,D,,,,,,,,,R,C,R,,,,,R,R,,,R,,R,A,,,,A,,,,A,,,C,,,,,,,,,,,R,,R,,R,,,,,,F,,,,,,,F,F,,,F,,C,R,F,,,F,,,,,,,,F,F,,,,,
353-U1447A-54X-CC-PAL-FORAMP,0,5,420.41,420.46,,,,,,,,,,,,G,D,,,,,,,,,,A,R,,,,,,,,,F,,R,A,,,,A,,,,A,,,A,,,,,,,,,,,,F,C,,,,F,,,,R,,,,,,,F,F,,,F,,A,R,C,,,C,,,,,A,,,,,,,,,
353-U1447A-55X-CC-PAL-FORAMP,0,5,429.99,430.04,,,,,,,,,,,,G,D,,,,,,,,,R,A,,,,,,,,,,R,,F,A,,,,C,,,,A,,,C,,,,,,,,,,,,,F,,,,,,,R,,,,,,R,,,,,,F,,A,,F,,,F,,,,,,,,,R,,,,,
353-U1447A-56X-CC-PAL-FORAMP,0,5,438.97,439.02,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,F,C,,,,,,,,,,F,,F,A,,,,C,,,,A,,,A,,,,,,,,,,,F,R,C,,R,,F,,,F,,,,R,,R,,,F,,,F,,C,,,,,C,,,,,,,,F,F,,,,,
353-U1447A-57X-CC-PAL-FORAMP,0,5,449.45,449.5,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,R,C,,,,,,,,,,C,,F,A,,,,A,,,,A,,,A,,,,,,,,,,,R,,C,,,,F,,,,,,,R,,,,,,,,F,,A,,C,,,F,,,,,F,,,R,R,,,,,
353-U1447A-58X-CC-PAL-FORAMP,0,5,458.26,458.31,,,,,,,,,,4.53,,G,D,,,,,,,,,R,R,,,,,,,,,,,,R,A,,,,F,,,,R,,,A,,F,,,,,,,,,R,R,,R,,,F,,,R,,,,,,,,F,F,,,R,R,F,,C,,R,R,,,,,C,,,F,F,,,,,
353-U1447A-59X-CC-PAL-FORAMP,0,5,468.86,468.91,,,,,,,,,,4.53,6.08,G,D,,,,,,,,,R,R,,,,,,,,,,,,,A,,,,C,,,,F,,,C,,F,,,,,,,,,,R,,R,,,,,,,,,,,,,,R,,,,,,,,,F,,R,,,,,R,,,F,F,,,,,
353-U1447A-60X-CC-PAL-FORAMP,0,5,478.48,478.53,,,,,,,,,,4.53,5.57,G,D,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,R,,,A,,R,,,,,,,,,,R,R,,,,R,,,,R,,,R,,,,,,,,R,,,,F,,,R,,,,,,,,R,F,,,,,
353-U1447A-61X-CC-PAL-FORAMP,0,5,487.99,488.04,,,,,,,,,,5.92,,G,D,,,,,,,,,,R,,,,,,,,,,,,,A,,,,C,,,,R,,,A,R,R,,,,,,,,,R,,R,,,,R,,,R,,,,,,,,,,,,,,,,F,,,R,,,,,,,,R,R,,,,,
353-U1447A-62X-CC-PAL-FORAMP,0,5,498.14,498.19,,,,,,,,,,5.92,,G,D,,,,,,,,,,,,,,,,,,,,,,,A,,,,C,,,,R,,,C,R,R,,,,,,,,,R,,R,,,,R,,,R,,,,,,R,,,,,,R,,F,,A,,,R,,,,,,,,R,R,,,,,
353-U1447A-63X-CC-PAL-FORAMP,0,5,507.66,507.71,,,,,,,,,,,6.08,G,A,,,,,,,,,,R,,,,,,,,,,,,,F,,,,F,,,,R,,,A,,,,,,,,,,,R,R,R,,,,R,,,,,,,,,,,R,,,,R,,F,,C,,,R,,,,,,,,,F,,,,,
353-U1447A-64X-CC-PAL-FORAMP,0,5,517.44,517.49,,,,,,,,,,5.92,6.2,G,D,,,,,,,,,,C,,,,,,,,,,,,C,A,,,,C,,,,A,,,A,C,,,,,,,,,,,,R,,,,F,,,,,,,,,R,,,F,,,F,F,,,F,,,F,,,,,,,,,F,,,,,
353-U1447A-65X-CC-PAL-FORAMP,0,5,526.26,526.31,,,,,,,,,,5.92,6.08,G,D,,,,,,,,,,F,,,,,,,,,,R,,C,C,,,,R,,,,A,,,A,F,,,,,,,,,,,R,C,,,,F,,,F,,,,,,R,,,,,,C,F,F,F,C,,,F,,,,,,,,F,F,,,,,
353-U1447A-66X-CC-PAL-FORAMP,0,5,537.06,537.11,,,,,,,,,,5.92,6.08,G,D,,,,,,,,,,R,,F,,,,,,,,F,,F,A,,,,A,,,,A,,,A,F,,,,,,,,,,,F,C,,,,R,,,F,,,,,,,,,,,,C,F,F,F,C,,,F,,,,,,,,R,F,,,,,
353-U1447A-67X-CC-PAL-FORAMP,0,5,546.34,546.39,,,,,,,,,,,,G,C,,,,,,,,,,C,,,,,,,,,,,,,F,,,,F,,,,R,,,A,,R,,,,,,,,,R,,R,,,,R,,,R,,,,,,,,,,,,,,,,F,,,R,,,,,,,,R,F,,,,,
353-U1447A-68X-CC-PAL-FORAMP,0,5,556.44,556.49,,,,,,,,,,5.92,,G,D,,,,,,,,,,C,,F,,,,,,,,F,,,A,,,,,,,,A,,,A,R,,,,,,,,,,,,C,,,,F,,,R,,,,,,,,,F,,,C,F,R,R,C,,,F,,,,,,,,F,F,,,,,
353-U1447A-69X-CC-PAL-FORAMP,0,5,566,566.05,,,,,,,,,,,8.58,G,C,,,,,,,,,,F,,R,,,,,,,,,,,F,,,,C,,,,,,,C,,,,,,,,,,,R,,,,,,R,,,R,,,,,,,,,,,,,R,,,F,,R,R,,,,,,,,R,R,,,,,
353-U1447A-71X-CC-PAL-FORAMP,0,5,585.28,585.33,,,,,,,,,,,8.58,G,A,,,,,,,,,,F,,R,,,,,,,,,,,C,,,,C,,,,R,,,A,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,F,,,R,,,,,,,,R,R,,,,,
353-U1447A-72X-CC-PAL-FORAMP,0,5,594.9,594.95,,,,,,,,,,,8.58,G,D,,,,,,,,,,C,F,R,,,,,,,,,,,R,,,,C,,,,,,,C,,R,,,,,,,,,,,R,,,,R,,,R,,,,,,,,,,,,F,F,,,F,,R,R,,,,,,,,R,R,,,,,
353-U1447A-73X-CC-PAL-FORAMP,0,5,604.82,604.87,,,,,,,,,,,8.93,G,D,,,,,,,,,,F,,,,,,,,,,,,,C,,,,C,,,,,,,C,,R,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,R,,,F,,,R,,R,R,,,,,,,,,R,,,,,
353-U1447A-74X-CC-PAL-FORAMP75,0,5,614.84,614.89,,,,,,,,,,,8.58,G,D,,,,,,,,,,F,R,,,,,,,,,,,,F,,,,C,,,,R,,,C,,R,,,,,,,,,,,R,,,,R,,,,,,,,,,,,,R,,R,C,,,,,,,,,,,,,,R,R,,,,,
