Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	placolith (<2.0 microns)	Umbilicosphaera sp. A	Umbilicosphaera sibogae var. sibogae	Umbilicosphaera cricota	Umbilicosphaera aequiscutum	Sphenolithus neoabies	Sphenolithus abies	Reticulofenestra pseudoumbilica	Reticulofenestra producta	Reticulofenestra perplexa	Reticulofenestra minutula	Reticulofenestra minuta	Reticulofenestra haqii	Reticulofenestra gelida	Pontosphaera spp.	Pontosphaera multipora	Pontosphaera japonica	Neosphaera coccolithomorpha	Helicosphaera spp. (small)	Helicosphaera euphratis	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster surculus	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster intercalaris	Discoaster brouweri	Discoaster blackstockae	Discoaster berggrenii	Cyclicargolithus floridanus	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Amaurolithus primus	Amaurolithus delicatus	Amaurolithus amplificus	Syracosphaera spp.	Schyphosphaera spp.	Rhabdosphaera clavigera	Triquetrorhabdulus rugosus	Helicosphaera inversa	Discoaster challengeri	Calciosolenia murrayi	Braarudosphaera bigelowii	Coccolithus streckerii	Pontosphaera discopora	Amaurolithus tricorniculatus	Schyphosphaera sp.	Reticulofenestra bisecta	Aspidolithus parcus	Sphenolithus compactus	Helicosphaera intermedia	Chiasmolithus solitus	Ceratolithus acutus	Tetralithoides quadrilaminata	Ceratolithus spp.	Ceratolithus armatus	Ceratolithus atlanticus	Discoaster asymmetricus	Discoaster triradiatus	Umbilicosphaera hulburtiana	Ericsonia formosa	Reticulofenestra umbilica	Umbilicosphaera sibogae var. foliosa	Ceratolithus separatus	Ceratolithus rugosus	Ceratolithus cristatus	Pseudoemiliania lacunosa	Sphenolithus grandis	Pseudoemiliania cf. P. lacunosa	Micula decussata	Helicosphaera sellii	Gephyrocapsa spp. (small)	Lithostromation perdurum	Discoaster tamalis	Cretarhabdus conicus	Discoaster hamatus	Placozygus sigmoides	Helicosphaera neogranulata	Umbellosphaera tenuis	Oolithotus fragilis	Helicosphaera pavimentum	Gephyrocapsa oceanica (medium)	Gephyrocapsa caribbeanica	Gephyrocapsa spp. medium	Watznaueria barnesae	Gephyrocapsa spp. (large)	Prediscosphaera cretacea	Ceratolithus simplex	Reticulofenestra asanoi	Gephyrocapsa oceanica ss	Gephyrocapsa margerelii/muellerae	Umbellosphaera irregularis	Emiliania huxleyi	Comment

  IR	Pleistocene      	                 	CN15              	              	164	 994	C	  1	H	 3	  16.00	      3.1600	Okada    	Nannofossils                                 	A              	G                 	                        	                     	F                                   	                       	                           	                     	                  	                               	                         	                         	                         	A                      	                      	                       	                 	                      	R                    	R                          	                          	                       	F                    	A                    	                     	                   	                       	                        	                       	                   	                       	                     	                           	F                    	                      	F                     	                   	                      	                       	F                 	                   	F                      	                          	                     	                      	F                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	F                                   	                      	                    	                      	                        	                    	                               	                	                    	A                        	                        	                  	                    	                  	                    	                          	                     	F                  	                        	                              	F                        	A                       	                    	                         	                        	                    	                       	A                       	C                                	R                         	A                	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN15              	              	164	 994	C	  1	H	 3	 105.00	      4.0500	Okada    	Nannofossils                                 	A              	M                 	1                       	                     	2                                   	                       	                           	                     	                  	                               	F                        	                         	                         	3                      	                      	                       	                 	                      	                     	                           	                          	                       	F                    	202                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	1                    	                      	2                     	                   	                      	                       	2                 	                   	1                      	                          	                     	                      	1                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	R                                   	                      	                    	                      	                        	                    	                               	                	                    	5                        	                        	                  	                    	                  	                    	                          	1                    	                   	                        	9                             	F                        	                        	                    	12                       	                        	                    	                       	                        	                                 	                          	59               	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN15              	              	164	 994	C	  2	H	 1	  65.00	      5.0500	Okada    	Nannofossils                                 	A              	G                 	5                       	                     	1                                   	                       	                           	                     	                  	                               	                         	                         	                         	5                      	                      	                       	                 	                      	R                    	                           	F                         	                       	1                    	86                   	                     	                   	                       	                        	                       	                   	                       	                     	                           	R                    	                      	1                     	                   	                      	                       	2                 	                   	1                      	                          	                     	                      	1                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	F                          	                 	                         	                                    	                      	                    	R                     	                        	                    	                               	                	                    	59                       	                        	                  	                    	                  	                    	                          	F                    	                   	                        	16                            	                         	                        	                    	3                        	                        	                    	                       	                        	                                 	                          	5                	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN15              	              	164	 994	C	  2	H	 2	  15.00	      6.0500	Okada    	Nannofossils                                 	A              	G                 	11                      	                     	F                                   	                       	                           	                     	                  	                               	                         	                         	F                        	4                      	                      	                       	                 	R                     	                     	R                          	F                         	                       	1                    	136                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	R                    	                      	2                     	                   	                      	                       	1                 	                   	F                      	                          	                     	                      	1                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	R                     	                        	                    	                               	                	                    	72                       	                        	                  	                    	                  	                    	                          	                     	1                  	                        	2                             	                         	                        	                    	3                        	                        	                    	                       	                        	                                 	                          	2                	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN15              	              	164	 994	C	  2	H	 2	 115.00	      7.0500	Okada    	Nannofossils                                 	A              	G                 	15                      	                     	1                                   	                       	                           	                     	                  	                               	                         	                         	                         	2                      	                      	                       	                 	                      	                     	                           	                          	                       	1                    	126                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	R                    	                      	1                     	                   	                      	                       	1                 	                   	F                      	                          	                     	                      	1                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	                      	                        	                    	                               	                	                    	65                       	                        	                  	                    	                  	                    	                          	                     	F                  	                        	4                             	                         	                        	                    	9                        	                        	                    	                       	                        	                                 	                          	R                	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN15              	              	164	 994	C	  2	H	 3	  65.00	      8.0500	Okada    	Nannofossils                                 	A              	G                 	21                      	                     	1                                   	                       	                           	                     	                  	                               	F                        	                         	1                        	3                      	                      	                       	                 	                      	                     	                           	                          	                       	1                    	105                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	F                    	                      	1                     	                   	                      	                       	1                 	                   	F                      	                          	R                    	                      	1                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	                      	                        	                    	                               	                	                    	48                       	                        	                  	                    	                  	                    	                          	F                    	1                  	                        	13                            	2                        	                        	                    	7                        	                        	                    	                       	                        	                                 	                          	R                	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN14b             	              	164	 994	C	  2	H	 4	  15.00	      9.0500	Okada    	Nannofossils                                 	A              	G                 	3                       	                     	F                                   	                       	                           	                     	                  	                               	1                        	                         	1                        	4                      	                      	                       	                 	                      	                     	                           	                          	                       	F                    	122                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	R                    	                      	1                     	                   	                      	                       	F                 	                   	F                      	                          	                     	                      	F                    	                         	                      	R                     	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	F                                   	                      	                    	                      	                        	                    	                               	                	                    	20                       	                        	                  	                    	                  	                    	                          	F                    	                   	                        	35                            	22                       	                        	                    	10                       	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN14b             	              	164	 994	C	  2	H	 4	 105.00	      9.9500	Okada    	Nannofossils                                 	A              	G                 	2                       	                     	1                                   	                       	                           	                     	                  	                               	4                        	                         	                         	7                      	                      	                       	                 	                      	                     	                           	                          	                       	F                    	68                   	                     	                   	                       	                        	                       	                   	                       	                     	                           	R                    	                      	F                     	                   	                      	                       	1                 	                   	                       	                          	                     	                      	F                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	                      	                        	                    	                               	                	                    	19                       	                        	                  	                    	                  	                    	                          	                     	F                  	                        	32                            	17                       	                        	                    	14                       	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN14b             	              	164	 994	C	  2	H	 5	  65.00	     11.0500	Okada    	Nannofossils                                 	A              	G                 	4                       	                     	                                    	                       	                           	                     	                  	                               	2                        	                         	2                        	9                      	                      	                       	                 	                      	R                    	F                          	                          	                       	1                    	134                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	R                    	                      	1                     	                   	                      	                       	4                 	                   	F                      	                          	R                    	                      	1                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	F                          	                 	                         	1                                   	                      	                    	                      	                        	                    	                               	                	                    	16                       	                        	                  	                    	                  	                    	                          	                     	F                  	                        	26                            	11                       	                        	                    	23                       	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN14b             	              	164	 994	C	  2	H	 6	  15.00	     12.0500	Okada    	Nannofossils                                 	A              	G                 	1                       	                     	                                    	                       	                           	                     	                  	                               	10                       	                         	2                        	9                      	                      	                       	                 	                      	                     	                           	                          	                       	R                    	62                   	                     	                   	                       	                        	                       	                   	                       	                     	                           	                     	                      	F                     	                   	                      	                       	1                 	                   	R                      	                          	R                    	                      	                     	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	F                          	                 	                         	F                                   	                      	                    	                      	                        	                    	                               	                	                    	14                       	                        	                  	                    	                  	                    	                          	                     	F                  	                        	37                            	24                       	                        	                    	2                        	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  SR	                 	                 	CN14b             	              	164	 994	C	  2	H	 6	 115.00	     13.0500	Okada    	Nannofossils                                 	A              	G                 	                        	                     	F                                   	                       	                           	                     	                  	                               	3                        	                         	1                        	2                      	                      	                       	                 	                      	                     	                           	                          	                       	F                    	37                   	                     	                   	                       	                        	                       	                   	                       	                     	                           	                     	                      	1                     	                   	                      	                       	F                 	                   	F                      	                          	F                    	                      	1                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	                                    	                      	                    	                      	rR                      	                    	                               	                	                    	6                        	                        	                  	                    	                  	                    	                          	                     	F                  	                        	62                            	19                       	                        	                    	3                        	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2

  IR	Pleistocene      	                 	CN14b             	              	164	 994	C	  2	H	CC	  38.00	     14.0900	Okada    	Nannofossils                                 	A              	G                 	                        	                     	F                                   	                       	                           	                     	                  	                               	A                        	                         	                         	A                      	                      	                       	R                	                      	R                    	                           	                          	                       	F                    	A                    	                     	                   	                       	rR                      	                       	                   	                       	                     	                           	R                    	                      	C                     	                   	                      	                       	C                 	                   	F                      	                          	                     	                      	C                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	F                                   	                      	                    	                      	rR                      	                    	                               	                	                    	C                        	                        	                  	                    	                  	                    	                          	                     	F                  	                        	                              	A                        	A                       	                    	                         	                        	                    	                       	A                       	C                                	R                         	                 	from shipboard Excel file of H. Okada(1767). Leg 164 file Paleo Data994C

  SR	                 	                 	CN14b             	              	164	 994	C	  3	H	 1	  14.00	     14.0400	Okada    	Nannofossils                                 	A              	G                 	2                       	                     	F                                   	                       	                           	                     	                  	                               	5                        	                         	2                        	3                      	                      	                       	                 	R                     	R                    	                           	                          	                       	                     	109                  	                     	                   	                       	                        	                       	                   	                       	                     	                           	                     	                      	F                     	                   	                      	                       	2                 	                   	                       	                          	                     	                      	1                    	                         	                      	                      	                            	                  	                        	                   	                      	                        	                     	                   	                             	                 	                    	                       	                       	                      	                           	                 	                         	1                                   	                      	                    	                      	rF                      	                    	                               	                	                    	7                        	                        	                  	                    	                  	                    	                          	                     	F                  	                        	51                            	21                       	                        	                    	4                        	                        	                    	                       	                        	                                 	                          	                 	from 164 SR Ch 33 Table 2
