Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Watznaueria barnesae,Rucinolithus terebrodentarius,Rucinolithus irregularis,Cretarhabdus surirellus,Zygodiscus spiralis,Zygodiscus erectus,Zygodiscus elegans,Zygodiscus diplogrammus,Vagalapilla stradneri,Tranolithus spp.,Prediscosphaera sp.,Parhabdolithus embergeri,Parhabdolithus asper,Parhabdolithus angustus,Parhabdolithus achylostaurion,Nannoconus spp.,Manivitella pemmatoidea,Lithraphidites carniolensis,Lithastrinus floralis,Flabellites oblongus,Eiffellithus turriseiffelii,Eiffellithus (small taxa),Discorhabdus rotatorius,Cyclagelosphaera margerelii,Cruciellipsis chiastia,Cribrosphaerella ehrenbergii,Cretarhabdus spp.,Cretarhabdus sp.,Chiastozygus litterarius,Biscutum constans,Cretarhabdus conicus,Tranolithus orionatus,Lithraphidites acutus,Braarudosphaera regularis,Ahmuellerella octoradiata,Reinhardtites fenestratus,Corollithion achylosum,Markalius circumradiatus,Prediscosphaera cretacea,Nannoconus sp.,Marthasterites furcatus,Cretarhabdus angustiforatus,Quadrum gartneri,Micula sp.,Eiffellithus eximius,Micula decussata,Rucinolithus hayi,Reinhardtites anthophorus,Prediscosphaera columnata,Lithastrinus grillii,Microrhabdulus decoratus,Cylindralithus sp.,Placozygus fibuliformis,Micula concava,Prediscosphaera spinosa,Tegumentum stradneri,Broinsonia lata,Cretarhabdus striatus,Quadrum sissinghii,Quadrum gothicum,Micula praemurus,Cylindralithus serratus,Ceratolithoides verbeekii,Ceratolithoides aculeus (<90 degrees),Calculites obscurus,Ceratolithoides aculeus (>90 degrees),Bukryaster hayi,Rucinolithus sp.,Kamptnerius magnificus,Eiffellithus gorkae,Aspidolithus parcus constrictus,Arkhangelskiella cymbiformis,Prediscosphaera grandis,Corollithion exiguum,Aspidolithus parcus,Quadrum trifidum,Sphenolithus primus,Sphenolithus anarrhopus,Fasciculithus tympaniformis,Coccolithus pelagicus,Sphenolithus sp.,Toweius eminens,Fasciculithus bobii,Discoaster multiradiatus,Cruciplacolithus tenuis,Coccolithus formosus,Chiasmolithus sp.,Chiasmolithus californicus,Biantholithus sparsus,Sphenolithus moriformis,Fasciculithus pileatus,Fasciculithus lillianae,Ellipsolithus macellus,Cruciplacolithus primus,Chiasmolithus consuetus,Chiasmolithus expansus,Chiasmolithus edwardsii,Sphenolithus radians,Sphenolithus pseudoradians,Markalius inversus,Reticulofenestra hillae,Heliolithus kleinpellii,Discoaster sp.,Discoaster barbadiensis,Cyclicargolithus floridanus,Reticulofenestra umbilica,Reticulofenestra samodurovii,Reticulofenestra reticulata,Dictyococcites bisectus,Cyclicargolithus abisectus,Triquetrorhabdulus carinatus,Pseudotriquetrorhabdulus inversus,Discoaster woodringii,Discoaster bifax,Chiasmolithus grandis,Sphenolithus editus,Discoaster saipanensis,Fasciculithus involutus,Sphenolithus predistentus,Sphenolithus distentus,Sphenolithus spiniger,Sphenolithus celsus,Bramletteius serraculoides,Sphenolithus umbrellus,Sphenolithus ciperoensis,Helicosphaera euphratis,Discoaster deflandrei,Sphenolithus conicus,Sphenolithus delphix,Discoaster variabilis,Sphenolithus obtusus,Sphenolithus belemnos,Pontosphaera sp.,Helicosphaera sp.,Sphenolithus heteromorphus,Reticulofenestra pseudoumbilica,Coccolithus sp.,Discoaster exilis,Reticulofenestra sp.,Discoaster brouweri,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 23,R, 2,   9.00,    197.9900,Mao      ,Nannofossils                                 ,F              ,P                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,R                    ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,R             ,                       ,C                          ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,R                    ,                    ,                    ,F                    ,                    ,                     ,R               ,                 ,F                         ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 23,R, 2,  87.00,    198.7700,Mao      ,Nannofossils                                 ,F              ,P                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,R                    ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,R             ,                       ,C                          ,                         ,                            ,                           ,                       ,                          ,                            ,                                 ,R                    ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,R                    ,                    ,                    ,R                    ,                    ,                     ,R               ,R                ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 24,R, 1,  12.00,    206.2200,Mao      ,Nannofossils                                 ,A              ,P                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,C                    ,                ,               ,                   ,                        ,                       ,                    ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,A             ,                       ,C                          ,R                        ,                            ,                           ,F                      ,C                         ,                            ,                                 ,F                    ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,C                    ,C                   ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 24,R,CC,   0.00,    206.2600,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,C                    ,                ,               ,                   ,                        ,                       ,R                   ,                 ,                          ,                     ,A                      ,                      ,                       ,                      ,                       ,                       ,R                     ,                       ,R                   ,                          ,                  ,                       ,                       ,C             ,                       ,C                          ,R                        ,                            ,                           ,C                      ,C                         ,                            ,                                 ,F                    ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,R                    ,C                   ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 25,R, 1,  25.00,    215.9500,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,C                    ,                ,               ,                   ,                        ,                       ,C                   ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,                       ,                       ,F             ,R                      ,A                          ,                         ,                            ,                           ,R                      ,F                         ,                            ,                                 ,                     ,                ,                     ,                   ,                      ,                       ,                         ,                      ,                     ,                   ,                          ,                      ,                        ,                       ,C                    ,F                   ,                    ,                     ,                    ,R                    ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 25,R,CC,  13.00,    216.7500,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,C                    ,                ,               ,                   ,                        ,                       ,R                   ,                 ,                          ,                     ,C                      ,                      ,                       ,                      ,                       ,R                      ,                      ,                       ,R                   ,                          ,                  ,R                      ,                       ,C             ,F                      ,C                          ,F                        ,R                           ,                           ,F                      ,F                         ,                            ,                                 ,F                    ,                ,                     ,                   ,                      ,                       ,R                        ,R                     ,                     ,                   ,                          ,                      ,R                       ,                       ,F                    ,F                   ,                    ,F                    ,                    ,R                    ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 26,R, 1,  56.00,    225.9600,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,C                    ,                ,               ,                   ,R                       ,                       ,F                   ,R                ,                          ,                     ,C                      ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,                          ,                  ,F                      ,                       ,C             ,C                      ,C                          ,                         ,                            ,                           ,C                      ,R                         ,                            ,                                 ,F                    ,                ,                     ,                   ,                      ,                       ,F                        ,R                     ,                     ,                   ,                          ,                      ,                        ,                       ,R                    ,C                   ,                    ,                     ,R                   ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 26,R, 1, 110.00,    226.5000,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,R                          ,C                    ,                ,               ,                   ,                        ,                       ,C                   ,                 ,                          ,                     ,C                      ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,R                         ,                  ,F                      ,                       ,R             ,C                      ,C                          ,                         ,                            ,                           ,C                      ,C                         ,                            ,                                 ,R                    ,                ,                     ,                   ,R                     ,                       ,R                        ,C                     ,                     ,                   ,                          ,                      ,                        ,                       ,R                    ,F                   ,R                   ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 26,R, 2, 100.00,    227.9000,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,C                    ,                ,               ,                   ,                        ,                       ,C                   ,R                ,                          ,                     ,C                      ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,R                   ,                          ,                  ,F                      ,                       ,C             ,F                      ,C                          ,R                        ,                            ,                           ,R                      ,C                         ,                            ,                                 ,F                    ,                ,                     ,                   ,R                     ,                       ,R                        ,C                     ,R                    ,                   ,R                         ,                      ,                        ,                       ,R                    ,C                   ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 26,R, 3,  23.00,    228.6300,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,                           ,C                    ,                ,               ,                   ,R                       ,                       ,                    ,                 ,                          ,                     ,C                      ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,R                         ,                  ,F                      ,                       ,F             ,C                      ,C                          ,                         ,                            ,                           ,C                      ,F                         ,R                           ,                                 ,F                    ,R               ,                     ,                   ,R                     ,                       ,R                        ,R                     ,                     ,                   ,                          ,                      ,                        ,                       ,                     ,C                   ,                    ,R                    ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 26,R,CC,   9.00,    229.0400,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,R                          ,C                    ,                ,               ,                   ,                        ,                       ,F                   ,                 ,                          ,                     ,C                      ,                      ,                       ,                      ,                       ,                       ,R                     ,                       ,R                   ,                          ,R                 ,F                      ,                       ,C             ,F                      ,A                          ,                         ,                            ,                           ,C                      ,F                         ,R                           ,R                                ,F                    ,                ,                     ,                   ,R                     ,                       ,F                        ,F                     ,R                    ,                   ,R                         ,                      ,                        ,                       ,R                    ,C                   ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 1,  44.00,    235.5400,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,R                          ,C                    ,C               ,               ,                   ,                        ,                       ,F                   ,                 ,                          ,                     ,                       ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,R                         ,                  ,R                      ,                       ,F             ,R                      ,A                          ,                         ,                            ,                           ,F                      ,F                         ,R                           ,R                                ,F                    ,                ,                     ,                   ,                      ,                       ,R                        ,R                     ,                     ,                   ,R                         ,                      ,                        ,                       ,R                    ,F                   ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,129, 802,A, 27,R, 2,  82.00,    237.4200,Mao      ,Nannofossils                                 ,A              ,M                 ,                    ,                             ,                        ,                       ,                   ,                  ,                  ,                       ,                     ,                ,                   ,                        ,                    ,                       ,                             ,               ,                       ,                           ,                     ,                    ,                           ,                         ,                       ,                           ,                      ,                            ,                 ,                ,                        ,                 ,                    ,                     ,                     ,                         ,                         ,                         ,                      ,                        ,                        ,              ,                       ,                           ,                ,          ,                    ,                ,                 ,                         ,                         ,                    ,                        ,                  ,                       ,              ,                       ,                    ,               ,                     ,                  ,                ,                ,                       ,                         ,                                     ,                   ,                                     ,               ,                ,                      ,                   ,                               ,                            ,                       ,                    ,                   ,                ,                   ,                       ,R                          ,C                    ,                ,               ,                   ,                        ,                       ,F                   ,                 ,                          ,                     ,C                      ,                      ,                       ,                      ,                       ,                       ,                      ,                       ,                    ,R                         ,                  ,F                      ,                       ,R             ,F                      ,A                          ,                         ,                            ,                           ,C                      ,C                         ,R                           ,R                                ,C                    ,                ,                     ,                   ,                      ,                       ,R                        ,R                     ,                     ,                   ,R                         ,                      ,                        ,                       ,                     ,F                   ,                    ,                     ,                    ,                     ,                ,                 ,                          ,                               ,               ,                 ,                    ,                   ,from ODP Leg 130; Mao & Covington Table 1 back pocket
