Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Sphenolithus abies/neoabies,Reticulofenestra spp. small,Reticulofenestra pseudoumbilica,Helicosphaera kamptneri,Discoaster variabilis,Discoaster surculus,Discoaster pentaradiatus,Discoaster neohamatus,Crenalithus doronicoides,Ceratolithus acutus,Calcidiscus macintyrei,Calcidiscus leptoporus,Amaurolithus delicatus,Amaurolithus amplificus,Discoaster quinqueramus,Discoaster brouweri,Discoaster triradiatus,Ceratolithus rugosus,Discoaster asymmetricus,Amaurolithus tricorniculatus,Discoaster tamalis,Coccolithus pelagicus,Amaurolithus primus,Pseudoemiliania lacunosa,Helicosphaera sellii,Rhabdosphaera stylifera,Rhabdosphaera clavigera,Syracosphaera pulchra,Scyphosphaera pulcherrima,Discolithina japonica,Gephyrocapsa spp.,Pontosphaera syracusana,Oolithotus antillarum,Scyphosphaera apsteinii,Gephyrocapsa caribbeanica,Umbilicosphaera mirabilis,Umbilicosphaera sibogae,Gephyrocapsa oceanica,Ceratolithus cristatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,CN14a         ,108, 665,A,  4,H, 3, 150.00,     26.4000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                           ,                               ,C                      ,                     ,                   ,                        ,                     ,A                       ,                   ,                      ,C                     ,                      ,                       ,                       ,                   ,                      ,                    ,                       ,                            ,                  ,                     ,                   ,F                       ,                    ,                       ,                       ,F                    ,                         ,R                    ,A                ,                       ,R                    ,                       ,A                        ,R                        ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13b             ,CN13b         ,108, 665,A,  4,H, 4,  10.00,     26.5000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                           ,                               ,C                      ,                     ,                   ,                        ,                     ,A                       ,                   ,                      ,C                     ,                      ,                       ,                       ,                   ,                      ,R                   ,                       ,                            ,                  ,                     ,                   ,F                       ,R                   ,F                      ,R                      ,F                    ,R                        ,R                    ,A                ,F                      ,                     ,F                      ,C                        ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN13a             ,              ,108, 665,A,  4,H, 6, 130.00,     30.7000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                           ,                               ,C                      ,                     ,                   ,                        ,                     ,C                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,                   ,                      ,R                   ,                       ,                            ,                  ,R                    ,                   ,C                       ,F                   ,                       ,                       ,R                    ,R                        ,F                    ,A                ,R                      ,R                    ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,CN12d             ,CN13a         ,108, 665,A,  5,H, 3, 120.00,     35.6000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,                           ,                               ,C                      ,                     ,                   ,                        ,                     ,C                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,                   ,                      ,                    ,                       ,                            ,                  ,F                    ,                   ,C                       ,F                   ,F                      ,R                      ,F                    ,                         ,R                    ,A                ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,CN13a         ,108, 665,A,  5,H, 4,  30.00,     36.2000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,A                          ,                               ,C                      ,                     ,                   ,                        ,                     ,C                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,F                  ,R                     ,F                   ,                       ,                            ,                  ,C                    ,                   ,C                       ,F                   ,                       ,                       ,R                    ,R                        ,R                    ,A                ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12d             ,              ,108, 665,A,  5,H, 6,  30.00,     39.2000,Manivit  ,Nannofossils                                 ,A              ,P                 ,                           ,A                          ,                               ,C                      ,                     ,                   ,                        ,                     ,F                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,F                  ,C                     ,R                   ,                       ,                            ,                  ,C                    ,                   ,C                       ,F                   ,R                      ,F                      ,R                    ,                         ,F                    ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12c             ,CN12d         ,108, 665,A,  5,H, 6,  90.00,     39.8000,Manivit  ,Nannofossils                                 ,A              ,P                 ,                           ,A                          ,                               ,C                      ,                     ,                   ,                        ,                     ,C                       ,                   ,C                     ,C                     ,                      ,                       ,                       ,C                  ,F                     ,R                   ,                       ,                            ,                  ,C                    ,                   ,C                       ,F                   ,                       ,R                      ,                     ,                         ,F                    ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,CN12c         ,108, 665,A,  6,H, 4,  80.00,     46.2000,Manivit  ,Nannofossils                                 ,A              ,P                 ,                           ,A                          ,                               ,C                      ,                     ,                   ,F                       ,                     ,C                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,C                  ,F                     ,F                   ,                       ,                            ,                  ,C                    ,                   ,C                       ,F                   ,R                      ,                       ,F                    ,R                        ,R                    ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12b             ,              ,108, 665,A,  6,H, 5,  90.00,     47.8000,Manivit  ,Nannofossils                                 ,A              ,P                 ,                           ,A                          ,                               ,C                      ,                     ,F                  ,C                       ,                     ,A                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,C                  ,R                     ,R                   ,                       ,                            ,                  ,C                    ,                   ,C                       ,F                   ,                       ,R                      ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12b         ,108, 665,A,  6,H, 7,  10.00,     50.0000,Manivit  ,Nannofossils                                 ,A              ,P                 ,                           ,A                          ,                               ,C                      ,                     ,F                  ,C                       ,                     ,C                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,C                  ,R                     ,R                   ,R                      ,                            ,                  ,C                    ,                   ,C                       ,F                   ,R                      ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,CN12b         ,108, 665,A,  7,H, 1,  80.00,     51.2000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,A                          ,                               ,C                      ,                     ,F                  ,C                       ,                     ,F                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,C                  ,R                     ,                    ,F                      ,                            ,R                 ,C                    ,                   ,C                       ,F                   ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN12a             ,              ,108, 665,A,  7,H,CC,  12.00,     59.9000,Manivit  ,Nannofossils                                 ,A              ,M                 ,                           ,A                          ,                               ,C                      ,                     ,F                  ,C                       ,                     ,F                       ,                   ,C                     ,C                     ,                      ,                       ,                       ,F                  ,R                     ,F                   ,F                      ,                            ,F                 ,F                    ,                   ,F                       ,F                   ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,CN11              ,CN12a         ,108, 665,A,  8,H, 3,  90.00,     63.8000,Manivit  ,Nannofossils                                 ,A              ,M                 ,R                          ,A                          ,                               ,C                      ,                     ,C                  ,C                       ,                     ,C                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,C                  ,R                     ,                    ,F                      ,                            ,F                 ,R                    ,                   ,F                       ,                    ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,CN12a         ,108, 665,A,  8,H, 4, 100.00,     65.4000,Manivit  ,Nannofossils                                 ,A              ,P                 ,C                          ,A                          ,F                              ,C                      ,                     ,C                  ,C                       ,                     ,C                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,C                  ,R                     ,F                   ,F                      ,                            ,F                 ,R                    ,                   ,R                       ,                    ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN11              ,              ,108, 665,A,  8,H,CC,  12.00,     69.2200,Manivit  ,Nannofossils                                 ,A              ,P                 ,A                          ,A                          ,C                              ,F                      ,F                    ,C                  ,C                       ,                     ,F                       ,                   ,F                     ,C                     ,                      ,                       ,                       ,C                  ,R                     ,                    ,F                      ,                            ,R                 ,R                    ,R                  ,                        ,                    ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,CN11          ,108, 665,A,  9,H, 1,  50.00,     69.9000,Manivit  ,Nannofossils                                 ,A              ,P                 ,A                          ,A                          ,C                              ,F                      ,F                    ,C                  ,C                       ,                     ,C                       ,                   ,C                     ,C                     ,R                     ,                       ,                       ,F                  ,                      ,F                   ,R                      ,R                           ,                  ,                     ,                   ,                        ,                    ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10c             ,              ,108, 665,A,  9,H, 3,  77.00,     73.1700,Manivit  ,Nannofossils                                 ,A              ,P                 ,A                          ,A                          ,C                              ,F                      ,F                    ,C                  ,C                       ,                     ,C                       ,                   ,C                     ,C                     ,R                     ,                       ,                       ,C                  ,                      ,R                   ,                       ,                            ,                  ,                     ,                   ,                        ,                    ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10b             ,CN10c         ,108, 665,A,  9,H, 3, 140.00,     73.8000,Manivit  ,Nannofossils                                 ,A              ,P                 ,A                          ,A                          ,A                              ,F                      ,F                    ,F                  ,C                       ,                     ,F                       ,R                  ,F                     ,C                     ,                      ,                       ,                       ,C                  ,R                     ,                    ,                       ,                            ,                  ,                     ,                   ,                        ,                    ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10b             ,CN10c         ,108, 665,A,  9,H, 4,  30.00,     74.2000,Manivit  ,Nannofossils                                 ,M              ,P                 ,C                          ,A                          ,A                              ,C                      ,F                    ,F                  ,C                       ,                     ,C                       ,R                  ,F                     ,F                     ,R                     ,                       ,                       ,C                  ,                      ,                    ,                       ,                            ,                  ,                     ,                   ,                        ,                    ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10b             ,              ,108, 665,A,  9,H, 5,  25.00,     75.6500,Manivit  ,Nannofossils                                 ,M              ,P                 ,C                          ,A                          ,C                              ,F                      ,F                    ,F                  ,C                       ,                     ,C                       ,                   ,F                     ,F                     ,R                     ,                       ,rR                     ,C                  ,                      ,                    ,                       ,                            ,                  ,                     ,                   ,                        ,                    ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10b             ,              ,108, 665,A,  9,H, 5,  32.00,     75.7200,Manivit  ,Nannofossils                                 ,M              ,P                 ,C                          ,C                          ,C                              ,C                      ,                     ,C                  ,F                       ,                     ,C                       ,R                  ,C                     ,F                     ,                      ,                       ,rR                     ,                   ,                      ,                    ,                       ,                            ,                  ,                     ,                   ,                        ,                    ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,CN10b             ,              ,108, 665,A,  9,H, 5, 135.00,     76.7500,Manivit  ,Nannofossils                                 ,M              ,P                 ,C                          ,C                          ,C                              ,C                      ,F                    ,C                  ,F                       ,rR                   ,F                       ,R                  ,F                     ,F                     ,R                     ,R                      ,                       ,                   ,                      ,                    ,                       ,                            ,                  ,                     ,                   ,                        ,                    ,                       ,                       ,                     ,                         ,                     ,                 ,                       ,                     ,                       ,                         ,                         ,                       ,                     ,                      ,from ODP Leg 108 SR Chapter 4 Table 11 p 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
