Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorythium vetulum,Theocorythium trachelium,Theocalyptra davisiana,Stylatractus universus,Stichocorys peregrina,Stichocorys johnsoni,Stichocorys delmontensis,Spongodiscus ambus,Spongaster tetras,Spongaster pentas,Spirocyrtis scalaris,Spirocyrtis gyroscalaris,Solenosphaera omnitubus,Siphostichartus corona,Pterocorys minythorax,Pterocorys hertwigii,Pterocanium prismatium,Pterocanium audax,Phormostichoartus doliolum,Nephrospyris renilla renilla,Lithopera bacca,Lamprocyrtis nigriniae,Lamprocyrtis neoheteroporos,Didymocyrtis penultima,Didymocyrtis avita,Didymocyrtis antepenultima,Dictyocoryne ontongensis,Collosphaera tuberosa,Collosphaera orthoconus,Collosphaera invaginata,Centrobotrys thermophila,Botryostrobus miralestensis,Botryostrobus euporus,Anthocyrtidium angulare,Androspyris huxleyi,Androspyris fenestrata,Androspyris anthropiscus,Amphirhopalum ypsilon,Acrobotrys tritubus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  2,H, 7,  23.00,     15.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,1                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,1                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,+                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,1                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  2,H,CC,  12.00,     15.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,1                    ,-                      ,1                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  3,H, 1,  23.00,     15.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,1                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,1                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  3,H, 2,  83.00,     18.0300,Alexandrovich,Radiolarians                                 ,               ,                  ,1                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,+                    ,1                   ,-                     ,-                ,-                         ,+                           ,Fg             ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,1                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  3,H, 2, 123.00,     18.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,Fg             ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,+                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  3,H, 3,  23.00,     18.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,1                   ,-                     ,-                ,-                         ,+                           ,Fg             ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,2                    ,1                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  3,H, 3,  83.00,     19.5300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,Fg                   ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  3,H, 7,  23.00,     24.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,1                    ,1                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,2                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  3,H,CC,   8.00,     25.4500,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,1                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,Fg                          ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  4,H, 5,  23.00,     31.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,1                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,1                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  4,H, 6,  23.00,     32.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,1                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,1                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  4,H, 6,  92.00,     33.6200,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,1                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  4,H, 6, 123.00,     33.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,1                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  4,H,CC,  26.00,     34.6400,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,1                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H, 1,  23.00,     34.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,Fg2                         ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H, 1, 110.00,     35.8000,Alexandrovich,Radiolarians                                 ,               ,                  ,1                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,+                    ,1                   ,-                     ,-                ,-                         ,Fg                          ,+              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H, 3,  23.00,     37.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,Fg1                         ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,+                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H, 4,  23.00,     39.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,Fg                   ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,1              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,+                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H, 4,  73.00,     39.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,1                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,Fg                          ,-              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,1                  ,-                     ,+                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H, 4, 110.00,     40.3000,Alexandrovich,Radiolarians                                 ,               ,                  ,Fg                   ,2                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,Fg             ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,1                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H, 5,  23.00,     40.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,Fg1                 ,-                     ,-                ,-                         ,+                           ,+              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,1                    ,-                      ,2                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H, 5,  73.00,     41.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,+                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,1                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,-                  ,-                     ,1                       ,1                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H, 6,  23.00,     42.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,+                    ,1                   ,-                     ,-                ,-                         ,-                           ,+              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,-                    ,-                      ,-                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H, 7,  23.00,     43.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,1                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,-                      ,+                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  5,H,CC,   6.00,     44.1500,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,+                           ,-              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,3                      ,+                  ,-                     ,3                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H, 1,  23.00,     44.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,-                       ,1                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,+                     ,-                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,+                      ,1                  ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H, 1, 107.00,     45.2700,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,+                   ,-                     ,-                ,-                         ,Fg                          ,+              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,+                      ,Fg                 ,-                     ,+                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H, 2,  73.00,     46.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,3                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,+                      ,Fg                 ,-                     ,1                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H, 2, 123.00,     46.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,-              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,1                      ,+                  ,-                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H, 3,  12.00,     47.3200,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,+                   ,-                       ,-                      ,-                     ,+                    ,2                   ,-                     ,-                ,-                         ,-                           ,+              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,+                      ,+                  ,1                     ,-                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H, 4,  73.00,     49.4300,Alexandrovich,Radiolarians                                 ,               ,                  ,-                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,1                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,-                           ,Fg1            ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,+                      ,2                  ,-                     ,+                       ,+                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,111, 677,A,  6,H, 6,  23.00,     51.9300,Alexandrovich,Radiolarians                                 ,               ,                  ,+                    ,+                       ,+                     ,+                     ,-                    ,-                   ,-                       ,-                 ,+                ,-                ,-                   ,-                       ,-                      ,-                     ,+                    ,-                   ,-                     ,-                ,-                         ,Fg                          ,-              ,+                     ,+                          ,-                     ,-                 ,-                         ,-                       ,-                    ,-                      ,-                      ,-                       ,-                          ,+                    ,+                      ,+                  ,1                     ,-                       ,-                    ,-                  ,from 111 SR. Chapter 21. Table 2. pages 248 - 250.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
