Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Distephanus speculum f. octonarius	Distephanus speculum	Dictyocha messanensis stapedia	Dictyocha messanensis messanensis	Dictyocha messanensis (total)	Ammodochium serotinum	Actiniscus pentasterias	Distephanus speculum f. speculum	Distephanus speculum f. septenarius	Ammodochium sp. (small triodes)	Distephanus aculeata	Ebria tripartita	Dictyocha fibula	Ebria sp. (large triodes)	Dictyocha varia	Distephanus speculum  pentagonus	Dictyocha messanensis aculeata	Distephanus bioctonarius	Dictyocha perlaevis	Comment
  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  4	H	 6	 130.00	     30.8000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	R                      	R                               	T                                  	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  5	H	 2	  60.00	     32.4000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	R                                	R                            	                     	T                      	R                               	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  5	H	 4	  60.00	     35.4000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	T                      	                                	                                   	                               	                    	                	                	                         	               	R                               	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  5	H	 6	  60.00	     38.4000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	                    	                              	                                 	                             	                     	R                      	                                	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	silicoflagellate fragments noted. from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  5	H	 8	  58.00	     41.3800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	T                      	R                               	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  6	H	 2	  29.00	     42.7900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	R                      	R                               	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  6	H	 4	  79.00	     46.2900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	T                      	R                               	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  6	H	 6	  90.00	     49.4000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	R                      	R                               	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  6	H	 7	  60.00	     50.6000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	R                      	R                               	                                   	                               	                    	                	                	                         	rT             	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  7	H	 3	  89.00	     54.3900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	F                   	                              	                                 	                             	                     	                       	F                               	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  7	H	 6	  25.00	     58.2500	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	                    	                              	F                                	F                            	                     	F                      	                                	                                   	                               	                    	R               	                	R                        	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  8	H	 3	  71.00	     63.7100	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	R                                	R                            	                     	R                      	R                               	                                   	                               	                    	R               	                	R                        	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	  8	H	 5	  10.00	     66.1000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	                    	T                             	R                                	R                            	                     	R                      	                                	                                   	                               	                    	                	                	                         	               	                                	R                             	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	 10	H	 3	 100.00	     75.0000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                                 	R                   	                              	                                 	T                            	R                    	F                      	R                               	                                   	T                              	                    	T               	                	                         	               	T                               	T                             	T                       	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	 12	X	 2	  50.00	     92.1000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	F                   	                              	                                 	                             	                     	R                      	F                               	                                   	R                              	                    	R               	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	 13	X	 1	  35.00	    100.1500	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	T                      	R                               	                                   	                               	                    	R               	                	R                        	               	R                               	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	 14	X	 2	  70.00	    111.6000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	R                      	R                               	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	 15	X	 2	  68.00	    121.1800	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	F                   	                              	                                 	R                            	                     	T                      	F                               	T                                  	                               	                    	                	                	                         	               	T                               	R                             	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	 15	X	 4	  75.00	    124.2500	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	R                      	R                               	                                   	                               	                    	T               	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	 16	X	 1	  72.00	    129.6200	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	T                            	                     	R                      	R                               	                                   	                               	                    	                	                	R                        	               	                                	T                             	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	 16	X	 5	  60.00	    135.5000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	T                            	                     	R                      	R                               	                                   	                               	                    	                	                	                         	               	                                	T                             	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	 17	X	 1	 109.00	    139.7900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	                       	R                               	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Quaternary       	                 	Ds. speculum      	              	141	 861	C	 18	X	 3	 119.00	    152.6900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	                    	                              	                                 	                             	                     	                       	                                	                                   	                               	                    	R               	                	                         	               	                                	                              	                        	                   	silicoflagellate fragments noted. from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 21	X	 1	 100.00	    171.2000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	                     	                       	R                               	T                                  	R                              	R                   	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 22	X	 4	  87.00	    185.2700	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                                 	C                   	                              	F                                	F                            	F                    	F                      	C                               	T                                  	R                              	                    	                	                	R                        	rT             	R                               	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 25	X	 3	  99.00	    212.8900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                                 	R                   	                              	R                                	R                            	                     	R                      	R                               	                                   	                               	R                   	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 27	X	 2	  30.00	    221.9000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                                 	C                   	                              	                                 	                             	                     	F                      	C                               	                                   	                               	R                   	                	                	                         	               	R                               	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 27	X	 4	  30.00	    223.8100	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                                 	C                   	                              	                                 	                             	                     	F                      	C                               	                                   	                               	F                   	                	                	                         	rT             	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 28	X	 3	  40.00	    231.5000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	F                                 	F                   	                              	T                                	T                            	R                    	C                      	R                               	                                   	R                              	F                   	R               	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 28	X	 5	  29.00	    234.0300	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	R                                	R                            	R                    	F                      	R                               	                                   	R                              	R                   	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 29	X	 1	  75.00	    238.4500	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                                 	R                   	                              	                                 	                             	                     	R                      	                                	                                   	T                              	R                   	                	                	R                        	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 32	X	 2	  44.00	    258.9400	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	R                   	                              	                                 	                             	R                    	R                      	R                               	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 35	X	 3	 100.00	    289.0300	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                                  	                    	                              	                                 	                             	R                    	R                      	                                	                                   	                               	                    	T               	rT              	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	Pliocene         	                 	Ds. aculeatus     	              	141	 861	C	 36	X	 3	 100.00	    299.6000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                                 	R                   	                              	                                 	                             	R                    	T                      	R                               	                                   	                               	T                   	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	                 	                 	                  	              	141	 861	C	 37	X	 1	  90.00	    305.8000	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	T                                 	R                   	                              	                                 	                             	T                    	R                      	R                               	T                                  	T                              	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

  SR	                 	                 	                  	              	141	 861	C	 41	X	 3	  99.00	    347.3900	Locker   	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	R                                 	R                   	T                             	R                                	R                            	R                    	R                      	                                	                                   	                               	                    	                	                	                         	               	                                	                              	                        	                   	from 141 SR; Ch 16; Table 2; p 228-229

