Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stylosphaera angelina	Lithocampe subligata	Cyrtocapsella tetrapera	Cyrtocapsella cornuta	Cenosphaera coronataformis	Cenosphaera coronata	Stylatractus universus	Sphaeropyle robusta	Cenosphaera sp.	Amphymenium amphistylium	Stichocorys diploconus	Lithocarpium polyacantha	Gen. et sp. indet	Cyrtocapsella japonica	Stichocorys wolffii	Lithocarpium titan	Acrospyris lingi	Eucyrtidium inflatum	Eucyrtidium cienkowskii	Eucyrtidium calvertense	Eucyrtidium asanoi	Lipmanella redondoensis	Amphymenium amphistylium group	Theocorys redondoensis	Stichocorys delmontensis	Lychnocanoma nipponica nipponica	Lithopera renzae	Lychnocanoma nipponica magnacornuta	Dictyophimus splendens	Cycladophora cosma cosma	Sphaeropyle langii	Lychnocanium nipponicum magnacornutum	Lychnocanium nipponicum	Stichocorys sp. P	Botryostrobus bramlettei	Diplocyclas cornutoides	Cornutella profunda	Clathrocyclas bicornis group	Axoprunum bispiculum	Axoprunum acquilonius	Stylacontarium acquilonium	Phormostichoartus fistula	Actinomma popofskii	Androcyclas heteroporos	Botryostrobus aquilonaris	Diplocyclas davisiana	Comment

  SR	Early Pliocene   	                 	A. acquilonius    	              	145	 887	C	 14	H	CC	  21.00	    122.2100	Shilov   	Radiolarians                                 	R              	P                 	R                    	                    	                       	                     	                          	                    	                      	R                  	               	                        	                      	                        	                 	                      	                   	                  	                	rR                  	                       	                       	                  	                       	                              	                      	R                       	                                	                	                                   	                      	                        	R                 	rR                                   	                       	                 	                        	R                      	R                  	                            	                    	F                    	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Early Pliocene   	                 	A.. acq.-L. redond.	              	145	 887	C	 15	H	CC	  20.00	    131.6200	Shilov   	Radiolarians                                 	R              	M                 	R                    	                    	                       	                     	                          	                    	                      	R                  	               	                        	                      	                        	                 	                      	                   	                  	                	                    	                       	                       	                  	R                      	                              	                      	                        	                                	                	                                   	                      	                        	R                 	                                     	                       	                 	                        	F                      	                   	                            	                    	C                    	                          	                         	                   	F                      	                         	                     	A. acquilonius is reported as F-C & D. cornutoides is reported as R-F;  ;  from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Early Pliocene   	                 	A.. acq.-L. redond.	              	145	 887	C	 16	H	CC	  29.00	    140.5900	Shilov   	Radiolarians                                 	R              	P                 	F                    	                    	                       	                     	                          	                    	                      	F                  	               	                        	                      	                        	                 	rR                    	                   	                  	                	                    	                       	                       	                  	R                      	                              	                      	                        	                                	                	                                   	                      	                        	                  	rR                                   	                       	                 	R                       	                       	R                  	                            	                    	F                    	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Late Miocene     	Early Pliocene   	A.. acq.-L. redond.	              	145	 887	C	 17	H	CC	  21.00	    150.8700	Shilov   	Radiolarians                                 	R              	P                 	                     	                    	                       	                     	                          	                    	                      	R                  	               	                        	                      	R                       	                 	                      	                   	                  	                	                    	                       	                       	                  	R                      	                              	                      	R                       	                                	                	                                   	                      	                        	                  	rR                                   	                       	                 	                        	R                      	                   	                            	R                   	R                    	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Late Miocene     	                 	A.. acq.-L. redond.	              	145	 887	C	 18	H	CC	  19.00	    158.1400	Shilov   	Radiolarians                                 	R              	P                 	R                    	                    	rR                     	                     	                          	                    	                      	R                  	               	                        	                      	                        	                 	rR                    	                   	                  	                	                    	                       	                       	                  	R                      	                              	                      	R                       	                                	                	                                   	                      	                        	                  	rR                                   	                       	                 	                        	                       	R                  	                            	R                   	R                    	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	                 	                 	                  	              	145	 887	C	 19	H	 6	  54.00	    167.8400	Morley   	Radiolarians                                 	F              	P-M               	                     	                    	                       	                     	                          	                    	T                     	                   	               	                        	                      	                        	                 	                      	                   	                  	                	                    	                       	                       	                  	                       	                              	R                     	                        	                                	                	                                   	T                     	                        	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	R                         	T                        	T                  	                       	                         	                     	from Leg 145 Sr; Ch 4; Table 6; p 62-63

  SR	Late Miocene     	                 	A.. acq.-L. redond.	              	145	 887	C	 19	H	CC	   9.00	    169.1000	Shilov   	Radiolarians                                 	R              	P                 	R                    	                    	                       	                     	                          	                    	                      	R                  	               	                        	                      	                        	                 	                      	                   	                  	                	                    	                       	                       	                  	R                      	                              	                      	R                       	                                	                	                                   	                      	                        	                  	rR                                   	                       	                 	                        	                       	                   	                            	R                   	R                    	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Late Miocene     	                 	A.. acq.-L. redond.	              	145	 887	C	 20	H	CC	  18.00	    178.9100	Shilov   	Radiolarians                                 	F              	M                 	R                    	                    	                       	R                    	                          	                    	                      	R                  	               	                        	                      	                        	                 	                      	                   	                  	                	                    	                       	                       	                  	R                      	                              	                      	                        	                                	                	                                   	                      	                        	R                 	                                     	                       	                 	                        	                       	R                  	                            	R                   	F                    	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Late Miocene     	                 	A.. acq.-L. redond.	              	145	 887	C	 21	H	CC	  23.00	    188.5600	Shilov   	Radiolarians                                 	F              	M                 	F                    	                    	                       	R                    	                          	                    	                      	F                  	               	                        	                      	                        	                 	R                     	rC                 	                  	                	                    	                       	                       	                  	R                      	                              	                      	R                       	                                	                	                                   	                      	                        	                  	rR                                   	                       	                 	                        	                       	R                  	                            	                    	F                    	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Late Miocene     	                 	L. redondoensis   	              	145	 887	C	 22	H	CC	  26.00	    197.8400	Shilov   	Radiolarians                                 	A              	G                 	C                    	                    	                       	R                    	                          	                    	                      	R                  	               	                        	                      	                        	                 	R                     	                   	                  	                	rR                  	                       	                       	                  	R                      	                              	                      	A                       	                                	                	                                   	                      	                        	                  	rR                                   	                       	R                	                        	                       	                   	                            	R                   	                     	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Late Miocene     	                 	L. redondoensis   	              	145	 887	C	 23	H	CC	  26.00	    207.7700	Shilov   	Radiolarians                                 	C              	M                 	R                    	                    	                       	R                    	                          	                    	                      	R                  	               	                        	                      	                        	                 	R                     	                   	                  	                	                    	                       	                       	                  	C                      	R                             	                      	C                       	                                	                	                                   	                      	                        	                  	                                     	                       	                 	                        	R                      	C                  	R                           	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Late Miocene     	                 	L. nippon. magnacorn	              	145	 887	C	 24	H	CC	  31.00	    216.6100	Shilov   	Radiolarians                                 	A              	M                 	R                    	                    	R                      	R                    	                          	                    	                      	F                  	               	                        	                      	C                       	                 	R                     	rR                 	F                 	                	rR                  	                       	                       	                  	C                      	R                             	                      	F                       	                                	                	                                   	                      	                        	R                 	A                                    	F                      	                 	R                       	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Late Miocene     	                 	L. nippon. magnacorn	              	145	 887	C	 25	H	CC	  26.00	    226.7200	Shilov   	Radiolarians                                 	A              	P-M               	F                    	                    	                       	                     	                          	                    	                      	R                  	               	                        	                      	                        	                 	A                     	                   	                  	                	                    	                       	                       	                  	R                      	R                             	                      	R                       	                                	                	                                   	                      	                        	                  	A                                    	C                      	R                	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	                 	                 	                  	              	145	 887	C	 26	H	 6	  55.00	    234.3500	Morley   	Radiolarians                                 	A              	M                 	                     	                    	F                      	                     	                          	                    	R                     	T                  	               	T                       	                      	                        	R                	C                     	                   	                  	                	T                   	                       	                       	                  	                       	                              	F                     	                        	T                               	                	C                                  	T                     	T                       	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 Sr; Ch 4; Table 6; p 62-63

  SR	Middle Miocene   	Late Miocene     	L. nippon. magnacorn	              	145	 887	C	 26	H	CC	   5.00	    235.8000	Shilov   	Radiolarians                                 	A              	G                 	R                    	                    	                       	R                    	                          	                    	                      	R                  	               	                        	                      	                        	                 	                      	                   	                  	                	rR                  	                       	                       	R                 	A                      	                              	                      	                        	                                	                	                                   	                      	                        	R                 	A                                    	C                      	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	                 	                 	                  	              	145	 887	C	 27	H	 3	  55.00	    239.3500	Morley   	Radiolarians                                 	A              	M                 	                     	                    	C                      	F                    	                          	                    	R                     	                   	               	+                       	                      	                        	T                	R                     	                   	                  	                	F                   	                       	                       	                  	                       	                              	R                     	?                       	F                               	C               	F                                  	R                     	R                       	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 Sr; Ch 4; Table 6; p 62-63

  SR	                 	                 	                  	              	145	 887	C	 27	H	 6	  55.00	    243.8500	Morley   	Radiolarians                                 	A              	P-M               	                     	                    	R                      	T                    	                          	                    	R                     	                   	               	T                       	                      	                        	T                	F                     	                   	                  	                	R                   	                       	                       	                  	                       	                              	R                     	F                       	+                               	R               	                                   	                      	                        	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 Sr; Ch 4; Table 6; p 62-63

  SR	Middle Miocene   	                 	E. inflatum       	              	145	 887	C	 27	H	CC	  28.00	    245.6900	Shilov   	Radiolarians                                 	A              	G                 	                     	                    	A                      	F                    	                          	                    	                      	                   	               	                        	                      	C                       	                 	                      	                   	                  	                	F                   	                       	                       	                  	F                      	R                             	                      	                        	                                	                	                                   	                      	                        	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Middle Miocene   	                 	E. inflatum       	              	145	 887	C	 28	H	CC	  19.00	    254.8900	Shilov   	Radiolarians                                 	A              	G                 	A                    	                    	A                      	                     	                          	                    	                      	                   	               	                        	                      	                        	                 	                      	                   	                  	                	R                   	C                      	A                      	R                 	                       	                              	                      	                        	                                	                	                                   	                      	                        	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	E. asanoi is reported as questionable;  from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Early Miocene    	Middle Miocene   	A. lingi          	              	145	 887	C	 29	H	 7	  36.00	    264.1600	Shilov   	Radiolarians                                 	A              	G                 	C                    	                    	C                      	R                    	                          	R                   	                      	                   	               	                        	                      	                        	                 	                      	                   	F                 	R               	                    	                       	                       	                  	                       	                              	                      	                        	                                	                	                                   	                      	                        	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	Early Miocene    	                 	C. coronataformis 	              	145	 887	C	 30	H	 1	  54.00	    264.8400	Shilov   	Radiolarians                                 	A              	G                 	F                    	R                   	C                      	C                    	F                         	F                   	                      	                   	               	                        	A                     	C                       	                 	                      	R                  	                  	                	                    	                       	                       	                  	                       	                              	                      	                        	                                	                	                                   	                      	                        	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	                 	                 	                  	              	145	 887	C	 30	H	 3	  54.00	    267.8400	Morley   	Radiolarians                                 	A              	P-M               	                     	                    	C                      	F                    	                          	                    	F                     	                   	C              	                        	                      	                        	+                	F                     	                   	                  	                	                    	                       	                       	                  	                       	                              	                      	                        	                                	                	                                   	                      	                        	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 Sr; Ch 4; Table 6; p 62-63

  SR	Early Miocene    	                 	C. coronataformis 	              	145	 887	C	 30	H	 5	  54.00	    270.8400	Shilov   	Radiolarians                                 	A              	G                 	F                    	F                   	C                      	F                    	A                         	C                   	                      	                   	               	                        	F                     	F                       	                 	                      	                   	                  	                	                    	                       	                       	                  	                       	                              	                      	                        	                                	                	                                   	                      	                        	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 SR; Ch 5; Table 8; p 107

  SR	                 	                 	                  	              	145	 887	C	 30	H	 6	  54.00	    272.3400	Morley   	Radiolarians                                 	A              	P                 	                     	                    	F                      	T                    	                          	                    	F                     	T                  	C              	+                       	                      	                        	                 	                      	                   	                  	                	                    	                       	                       	                  	                       	                              	                      	                        	                                	                	                                   	                      	                        	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	from Leg 145 Sr; Ch 4; Table 6; p 62-63

  SR	Early Miocene    	                 	C. coronataformis 	              	145	 887	C	 30	H	CC	  22.00	    274.0800	Shilov   	Radiolarians                                 	A              	G                 	R                    	F                   	A                      	F                    	A                         	A                   	                      	                   	               	                        	                      	                        	                 	                      	                   	                  	                	                    	                       	                       	                  	                       	                              	                      	                        	                                	                	                                   	                      	                        	                  	                                     	                       	                 	                        	                       	                   	                            	                    	                     	                          	                         	                   	                       	                         	                     	C. cornuta is reported as R-F;  from Leg 145 SR; Ch 5; Table 8; p 107

