Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tritaxa spp.	Pyramidina szajnochae	Osangularia plummerae	Oridorsalis umbonatus	Nuttallides truempyi	Nodosaria spp.	Lenticulina spp.	Gaudryina spp.	Gaudryina pyramidata	Aragonia velascoensis	Spiroplectammina jarvisi	Marssonella trochoides	Gyroidinoides spp.	Dentalina spp.	Stilostomella subspinosa	Stensioina beccariiformis	Sliterella lobulata	Linaresia grimsdalei	Conorbinoides sp.	Conorbinoides hillebrandti	Astacolus spp.	Aragonia ouezzanensis	Anomalinoides spp.	Stilostomella spp.	Quadrimorphina spp.	Quadrimorphina allomorphinoides	Pullenia jarvisi	Pseudoclavulina rugolosa	Pseudoclavulina globulifera	Neoflabellina semireticulata	Buliminella grata	Alabamina creta	Plectofrondicularia spp.	Nuttallinella michelinianus	Bulimina trinitatensis	Quadratobuliminella pyramidalis	Nonion havanensis	Bolivina huneri	Oridorsalis tenera	Neoflabellina jarvisi	Bulimina velascoensis	Bathysiphon spp.	Tappanina selmensis	Bulimina semicostata	Bulimina glomarchallengeri	Stilostomella gracillima	Clinapertina complanata	Chrysalogonium breviloculum	Bulimina jarvisi	Cibicidoides praemundulus	Stilostomella abyssorum	Chrysalogonium tenuicostatum	Bulimina impendens	Vulvulina spinosa	Uvigerina spp.	Pleurostomella spp.	Nonion spp.	Gyroidinoides neosoldanii	Chrysalogonium longicostatum	Uvigerina hispida	Pyrgo murrhina	Pullenia bulloides	Parafissurina spp.	Oolina spp.	Martinottiella sp.	Gyroidinoides quadratus	Gyroidinoides girardanus	Eggerella bradyi	Anomalinoides semicribratus	Comment

  IR	                 	                 	                  	              	198	1209	C	  9	H	CC	   8.00	    183.3200	benthics 	Benthic Foraminifers                         	R              	M                 	            	                     	                     	                     	F                   	T             	                	              	                    	                     	                        	                      	                  	              	R                       	                         	                   	                    	                 	                          	              	                     	                  	R                 	                   	                               	                	                        	                           	                            	T                	               	                        	                           	                      	                               	                 	               	T                 	                     	                     	T               	                   	                    	                          	F                       	R                      	C                          	T               	                         	                       	                            	                  	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

  IR	                 	                 	                  	              	198	1209	C	 10	H	CC	  12.00	    193.3600	benthics 	Benthic Foraminifers                         	R              	M                 	            	                     	                     	R                    	R                   	R             	                	              	                    	                     	                        	                      	                  	              	R                       	                         	                   	                    	                 	                          	              	                     	T                 	R                 	                   	                               	                	                        	                           	                            	                 	               	                        	                           	F                     	                               	                 	               	T                 	                     	                     	                	T                  	R                   	T                         	                        	                       	                           	                	                         	                       	                            	                  	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

  IR	                 	                 	                  	              	198	1209	C	 11	H	CC	   9.00	    202.9900	benthics 	Benthic Foraminifers                         	R              	G                 	            	                     	R                    	R                    	R                   	              	T               	              	                    	                     	                        	T                     	                  	T             	                        	T                        	                   	                    	                 	                          	              	                     	                  	R                 	                   	                               	                	                        	                           	                            	F                	               	                        	                           	                      	                               	                 	               	T                 	T                    	T                    	T               	                   	                    	                          	                        	                       	                           	                	                         	                       	                            	                  	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

  IR	                 	                 	                  	              	198	1209	C	 12	H	CC	  15.00	    211.8000	benthics 	Benthic Foraminifers                         	C              	G                 	            	                     	                     	C                    	C                   	F             	R               	              	                    	                     	R                       	T                     	                  	              	R                       	R                        	                   	                    	                 	T                         	              	                     	                  	R                 	                   	                               	                	                        	                           	                            	                 	               	                        	                           	                      	T                              	R                	R              	                  	                     	                     	                	                   	                    	                          	                        	                       	                           	                	                         	                       	                            	                  	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

  IR	                 	                 	                  	              	198	1209	C	 13	H	CC	   7.00	    221.9000	benthics 	Benthic Foraminifers                         	F              	G                 	            	                     	                     	C                    	                    	              	R               	              	                    	                     	R                       	R                     	T                 	R             	T                       	                         	                   	                    	R                	R                         	              	R                    	                  	T                 	                   	                               	R               	F                       	+                          	                            	                 	               	T                       	T                          	R                     	                               	                 	               	                  	                     	                     	                	                   	                    	                          	                        	                       	                           	                	                         	                       	                            	                  	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

  IR	                 	                 	                  	              	198	1209	C	 15	H	CC	   7.00	    240.7900	benthics 	Benthic Foraminifers                         	A              	G                 	R           	                     	                     	A                    	R                   	              	T               	              	F                   	C                    	R                       	R                     	T                 	T             	T                       	                         	R                  	                    	                 	T                         	              	                     	                  	R                 	+                  	C                              	T               	T                       	+                          	T                           	R                	R              	                        	                           	                      	                               	                 	               	                  	                     	                     	                	                   	                    	                          	                        	                       	                           	                	                         	                       	                            	                  	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

  IR	                 	                 	                  	              	198	1209	C	 16	H	CC	  11.00	    250.1900	benthics 	Benthic Foraminifers                         	F              	G                 	            	                     	                     	C                    	C                   	              	T               	F             	F                   	                     	F                       	R                     	T                 	T             	T                       	R                        	T                  	C                   	T                	T                         	T             	T                    	T                 	                  	                   	                               	                	                        	                           	                            	                 	               	                        	                           	                      	                               	                 	               	                  	                     	                     	                	                   	                    	                          	                        	                       	                           	                	                         	                       	                            	                  	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

  IR	                 	                 	                  	              	198	1209	C	 19	H	CC	   6.00	    267.5100	benthics 	Benthic Foraminifers                         	R              	M                 	R           	                     	                     	F                    	R                   	              	R               	              	R                   	                     	T                       	R                     	T                 	R             	                        	                         	                   	                    	                 	                          	              	                     	                  	                  	                   	                               	                	                        	                           	                            	                 	               	                        	                           	                      	                               	                 	               	                  	                     	                     	                	                   	                    	                          	                        	                       	                           	                	                         	                       	                            	                  	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

  IR	                 	                 	                  	              	198	1209	C	 22	H	CC	  12.00	    297.1100	benthics 	Benthic Foraminifers                         	R              	M                 	R           	R                    	R                    	C                    	R                   	T             	R               	R             	T                   	F                    	                        	                      	                  	              	                        	                         	                   	                    	                 	                          	              	                     	                  	                  	                   	                               	                	                        	                           	                            	                 	               	                        	                           	                      	                               	                 	               	                  	                     	                     	                	                   	                    	                          	                        	                       	                           	                	                         	                       	                            	                  	                 	              	                   	           	                         	                            	                 	              	                  	                  	           	                  	                       	                        	                	                           	       

