Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tosaia hanzawai,Quinqueloculina stalkeri,Quinqueloculina seminulum,Pyrgo williamsoni,Pullenia subcarinata,Oridorsalis umbonatus,Nuttallides umbonifera,Nonion barleeanum,Lagena spp.,Gyroidina soldanii,Fursenkoina fusiformis,Fissurina spp.,Eponides weddellensis,Eponides tumidulus,Epistominella exigua,Dentalina spp.,Cibicides wuellerstorfi,Cassidulina subglobosa,Cassidulina laevigata,Brizalina spathulata,Trifarina fluens,Stetsonia arctica,Siphotextularia rolshauseni,Pullenia bulloides,Lenticulina spp.,Oolina spp.,Nonionella turgida,Miliolid taxa,Elphidium excavatum,Eggerella bradyi,Brizalina pseudopunctata,Uvigerina peregrina,Nonion auriculata,Bolivina decussata,Astrononion gallowayi,Anomalina globulosa,Valvulineria laevigata,Robertinoides spp.,Reusella spp.,Nonionella atlantica,Karreriella bradyi,Glabratella wrightii,Bulimina striata,Bulimina marginata,Bolivina pygmaea,Cibicidoides robertsonianus,Stilostomella antillea,Planulina ariminensis,Epistominella takayanagii,Elphidium crispum,Brizalina subaenariensis,Spiroloculina spp.,Elphidium spp.,Globobulimina auriculata,Gavelinopsis translucens,Cassidulina spp.,Bulimina exilis,Sphaeroidina bulloides,Psammosphaera spp.,Patellina corrugata,Brizalina spp.,Reophax nodulosa,Haplophragmoides spp.,Ammobaculites agglutinans,Adercotryma glomerata,Stilostomella bradyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 2,   3.00,      0.9700,Collins  ,Benthic Foraminifers                         ,               ,                  ,               ,1.0%                    ,1.0%                     ,                 ,.7%                 ,.7%                  ,                      ,                 ,           ,1.3%              ,4.0%                  ,1.3%          ,9.4%                 ,                  ,.7%                 ,.7%           ,5.4%                   ,17.5%                 ,19.9%                ,11.4%               ,2.0%            ,                 ,                           ,1.3%              ,                ,.3%        ,2.7%              ,             ,.7%                ,                ,.3%                     ,4.0%               ,                 ,6.1%              ,1.3%                 ,.7%                ,                      ,                  ,             ,                    ,                  ,                    ,                ,.3%               ,                ,                           ,                      ,                     ,1.0%                     ,                 ,3.0%                    ,                  ,              ,.3%                     ,.3%                     ,.3%             ,               ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,                    ,7920 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 2,  46.00,      1.4000,Collins  ,Benthic Foraminifers                         ,               ,                  ,               ,3.1%                    ,                         ,.6%              ,3.1%                ,4.0%                 ,.6%                   ,.3%              ,.9%        ,                  ,1.6%                  ,2.2%          ,19.0%                ,9.0%              ,14.6%               ,              ,2.8%                   ,4.7%                  ,.9%                  ,3.7%                ,.3%             ,15.3%            ,2.2%                       ,2.8%              ,                ,.9%        ,                  ,             ,1.2%               ,.3%             ,.3%                     ,                   ,                 ,1.6%              ,                     ,1.9%               ,                      ,                  ,             ,                    ,                  ,                    ,                ,.9%               ,                ,                           ,                      ,.3%                  ,                         ,                 ,                        ,.3%               ,.3%           ,                        ,                        ,                ,               ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,                    ,584 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 2,  77.00,      1.7100,Collins  ,Benthic Foraminifers                         ,               ,                  ,.7%            ,                        ,                         ,                 ,1.3%                ,1.3%                 ,                      ,1.0%             ,           ,.3%               ,3.3%                  ,.7%           ,3.7%                 ,2.0%              ,1.7%                ,.7%           ,4.0%                   ,18.7%                 ,22.0%                ,12.0%               ,4.3%            ,.7%              ,                           ,                  ,                ,.3%        ,.3%               ,             ,3.7%               ,                ,1.0%                    ,2.3%               ,.3%              ,2.0%              ,.7%                  ,.7%                ,.3%                   ,1.0%              ,             ,                    ,                  ,.3%                 ,                ,2.3%              ,2.3%            ,                           ,.7%                   ,.3%                  ,.7%                      ,.7%              ,.7%                     ,                  ,              ,                        ,                        ,                ,               ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,                    ,19200 Total individuals/10 cm3. 0.7% Reworked Tertiary. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 3,  25.00,      2.6900,Collins  ,Benthic Foraminifers                         ,               ,                  ,               ,1.8%                    ,                         ,1.1%             ,2.2%                ,3.6%                 ,1.1%                  ,                 ,.4%        ,.4%               ,1.8%                  ,2.2%          ,20.1%                ,8.0%              ,9.5%                ,              ,1.5%                   ,4.0%                  ,1.5%                 ,1.5%                ,                ,24.5%            ,.4%                        ,                  ,                ,.7%        ,                  ,             ,                   ,                ,                        ,                   ,.4%              ,                  ,1.1%                 ,12.4%              ,                      ,                  ,             ,                    ,                  ,                    ,                ,                  ,                ,.4%                        ,                      ,                     ,                         ,                 ,                        ,                  ,              ,                        ,                        ,                ,               ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,                    ,3372 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 3,  53.00,      2.9700,Collins  ,Benthic Foraminifers                         ,               ,                  ,               ,                        ,                         ,                 ,3.5%                ,8.9%                 ,.7%                   ,                 ,.7%        ,.4%               ,7.0%                  ,.4%           ,10.2%                ,1.1%              ,2.5%                ,.4%           ,4.9%                   ,17.9%                 ,13.3%                ,9.5%                ,7.7%            ,1.1%             ,1.7%                       ,                  ,                ,           ,                  ,             ,.7%                ,                ,3.5%                    ,.4%                ,                 ,4.2%              ,3.2%                 ,1.1%               ,.4%                   ,.4%               ,.4%          ,1.4%                ,.4%               ,.3%                 ,.4%             ,1.8%              ,1.4%            ,                           ,                      ,                     ,                         ,                 ,                        ,                  ,              ,                        ,                        ,                ,               ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,                    ,36480 Total individuals/10 cm3. 0.4% Reworked Tertiary. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 3,  92.00,      3.3600,Collins  ,Benthic Foraminifers                         ,               ,                  ,.3%            ,                        ,                         ,                 ,1.0%                ,12.5%                ,2.4%                  ,                 ,1.0%       ,1.0%              ,8.2%                  ,2.1%          ,3.8%                 ,9.2%              ,6.0%                ,.3%           ,1.7%                   ,6.8%                  ,2.1%                 ,1.0%                ,.3%             ,3.1%             ,.3%                        ,                  ,                ,2.1%       ,                  ,             ,                   ,4.1%            ,.7%                     ,.4%                ,.3%              ,1.7%              ,.3%                  ,4.5%               ,                      ,                  ,             ,                    ,                  ,                    ,                ,                  ,                ,                           ,                      ,                     ,                         ,                 ,                        ,                  ,              ,                        ,                        ,                ,               ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,                    ,1168 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 4,  18.00,      4.1200,Collins  ,Benthic Foraminifers                         ,               ,                  ,1.0%           ,3.4%                    ,                         ,                 ,4.4%                ,3.2%                 ,4.6%                  ,2.0%             ,.3%        ,2.7%              ,1.3%                  ,2.7%          ,2.0%                 ,5.5%              ,4.8%                ,              ,2.0%                   ,8.4%                  ,1.0%                 ,.3%                 ,.3%             ,17.8%            ,.4%                        ,2.0%              ,.3%             ,.7%        ,.4%               ,.3%          ,.7%                ,.4%             ,1.0%                    ,                   ,                 ,                  ,                     ,                   ,                      ,                  ,             ,                    ,                  ,                    ,                ,                  ,                ,                           ,                      ,                     ,                         ,                 ,                        ,                  ,              ,                        ,                        ,                ,               ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,                    ,2640 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 4,  52.00,      4.4600,Collins  ,Benthic Foraminifers                         ,               ,                  ,2.1%           ,3.6%                    ,.7%                      ,.4%              ,8.2%                ,                     ,                      ,1.1%             ,1.1%       ,2.1%              ,2.5%                  ,5.3%          ,1.8%                 ,6.4%              ,6.0%                ,              ,3.2%                   ,8.5%                  ,1.1%                 ,1.1%                ,1.1%            ,11.4%            ,.3%                        ,1.4%              ,.7%             ,           ,                  ,             ,                   ,                ,                        ,                   ,                 ,                  ,                     ,                   ,                      ,                  ,             ,                    ,                  ,                    ,                ,                  ,                ,                           ,                      ,                     ,                         ,                 ,                        ,                  ,              ,                        ,                        ,                ,               ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,                    ,2810 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,149, 898,B,  1,H, 4, 116.00,      5.1000,Collins  ,Benthic Foraminifers                         ,               ,                  ,2.0%           ,3.3%                    ,1.0%                     ,1.0%             ,3.3%                ,1.7%                 ,15.5%                 ,1.0%             ,.3%        ,2.0%              ,6.6%                  ,2.6%          ,16.8%                ,10.2%             ,2.0%                ,.3%           ,1.7%                   ,17.2%                 ,4.0%                 ,4.0%                ,                ,                 ,                           ,                  ,                ,           ,                  ,             ,                   ,                ,                        ,                   ,                 ,                  ,                     ,                   ,                      ,                  ,             ,                    ,                  ,                    ,                ,                  ,                ,                           ,                      ,                     ,                         ,                 ,                        ,                  ,              ,                        ,                        ,                ,               ,                      ,                  ,                   ,              ,                ,                     ,                         ,                     ,                    ,2424 Total individuals/10 cm3. from 149 SR. Chapter 9. Table 2. page 230.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
