Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],PF Preservation,PF Group Abundance,Beella digitata,Beella praedigitata,Candeina nitida,Cassigerinella chipolensis,Cassigerinella martinezpicoi,Catapsydrax dissimilis ,Catapsydrax parvulus,Catapsydrax stainforthi,Catapsydrax unicavus,Clavatorella bermudezi,Clavatorella nicobarensis,Dentoglobigerina altispira,Dentoglobigerina baroemoenensis,Dentoglobigerina globosa,Dentoglobigerina praedehiscens,Dentoglobigerina venezuelana,Fohsella birnageae,Fohsella fohsi,Fohsella kugleri,Fohsella lobata,Fohsella peripheroacuta,Fohsella peripheroronda,Fohsella praefohsi,Fohsella robusta,Globigerina angulisuturalis,Globigerina angustiumbilicata,Globigerina bulloides,Globigerina ciperoensis,Globigerina eamesi,Globigerina falconensis,Globigerina glutinata,Globigerina praebulloides,Globigerina quinqueloba,Globigerina rubescens,Globigerina umbilicata,Globigerinatella insueta,Globigerinella aequilateralis,Globigerinella calida,Globigerinella obesa,Globigerinella praesiphonifera,Globigerinella pseudobesa,Globigerinita iota,Globigerinoides altiaperturus,Globigerinoides bollii,Globigerinoides bulloideus,Globigerinoides conglobatus,Globigerinoides diminutus,Globigerinoides elongatus,Globigerinoides extremus,Globigerinoides fistulosus,Globigerinoides immaturus,Globigerinoides kennetti,Globigerinoides mitra,Globigerinoides obliquus,Globigerinoides parawoodi,Globigerinoides primordius,Globigerinoides pyramidalis,Globigerinoides quadrilobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides sacculifer ,Globigerinoides seigliei,Globigerinoides sicanus,Globigerinoides subquadratus,Globigerinoides tenellus,Globigerinoides trilobus,Globoconella conoidea,Globoconella conomiozea,Globoconella incognita,Globoconella inflata,Globoconella miozea,Globoconella nana,Globoconella panda,Globoconella praescitula,Globoconella puncticulata,Globoconella sphericomiozea,Globoconella zealandica,Globoquadrina dehiscens,Globoquadrina venezuelana ,Globorotalia bermudezi,Globorotalia flexuosa,Globorotalia hirsuta,Globorotalia inflata,Globorotalia lenguaensis,Globorotalia menardii,Globorotalia merotumida,Globorotalia paralenguaensis ,Globorotalia plesiotumida,Globorotalia scitula,Globorotalia theyeri,Globorotalia tumida,Globorotalia ungulata,Globorotaloides hexagonus,Globorotaloides suteri,Globorotaloides variabilis,Hastigerina pelagica,Hastigerinopsis riedeli,Hirsutella challengeri,Hirsutella cibaoensis,Hirsutella hirsuta,Hirsutella juanai,Hirsutella margaritae,"Hirsutella scitula (Brady, 1882)",Jenkinsella acrostoma,Jenkinsella bella,Jenkinsella mayeri,Jenkinsella semivera,Jenkinsella siakensis,Menardella archeomenardii,Menardella exilis,Menardella limbata,Menardella menardii,Menardella miocenica,Menardella multicamerata,Menardella pertenuis,Menardella praemenardii,Neogloboquadrina acostaensis,Neogloboquadrina continuosa,Neogloboquadrina dutertrei,Neogloboquadrina humerosa,Neogloboquadrina pachyderma,Orbulina bilobata,Orbulina universa,Praeorbulina circularis,Praeorbulina curva,Praeorbulina glomerosa,Praeorbulina transitoria,Protentella prolixa,Pulleniatina (D),Pulleniatina (S),Pulleniatina finalis,Pulleniatina obliquiloculata,Pulleniatina praecursor,Pulleniatina primalis (dex.),Pulleniatina primalis (sin.),Pulleniatina spectabilis,Sphaeroidinella dehiscens,Sphaeroidinellopsis disjuncta,Sphaeroidinellopsis kochi,Sphaeroidinellopsis paenedehiscens,Sphaeroidinellopsis seminulina,Streptochilus globigerum,Tenuitella anfracta,Tenuitella clemenciae,Tenuitella munda,Truncorotalia cavernula,Truncorotalia crassaformis,Truncorotalia crassula,Truncorotalia tosaensis,Truncorotalia truncatulinoides,Turborotalita cristata ,Turborotalita humilis,Zeaglobigerina apertura,Zeaglobigerina brazieri,Zeaglobigerina connecta,Zeaglobigerina decoraperta,Zeaglobigerina druryi,Zeaglobigerina nepenthes,Zeaglobigerina rubescens,Zeaglobigerina woodi,PF Comment,File Data,Zone name,Zone name (short)
340-U1394A-16X-CC-PAL-FORAMP,340,U1394,A,16,16-CC,X,CC,PAL,FORAMP,0,0,132.48,132.48,M [P20],D [A49],,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,R,,,,,,,,,,,,D,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,
340-U1394A-17X-CC-PAL-FORAMP,340,U1394,A,17,17-CC,X,CC,PAL,FORAMP,0,0,148.01,148.01,M [P20],D [A49],,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,R,,,,,,,,,,,,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,P,,,F,,,,,,,,,F,,,,,,,,,,,,,,,R,,,F,,,,,,,,,,,,,,
340-U1394A-18X-CC-PAL-FORAMP,340,U1394,A,18,18-CC,X,CC,PAL,FORAMP,0,0,154.95,154.95,M [P20],A [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,,,,,,,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,F,,,,,,,,,R,,,,,P,,,,,,,,,,,P,R,,,,,,,,,,,,,,,
340-U1394A-19X-CC-PAL-FORAMP,340,U1394,A,19,19-CC,X,CC,PAL,FORAMP,0,0,161.46,161.46,G [P20],F [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,P,,,,,,,,,R,,F,,,,,,,,,,,R,D,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,P,,,,,,,,,,,,,,,,,,,,,,,,,,P,,P,P,,,,,,,,,,,,,,
340-U1394A-20X-CC-PAL-FORAMP,340,U1394,A,20,20-CC,X,CC,PAL,FORAMP,0,0,169.17,169.17,G [P20],D [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,,,,,,,P,,,,,,,,F,,A,,,,,,,,,,,D,R,D,,,,,,,,,,,,,,,,,,,,F,,,,P,,,,P,,F,,,,,P,,,,,,,,,,,,,,,,,,,,,,,F,,,,P,,,,,,F,,,F,,,,,,,,,,,,,,,,,P,R,,,,,,,,,,,,,,
340-U1394A-21X-CC-PAL-FORAMP,340,U1394,A,21,21-CC,X,CC,PAL,FORAMP,0,0,178.04,178.04,G [P20],A [A49],,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,F,A,,,,,,R,,,,,,,,,F,,A,,,,,,,,,P,,,A,A,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,R,,,R,,,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,,
340-U1394A-22X-1-PAL-FORAMP,340,U1394,A,22,22-1,X,1,PAL,FORAMP,0,0,187.41,187.41,G [P20],A [A49],,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,A,F,,,,,,P,,,,,,,,,F,,F,,,,,,,,,,,D,,A,,,,,,,,,,,,,,,,,,,,,,R,,P,,,,P,,R,,,,,P,,,,,,,,,,,,,,,,,,,,,,,A,,,,P,,,,,,P,,,P,,,,,P,,,,,,,,,,,,P,R,,,,,,,,,,,,,,
340-U1394A-23X-CC-PAL-FORAMP,340,U1394,A,23,23-CC,X,CC,PAL,FORAMP,0,0,197.81,197.81,G [P20],A [A49],,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,F ,,,,,,,,,,,,,,,R ,,F ,,,,,,,,,,,P ,A ,A ,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,R,,R ,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,P ,,,,,,,,P ,,,P ,,,,,P ,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,
340-U1394A-24X-CC-PAL-FORAMP,340,U1394,A,24,24-CC,X,CC,PAL,FORAMP,0,0,208.31,208.31,G ,A ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,A ,,,,,,,R ,,,,,,,,R ,,A ,,,,,,,,,P ,,D ,,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,R ,,,,,,P ,,,P ,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,
340-U1394A-26X-CC-PAL-FORAMP,340,U1394,A,26,26-CC,X,CC,PAL,FORAMP,0,0,225.45,225.45,,P [A49],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,
