Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data
342-U1409A-10H-5-W 110/112-FORAM,342,U1409,A,10,10-5,H,5,W,110/112-FORAM,0,2,84.2,84.22,VG [P21],P [A60],,,,,,,
342-U1409A-11H-2-W 110/112-FORAM,342,U1409,A,11,11-2,H,2,W,110/112-FORAM,0,2,89.2,89.22,VG [P21],P [A60],,,,,,,
342-U1409A-11H-5-W 110/112-FORAM,342,U1409,A,11,11-5,H,5,W,110/112-FORAM,0,2,93.7,93.72,VG [P21],P [A60],,,,,,,
342-U1409A-12H-2-W 120/122-FORAM,342,U1409,A,12,12-2,H,2,W,120/122-FORAM,0,2,98.8,98.82,VG [P21],P [A60],,,,,,,
342-U1409A-12H-4-W 41/43-FORAM,342,U1409,A,12,12-4,H,4,W,41/43-FORAM,0,2,101.01,101.03,VG [P21],P [A60],,,,,,,
342-U1409A-13H-2-W 100/102-FORAM,342,U1409,A,13,13-2,H,2,W,100/102-FORAM,0,2,108.13,108.15,VG [P21],P [A60],,,,,,,
342-U1409A-13H-5-W 100/102-FORAM,342,U1409,A,13,13-5,H,5,W,100/102-FORAM,0,2,112.64,112.66,VG [P21],P [A60],,,,,,,
342-U1409A-14H-2-W 110/112-FORAM,342,U1409,A,14,14-2,H,2,W,110/112-FORAM,0,2,117.7,117.72,VG [P21],P [A60],,,,,,,
342-U1409A-14H-5-W 110/112-FORAM,342,U1409,A,14,14-5,H,5,W,110/112-FORAM,0,2,122.2,122.22,G [P21],P [A60],,,,,,,
342-U1409A-17X-1-W 114/116-FORAM,342,U1409,A,17,17-1,X,1,W,114/116-FORAM,0,2,128.14,128.16,G [P21],A [A60],,,,,,,
342-U1409A-17X-2-W 114/116-FORAM,342,U1409,A,17,17-2,X,2,W,114/116-FORAM,0,2,129.64,129.66,VG [P21],P [A60],,,,,,,
342-U1409A-18X-2-W 118/120-FORAM,342,U1409,A,18,18-2,X,2,W,118/120-FORAM,0,2,134.28,134.3,VG [P21],P [A60],,,,,,,
342-U1409A-18X-4-W 94/96-FORAM,342,U1409,A,18,18-4,X,4,W,94/96-FORAM,0,2,137.04,137.06,G [P21],P [A60],,,,,,,
342-U1409A-20X-2-W 110/112-FORAM,342,U1409,A,20,20-2,X,2,W,110/112-FORAM,0,2,153.4,153.42,G [P21],P [A60],,,,,,,
342-U1409A-20X-5-W 114/115-FORAM,342,U1409,A,20,20-5,X,5,W,114/115-FORAM,0,1,157.94,157.95,M [P21],P [A60],,,,,,,
342-U1409A-21X-1-W 133/134-FORAM,342,U1409,A,21,21-1,X,1,W,133/134-FORAM,0,1,161.73,161.74,G [P21],P [A60],,,,,,,
342-U1409A-22X-4-W 100/102-FORAM,342,U1409,A,22,22-4,X,4,W,100/102-FORAM,0,2,175.5,175.52,G [P21],P [A60],,,,,,,
342-U1409A-23X-2-W 107/108-FORAM,342,U1409,A,23,23-2,X,2,W,107/108-FORAM,0,1,182.17,182.18,P [P21],F [A60],,,,,,,
342-U1409A-23X-5-W 101/102-FORAM,342,U1409,A,23,23-5,X,5,W,101/102-FORAM,0,1,186.61,186.62,M [P21],P [A60],,,,,,,
342-U1409A-24X-2-W 84/85-FORAM,342,U1409,A,24,24-2,X,2,W,84/85-FORAM,0,1,191.54,191.55,M [P21],P [A60],,,,,,,
342-U1409A-24X-5-W 59/60-FORAM,342,U1409,A,24,24-5,X,5,W,59/60-FORAM,0,1,195.79,195.8,M [P21],P [A60],,,,,,,
