Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Technitella sp.,Textularia pseudogramen,Textularia spp.,Textulariella spp.?,Tolypammina vagans,Trifarina angulosa,Trifarina bradyi,Trifarina fornasinii,Trifarina spp.,Triloculina sp. 1,Triloculina spp.,Triloculina tricarinata,Triloculinella obliquinodus,Tritaxa spp.,Tritaxis fusca,Trochammina bellingshauseni,Trochammina earlandi,Trochammina globigeriniformis,Trochammina spp.,Trochammina squammata,Trochamminoides spp.,Uvigerina auberiana,Uvigerina cf. auberiana,Uvigerina cf. hispida,Uvigerina cf. mexicana,Uvigerina cf. proboscidea,Uvigerina bradyana,Uvigerina elongatastriata,Uvigerina hispida,Uvigerina mediterranea,Uvigerina peregrina,Uvigerina spp.,Uvigerinidae indet.,Vaginulina spp.,Vaginulinopsis spp.,Vaginulinidae indet.,Vaginulina subelegans,Valvulineria spp.,Verneuinulla spp.?,Virgulinella spp.,Vulvulina pennatula,Comment,File Data
339-U1391A-21X-CC-PAL-FORAM,339,U1391,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.22,189.27,R ,,,,,R ,P ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,P ,,,,,,P ,,,
339-U1391A-22X-CC-PAL-FORAM,339,U1391,A,22,22-CC,X,CC,PAL,FORAM,0,5,199.35,199.4,P ,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,R ,,,,,,,,P ,,,
339-U1391A-23X-CC-PAL-FORAM,339,U1391,A,23,23-CC,X,CC,PAL,FORAM,0,5,208.42,208.47,,,,,,P ,P ,,R ,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,
339-U1391A-25X-CC-PAL-FORAM,339,U1391,A,25,25-CC,X,CC,PAL,FORAM,0,5,227.41,227.46,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,
339-U1391A-26X-CC-PAL-FORAM,339,U1391,A,26,26-CC,X,CC,PAL,FORAM,0,5,238.62,238.67,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-27X-CC-PAL-FORAM,339,U1391,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.53,246.58,,,,,,P ,,,,,R ,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,
339-U1391A-28X-CC-PAL-FORAM,339,U1391,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.92,256.97,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,
339-U1391A-29X-CC-PAL-FORAM,339,U1391,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.45,265.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,,,,,,,,R ,,,
339-U1391A-30X-CC-PAL-FORAM,339,U1391,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.47,276.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,
339-U1391A-31X-CC-PAL-FORAM,339,U1391,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.7,283.75,,,,,,R ,P ,,,,,,,,,,,,,,,,,,,,,,,R ,P ,F ,,,,,,,P ,,,,
339-U1391A-33X-CC-PAL-FORAM,339,U1391,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.65,302.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,F ,,,,,,,P ,,,,
339-U1391A-35X-CC-PAL-FORAM,339,U1391,A,35,35-CC,X,CC,PAL,FORAM,0,5,324.39,324.44,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,P ,P ,P ,,,,,,,R ,,,,
339-U1391A-36X-CC-PAL-FORAM,339,U1391,A,36,36-CC,X,CC,PAL,FORAM,0,5,334.05,334.1,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,A ,R ,,,,,,,,P ,,,
339-U1391A-37X-CC-PAL-FORAM,339,U1391,A,37,37-CC,X,CC,PAL,FORAM,0,5,343.2,343.25,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,A ,R ,R ,,,,,,,,,,
339-U1391A-38X-CC-PAL-FORAM,339,U1391,A,38,38-CC,X,CC,PAL,FORAM,0,5,353.46,353.51,,,,,,R ,P ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,P ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
