Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1343A-10H-6-W 52/54-PAL16     -FORAM49   ,323,U1343,A,10,10-6,H,6,W,52/54-PAL16     -FORAM49   ,0,0 ,89.24,89.24,yellow foraminiferal tests,P [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,
323-U1343A-10H-CC-PAL-FORAM26   ,323,U1343,A,10,10-CC,H,CC,PAL,FORAM26   ,0,0 ,90.9,90.9,"pyrite, fragments of wood?",G [323_PF],P [323_PFs],,,,,,P,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1343A-11H-CC-PAL-FORAM83   ,323,U1343,A,11,11-CC,H,CC,PAL,FORAM83   ,0,0 ,100.5,100.5,"pyrite, mica",G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,
323-U1343A-12H-7-W 35/37-PAL58     -FORAM44   ,323,U1343,A,12,12-7,H,7,W,35/37-PAL58     -FORAM44   ,0,0 ,109.53,109.53,"benthic foraminiferal ooze, abundant sponge spicules, fish teeth",,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1343A-12H-CC-PAL-FORAM88   ,323,U1343,A,12,12-CC,H,CC,PAL,FORAM88   ,0,0 ,110.42,110.42,"pyrite, mica",G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,P,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1343A-13H-CC-PAL-FORAM93   ,323,U1343,A,13,13-CC,H,CC,PAL,FORAM93   ,0,0 ,119.32,119.32,"pyrite, fragments of wood?",G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,,,,,,,,,
323-U1343A-14H-CC-PAL-FORAM98   ,323,U1343,A,14,14-CC,H,CC,PAL,FORAM98   ,0,0 ,128.86,128.86,"pyrite, fragments of wood?",G [323_PF],F [323_PFs],,,,,,P,,,,,,,,,,,F,,,,,,,,,
323-U1343A-15H-CC-PAL-FORAM80   ,323,U1343,A,15,15-CC,H,CC,PAL,FORAM80   ,0,0 ,139.06,139.06,pyrite,G [323_PF],A [323_PFs],,,,,,P,,,,,,,,,,,A,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,
323-U1343A-16H-CC-PAL-FORAM86   ,323,U1343,A,16,16-CC,H,CC,PAL,FORAM86   ,0,0 ,147.11,147.11,"pyrite, mica",G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,
323-U1343A-17H-CC-PAL-FORAM91   ,323,U1343,A,17,17-CC,H,CC,PAL,FORAM91   ,0,0 ,157.29,157.29,"dominant IRD, bivalve fragments, and Scaphander sp.?",G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1343A-18H-CC-PAL-FORAM45   ,323,U1343,A,18,18-CC,H,CC,PAL,FORAM45   ,0,0 ,166.12,166.12,dominant IRD,M [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,R,,,,,,,,,
323-U1343A-19H-CC-PAL-FORAM50   ,323,U1343,A,19,19-CC,H,CC,PAL,FORAM50   ,0,0 ,173.8,173.8,dominant IRD,G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,A,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1343A-20H-CC-PAL-FORAM55   ,323,U1343,A,20,20-CC,H,CC,PAL,FORAM55   ,0,0 ,181.96,181.96,dominant IRD,G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1343A-21H-CC-PAL-FORAM66   ,323,U1343,A,21,21-CC,H,CC,PAL,FORAM66   ,0,0 ,191.5,191.5,dominant IRD,G [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,P,,,,,,,,,
323-U1343A-22H-CC-PAL-FORAM70   ,323,U1343,A,22,22-CC,H,CC,PAL,FORAM70   ,0,0 ,201.66,201.66,dominant IRD,G [323_PF],F [323_PFs],,,,,,,,,,,,,,,,,F,P,,,,,,,,
