Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,Zone name,Zone name (short)
339-U1391A-19H-4-PAL-FORAM,339,U1391,A,19,19-4,H,4,PAL,FORAM,0,5,171.05,171.1,M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,R ,,,,,R ,,,,P ,,R ,,,,,,,
339-U1391A-20X-CC-PAL-FORAM,339,U1391,A,20,20-CC,X,CC,PAL,FORAM,0,5,179.82,179.87,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,R ,,,,,,,,,,,R ,,,,,,,,
339-U1391A-21X-CC-PAL-FORAM,339,U1391,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.22,189.27,G ,A ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,P ,,,,,,,,P ,,,,R ,,,,,,,
339-U1391A-22X-CC-PAL-FORAM,339,U1391,A,22,22-CC,X,CC,PAL,FORAM,0,5,199.35,199.4,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,P ,,,P ,,,,,,,,,,R ,,,,,,,,,
339-U1391A-23X-CC-PAL-FORAM,339,U1391,A,23,23-CC,X,CC,PAL,FORAM,0,5,208.42,208.47,G ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,F ,,P ,,,F ,,,,,,,,,,,R ,,,,R ,,,,
339-U1391A-25X-CC-PAL-FORAM,339,U1391,A,25,25-CC,X,CC,PAL,FORAM,0,5,227.41,227.46,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,R ,,F ,,,R ,,,,
339-U1391A-26X-CC-PAL-FORAM,339,U1391,A,26,26-CC,X,CC,PAL,FORAM,0,5,238.62,238.67,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,R ,,,,,,,,,,,,P ,,,,,,,
339-U1391A-27X-CC-PAL-FORAM,339,U1391,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.53,246.58,G ,A ,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,P ,P ,,,,,R ,,,,,,F ,,,,,,,
339-U1391A-28X-CC-PAL-FORAM,339,U1391,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.92,256.97,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,F ,P ,P ,,,,,,,,P ,P ,F ,,,,,,,
339-U1391A-29X-CC-PAL-FORAM,339,U1391,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.45,265.5,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,R ,,P ,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-30X-CC-PAL-FORAM,339,U1391,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.47,276.52,M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,R ,,,,,,,,,,,,P ,,,,,,,
339-U1391A-31X-CC-PAL-FORAM,339,U1391,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.7,283.75,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,F ,,,,,,,
339-U1391A-33X-CC-PAL-FORAM,339,U1391,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.65,302.7,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,P ,,,,,F ,,,,R ,,R ,,,,,,,
339-U1391A-34X-CC-PAL-FORAM,339,U1391,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.51,314.56,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,R ,R ,,,,,,,,,,,F ,,,,,,,
339-U1391A-35X-CC-PAL-FORAM,339,U1391,A,35,35-CC,X,CC,PAL,FORAM,0,5,324.39,324.44,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,P ,,,,,,,,,,,,,,,,,,
339-U1391A-36X-CC-PAL-FORAM,339,U1391,A,36,36-CC,X,CC,PAL,FORAM,0,5,334.05,334.1,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,R ,,,,,,,
339-U1391A-37X-CC-PAL-FORAM,339,U1391,A,37,37-CC,X,CC,PAL,FORAM,0,5,343.2,343.25,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,P ,R ,F ,,,,,,,
339-U1391A-38X-CC-PAL-FORAM,339,U1391,A,38,38-CC,X,CC,PAL,FORAM,0,5,353.46,353.51,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,R ,,P ,,,P ,,,,,,P ,,,,,,,,,,,,,
