Label ID,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Sphenolithus ciperoensis,Sphenolithus delphix,Sphenolithus disbelemnos,Helicosphaera ampliaperta,Sphenolithus belemnos,Triquetrorhabdulus carinatus,Sphenolithus heteromorphus,Discoaster deflandrei,Cyclicargolithus floridanus,Calcidiscus premacintyrei,Coronocyclus nitescens,Discoaster kugleri,Coccolithus miopelagicus,Catinaster coalitus,Catinaster calyculus,Discoaster hamatus,Discoaster berggrenii,Nicklithus amplificus,Discoaster quinqueramus,Ceratolithus acutus,Ceratolithus larrymayeri,Triquetrorhabdulus rugosus,Ceratolithus rugosus,Reticulofenestra pseudoumbilicus,Sphenolithus spp.,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster triradiatus,Discoaster brouweri,Gephyrocapsa (>4 µm),Calcidiscus macintyrei,Gephyrocapsa (>5.5 µm),Helicosphaera sellii,Reticulofenestra asanoi,Pseudoemiliania lacunosa,Emiliania huxleyi,Algirosphaera robusta,Amaurolithus delicatus,Amaurolithus primus,Amaurolithus tricorniculatus,Braarudosphaera bigelowii,Calcidiscus leptoporus,Calcidiscus quadriperforatus,Calcidiscus tropicus,Calciosolenia brasiliensis,Calciosolenia murrayi,Catinaster mexicanus,Ceratolithus armatus (acutus),Ceratolithus atlanticus,Ceratolithus cristatus (rugosus),Clausicoccus fenestratus (subdist),Coccolithus pelagicus,Cryptococcolithus mediaperforate,Cyclicargolithus abisectus,Dictyococcites antarcticus,Dictyococcites bisectus,Discoaster altus,Discoaster asymmetricus,Discoaster bellus,Discoaster bergenii,Discoaster bollii,Discoaster braarudii,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster loeblichii,Discoaster musicus,Discoaster neorectus,Discoaster petaliformis,Discoaster prepentaradiatus,Discoaster variabilis,Discosphaera tubifera,Florisphaera profunda,Gephyrocapsa caribbeanica,Gephyrocapsa ericsonii,Gephyrocapsa muellerae,Gephyrocapsa oceanica,Gephyrocapsa omega,Gephyroscapsa lumina,Gladiolithus flabellatus,Hayaster perplexus,Hayella challengeri,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera gertae,Helicosphaera granulata,Helicosphaera intermedia,Helicosphaera inversa,Helicosphaera magnifica,Helicosphaera mediterranea,Helicosphaera obliqua,Helicosphaera orientalis,Helicosphaera pavimentum,Helicosphaera perch-nielseniae,Helicosphaera recta,Helicosphaera scissura,Helicosphaera stalis,Helicosphaera truempyi,Helicosphaera vedderi,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Helicosphaera waltrans,Holodiscolithus macroporus,Hughesius gizoensis,Hughesius tasmaniae,Ilselithina fusa,Minylitha convallis,Oolithotus fragilis,Orthorhabdus serratus,Pontosphaera discopora,Pontosphaera japonica,Pontosphaera multipora,Pontosphaera syracusana,Pseudoemiliania ovata,Reticulofenestra daviesii,Reticulofenestra haqii,Reticulofenestra minuta,Reticulofenestra minutula,Reticulofenestra pseudoumbilicus   (>7µm),Reticulofenestra pseudoumbilicus  (5-7µm),Reticulofenestra rotaria,Rhabdosphaera clavigera,Rhabdosphaera poculii,Scyphosphaera apsteinii,Scyphosphaera apsteinii forma dilatata,Scyphosphaera cylindrica,Scyphosphaera globulata,Scyphosphaera intermedia,Scyphosphaera lagena,Scyphosphaera pulcherrima,Scyphosphaera tubifera,Scyphosphaera ventriosa,small Gephyrocapsa (<4µm),Solidopons petrae,Sphenolithus abies,Sphenolithus calyculus,Sphenolithus capricornutus,Sphenolithus conicus,Sphenolithus dissimilis,Sphenolithus moriformis,Syracolithus schilleri,Syracosphaera lamina,Syracosphaera pulchra,Tetralithoides quadrilaminata,Tetralithoides symeonidesii,Triquetrorhabdulus challengeri,Triquetrorhabdulus extensus,Triquetrorhabdulus finifer,Triquetrorhabdulus milowii,Triquetrorhabdulus rioi,Triquetrorhabdulus sp. (long needle like),Triquetrorhabdulus striatus,Umbellosphaera irregularis,Umbellosphaera tenuis,Umbilicosphaera foliosa,Umbilicosphaera hulburtiana,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Zygrhablithus bijugatus,Comments,File Data
342-U1409A-11H-2-W 39/39-NANNO,342,U1409,A,11,11-2,H,2,W,39/39-NANNO,0,0,88.49,88.49,NP15b,"NP15b - Chiasmolithus gigas (Gradstein et al., 2012)",,G,A,,,C,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,R,RR,cf.,,,F,,,R,,F,R,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-11H-4-W 39/39-NANNO,342,U1409,A,11,11-4,H,4,W,39/39-NANNO,0,0,91.49,91.49,NP15a,"NP15a (Gradstein et al., 2012)",,M-G,A,,,C,,,,,,,,F,,,,,,,,,,,,,,,,,R,,P,,,F,F,,,,,F,,,R,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,R,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,
342-U1409A-12H-2-W 50/50-NANNO,342,U1409,A,12,12-2,H,2,W,50/50-NANNO,0,0,98.1,98.1,NP14b,,,M-G,A,R,,C,,,,,,,,F,,,,,,,,,,,,,,,,,R,,,F,,R,-,,,,,F,,,R,,F,,F,,,,,,,,,,,,,F-C,,,,,,,,,,,,,R,,,,,,R,,,,1?,,,R,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-14H-3-W 110/112-FORAM,342,U1409,A,14,14-3,H,3,W,110/112-FORAM,0,2,119.2,119.22,NP14a,,,M-G,A,R,,C,,,,,,,,F,,,,,,,,,,,,,,,,-,,,,,F,,,,,,,F,,,R,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-14H-5-W 110/112-FORAM,342,U1409,A,14,14-5,H,5,W,110/112-FORAM,0,2,122.2,122.22,NP12,"NP12 - Tribrachiatus orthostylus (Gradstein et al., 2012)",,M-G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,R,,,,,,,F,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-18X-3-W 87/89-FORAM,342,U1409,A,18,18-3,X,3,W,87/89-FORAM,0,2,135.47,135.49,NP12,"NP12 - Tribrachiatus orthostylus (Gradstein et al., 2012)",,M,A,,,C,,,,,,,,F,,,,,,,,,,,,,,,R,F,F,,R,,F,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,
342-U1409A-18X-5-W 87/87-NANNO,342,U1409,A,18,18-5,X,5,W,87/87-NANNO,0,0,138.47,138.47,NP12,"NP12 - Tribrachiatus orthostylus (Gradstein et al., 2012)",,M,A,,,C,,,,,,,,F,,,,,,,,,,,,,,,R,,,,RR,,R,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,F,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-20X-3-W 48/48-NANNO,342,U1409,A,20,20-3,X,3,W,48/48-NANNO,0,0,154.28,154.28,NP10,"NP10 - Tribrachiatus contortus (Gradstein et al., 2012)",,P,F,,,R,,,,,,,R,,,,C,,R,,,,R,,,F,R,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-20X-5-W 114/114-NANNO,342,U1409,A,20,20-5,X,5,W,114/114-NANNO,0,0,157.94,157.94,NP9a,,,M,A,,,,,,,,,R,,,,,C,F,R,,,-,1,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-22X-4-W 78/78-NANNO,342,U1409,A,22,22-4,X,4,W,78/78-NANNO,0,0,175.28,175.28,NP7-NP8,,,M-G,A,,,C,,,,,,R,C,,,,C,F,F,R,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-22X-6-W 51/51-NANNO,342,U1409,A,22,22-6,X,6,W,51/51-NANNO,0,0,178.01,178.01,NP6,"NP6 - Heliolithus kleinpellii (Gradstein et al., 2012)",,M-G,A,,,C,,,,,,,C,,,,C,F,,C,R,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-23X-1-W 75/75-NANNO,342,U1409,A,23,23-1,X,1,W,75/75-NANNO,0,0,180.35,180.35,NP6,"NP6 - Heliolithus kleinpellii (Gradstein et al., 2012)",,M-G,A,R,,C,,,,,,,C,,,,C,F,,2,C,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-23X-2-W 75/75-NANNO,342,U1409,A,23,23-2,X,2,W,75/75-NANNO,0,0,181.85,181.85,NP5,"NP5 - Fasciculithus tympaniformis (Gradstein et al., 2012)",,M-G,A,R,,C,,,,,,,A,,,,C,-,,-,C,,,,,,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-23X-4-W 64/64-NANNO,342,U1409,A,23,23-4,X,4,W,64/64-NANNO,0,0,184.74,184.74,NP5,"NP5 - Fasciculithus tympaniformis (Gradstein et al., 2012)",,M-G,A,,,C,,,,,,R,C,F,,,C,,,,RR,,,,F,,,C,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-23X-6-W 56/56-NANNO,342,U1409,A,23,23-6,X,6,W,56/56-NANNO,0,0,187.66,187.66,NP5,"NP5 - Fasciculithus tympaniformis (Gradstein et al., 2012)",,M-G,A,,,C,,,,,,,C,F,,,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-24X-2-W 80/80-NANNO,342,U1409,A,24,24-2,X,2,W,80/80-NANNO,0,0,191.5,191.5,NP5,"NP5 - Fasciculithus tympaniformis (Gradstein et al., 2012)",,M-G,A,R,,C,,,,,,,F,,,R,F,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342-U1409A-24X-4-W 83/83-NANNO,342,U1409,A,24,24-4,X,4,W,83/83-NANNO,0,0,194.53,194.53,NP4,"NP4 - Ellipsolithus macellus (Gradstein et al., 2012)",,M-G,A,R,,C,,,,,,,F,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,
