Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Calcareous spp. (indeterminate),Calcarina calcar,Cancris auricula,Cancris sp.,Cassidulina spp.,Cassidulinoides spp.,Cassidulina teretis,Ceratobulimina spp.,Ceratobulimina jonesiana,Chilostomella oolina,Chilostomella ovoidea,Chrysalogonium calomorphum,Chrysalogonium spp.,Cibicides cf. lobatulus,Cibicides lobatulus,Cibicides refulgens,Cibicides spp.,Cibicides/Cibicidoides spp.,Cibicidoides cf. pachyderma,Cibicidoides cf. refulgens,Cibicidoides cf. ungerianus,Cibicidoides cicatricosus,Cibicidoides incrassatus,Cibicidoides kullenbergi,Cibicidoides mollis,Cibicidoides pachyderma,Cibicidoides pseudoungerianus,Cibicidoides robertsonianus,Cibicidoides spp.,Cibicidoides subhaidingerii,Cibicidoides wuellerstorfi,Cibicorbis? sp.,Clavulina mexicana,Conorbina spp.,Cribroloculina sp.,Cribronodosaria sp.,Cribromiliolinella sp.,Cribrostomoides scitulum,Cribrostomoides spp.,Cribrostomoides subglobosus,Crithionina hispida,Crithionina mamilla,Crithionina pisum,Cyclammina cancellata,Cyclammina spp.,Cylindroclavulina spp.?,Dendrophyra spp.,Dentalina advena,Dentalina ariena,Dentalina bradyensis,Dentalina cf. filiformis,Dentalina spp.,Dentalina communis,Deuterammina ochracea,Discammina spp.,Discanomalina coronata,Discanomalina semipunctata,Discanomalina spp.,Discorbis spp.,Dorothia bradyana,Dorothia spp.,Eggerella bradyi,Eggerella spp.,Ehrenbergina pupa?,Ehrenbergina spp.,Elphidid taxa,Elphidiella spp.,Elphidium aculeatum,Elphidium cf. jenseni,Elphidium crispum,Elphidium spp.,Epistomina spp.,Epistominella exigua,Epistominella rugosa,Epistominella spp.,Eponides spp.,Eubuliminella exilis,Cibicidoides cf. wuellerstorfi,Comment,File Data
339-U1388B-13X-CC-PAL-FORAM,339,U1388,B,13,13-CC,X,CC,PAL,FORAM,0,5,120.66,120.71,,,,,,,R ,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-14X-CC-PAL-FORAM,339,U1388,B,14,14-CC,X,CC,PAL,FORAM,0,5,130.14,130.19,,,,,,,R ,,,,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1388B-15X-CC-PAL-FORAM,339,U1388,B,15,15-CC,X,CC,PAL,FORAM,0,5,139.81,139.86,,,,,,,P ,,,,,,,,R ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,R ,,,,R ,,,,,
339-U1388B-16X-CC-PAL-FORAM,339,U1388,B,16,16-CC,X,CC,PAL,FORAM,0,5,149.27,149.32,,,,,,,R ,,,,,,,P ,F ,,,R ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,
339-U1388B-17X-CC-PAL-FORAM,339,U1388,B,17,17-CC,X,CC,PAL,FORAM,0,5,151.74,151.79,,,,,P ,,P ,,,,,,,,P ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,
339-U1388B-19X-CC-PAL-FORAM,339,U1388,B,19,19-CC,X,CC,PAL,FORAM,0,5,177.97,178.02,,,,,,,F ,,,,,,,,R ,,,R ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,P ,,,,,
339-U1388B-20X-CC-PAL-FORAM,339,U1388,B,20,20-CC,X,CC,PAL,FORAM,0,6,185.85,185.91,,,,,,,F ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,
339-U1388B-21X-CC-PAL-FORAM,339,U1388,B,21,21-CC,X,CC,PAL,FORAM,0,5,188.61,188.66,,,,,,,,,,,,,,,,,,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-22X-CC-PAL-FORAM,339,U1388,B,22,22-CC,X,CC,PAL,FORAM,0,5,198.99,199.04,,,,,,,R ,,,,,,,,F ,,,F ,,,,,,P ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,R ,,,,,,,,,
339-U1388B-23X-CC-PAL-FORAM,339,U1388,B,23,23-CC,X,CC,PAL,FORAM,0,7,211.8,211.87,,,,,,,R ,,,,,,,,R ,,,R ,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,,,
339-U1388B-24X-CC-PAL-FORAM,339,U1388,B,24,24-CC,X,CC,PAL,FORAM,0,5,225.68,225.73,,,,,,,R ,,,,,,,,P ,,,A ,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,
