Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Amphisphaera coronata s.l.,Amphisphaera goruna,Axoprunum pierinae group,Bekoma bidartensis,Bekoma campechensis,Bekoma divaricata,Buryella clinata,Buryella pentadica,Buryella tetradica,Calocycloma ampulla,Calocycloma castum,Clathrocyclas australis,Dictyoprora mongolfieri,Eusyringium fistuligerum,Eusyringium lagena,"Heliodiscus asteriscus Haeckel, 1887",Lamptonium fabaeforme chaunothorax ,Lamptonium fabaeforme constrictum,Lamptonium fabaeforme fabaeforme ,Lamptonium pennatum,Lithochytris vespertilio,Lophocyrtis (Cyclampterium) hadra,Lophocyrtis (Lophocyrtis) jacchia,Lophocyrtis aspera,Lophocyrtis biaurita,Lophocyrtis semipolita group,Lychnocanoma amphitrite,Lychnocanoma auxilla ,Lychnocanoma bellum,Lychnocanoma conica,Lychnocanoma elongata ,Periphaena decora,Periphaena heliasteriscus,Periphaena tripyramis triangula,Peritiviator(?) dumitricai,Phormocyrtis striata exquisita,Phormocyrtis striata praexquisita,Phormocyrtis striata striata,Phormocyrtis turgida,Podocyrtis aphorma,Podocyrtis diamesa,Podocyrtis papalis ,Pterocodon (?) ampla ,Pterocodon (?) anteclinata,Pterocodon (?) poculum ,Rhopalocanium ornatum,Sethochyrtis chrysalli,Sethochytris bablylonis ,Sethochytris triconiscus,Spongatractus balbis ,Spongatractus pachystylus,Stylotrochus nitidus ,Theocorys acroria,Theocorys anaclasta ,Theocotyle conica,Theocotyle cryptocephala,Theocotyle nigriniae,Theocotylissa ficus ,Thyrsocyrtis hirsuta,Thyrsocyrtis rhizodon ,Thyrsocyrtis tensa ,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W
342-U1405A-15H-CC-PAL,0,8,139.46,139.54,RN01,RN01 - Cyrtocapsella tetrapera,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,15,H,CC,PAL
342-U1405A-16H-CC-PAL,0,5,149.2,149.25,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,16,H,CC,PAL
342-U1405A-17H-CC-PAL,0,6,158.45,158.51,RN01,RN01 - Cyrtocapsella tetrapera,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,17,H,CC,PAL
342-U1405A-18H-CC-PAL,0,6,167.7,167.76,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,18,H,CC,PAL
342-U1405A-19H-CC-PAL,0,5,177.02,177.07,RP22b,RP22b,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,19,H,CC,PAL
342-U1405A-20H-CC-PAL,0,8,186.57,186.65,RP22b,RP22b,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,20,H,CC,PAL
342-U1405A-21H-CC-PAL,0,6,194.89,194.95,,unzoned,,G,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,21,H,CC,PAL
342-U1405A-22H-CC-PAL,0,7,206.07,206.14,RP22b,RP22b,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,22,H,CC,PAL
342-U1405A-23H-CC-PAL,0,23,214.62,214.85,,unzoned,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,23,H,CC,PAL
342-U1405A-24H-CC-PAL,0,5,224.56,224.61,RP22a,RP22a - Lychnocanoma elongata,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,24,H,CC,PAL
342-U1405A-25H-7-PAL,0,5,234.02,234.07,,,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,25,H,7,PAL
342-U1405A-26H-CC-PAL,0,5,241.89,241.94,,,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,26,H,CC,PAL
342-U1405A-27X-CC-PAL,0,1,247.16,247.17,,,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,27,X,CC,PAL
342-U1405A-28X-CC-PAL,0,5,253.38,253.43,,,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,28,X,CC,PAL
342-U1405A-29X-CC-PAL,0,5,265.54,265.59,,,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,29,X,CC,PAL
342-U1405A-30X-CC-PAL,0,7,272.69,272.76,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,30,X,CC,PAL
342-U1405A-31X-CC-PAL,0,9,281.36,281.45,,,,M,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,31,X,CC,PAL
342-U1405A-32X-CC-PAL,0,5,291.14,291.19,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,32,X,CC,PAL
342-U1405A-33X-CC-PAL,0,5,306.98,307.03,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1405,A,33,X,CC,PAL
