Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data,
339-U1391A-11H-CC-PAL-FORAM,339,U1391,A,11,11-CC,H,CC,PAL,FORAM,0,5,99.47,99.52,,,G ,D ,R ,P ,,,,R ,,,P ,,P ,P ,,,,,,P ,,R ,P ,,,,,,,,,,,P ,,,,,,,D ,P ,R ,,,,,,,F ,,,
339-U1391A-12H-CC-PAL-FORAM,339,U1391,A,12,12-CC,H,CC,PAL,FORAM,0,5,109.12,109.17,,,G ,D ,A ,R ,,,P ,A ,,,P ,,P ,,,,,,,,,R ,P ,,,,,,,,,,,P ,P ,P ,P ,,,,F ,,P ,,,,,,P ,R ,,,
339-U1391A-13H-CC-PAL-FORAM,339,U1391,A,13,13-CC,H,CC,PAL,FORAM,0,5,118.95,119.0,,,G ,D ,F ,R ,,P ,,A ,,,,,R ,,,,,,,,,R ,R ,,,,,,,,,,,P ,,P ,P ,,,,A ,P ,P ,,,,,,,P ,,,
339-U1391A-14H-CC-PAL-FORAM,339,U1391,A,14,14-CC,H,CC,PAL,FORAM,0,5,128.14,128.19,,,G ,D ,A ,R ,,,,A ,,,,,R ,,,,,,,P ,,P ,R ,,,,,,,,,,,P ,,P ,P ,,,,D ,,R ,,,,,,,R ,,,
339-U1391A-15H-CC-PAL-FORAM,339,U1391,A,15,15-CC,H,CC,PAL,FORAM,0,5,136.93,136.98,,,G ,D ,A ,P ,,,,F ,,,,P ,,,,,,,,F ,,,R ,,,,,,,,,,,,,P ,,,,,R ,,R ,,,,,,,F ,,,
339-U1391A-16H-CC-PAL-FORAM,339,U1391,A,16,16-CC,H,CC,PAL,FORAM,0,5,147.98,148.03,,,M ,A ,F ,P ,,,,F ,,,,,R ,,,,,,,,,P ,P ,,,,,,,,,,,P ,,,,,,,F ,P ,,,,,,,,D ,,,
339-U1391A-17H-CC-PAL-FORAM,339,U1391,A,17,17-CC,H,CC,PAL,FORAM,0,7,156.53,156.6,,,G ,D ,A ,P ,,,,F ,,,P ,P ,P ,,,,,,,P ,,P ,R ,,,,,,,,,,,P ,,,,,,,A ,,P ,,,,,,,R ,"G. crassaformis dex 25%, G. truncatul dex 100%",,
339-U1391A-18H-CC-PAL-FORAM,339,U1391,A,18,18-CC,H,CC,PAL,FORAM,0,5,167.17,167.22,,,G ,D ,A ,R ,,,,F ,,,,P ,P ,,,,,,,P ,,R ,R ,,,,,,,,,,,P ,,P ,P ,,,,R ,F ,R ,,,,,,,P ,,,
339-U1391A-19H-4-PAL-FORAM,339,U1391,A,19,19-4,H,4,PAL,FORAM,0,5,171.05,171.1,,,G ,D ,F ,B ,,,,P ,,,,,,,,,,,,,,,R ,,,,,,,,,,,P ,,,,,,,F ,A ,,,,,,,,F ,,,
339-U1391A-20X-CC-PAL-FORAM,339,U1391,A,20,20-CC,X,CC,PAL,FORAM,0,5,179.82,179.87,,,G ,D ,P ,B ,,,,P ,,,,,,,,,,,,,,,R ,,,,,,,,,,,P ,,,,,,,A ,A ,P ,,,,,,,P ,,,
339-U1391A-21X-CC-PAL-FORAM,339,U1391,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.22,189.27,,,G ,D ,A ,R ,,,,F ,,,P ,,F ,,,,,,,,,,R ,,,,,,,,,,,R ,,,,,,,F ,,R ,,,,,,,P ,,,
339-U1391A-22X-CC-PAL-FORAM,339,U1391,A,22,22-CC,X,CC,PAL,FORAM,0,5,199.35,199.4,,,G ,D ,D ,R ,,,,F ,,,,,F ,P ,,,,P ,,,,P ,P ,,,,,,,,,,,R ,,,,,,,F ,R ,R ,,,,,,,R ,,,
339-U1391A-23X-CC-PAL-FORAM,339,U1391,A,23,23-CC,X,CC,PAL,FORAM,0,5,208.42,208.47,,,G ,D ,A ,P ,,,,F ,,,,,R ,,,,,,,,,P ,P ,,,,,,,,,,,F ,P ,,,,,,A ,P ,R ,,,,,,,F ,,,
339-U1391A-25X-CC-PAL-FORAM,339,U1391,A,25,25-CC,X,CC,PAL,FORAM,0,5,227.41,227.46,,,G ,D ,A ,B ,,,,P ,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,R ,,,,,,,R ,D ,P ,,,,,,,F ,,,
339-U1391A-26X-CC-PAL-FORAM,339,U1391,A,26,26-CC,X,CC,PAL,FORAM,0,5,238.62,238.67,,,G ,D ,A ,R ,,,,F ,,,,,R ,,,,,,,,,,P ,,,,,,,,,,,R ,,,,,,,A ,P ,R ,,,,,,,P ,,,
339-U1391A-27X-CC-PAL-FORAM,339,U1391,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.53,246.58,,,G ,D ,R ,P ,,,,P ,,,,P ,,,P ,,,,,,,P ,P ,,,,,,,,,,,P ,,,,,,,A ,A ,P ,,,,,,,P ,,,
339-U1391A-28X-CC-PAL-FORAM,339,U1391,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.92,256.97,,,G ,D ,A ,B ,,,,P ,,,,,,,P ,,,,,,,P ,R ,,,,,,,,,,,P ,,,,,,,A ,P ,P ,,,,,,,R ,,,
339-U1391A-29X-CC-PAL-FORAM,339,U1391,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.45,265.5,,,G ,D ,A ,P ,,,,R ,,,,P ,R ,R ,,,,,,,,,R ,,,,,,,,,,,R ,,,,,,,F ,R ,F ,,,,,,,R ,"Radiolarians, siliceous sponge spicules. G. truncatulinoides 50% dex",,
339-U1391A-30X-CC-PAL-FORAM,339,U1391,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.47,276.52,,,G ,D ,R ,F ,,,,,,,P ,P ,P ,,,,,,,,,,R ,P ,,,,,,,,,,P ,,,,,,,A ,,P ,,,,,,,P ,Siliceous sponge spicules,,
339-U1391A-31X-CC-PAL-FORAM,339,U1391,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.7,283.75,,,G ,D ,A ,B ,,,,R ,,,,P ,P ,,,,,,,,,,P ,,,,,,,,,,,R ,,,,,,,P ,D ,R ,,,,,,,P ,,,
339-U1391A-32X-CC-PAL-FORAM,339,U1391,A,32,32-CC,X,CC,PAL,FORAM,0,5,296.2,296.25,,,G ,D ,R ,B ,,,,B ,,,,P ,,,,,,,,,,,B ,,,,,,,,,,,P ,,,,,,,B ,D ,P ,,,,,,,F ,,,
339-U1391A-33X-CC-PAL-FORAM,339,U1391,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.65,302.7,,,G ,D ,F ,P ,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,D ,P ,,,,,,,F ,,,
339-U1391A-34X-CC-PAL-FORAM,339,U1391,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.51,314.56,,,G ,D ,A ,P ,,,,F ,,P ,,P ,R ,,,,,,,,,,P ,,,,,,,,,,,,,,P ,,,,A ,R ,P ,,,,,,,P ,,,
339-U1391A-35X-CC-PAL-FORAM,339,U1391,A,35,35-CC,X,CC,PAL,FORAM,0,5,324.39,324.44,,,G ,D ,F ,P ,,,,P ,,,,P ,,,,,,,,,,P ,P ,,,,,,,,,,,P ,,,,,,,F ,D ,P ,,,,,,,R ,,,
339-U1391A-36X-CC-PAL-FORAM,339,U1391,A,36,36-CC,X,CC,PAL,FORAM,0,5,334.05,334.1,,,G ,D ,A ,R ,,,,F ,,,,P ,P ,,,,,,,P ,,P ,P ,,,,,,,,,,,P ,,,,,,,R ,,F ,,,,,,,F ,,,
339-U1391A-37X-CC-PAL-FORAM,339,U1391,A,37,37-CC,X,CC,PAL,FORAM,0,5,343.2,343.25,,,G ,D ,F ,P ,,,,A ,,,,P ,,R ,,,,,,,,P ,P ,,,,,,,,,,,P ,P ,,,,,,A ,,R ,,,,,,,R ,,,
339-U1391A-38X-CC-PAL-FORAM,339,U1391,A,38,38-CC,X,CC,PAL,FORAM,0,5,353.46,353.51,,,G ,D ,F ,R ,,,,P ,,,,R ,R ,P ,,,,,,P ,,,P ,,,,,,,,,,,,,,,,,,D ,,R ,,,,,,,P ,,,
