Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data
339-U1390A-11X-CC-PAL-FORAM,339,U1390,A,11,11-CC,X,CC,PAL,FORAM,0,5,92.56,92.61,,,VG ,D ,D ,R ,,,,A ,,,P ,,R ,D ,,,,P ,,,,R ,R ,,,,,,,,,,,R ,,,P ,,,,F ,P ,F ,,,,,,,P ,,
339-U1390A-12X-CC-PAL-FORAM,339,U1390,A,12,12-CC,X,CC,PAL,FORAM,0,5,101.15,101.2,R ,,VG ,A ,A ,R ,,,,A ,,,P ,,F ,R ,,,,P ,,,,R ,R ,P ,,,,,,,,,,R ,,,,,,,A ,P ,R ,,,,,,,P ,,
339-U1390A-13X-CC-PAL-FORAM,339,U1390,A,13,13-CC,X,CC,PAL,FORAM,0,5,110.44,110.49,R ,,VG ,A ,D ,R ,,,,A ,,,,,P ,F ,,,,,,,,R ,R ,,,,,,,,,,,P ,,,,,,,F ,,R ,,,,,,,P ,,
339-U1390A-14X-CC-PAL-FORAM,339,U1390,A,14,14-CC,X,CC,PAL,FORAM,0,5,121.18,121.23,R ,,VG ,D ,F ,A ,,P ,R ,A ,,,,,P ,,,,,,,,,,R ,P ,,,,,,,,,,P ,,,,,,,R ,,R ,,,,,,,,,
339-U1390A-15X-CC-PAL-FORAM,339,U1390,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.38,129.43,,,VG ,A ,A ,F ,,,,F ,,,P ,,R ,P ,,,,P ,,,,,R ,,,,,,,,,,,R ,,,,,,,F ,,R ,,,,,,,,,
339-U1390A-16X-CC-PAL-FORAM,339,U1390,A,16,16-CC,X,CC,PAL,FORAM,0,5,140.05,140.1,,,G ,A ,F ,R ,,,,R ,,,,,P ,,,,,,,,,P ,P ,,,,,,,,,,,P ,,,,,,,D ,P ,R ,,,,,,,F ,,
339-U1390A-17X-CC-PAL-FORAM,339,U1390,A,17,17-CC,X,CC,PAL,FORAM,0,5,149.92,149.97,,,G ,P ,A ,B ,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,P ,R ,,,,,,,A ,Many grains of black pyrite?,
339-U1390A-18X-CC-PAL-FORAM,339,U1390,A,18,18-CC,X,CC,PAL,FORAM,0,5,159.02,159.07,R ,,G ,A ,A ,R ,,,,A ,,,,,F ,,,,,P ,,,,P ,P ,,,,,,,,,,,P ,,,,,,,A ,,R ,,,,,,,P ,,
339-U1390A-19X-CC-PAL-FORAM,339,U1390,A,19,19-CC,X,CC,PAL,FORAM,0,5,165.76,165.81,,,G ,D ,A ,,,,,P ,,,P ,,,,,,,,,,,P ,P ,,,,,,,,,,,P ,,,,,,,D ,,R ,,,,,,,R ,,
339-U1390A-20X-CC-PAL-FORAM,339,U1390,A,20,20-CC,X,CC,PAL,FORAM,0,5,178.73,178.78,,,G ,A ,A ,R ,,P ,R ,A ,,,,,F ,,,,,,,,,P ,P ,,,,,R ,,,,,,P ,,P ,,,,,R ,,R ,,,,,,,,,
339-U1390A-21X-CC-PAL-FORAM,339,U1390,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.55,187.6,,,G ,A ,F ,R ,,,,D ,,,P ,,F ,,,,,,,P ,,P ,P ,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,R ,,
339-U1390A-22X-CC-PAL-FORAM,339,U1390,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.03,197.08,,,G ,A ,A ,P ,,,,D ,,,,,A ,,,,,,,R ,,P ,P ,,,,,,,,,,,,,,,,,,R ,,R ,,,,,,,P ,,
339-U1390A-23X-CC-PAL-FORAM,339,U1390,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.98,207.03,,,G ,A ,A ,R ,,,,A ,,,P ,,P ,R ,,,,,,P ,,R ,P ,,,,,,P ,,,,,P ,,,,,,,A ,,F ,,,,,,,,,
339-U1390A-24X-CC-PAL-FORAM,339,U1390,A,24,24-CC,X,CC,PAL,FORAM,0,5,217.31,217.36,,,VG ,A ,A ,P ,,,,P ,,,,,,,,,,,,F ,,P ,R ,,,,,,,,,,,P ,,,,,,,D ,,R ,,,,,,,F ,,
339-U1390A-25X-CC-PAL-FORAM,339,U1390,A,25,25-CC,X,CC,PAL,FORAM,0,5,224.61,224.66,,,G ,A ,A ,R ,,,,A ,,,P ,,,F ,,,,,,,,,R ,,,,,,,,,,,P ,,P ,,,,,A ,,R ,,,,,,,F ,,
339-U1390A-26X-CC-PAL-FORAM,339,U1390,A,26,26-CC,X,CC,PAL,FORAM,0,5,236.23,236.28,,,G ,A ,A ,F ,,P ,P ,A ,,,,P ,F ,P ,,,,,,R ,,P ,P ,,,,,,,,,,,P ,,,P ,,,,F ,,R ,,,,,,,,,
339-U1390A-27X-CC-PAL-FORAM,339,U1390,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.21,246.26,,,G ,A ,A ,R ,,,,F ,,,,,R ,,,,,P ,,R ,,,R ,,,,,,,,,,,P ,,P ,,,,,A ,,R ,,,,,,,,,
339-U1390A-28X-CC-PAL-FORAM,339,U1390,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.03,256.08,,,G ,A ,F ,R ,,,,F ,,,R ,P ,A ,,,,,,,R ,,P ,P ,,,,,,,,,,,P ,,P ,,,,,A ,,R ,,,,,,,,,
339-U1390A-29X-CC-PAL-FORAM,339,U1390,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.47,265.52,,,G ,A ,A ,P ,,,,F ,,,,,,,,,,,,F ,,P ,F ,,,,,,,,,,,P ,,P ,,,,,A ,R ,R ,,,,,,,F ,,
339-U1390A-30X-CC-PAL-FORAM,339,U1390,A,30,30-CC,X,CC,PAL,FORAM,0,5,275.32,275.37,,,G ,D ,A ,R ,,P ,P ,F ,,,,,R ,,,,,,,R ,,P ,P ,,,,P ,,,,,,,P ,P ,,,,,,A ,,F ,,,,,,,,reworked Pliocene species,
339-U1390A-31X-CC-PAL-FORAM,339,U1390,A,31,31-CC,X,CC,PAL,FORAM,0,5,284.56,284.61,,,G ,F ,A ,P ,,,,F ,,,,P ,P ,P ,,,,,,R ,,,F ,,,,P ,,,,,,P ,,,,,,,,A ,R ,R ,,,P ,,,,,reworked Pliocene species,
339-U1390A-32X-CC-PAL-FORAM,339,U1390,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.63,293.68,,,G ,A ,A ,F ,,,,F ,,,,,,,,,,P ,,,,P ,,,,,,,,,,,,R ,,,,,,,A ,P ,R ,,,,,,,,,
339-U1390A-33X-CC-PAL-FORAM,339,U1390,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.6,302.65,,,M ,A ,A ,F ,,,P ,R ,,,,P ,P ,,,,,P ,,,,,R ,,,,P ,,,,,,,P ,,,,,,,F ,P ,R ,P ,,,,,,,,
339-U1390A-34X-1-W 59/61-8839-FORAM,339,U1390,A,34,34-1,X,1,W,59/61-8839-FORAM,0,2,304.49,304.51,,,M ,P ,A ,F ,,,,R ,,,P ,P ,P ,,,,P ,,,,,,R ,,,,P ,,P ,,,,,P ,,,,,,,F ,P ,P ,,,,,,,R ,sand; reworked Pliocene species,
339-U1390A-34X-3-W 59/61-8840-FORAM,339,U1390,A,34,34-3,X,3,W,59/61-8840-FORAM,0,2,307.48,307.5,,,M ,F ,A ,F ,,,,R ,,,,P ,F ,,,,,P ,,,,P ,R ,,,,,,,,P ,,,P ,,,,,,,A ,,P ,P ,,,,,,R ,reworked Miocene species,
339-U1390A-34X-5-W 59/61-8841-FORAM,339,U1390,A,34,34-5,X,5,W,59/61-8841-FORAM,0,2,310.48,310.5,,,G ,A ,A ,A ,,,,P ,,,,P ,P ,,,,,,,R ,,R ,R ,,,,,,,,,,,P ,,,,,,,F ,P ,R ,P ,,,,,,F ,,
339-U1390A-34X-CC-PAL-FORAM,339,U1390,A,34,34-CC,X,CC,PAL,FORAM,0,5,313.11,313.16,,,VG ,D ,F ,F ,,,,F ,,,,P ,R ,,,,,,,,,P ,P ,,,,,,,,,,,P ,P ,,,,,,D ,P ,R ,,,,,,,,,
339-U1390A-35X-CC-PAL-FORAM,339,U1390,A,35,35-CC,X,CC,PAL,FORAM,0,5,323.17,323.22,,,G ,D ,A ,R ,,,,A ,,,P ,R ,P ,,,,,,,R ,,P ,P ,,,,,,,,,,,P ,,,,,,,A ,,R ,,,,,,,R ,,
339-U1390A-36X-CC-PAL-FORAM,339,U1390,A,36,36-CC,X,CC,PAL,FORAM,0,5,332.58,332.63,,,G ,P ,F ,A ,,,P ,A ,,,,P ,P ,P ,,,,,,,,,R ,,,,,,,,,,,,,,,P ,,,R ,P ,P ,P ,,,,,,,,
339-U1390A-37X-CC-PAL-FORAM,339,U1390,A,37,37-CC,X,CC,PAL,FORAM,0,5,335.22,335.27,,,G ,P ,A ,R ,,,,A ,,,,,R ,,,,P ,,,,,P ,,,,,,P ,,,,,,P ,,,,R ,,,A ,P ,R ,,,,,,,R ,,
339-U1390A-38X-CC-PAL-FORAM,339,U1390,A,38,38-CC,X,CC,PAL,FORAM,0,5,351.21,351.26,,,G ,D ,A ,R ,,,,R ,,,,R ,P ,P ,,,,P ,,,,P ,P ,,,,,,,,,,,P ,,,,,,,A ,,R ,P ,,,,,,,,
