Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Actinomma boreale,Actinomma medianum,Amphimelissa setosa,Axoprunum acquilonium,Botryostrobus aquilonaris,Ceratospyris borealis,Collosphaera pyloma,Cycladophora cornutoides,Cycladophora cosma,Cycladophora davisiana,Cycladophora sakaii,Cyrtocapsella japonica,Dendrospyris sakaii,Dictyophimus bullatus,Dictyophimus hirundo,Eucyrtidium asanoi,Eucyrtidium inflatum,Eucyrtidium matuyamai,Lamprocyrtis heteroporos,Larcopyle buetschlii,Lipmanella redondoensis,Lithelius barbatus,Lychnocanomma magnacornuta,Lychnocanomma nipponica sakaii,Lychnocanomma parallelipes,Phormostichoartus fistula,Porodiscus circularis,Sphaeropyle langii/robusta group,Spongodiscus sp.,Spongopyle osculosa,Spongotrochus glacialis,Spongurus pylomaticus,Stichocorys delmontensis,Stichocorys peregrina,Stylatractus universus,Stylochlamydium venustum,Stylodictya validispina,Thecosphaera akitaensis,physical_constituent_name,Shore File Links,pc_fossil_group,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1341B-24H-CC-PAL-RADS20    ,323,U1341,B,24,24-CC,H,CC,PAL,RADS20    ,0,0 ,218.83,218.83,,M,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-25H-CC-PAL-RADS25    ,323,U1341,B,25,25-CC,H,CC,PAL,RADS25    ,0,0 ,228.42,228.42,,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,F,F,,,,,,,
323-U1341B-26H-CC-PAL-RADS30    ,323,U1341,B,26,26-CC,H,CC,PAL,RADS30    ,0,0 ,238.11,238.11,,M,F,,,,,,,,F,,F,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-27H-CC-PAL-RADS35    ,323,U1341,B,27,27-CC,H,CC,PAL,RADS35    ,0,0 ,247.5,247.5,,M,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,,,,,,,,
323-U1341B-28H-CC-PAL-RADS35    ,323,U1341,B,28,28-CC,H,CC,PAL,RADS35    ,0,0 ,257.09,257.09,,M,F,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,
323-U1341B-29H-CC-PAL-RADS40    ,323,U1341,B,29,29-CC,H,CC,PAL,RADS40    ,0,0 ,265.92,265.92,,M,F,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,
323-U1341B-30H-CC-PAL,323,U1341,B,30,30-CC,H,CC,PAL,,0,0 ,276.09,276.09,,G,F,F,,,F,,F,,,,F,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,F,,,,,,,
323-U1341B-31H-CC-PAL-RADS50    ,323,U1341,B,31,31-CC,H,CC,PAL,RADS50    ,0,0 ,283.71,283.71,,M,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,F,,,,,,,
323-U1341B-32H-CC-PAL-RADS83    ,323,U1341,B,32,32-CC,H,CC,PAL,RADS83    ,0,0 ,291.56,291.56,,P,F,,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,
323-U1341B-33H-CC-PAL-RADS88    ,323,U1341,B,33,33-CC,H,CC,PAL,RADS88    ,0,0 ,301.13,301.13,,M,F,F,,,,F,F,,F,,F,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,
323-U1341B-34H-CC-PAL-RADS93    ,323,U1341,B,34,34-CC,H,CC,PAL,RADS93    ,0,0 ,307.22,307.22,,M,F,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,
323-U1341B-35H-CC-PAL,323,U1341,B,35,35-CC,H,CC,PAL,,0,0 ,316.65,316.65,,M,F,F,,F,,,F,,,,F,,,,,,,,,,,,,,,,,,,,F,F,,,,,,F,,,,,,,
323-U1341B-36H-CC-PAL-RADS34    ,323,U1341,B,36,36-CC,H,CC,PAL,RADS34    ,0,0 ,325.83,325.83,,M,C,,,,,,C,,F,,C,,,,,,,,,,,,,,,,,,F,,,,F,,,,,F,,,,,,,
323-U1341B-37H-CC-PAL-RADS39    ,323,U1341,B,37,37-CC,H,CC,PAL,RADS39    ,0,0 ,335.18,335.18,,M,F,F,,,,,F,,,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,
323-U1341B-38H-CC-PAL-RADS47    ,323,U1341,B,38,38-CC,H,CC,PAL,RADS47    ,0,0 ,345.68,345.68,,M,F,F,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,
323-U1341B-39H-CC-PAL58     -RADS52    ,323,U1341,B,39,39-CC,H,CC,PAL58,RADS52    ,0,0 ,354.99,354.99,,G,F,F,,,,,F,,F,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,F,,,,,,,
323-U1341B-40H-CC-PAL41     -RADS57    ,323,U1341,B,40,40-CC,H,CC,PAL41,RADS57    ,0,0 ,358.01,358.01,,G,F,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,
323-U1341B-41H-CC-PAL53     -RADS92    ,323,U1341,B,41,41-CC,H,CC,PAL53,RADS92    ,0,0 ,366.14,366.14,,G,F,,,,,,F,,F,,F,,,,,,,,,,,,,,,,,,,F,,,,,,,,F,,,,,,,
323-U1341B-42H-CC-PAL-RADS56    ,323,U1341,B,42,42-CC,H,CC,PAL,RADS56    ,0,0 ,375.58,375.58,,M,F,,F,,F,,C,,F,,,F,,,,,,,,,,,,,,,,,F,F,F,,,,,,F,F,,,,,,,
323-U1341B-43H-CC-PAL-RADS61    ,323,U1341,B,43,43-CC,H,CC,PAL,RADS61    ,0,0 ,385.38,385.38,,M,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,F,,,,,,,
323-U1341B-44H-CC-PAL-RADS66    ,323,U1341,B,44,44-CC,H,CC,PAL,RADS66    ,0,0 ,395.02,395.02,,M,C,,,,F,,F,,F,,,F,,,,,,,,,,,,,,,,,,F,F,F,,,,,,F,,,,,,,
323-U1341B-45H-CC-PAL-RADS71    ,323,U1341,B,45,45-CC,H,CC,PAL,RADS71    ,0,0 ,403.49,403.49,,M,F,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,
323-U1341B-46H-CC-PAL-RADS76    ,323,U1341,B,46,46-CC,H,CC,PAL,RADS76    ,0,0 ,413.6,413.6,,M,F,,,,F,,,,F,,,,,,,,,,,,F,,,,,,,,F,,F,F,,,,,,F,,,,,,,
323-U1341B-47H-CC-PAL-RADS87    ,323,U1341,B,47,47-CC,H,CC,PAL,RADS87    ,0,0 ,414.43,414.43,,M,F,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,F,,F,F,F,,,,F,,F,,,,,,
323-U1341B-48H-CC-PAL-RADS83    ,323,U1341,B,48,48-CC,H,CC,PAL,RADS83    ,0,0 ,422.74,422.74,,G,F,,,,F,,F,,,,,F,,,,,,,,,,,,,,,,,F,,F,F,F,,,,F,,,,,,,,
323-U1341B-49H-CC-PAL-RADS88    ,323,U1341,B,49,49-CC,H,CC,PAL,RADS88    ,0,0 ,423.19,423.19,,M,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,F,F,F,,,,F,,F,,,,,,
323-U1341B-50H-CC-PAL-RADS48    ,323,U1341,B,50,50-CC,H,CC,PAL,RADS48    ,0,0 ,431.08,431.08,,M,F,,,,,,F,,,,,F,,,,,,,,,,,,,,,,,,,,F,,,,,F,,,,,,,,
323-U1341B-51H-CC-PAL-RADS53    ,323,U1341,B,51,51-CC,H,CC,PAL,RADS53    ,0,0 ,438.94,438.94,,M,F,,,,F,,F,,,,,F,,,,,,,,,,,,,,,,,,,F,F,,,,,F,F,F,,,,,,
323-U1341B-52H-CC-PAL-RADS58    ,323,U1341,B,52,52-CC,H,CC,PAL,RADS58    ,0,0 ,448.76,448.76,,M,F,,,,F,,,,,,F,F,,,,,,,,,,,,,,,,,,,,C,F,,,,F,F,F,,,,,,
323-U1341B-53H-CC-PAL-RADS63    ,323,U1341,B,53,53-CC,H,CC,PAL,RADS63    ,0,0 ,457.7,457.7,,M,F,,,,F,,F,,F,,F,F,,,,,,,,,,,,,,,,,F,,,,,,,,,F,F,,,,,,
323-U1341B-54H-CC-PAL-RADS68    ,323,U1341,B,54,54-CC,H,CC,PAL,RADS68    ,0,0 ,458.23,458.23,,M,F,,,,,,F,,,,F,F,,,,,,,,,F,,,,,,,,,,,F,,,,,,F,,,,,,,
323-U1341B-55H-CC-PAL74     -RADS70    ,323,U1341,B,55,55-CC,H,CC,PAL74,RADS70    ,0,0 ,458.3,458.3,,M,F,,,,,,F,,,,F,F,,,,F,,,,,,,,,,,,,,,,,,,,F,,F,,,,,,,
323-U1341B-56H-CC-PAL4      -RADS75    ,323,U1341,B,56,56-CC,H,CC,PAL4,RADS75    ,0,0 ,458.4,458.4,,M,F,,,,F,,F,,,,F,,,,,F,,,,,F,,,,,,,,,,,,,,,,,F,F,,,,,,
323-U1341B-57X-CC-PAL-RADS80    ,323,U1341,B,57,57-CC,X,CC,PAL,RADS80    ,0,0 ,467.23,467.23,,M,F,,,,,,F,,,,F,F,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,
323-U1341B-58X-CC-PAL-RADS85    ,323,U1341,B,58,58-CC,X,CC,PAL,RADS85    ,0,0 ,476.65,476.65,,M,F,,,,,,F,,,,F,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-59X-CC-PAL-RADS90    ,323,U1341,B,59,59-CC,X,CC,PAL,RADS90    ,0,0 ,486.67,486.67,,P,F,F,,,,,,,,,,F,,,,,,,,,F,,,,,,,,,,F,F,,,,,,F,,,,,,,
323-U1341B-60X-CC-PAL-RADS76    ,323,U1341,B,60,60-CC,X,CC,PAL,RADS76    ,0,0 ,496.36,496.36,,M,F,,,,,,F,,F,,,F,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,
323-U1341B-61X-CC-PAL-RADS33    ,323,U1341,B,61,61-CC,X,CC,PAL,RADS33    ,0,0 ,504.24,504.24,,M,F,,,,,,F,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-62X-CC-PAL-RADS38    ,323,U1341,B,62,62-CC,X,CC,PAL,RADS38    ,0,0 ,515.62,515.62,,M,F,,,,,,F,,F,,,,,,,,,,,,F,,,,,,,,,,,F,F,,,,,F,,,,,,,
323-U1341B-63X-CC-PAL-RADS45    ,323,U1341,B,63,63-CC,X,CC,PAL,RADS45    ,0,0 ,525.36,525.36,,P,F,,,,,,,,F,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-64X-CC-PAL-RADS62    ,323,U1341,B,64,64-CC,X,CC,PAL,RADS62    ,0,0 ,534.76,534.76,,M,F,,,,,,F,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,F,F,F,,,,,,
323-U1341B-65X-CC-PAL-RADS71    ,323,U1341,B,65,65-CC,X,CC,PAL,RADS71    ,0,0 ,542.92,542.92,,M,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,
323-U1341B-66X-CC-PAL-RADS26    ,323,U1341,B,66,66-CC,X,CC,PAL,RADS26    ,0,0 ,549.26,549.26,,P,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1341B-67X-CC-PAL-RADS31    ,323,U1341,B,67,67-CC,X,CC,PAL,RADS31    ,0,0 ,563.58,563.58,,M,F,,,,F,,F,,,,,F,,,,,,,,,,,,,,,,,,,F,F,F,,,,F,,F,,,,,,
323-U1341B-68X-CC-PAL-RADS36    ,323,U1341,B,68,68-CC,X,CC,PAL,RADS36    ,0,0 ,573.38,573.38,,M,F,,,,F,,F,,F,,,F,,,,,,,,,,,,,,,,,,,F,F,F,,,,F,F,F,,,,,,
323-U1341B-69X-CC-PAL-RADS75    ,323,U1341,B,69,69-CC,X,CC,PAL,RADS75    ,0,0 ,573.52,573.52,,M,F,,,,F,,F,,,,,F,,,,,,,,,,,,,,,,,,,F,F,,,,,,F,F,,,,,,
323-U1341B-70X-CC-PAL-RADS80    ,323,U1341,B,70,70-CC,X,CC,PAL,RADS80    ,0,0 ,592.15,592.15,,M,F,,,,F,,F,,,,,,F,,,,,,,,F,,,,,,,,F,,F,C,F,,,,F,F,F,,,,,,
