Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data
339-U1387C-30R-CC-PAL-FORAM,339,U1387,C,30,30-CC,R,CC,PAL,FORAM,0,5,564.83,564.88,G ,D ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,,,F ,,,,,,,,,,,,,,,,,
339-U1387C-31R-CC-PAL-FORAM,339,U1387,C,31,31-CC,R,CC,PAL,FORAM,0,5,573.54,573.59,G ,D ,,,,,,,,,,P ,,,,,,,,,,,,D ,,,,,,,,,,,,R ,,,,,R ,,P ,,,,,,,,,,P ,,,,,
339-U1387C-32R-CC-PAL-FORAM,339,U1387,C,32,32-CC,R,CC,PAL,FORAM,0,5,586.23,586.28,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,F ,,,,,,,,,,,F ,,,,,,
339-U1387C-33R-CC-PAL-FORAM,339,U1387,C,33,33-CC,R,CC,PAL,FORAM,0,5,596.96,597.01,P ,A ,,,,,,,,,,,,,P ,,,,,,,,,A ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,
339-U1387C-34R-CC-PAL-FORAM,339,U1387,C,34,34-CC,R,CC,PAL,FORAM,0,5,603.77,603.82,M ,D ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,A ,,R ,,,,,,,,,P ,F ,,,,,
339-U1387C-35R-CC-PAL-FORAM,339,U1387,C,35,35-CC,R,CC,PAL,FORAM,0,8,616.22,616.3,M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,P ,,,,,,R ,,,,,
339-U1387C-36R-CC-PAL-FORAM,339,U1387,C,36,36-CC,R,CC,PAL,FORAM,0,5,619.81,619.86,M ,D ,,,,,,,,,,,,,,,,,,,,,,D ,,,,,,,,,,,,,,P ,,,F ,P ,,,,,,,,,,P ,,,,,,
339-U1387C-37R-CC-PAL-FORAM,339,U1387,C,37,37-CC,R,CC,PAL,FORAM,0,5,634.49,634.54,G ,A ,,,,,,,,,,,,,,P ,,,P ,,,,,P ,,,,,,,,,,,,F ,,,,,R ,,,,,,R ,,,,,,,,,,,
339-U1387C-38R-CC-PAL-FORAM,339,U1387,C,38,38-CC,R,CC,PAL,FORAM,0,4,643.55,643.59,P ,D ,,,,,,,,,,P ,,,,,,,,,,,,A ,,,,,,P ,,,,,,,,,,,A ,,R ,,,,,,,,,,,,,,,
339-U1387C-39R-CC-PAL-FORAM,339,U1387,C,39,39-CC,R,CC,PAL,FORAM,0,5,650.31,650.36,G ,F ,,,,,,,,,,A ,,,,,,,,,,,,A ,,,,,,,,,,,,R ,,,,,P ,,,,,,,,,,,,,,,,,
339-U1387C-40R-CC-PAL-FORAM,339,U1387,C,40,40-CC,R,CC,PAL,FORAM,0,5,662.32,662.37,P ,D ,,,,,,,,,,F ,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,R ,P ,,,,,,,,,,P ,,,,,,
339-U1387C-41R-CC-PAL-FORAM,339,U1387,C,41,41-CC,R,CC,PAL,FORAM,0,6,666.26,666.32,G ,A ,,,,,,,,,,R ,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,P ,R ,,,,,
339-U1387C-42R-CC-PAL-FORAM,339,U1387,C,42,42-CC,R,CC,PAL,FORAM,0,5,682.15,682.2,P ,D ,,,,,,,,,,F ,,,,,,,,,,,,R ,,,,,,,,,,,,P ,,,,,R ,P ,,,,,,,,,,,R ,,,,,
339-U1387C-43R-2-PAL-FORAM,339,U1387,C,43,43-2,R,2,PAL,FORAM,0,4,685.76,685.8,P ,D ,,,,,,,,,,A ,,,,P ,,,,,,,,F ,,,,,,R ,,,,,,P ,,,,,R ,P ,,,,,P ,,,,,,P ,,,,,
339-U1387C-44R-1-PAL-FORAM,339,U1387,C,44,44-1,R,1,PAL,FORAM,0,2,693.03,693.05,P ,D ,,,,,,,,,,A ,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-47R-CC-PAL-FORAM,339,U1387,C,47,47-CC,R,CC,PAL,FORAM,0,5,722.04,722.09,P ,D ,,,,,,,,,,F ,,,,,,,,,,,,A ,,,,,,,,,,,,P ,,,,,R ,,,,,,,,,,,,,,,,,
339-U1387C-48R-CC-PAL-FORAM,339,U1387,C,48,48-CC,R,CC,PAL,FORAM,0,5,737.45,737.5,M ,D ,,,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-49R-CC-PAL-FORAM,339,U1387,C,49,49-CC,R,CC,PAL,FORAM,0,3,748.1,748.13,P ,A ,,,,,,,,,,A ,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-50R-CC-PAL-FORAM,339,U1387,C,50,50-CC,R,CC,PAL,FORAM,0,3,752.45,752.48,P ,D ,,,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,P ,,,,,,
339-U1387C-51R-CC-PAL-FORAM,339,U1387,C,51,51-CC,R,CC,PAL,FORAM,0,5,765.69,765.74,P ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,R ,F ,,,,,
339-U1387C-52R-CC-PAL-FORAM,339,U1387,C,52,52-CC,R,CC,PAL,FORAM,0,6,772.92,772.98,G ,D ,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,P ,,,,,,
339-U1387C-53R-6-PAL-FORAM,339,U1387,C,53,53-6,R,6,PAL,FORAM,0,5,786.65,786.7,F,A ,,,,,,,,,,R ,,,P ,,,,,,,,,R ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387C-54R-3-PAL-FORAM,339,U1387,C,54,54-3,R,3,PAL,FORAM,0,5,792.76,792.81,M ,D ,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,
339-U1387C-55R-CC-PAL-FORAM,339,U1387,C,55,55-CC,R,CC,PAL,FORAM,0,6,805.62,805.68,G ,A ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,
339-U1387C-56R-7-PAL-FORAM,339,U1387,C,56,56-7,R,7,PAL,FORAM,0,5,817.13,817.18,G ,A ,,,,,,,,,,,,,P ,,,,,,,,,P ,,,,,,,,,,,,P ,,,,,F ,,,,,,,,,,,,F ,,,,,
339-U1387C-57R-CC-PAL-FORAM,339,U1387,C,57,57-CC,R,CC,PAL,FORAM,0,3,824.6,824.63,G ,A ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,R ,,,,,A ,,,,,,,,,,,,F ,,,,,
339-U1387C-58R-CC-PAL-FORAM,339,U1387,C,58,58-CC,R,CC,PAL,FORAM,0,5,834.33,834.38,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,A ,R ,,,,,P ,,,,,,R ,,,,,
339-U1387C-59R-CC-PAL-FORAM,339,U1387,C,59,59-CC,R,CC,PAL,FORAM,0,5,845.56,845.61,G ,A ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,R ,,,,,,R ,,,,,
339-U1387C-60R-CC-PAL-FORAM,339,U1387,C,60,60-CC,R,CC,PAL,FORAM,0,3,846.4,846.43,G ,A ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,R ,,,,,,,,,,,
339-U1387C-61R-CC-PAL-FORAM,339,U1387,C,61,61-CC,R,CC,PAL,FORAM,0,5,865.8,865.85,M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,
