Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Agglutinated,Elongated,Planispiral,Trochospiral,Tapered,Comments,File Data,Zone name,Zone name (short)
342-U1408A-9H-2-W 100/102-FORAM,342,U1408,A,8,8-5,H,5,W,100/102-FORAM,0,2,68.3,68.32,68.31,G,R,,,,,,,,,
342-U1408A-9H-4-W 100/102-FORAM,342,U1408,A,9,9-2,H,2,W,100/102-FORAM,0,2,73.3,73.32,73.31,G,P,,,,,,,,,
342-U1408A-10H-2-W 100/102-FORAM,342,U1408,A,9,9-4,H,4,W,100/102-FORAM,0,2,76.3,76.32,76.31,VG,R,,,,,,,,,
342-U1408A-10H-5-W 100/102-FORAM,342,U1408,A,10,10-2,H,2,W,100/102-FORAM,0,2,82.8,82.82,82.81,VG,P,,,,,,,,,
342-U1408A-11H-2-W 130/132-FORAM,342,U1408,A,10,10-5,H,5,W,100/102-FORAM,0,2,87.3,87.32,87.31,VG,P,,,,,,,,,
342-U1408A-11H-5-W 100/102-FORAM,342,U1408,A,11,11-2,H,2,W,130/132-FORAM,0,2,92.6,92.62,92.61,G,F,,,,,,,,,
342-U1408A-12H-2-W 100/102-FORAM,342,U1408,A,11,11-5,H,5,W,100/102-FORAM,0,2,96.8,96.82,96.81,VG,P,,,,,,,,,
342-U1408A-12H-5-W 100/102-FORAM,342,U1408,A,12,12-2,H,2,W,100/102-FORAM,0,2,100.71,100.73,100.72,VG,P,,,,,,,,,
342-U1408A-13H-2-W 100/102-FORAM,342,U1408,A,12,12-5,H,5,W,100/102-FORAM,0,2,105.21,105.23,105.22,G,P,,,,,,,,,
342-U1408A-13H-5-W 100/102-FORAM,342,U1408,A,13,13-2,H,2,W,100/102-FORAM,0,2,111.3,111.32,111.31,VG,P,,,,,,,,,
342-U1408A-14H-2-W 100/102-FORAM,342,U1408,A,13,13-5,H,5,W,100/102-FORAM,0,2,115.8,115.82,115.81,VG,P,,,,,,,,,
342-U1408A-14H-5-W 100/102-FORAM,342,U1408,A,14,14-2,H,2,W,100/102-FORAM,0,2,120.8,120.82,120.81,G,F,,,,,,,,,
342-U1408A-15H-2-W 100/102-FORAM,342,U1408,A,14,14-5,H,5,W,100/102-FORAM,0,2,125.3,125.32,125.31,VG,P,,,,,,,,,
342-U1408A-15H-5-W 100/102-FORAM,342,U1408,A,15,15-2,H,2,W,100/102-FORAM,0,2,130.3,130.32,130.31,VG,P,,,,,,,,,
342-U1408A-16H-2-W 100/102-FORAM,342,U1408,A,15,15-5,H,5,W,100/102-FORAM,0,2,134.8,134.82,134.81,VG,P,,,,,,,,,
342-U1408A-16H-5-W 100/102-FORAM,342,U1408,A,16,16-2,H,2,W,100/102-FORAM,0,2,138.51,138.53,138.52,VG,P,,,,,,,,,
342-U1408A-17H-2-W 101/103-FORAM,342,U1408,A,16,16-5,H,5,W,100/102-FORAM,0,2,143.0,143.02,143.01,VG,P,,,,,,,,,
342-U1408A-17H-5-W 110/112-FORAM,342,U1408,A,17,17-2,H,2,W,101/103-FORAM,0,2,149.31,149.33,149.32,G,F,,,,,,,,,
342-U1408A-18H-3-W 100/102-FORAM,342,U1408,A,17,17-5,H,5,W,110/112-FORAM,0,2,153.9,153.92,153.91,VG,P,,,,,,,,,
342-U1408A-18H-6-W 100/102-FORAM,342,U1408,A,18,18-3,H,3,W,100/102-FORAM,0,2,159.13,159.15,159.14,VG,P,,,,,,,,,
342-U1408A-19H-2-W 100/102-FORAM,342,U1408,A,18,18-6,H,6,W,100/102-FORAM,0,2,163.33,163.35,163.34,VG,P,,,,,,,,,
342-U1408A-19H-4-W 100/102-FORAM,342,U1408,A,19,19-2,H,2,W,100/102-FORAM,0,2,168.3,168.32,168.31,VG,P,,,,,,,,,
342-U1408A-20H-2-W 100/102-FORAM,342,U1408,A,19,19-4,H,4,W,100/102-FORAM,0,2,171.3,171.32,171.31,VG,R,,,,,,,,,
342-U1408A-20H-4-W 100/102-FORAM,342,U1408,A,20,20-2,H,2,W,100/102-FORAM,0,2,177.8,177.82,177.81,VG,P,,,,,,,,,
342-U1408A-21X-2-W 100/102-FORAM,342,U1408,A,20,20-4,H,4,W,100/102-FORAM,0,2,180.8,180.82,180.81,G,P,,,,,,,,,
342-U1408A-21X-4-W 100/102-FORAM,342,U1408,A,21,21-2,X,2,W,100/102-FORAM,0,2,185.4,185.42,185.41,VG,P,,,,,,,,,
342-U1408A-22X-2-W 100/102-FORAM,342,U1408,A,21,21-4,X,4,W,100/102-FORAM,0,2,188.4,188.42,188.41,VG,P,,,,,,,,,
342-U1408A-22X-4-W 100/102-FORAM,342,U1408,A,22,22-2,X,2,W,100/102-FORAM,0,2,191.3,191.32,191.31,VG,P,,,,,,,,,
342-U1408A-23X-2-W 100/102-FORAM,342,U1408,A,22,22-4,X,4,W,100/102-FORAM,0,2,194.3,194.32,194.31,VG,P,,,,,,,,,
342-U1408A-23X-4-W 100/102-FORAM,342,U1408,A,23,23-2,X,2,W,100/102-FORAM,0,2,201.0,201.02,201.01,VG,P,,,,,,,,,
342-U1408A-24X-2-W 120/122-FORAM,342,U1408,A,23,23-4,X,4,W,100/102-FORAM,0,2,204.0,204.02,204.01,G,P,,,,,,,,,
342-U1408A-24X-4-W 120/122-FORAM,342,U1408,A,24,24-2,X,2,W,120/122-FORAM,0,2,210.8,210.82,210.81,G,P,,,,,,,,,
342-U1408A-25X-2-W 100/102-FORAM,342,U1408,A,24,24-4,X,4,W,120/122-FORAM,0,2,213.8,213.82,213.81,VG,P,,,,,,,,,
342-U1408A-25X-5-W 100/102-FORAM,342,U1408,A,25,25-2,X,2,W,100/102-FORAM,0,2,220.2,220.22,220.21,G,P,,,,,,,,,
342-U1408A-27X-2-W 48/49-FORAM,342,U1408,A,25,25-5,X,5,W,100/102-FORAM,0,2,224.7,224.72,224.71,M,P,,,,,,,,,
342-U1408A-27X-5-W 97/98-FORAM,342,U1408,A,27,27-2,X,2,W,48/49-FORAM,0,1,238.88,238.89,238.89,G,P,,,,,,,,,
,342,U1408,A,27,27-5,X,5,W,97/98-FORAM,0,1,243.87,243.88,243.88,G,P,,,,,,,,,
