Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,Zone name,Zone name (short)
339-U1387A-12X-CC-PAL-NANNO,339,U1387,A,12,12-CC,X,CC,PAL,NANNO,0,5,103.66,103.71,G ,A ,,,,,,,R ,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,C ,,A ,,,R ,,,,,,,,,,,R ,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-13X-CC-PAL-NANNO,339,U1387,A,13,13-CC,X,CC,PAL,NANNO,0,5,113.34,113.39,G ,A ,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,F ,,A ,,,R ,,,,,,,,,,,R ,F ,,,,,,A ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,
339-U1387A-14X-CC-PAL-NANNO,339,U1387,A,14,14-CC,X,CC,PAL,NANNO,0,5,122.94,122.99,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,F ,,,,,,,,,,,,C ,,,,,,VA ,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,,
339-U1387A-15X-CC-PAL-NANNO,339,U1387,A,15,15-CC,X,CC,PAL,NANNO,0,5,132.38,132.43,G ,A ,,,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,A ,,,,,,,,,,,,,R ,,C ,,,,,,A ,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,,
339-U1387A-16X-CC-PAL-NANNO,339,U1387,A,16,16-CC,X,CC,PAL,NANNO,0,5,141.76,141.81,M-P ,A ,,,,,,,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,A ,,,F ,,,,,,,,,,,,F ,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-17X-CC-PAL-NANNO,339,U1387,A,17,17-CC,X,CC,PAL,NANNO,0,5,151.28,151.33,M-P ,A ,,,,,,,,C ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,C ,,,R ,,,,,,,,,,,,F ,,,F ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-18X-CC-PAL-NANNO,339,U1387,A,18,18-CC,X,CC,PAL,NANNO,0,5,159.3,159.35,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,,A ,,,,,,,,,,,,,R ,,C ,,,R ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,
339-U1387A-19X-CC-PAL-NANNO,339,U1387,A,19,19-CC,X,CC,PAL,NANNO,0,5,170.6,170.65,M-P ,A ,,,,,R ,,F ,F ,,,,,,,,,,F ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,A ,,,R ,,,,,,,,,,,,C ,,R ,R ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-20X-CC-PAL-NANNO,339,U1387,A,20,20-CC,X,CC,PAL,NANNO,0,5,180.39,180.44,G ,VA ,,,,,,,F ,F ,,,,,,,,,,F ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,R ,,,,,,,,,,,,F ,,R ,R ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-21X-CC-PAL-NANNO,339,U1387,A,21,21-CC,X,CC,PAL,NANNO,0,5,189.64,189.69,G ,VA ,,,,,,,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,F ,,,,,,,,,,,F ,C ,,,,,,A ,,,,,,,,,,,,,,,,,,F ,,,,,,F ,,,,
339-U1387A-22X-CC-PAL-NANNO,339,U1387,A,22,22-CC,X,CC,PAL,NANNO,0,5,199.16,199.21,M-P ,C ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,R ,,,,,,,,,,,R ,C ,,F ,F ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-23X-CC-PAL-NANNO,339,U1387,A,23,23-CC,X,CC,PAL,NANNO,0,5,209.04,209.09,G ,C ,,,,,,,,F ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,C ,F ,C ,,,F ,,,,,,,,,,,F ,C ,,F ,F ,,,C ,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,
339-U1387A-24X-CC-PAL-NANNO,339,U1387,A,24,24-CC,X,CC,PAL,NANNO,0,5,218.66,218.71,M-P ,A ,,,,,,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,VA ,,,F ,,,,,,,,,,,,C ,,C ,C ,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,
339-U1387A-25X-CC-PAL-NANNO,339,U1387,A,25,25-CC,X,CC,PAL,NANNO,0,5,228.04,228.09,M-P ,A ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,A ,,,R ,,,,,,,,,,,R ,C ,,C ,C ,,,A ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,
339-U1387A-26X-CC-PAL-NANNO,339,U1387,A,26,26-CC,X,CC,PAL,NANNO,0,5,237.78,237.83,M-P ,A ,,,,,,,,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,R ,C ,,C ,C ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-27X-CC-PAL-NANNO,339,U1387,A,27,27-CC,X,CC,PAL,NANNO,0,5,246.99,247.04,M-P ,A ,,,,,,,R ,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,R ,,,,,,,,,,R ,R ,C ,,C ,C ,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,
339-U1387A-28X-CC-PAL-NANNO,339,U1387,A,28,28-CC,X,CC,PAL,NANNO,0,5,256.69,256.74,M-P ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,R ,,,,,,,,,,R ,,C ,,F ,C ,,,A ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,
339-U1387A-29X-CC-PAL-NANNO,339,U1387,A,29,29-CC,X,CC,PAL,NANNO,0,5,266.81,266.86,M-P ,A ,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387A-30X-CC-PAL-NANNO,339,U1387,A,30,30-CC,X,CC,PAL,NANNO,0,5,276.24,276.29,M-P ,A ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,R ,,,,,,,,,,,,C ,,,C ,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,
339-U1387A-31X-CC-PAL-NANNO,339,U1387,A,31,31-CC,X,CC,PAL,NANNO,0,5,284.76,284.81,G ,A ,,,,,,,,,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,F ,,,,,,,,,,,R ,C ,,,C ,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,R ,,,,
339-U1387A-32X-CC-PAL-NANNO,339,U1387,A,32,32-CC,X,CC,PAL,NANNO,0,5,295.24,295.29,M-P ,VA ,,,,,,,,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,F ,,,VA ,,,F ,,,,,,F ,,,,,F ,C ,,,,,,A ,,,,,,,,,,,,,,,,,,F ,,,,,,,large Geph. 5.5  F,,,
339-U1387A-33X-CC-PAL-NANNO,339,U1387,A,33,33-CC,X,CC,PAL,NANNO,0,5,305,305.05,M-P ,VA ,,,,,P ,,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,,VA ,,,F ,,,,,,F ,,,,,,C ,,,,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,,large Geph. 5.5,,,
339-U1387A-34X-CC-PAL-NANNO,339,U1387,A,34,34-CC,X,CC,PAL,NANNO,0,5,314.97,315.02,M-P ,A ,,,,,,F ,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,A ,,,F ,,,,,,F ,,,,,,C ,,,,,,C ,,,,,,,,,,,,,,,,,,C ,,,,,,,large Geph. 5.5,,,
339-U1387A-35X-CC-PAL-NANNO,339,U1387,A,35,35-CC,X,CC,PAL,NANNO,0,7,323.78,323.85,G ,VA ,,,,,,F ,R ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,F ,R ,,VA ,,,R ,,,,,,F ,,,,,R ,R ,,,,,,VA ,,,,,,R ,,,,,,,,,,,,C ,,,,,,,large Geph. 5.5,,,
339-U1387A-36X-CC-PAL-NANNO,339,U1387,A,36,36-CC,X,CC,PAL,NANNO,0,6,333.43,333.49,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,F ,R ,,VA ,,,F ,,,,,,C ,,,,,R ,C ,,,,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5,,,
339-U1387A-37X-CC-PAL-NANNO,339,U1387,A,37,37-CC,X,CC,PAL,NANNO,0,5,342.83,342.88,M-P ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,VA ,,,C ,,,,,,C ,,,,,,C ,,,,,,VA ,,,,,,,,,,,,,,,,,,F ,,,,,,,large Geph. 5.5 C,,,
339-U1387A-38X-CC-PAL-NANNO,339,U1387,A,38,38-CC,X,CC,PAL,NANNO,0,5,352.7,352.75,M-P ,VA ,,,,,,F ,R ,F ,,,,,,,,,,,R ,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,A ,,,,A ,,,F ,,,,,,F ,,,,,,C ,,,,,,A ,,,,,,,,,,,,,,,,,,F ,,,,,,,large Geph. 5.5 F,,,
