Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top depth [m],Bottom depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data
339-U1391C-16R-CC-PAL-FORAM,339,U1391,C,16,16-CC,R,CC,PAL,FORAM,0,5,478.47,478.52,,,,P ,,,,,,,,,,,,,,,R ,,,,,,,,R ,,,,,,,,,,,,,,R ,P ,,,,,,,,R ,,,,,,,,,,,,R ,R ,,,,,,,,,P ,,P ,,,,,,,,,,
339-U1391C-18R-CC-PAL-FORAM,339,U1391,C,18,18-CC,R,CC,PAL,FORAM,0,9,498.66,498.75,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,
339-U1391C-20R-CC-PAL-FORAM,339,U1391,C,20,20-CC,R,CC,PAL,FORAM,0,5,511.47,511.52,,,,R ,,,,,,,,,,,,,,,P ,A ,,,,R ,,,F ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,R ,P ,,,,,,,,,R ,,,,,,,,,,,,
339-U1391C-22R-CC-PAL-FORAM,339,U1391,C,22,22-CC,R,CC,PAL,FORAM,0,5,537.17,537.22,,,,R ,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,,,,,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,
339-U1391C-24R-CC-PAL-FORAM,339,U1391,C,24,24-CC,R,CC,PAL,FORAM,0,5,556.57,556.62,,,,R ,,,,,,,,,,,,,,,,F ,,,,,P ,,,,P ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391C-25R-CC-PAL-FORAM,339,U1391,C,25,25-CC,R,CC,PAL,FORAM,0,5,566.05,566.1,,,,P ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,P ,,,,,P ,,,,,,,
339-U1391C-27R-CC-PAL-FORAM,339,U1391,C,27,27-CC,R,CC,PAL,FORAM,0,5,584.14,584.19,,,,P ,,,,,,,,,,,,,,,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,
339-U1391C-31R-CC-PAL-FORAM,339,U1391,C,31,31-CC,R,CC,PAL,FORAM,0,6,623.39,623.45,,,,R ,,,,,,,,,,,,,,,P ,,,,,,,,F ,,,,,,,,,,,,,,,R ,,,,,,,,R ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,P ,,,,,,,
339-U1391C-33R-6-PAL-FORAM,339,U1391,C,33,33-6,R,6,PAL,FORAM,0,5,641.55,641.6,,,,R ,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,R ,,,,,P ,,,,,,,
339-U1391C-36R-CC-PAL-FORAM,339,U1391,C,36,36-CC,R,CC,PAL,FORAM,0,5,670.93,670.98,,,,R ,,,,,,,P ,,,,,,,,,,,,,,P ,,F ,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,P ,,,,,,,,,,,,
