Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data,
339-U1387B-11X-CC-PAL-NANNO,339,U1387,B,11,11-CC,X,CC,PAL,NANNO,0,5,104.11,104.16,G ,A ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,C ,,C ,,,R ,,,,,,,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1387B-12X-CC-PAL-NANNO,339,U1387,B,12,12-CC,X,CC,PAL,NANNO,0,5,113.49,113.54,M-P ,A ,,,,,,,R ,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,C ,,VA ,,,F ,,,,,,,,,,,,C ,,,,,,VA ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1387B-13X-CC-PAL-NANNO,339,U1387,B,13,13-CC,X,CC,PAL,NANNO,0,5,122.4,122.45,M-P ,A ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,F ,,C ,,,,,,,,,,,,,,,,R ,C ,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387B-14X-CC-PAL-NANNO,339,U1387,B,14,14-CC,X,CC,PAL,NANNO,0,5,132.46,132.51,G ,A ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,C ,,C ,,A ,,,R ,,,,,,,,,,,,C ,,,,,,A ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,
339-U1387B-15X-CC-PAL-NANNO,339,U1387,B,15,15-CC,X,CC,PAL,NANNO,0,5,142.02,142.07,G ,A ,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,R ,A ,,,R ,,,,,,,,,,,,C ,,,F ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387B-16X-CC-PAL-NANNO,339,U1387,B,16,16-CC,X,CC,PAL,NANNO,0,5,148.75,148.8,M-P ,A ,,,,,,,,R ,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,C ,,,,,,,,,,,,,,,C ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387B-17X-CC-PAL-NANNO,339,U1387,B,17,17-CC,X,CC,PAL,NANNO,0,5,156.73,156.78,G ,A ,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,C ,R ,C ,,,,,,,,,,,,,,,F ,,,F ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,
339-U1387B-18X-CC-PAL-NANNO,339,U1387,B,18,18-CC,X,CC,PAL,NANNO,0,5,166.57,166.62,G ,A ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,A ,,,R ,,,,,,,,,,,,C ,,,R ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,
339-U1387B-19X-CC-PAL-NANNO,339,U1387,B,19,19-CC,X,CC,PAL,NANNO,0,5,175.81,175.86,G ,A ,,,,,,,,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,R ,A ,,,,,,,,,,,,,,,C ,,,F ,,,A ,,,,,,,,,,,,,,,,,,F ,,,,,,,,,
339-U1387B-20X-CC-PAL-NANNO,339,U1387,B,20,20-CC,X,CC,PAL,NANNO,0,5,185.32,185.37,G ,A ,,,,,,,,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,R ,A ,,,,,,,,,,,,,,,C ,,,R ,,,A ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1387B-21X-CC-PAL-NANNO,339,U1387,B,21,21-CC,X,CC,PAL,NANNO,0,5,194.88,194.93,G ,VA ,,,,,,,,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,VA ,,,F ,,,,,,,,,,,,C ,,,R ,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387B-22X-CC-PAL-NANNO,339,U1387,B,22,22-CC,X,CC,PAL,NANNO,0,5,204.41,204.46,M-P ,C ,,,,,,,,,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,R ,,,,,,,,,,,,F ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387B-23X-CC-PAL-NANNO,339,U1387,B,23,23-CC,X,CC,PAL,NANNO,0,5,214.04,214.09,G ,A ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,R ,A ,,,,,,,,,,,,,,F ,C ,,C ,C ,,,A ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,
339-U1387B-24X-CC-PAL-NANNO,339,U1387,B,24,24-CC,X,CC,PAL,NANNO,0,5,223.43,223.48,M-P ,A ,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,C ,,,,,,,,,,,R ,C ,,R ,F ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387B-25X-CC-PAL-NANNO,339,U1387,B,25,25-CC,X,CC,PAL,NANNO,0,7,232.53,232.6,G ,VA ,,,,,,R ,R ,R ,,,,,,,,,,R ,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,P ,VA ,,,F ,,,,,,,,,,,F ,F ,,F ,F ,,,VA ,,,,,,,,,,,,,,,,,,F ,,,,,,,,,
339-U1387B-26X-CC-PAL-NANNO,339,U1387,B,26,26-CC,X,CC,PAL,NANNO,0,5,242.69,242.74,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,,,,,,,,,,,,F ,C ,,C ,C ,,,VA ,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,
339-U1387B-27X-CC-PAL-NANNO,339,U1387,B,27,27-CC,X,CC,PAL,NANNO,0,6,243.48,243.54,M-P ,VA ,,,,,,F ,,C ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,F ,,,,,,,,,,,R ,C ,,,C ,,,VA ,,,,,,,,,,,,,,,,,,F ,,,,,,,,,
339-U1387B-28X-CC-PAL-NANNO,339,U1387,B,28,28-CC,X,CC,PAL,NANNO,0,5,262.52,262.57,G ,A ,,,,,,F ,,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,R ,,,,A ,,,R ,,,,,,,,,,,R ,C ,,,C ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1387B-29X-CC-PAL-NANNO,339,U1387,B,29,29-CC,X,CC,PAL,NANNO,0,5,271.73,271.78,G ,VA ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,VA ,,,C ,,,,,,,,,,,R ,A ,,,C ,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,
339-U1387B-30X-CC-PAL-NANNO,339,U1387,B,30,30-CC,X,CC,PAL,NANNO,0,5,281.3,281.35,G ,VA ,,,,,,,C ,R ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,R ,,,,,,,,,,,F ,F ,,,A ,,,VA ,,,,,,,R ,,,,,,,,,,,F ,,,,,,,,,
339-U1387B-31X-CC-PAL-NANNO,339,U1387,B,31,31-CC,X,CC,PAL,NANNO,0,6,290.81,290.87,M-P ,VA ,,,,,,F ,C ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,VA ,,,F ,,,,,,,,,,,,C ,,,C ,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,,large Geph.5.5 C,,
339-U1387B-32X-CC-PAL-NANNO,339,U1387,B,32,32-CC,X,CC,PAL,NANNO,0,5,300.71,300.76,M-P ,A ,,,,,,,R ,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,F ,,,,,,R ,,,,,,C ,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,large Geph.5.5 C,,
339-U1387B-33X-CC-PAL-NANNO,339,U1387,B,33,33-CC,X,CC,PAL,NANNO,0,5,310.12,310.17,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,R ,F ,,VA ,,,F ,,,,,,R ,,,,,R ,C ,,,,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5 F,,
339-U1387B-34X-CC-PAL-NANNO,339,U1387,B,34,34-CC,X,CC,PAL,NANNO,0,5,319.37,319.42,G ,VA ,,,,,,R ,R ,R ,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,R ,,VA ,,,F ,,,,,,C ,,,,,,C ,,,,,,VA ,,,,,,,,,,,,,,,,,,,,,,,,,large Geph. 5.5 A,,
339-U1387B-35X-CC-PAL-NANNO,339,U1387,B,35,35-CC,X,CC,PAL,NANNO,0,5,328.92,328.97,M-P ,VA ,,,,,,R ,,R ,,,,,,,,,,R ,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,A ,,,R ,,,,,,R ,,,,,R ,F ,,,,,,VA ,,,,,,,,,,,,,,,,,,P ,,,,,,,large Geph. 5.5 F,,
339-U1387B-36X-CC-PAL-NANNO,339,U1387,B,36,36-CC,X,CC,PAL,NANNO,0,5,337.94,337.99,G ,VA ,,,,,,R ,F ,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,VA ,,,F ,,,,,,F ,,,,,R ,C ,,,,,,VA ,,,,,,R ,,,,,,,,,,,,F ,,,,,,R ,large Geph. 5.5 C,,
