Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Quadrimorphina spp.,Quinqueloculina aspera,Quinqueloculina intricata,Quinqueloculina seminula,Quinqueloculina spp.,Ramulina spp.,Rectobolivina sp.,Rectuvigerina spp.,Recurvoides spp.,Reophax bilocularis,Reophax pilulifer,Reophax scorpiusus,Reophax spp.,Reophax subfusiformis,Reticulophragmium spp.,Reusella spp.,Rhabdammina abyssorum,Rhabdammina spp.,Rhizammina algaeformis,Rhizammina spp.,Robertinoides spp.,Robertinoides spp.?,Robertina spp.,Rosalia sp.,Rosalina anomala,Rosalina bradyi,Rosalina cf. australis,Rosalina globularis,Rosalina sp.,Rotalia sp.,Rupertina stabilis,Saccammina sphaerica,Saccammina spp.,Saccorhiza ramosa,Sahulia spp.,Saracenaria latiforns,Saracenaria spp.,Sigmoilinita spp.,Sigmoilopsis schlumbergeri,Sigmoilopsis woodi,Siphogenerina dimorpha,Siphogenerina sp.?,Siphonina tubulosa,Siphonodosaria cf. ketienziensis,Siphonodosaria hispidula,Siphonodosaria ketienziensis,Siphonodosaria lepidula,Siphonodosasria lepidula f. huagaensis,Siphonodosaria sp. 1,Siphonodosaria sp. 2,Siphonodosaria spp.,Siphonodosaria subtertenuata,Siphogenerina columellaris,Siphotextularia rolshauseni ,Siphogenerina spp.,Siphotextularia sp.,Siphouvigerina ampullacea,Sphaeroidina bulloides,Sphaeroidina spp.,Spirillina spp.,Spiroloculina spp.?,Spirosigmoilina pusilla,Spiloloculina sp.,Spiroloculina excavata,Spiroloculina spp.,Spiroloculina tenui,Spirophtalmidium cf. actuimargo,Spiroplectammina spp.,Spiroplectinella sagittula,Stainforthia spp.,Stilostomella consobrina,Stilostomella fistuca,Stillostomellidae indet.,Siphonodosaria cf. holoserica,Stilostomella holoserica,Stilostomella spp.,Stilostominella spp.,Comments,File Data,Zone name,Zone name (short)
339-U1389A-11H-CC-PAL-FORAM,339,U1389,A,11,11-CC,H,CC,PAL,FORAM,0,5,97.26,97.31,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,,,
339-U1389A-12X-CC-PAL-FORAM,339,U1389,A,12,12-CC,X,CC,PAL,FORAM,0,5,102.5,102.55,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-13X-CC-PAL-FORAM,339,U1389,A,13,13-CC,X,CC,PAL,FORAM,0,5,109.94,109.99,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,P ,,,,,,,,,,,,,,,,
339-U1389A-14X-CC-PAL-FORAM,339,U1389,A,14,14-CC,X,CC,PAL,FORAM,0,5,120.9,120.95,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,
339-U1389A-15X-CC-PAL-FORAM,339,U1389,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.5,129.55,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,,,
339-U1389A-16X-CC-PAL-FORAM,339,U1389,A,16,16-CC,X,CC,PAL,FORAM,0,5,139.73,139.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-17X-CC-PAL-FORAM,339,U1389,A,17,17-CC,X,CC,PAL,FORAM,0,5,148.32,148.37,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-18X-CC-PAL-FORAM,339,U1389,A,18,18-CC,X,CC,PAL,FORAM,0,5,158.26,158.31,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,R ,,,,,,,P ,,,,,,,,,,,,,,,,
339-U1389A-19X-CC-PAL-FORAM,339,U1389,A,19,19-CC,X,CC,PAL,FORAM,0,5,168.37,168.42,,,,,F ,,,,,,,,,,,,,,,,,,,F ,,,,,F ,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-20X-CC-PAL-FORAM,339,U1389,A,20,20-CC,X,CC,PAL,FORAM,0,5,177.64,177.69,,,,,,,,,,,,,,,,P ,,,,,,,,P ,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,
339-U1389A-21X-CC-PAL-FORAM,339,U1389,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.69,187.74,,,,,P ,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,R ,,,P ,,,,,,,,,,,,,
339-U1389A-22X-CC-PAL-FORAM,339,U1389,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.47,197.52,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-23X-CC-PAL-FORAM,339,U1389,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.88,206.93,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,,,
339-U1389A-24X-CC-PAL-FORAM,339,U1389,A,24,24-CC,X,CC,PAL,FORAM,0,5,216.58,216.63,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,P ,,,R ,,,,,P ,,,P ,,,,,
339-U1389A-25X-CC-PAL-FORAM,339,U1389,A,25,25-CC,X,CC,PAL,FORAM,0,5,226.44,226.49,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,F ,,,,,,P ,R ,,,,,,,,,,,,,,,,
339-U1389A-26X-CC-PAL-FORAM,339,U1389,A,26,26-CC,X,CC,PAL,FORAM,0,5,234.66,234.71,,,,,P ,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,A ,,,,,,,R ,,,,,,,,,,,,,,,,
339-U1389A-27X-CC-PAL-FORAM,339,U1389,A,27,27-CC,X,CC,PAL,FORAM,0,5,245.11,245.16,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,P ,,,,,,,,,,,,,,,,R ,,,,,,,P ,,,,,,,,,,P ,,,,,,
339-U1389A-28X-CC-PAL-FORAM,339,U1389,A,28,28-CC,X,CC,PAL,FORAM,0,5,255.22,255.27,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-29X-CC-PAL-FORAM,339,U1389,A,29,29-CC,X,CC,PAL,FORAM,0,5,264.56,264.61,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,P ,,,,,,,,,,,,,
339-U1389A-30X-CC-PAL-FORAM,339,U1389,A,30,30-CC,X,CC,PAL,FORAM,0,5,274.3,274.35,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,P ,,,,,,,P ,,,,,,,,,,,,,,,,
339-U1389A-31X-CC-PAL-FORAM,339,U1389,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.56,283.61,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-32X-CC-PAL-FORAM,339,U1389,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.18,293.23,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-33X-CC-PAL-FORAM,339,U1389,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.31,302.36,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-34X-CC-PAL-FORAM,339,U1389,A,34,34-CC,X,CC,PAL,FORAM,0,5,312.51,312.56,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-35X-CC-PAL-FORAM,339,U1389,A,35,35-CC,X,CC,PAL,FORAM,0,5,320.64,320.69,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-37X-CC-PAL-FORAM,339,U1389,A,37,37-CC,X,CC,PAL,FORAM,0,5,336.43,336.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-38X-CC-PAL-FORAM,339,U1389,A,38,38-CC,X,CC,PAL,FORAM,0,5,346.2,346.25,,,,,P ,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,
339-U1389A-39X-CC-PAL-FORAM,339,U1389,A,39,39-CC,X,CC,PAL,FORAM,0,5,350.85,350.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,
