Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Abyssamina poagi,Abyssamina quadrata,Alabammina dissonata,Alabamminella weddellensis,Alabammina spp.,Allomorphina pacifica,Amphicoryna sp.,Ammodiscus spp.,Anomalinoides globulosus,Anomalinoides spp.,Astacolus spp.,Astrononion echolsi,Astrononion spp.,Bigenerina spp.,Bolivina huneri,Bolivina spp.,Brizalina pusilla,Brizalina spp.,Bulimina alazanensis,Bulimina spp.,Buliminella parvula,Buliminella spp.,Cassidulina spp.,Cassidulinoides tenuis,Caudamina spp.,Chilostomella oolina,Chilostomella spp.,Chrysalogonium crassitestum,Chrysalogonium  equisetiformis,Chrysalogonium spp.,Cibicides lobatulus,Cibicidoides barnetti,Cibicidoides bradyi,Cibicidoides eocaenus,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides micrus,Cibicidoides mundulus,Cibicidoides praemundulus,Cibicidoides wuellerstorfi,Cibicidoides robertsonianus,Cibicidoides spp,Cystammina pauciloculata,Cyclammina spp.,Dentalina spp.,Eggerella bradyi,Eggerella spp.,Ehrenbergina histrix,Eubuliminella exilis,Epistominella spp.,Favocassidulina favus,Favocassidulina spinifer,Favocassidulina subfavus,Fissurina formosa,Fissurina spp.,Fursenkoina bradyi,Fursenkoina spp.,Gaudryina pyramidata,Gaudryina spp.,Glandulina spp.,Glandulonodosaria spp.,Globulina spp.,Globobulimina pacifica,Globobulimina ovata,Globocassidulina subglobosa,Globocassidulina spp.,Globobulimina spp.,Glomospira charoides,Glomospira gordialis,Glomospira irregularis,Gyroidinoides soldanii,Gyroidinoides orbicularis,Gyroidinoides spp.,Haplophragmoides walteri,Haplophragmoides spp.,Heronallenia spp.,Karreriella bradyi,Karreriella chapapotensis,Karreriella spp.,Karrerulina coniformis,Laticarinina pauperata,Lenticulina orbicularis,Lenticulina spp.,Marginulina obesa,Martinotiella communis,Melonis barleeanum,Melonis pompilioides,Melonis sphaeroides,Myllostomella spp.,Neoeponides campester,Nodosarella robusta,Nonion affine,Nonion havanensis,Nonion spp.,Nodosaria spp.,Nuttallides truempyi,Nuttallides umbonifer,Nuttallides spp.,Oolina spp.,Oridorsalis umbonatus,Orthomorphina spp.,Osangularia plummerae,Paracassidulina spp.,Planulina costata,Planulina renzi,Planulina spp.,Pleurostomella brevis,Pleurostomella sp.,Polymorphina spp.,Procerolagena gracillima,Pseudoglandulina glanduliniformis,Pseudoparrella exigua,Pseudopleurostomella spp.,Pullenia bulloides,Pullenia osloensis,Pullenia quinqueloba,Pullenia salisburyi,Pullenia subcarinata,Pullenia spp.,Pyrgo murrhina,Pyrgo serrata,Pyrgo spp.,Pyrulina spp.,Quadrimorphina profunda,Quadrimorphina spp.,Quinqueloculina sp.,Rectuvigerina senni,Rectuvigerina striata,Recurvoides spp.,Reophax spp.,Reussella spinulosa,Reticulophragmium amplectens,Reticulophragmium spp.,Siphogenerinoides spp.,Siphonodosaria abyssorum,Siphonodosaria antillea,Siphonodosaria annulifera,Siphonodosaria hispidula,Siphonodosaria spinata,Siphonodosaria spp.,Sphaeroidina bulloides,Spiroloculina spp.,Spiroplectammina spectabilis,Spiroplectammina spp.,Spiroplectella earlandi,Stilostomella spp.,Textularia spp.,Triloculina spp.,Trochammina spp.,Trochamminoides spp.,Unilocular species,Tube-shaped agglutinated forms,Turrilina brevispira,Turrilina robertsi,Turrilina spp.,Uvigerina hispida,Uvigerina peregrina,Uvigerina proboscidea,Uvigerina peregrina bradyiana,Uvigerina spp.,Valvulammina spp.,Vulvulina spinosa,Agglutinated gen. et sp. indet.,Calcareous gen. et sp. indet.,Cribrostomoides subglobosus,Cyclammina cancellata,Fissurina cucullata,Pyrgo lucernula,Trochamminoides olszewskii,Comment
321-U1337A-5H-2-W 112/114-FORAM,321,U1337,A,5,5-2,H,2,W,112/114-FORAM,0,0,36.61,36.61,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,1,1,,,,,,,,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-5H-4-W 111/113-FORAM,321,U1337,A,5,5-4,H,4,W,111/113-FORAM,0,0,39.61,39.61,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-5H-CC-PAL,321,U1337,A,5,5-CC,H,CC,PAL,,0,0,43.8,43.8,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,1,1,,2,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-6H-2-W 16/18-FORAM,321,U1337,A,6,6-2,H,2,W,16/18-FORAM,0,0,45.16,45.16,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-6H-6-W 129/131-FORAM,321,U1337,A,6,6-6,H,6,W,129/131-FORAM,0,0,52.29,52.29,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=2/98
321-U1337A-6H-CC-PAL,321,U1337,A,6,6-CC,H,CC,PAL,,0,0,53.45,53.45,G ,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,1,,1,,,5,,,,,,,,,,4,,,,,,,,1,,2,,,,,,1,,,,,,,,,,2,,,,1,,2,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-7H-2-W 129/131-FORAM66,321,U1337,A,7,7-2,H,2,W,129/131-FORAM66,0,0,55.79,55.79,G ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,4,,4,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-7H-4-W 98/100-FORAM67,321,U1337,A,7,7-4,H,4,W,98/100-FORAM67,0,0,58.48,58.48,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-7H-CC-PAL,321,U1337,A,7,7-CC,H,CC,PAL,,0,0,62.86,62.86,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-8H-2-W 119/121-FORAM1,321,U1337,A,8,8-2,H,2,W,119/121-FORAM1,0,0,65.185,65.185,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=1/99
321-U1337A-8H-4-W 17/19-FORAM0,321,U1337,A,8,8-4,H,4,W,17/19-FORAM0,0,0,67.165,67.165,G ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=2/98
321-U1337A-8H-CC-PAL,321,U1337,A,8,8-CC,H,CC,PAL,,0,0,71.55,71.55,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,3,1,,,,,,,,,1,,,,,,,,,,11,,,,,,2,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,5,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-9H-1-W 66/68-FORAM32,321,U1337,A,9,9-1,H,1,W,66/68-FORAM32,0,0,72.66,72.66,G ,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,2,,1,,,,,,1,1,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=10/90
321-U1337A-9H-6-W 10/12-FORAM35,321,U1337,A,9,9-6,H,6,W,10/12-FORAM35,0,0,79.6,79.6,G ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,,,,,2,1,,,,,,,,,2,,,,,,,1,,,4,,,,,,3,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=12/88
321-U1337A-9H-CC-PAL,321,U1337,A,9,9-CC,H,CC,PAL,,0,0,81.94,81.94,G ,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,1,1,,,,,10,,1,1,3,,1,1,,,,,,,,,,3,,,,,,,1,,,4,,,,,,5,1,,,,,,,,,5,1,,,6,,,,,,,,,,,,2,,,4,,1,,,,,,1,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,3,,,,,3,,,,,,,,3,,,1,1,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-10H-1-W 26/28-FORAM35,321,U1337,A,10,10-1,H,1,W,26/28-FORAM35,0,0,81.76,81.76,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,,,,,,,,,,,,,,,,4,,,,,,3,,1,,,,,,,,2,,,,,,,1,,,,,,,,,,,,1,,2,,,,,2,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=11/89
321-U1337A-10H-3-W 82/84-FORAM36,321,U1337,A,10,10-3,H,3,W,82/84-FORAM36,0,0,85.32,85.32,G ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,2,1,,,,,,,,,2,,,,,,,,,,2,,,,,,3,,1,,,,,,,,3,1,,,1,,1,1,,,,,,,,,,,,10,,,,,,,,,1,,,,,1,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,Bathymetry=LB-A; P/B=12/88
321-U1337A-10H-CC-PAL,321,U1337,A,10,10-CC,H,CC,PAL,,0,0,91.53,91.53,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,4,,,,,,4,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; rad + diatom rich
321-U1337A-11H-2-W 43/45-FORAM43,321,U1337,A,11,11-2,H,2,W,43/45-FORAM43,0,0,92.93,92.93,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,16,,,1,,,,1,1,,,,,,,,3,,,,,,,,,,,6,,,,,,6,,3,,,,,,,,7,,,,1,,,2,,,,,,,,,,,,9,,3,,,,,,,1,,,,,,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=33/67
321-U1337A-11H-5-W 144/146-FORAM45,321,U1337,A,11,11-5,H,5,W,144/146-FORAM45,0,0,98.44,98.44,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,5,,,,,,,,,,4,,,,,,2,,1,,,,,,,,7,,,,3,,1,,,,,,,,,,,,,6,,2,,,,,,1,,,,,,1,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,Bathymetry=LB-A; P/B=21/79
321-U1337A-11H-CC-PAL,321,U1337,A,11,11-CC,H,CC,PAL,,0,0,101.0,101.0,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,4,,,,,,,,,,2,,,,5,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=60/40
321-U1337A-12H-CC-PAL,321,U1337,A,12,12-CC,H,CC,PAL,,0,0,110.4,110.4,G ,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,2,,1,6,,,,,,6,,,,,,,,,,4,,,,2,,,1,,,,,,,,,,,,12,,,,,,,1,,,,,,,,,,,,,2,2,2,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,Bathymetry=LB-A; P/B=-
321-U1337A-13H-1-W 24/26-FORAM20,321,U1337,A,13,13-1,H,1,W,24/26-FORAM20,0,0,110.24,110.24,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,2,,1,,,,,,2,,,,,,,,,3,,,,,,,,,,2,,,,,,2,1,,,,,,,,,4,,,,1,,,2,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,2,2,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,Bathymetry=LB-A; P/B=8/91
321-U1337A-13H-4-W 19/21-FORAM25,321,U1337,A,13,13-4,H,4,W,19/21-FORAM25,0,0,114.69,114.69,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,4,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,5,,,,,,,,,,5,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,1,,,,,,4,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=14/86
321-U1337A-14H-2-W 44/46-FORAM31,321,U1337,A,14,14-2,H,2,W,44/46-FORAM31,0,0,121.44,121.44,G ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,13,,2,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,4,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,11,,,,,,,,,1,,,,,2,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,Bathymetry=LB-A; P/B=41/59
321-U1337A-14H-4-W 39/41-FORAM33,321,U1337,A,14,14-4,H,4,W,39/41-FORAM33,0,0,124.44,124.44,G  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,2,,,,,,,,,,8,,,,,,12,1,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,Bathymetry=LB-A; P/B=43/57
321-U1337A-14H-CC-PAL,321,U1337,A,14,14-CC,H,CC,PAL,,0,0,129.37,129.37,G ,,,,,,,,,,,,13,,,,,,,,,,,,,,1,,,,,,,3,,,,,32,,5,,3,,,2,6,,,,,,,,1,8,,,,,,,3,,1,6,,,,,,,,,,,,,,,,14,,,,2,,,4,,,,,,,,,2,,,20,,1,,,,,,,,,1,,,,,,,,,5,5,8,,,,18,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,Bathymetry=LB-A; P/B=35/65
321-U1337A-15H-2-W 30/32-FORAM,321,U1337,A,15,15-2,H,2,W,30/32-FORAM,0,0,130.795,130.795,G ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,1,2,,,,,,,,,4,,,,,,,1,,,2,,,,,,3,1,1,,,,1,,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,1,1,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Bathymetry=LB-A; P/B=33/67
