Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Marginulina pediformis,Marginulina spp.,Marginulinopsis spp.,Marsipella elongata,Martinotiella bacillaris,Martinottiella communis,Martinottiella spp.,Massilina sp.,Melonis barleeanus,Melonis pompilioides,Melonis spp.,Melonis zaandamae,Miliammina spp.,Miliolid taxa (large),Miliolid taxa,Miliolinella sp.,Miliolinella subrotunda,Myllostomella cf. advena,Myllostomella fijiensis,Myllostomella spp.?,Neoconorbina spp.,Neoeponides spp.?,Neolenticulina variabilis,Neodiscorbinella rarescens,Nodosariidae indet.,Nodogenerina spp.,Nodosaria spp.,Nonion asterizans,Nonion commune,Nonion spp.,Nonionella cf. bradii,Nonionella labradorica,Nonionidae indet.,Nonionella spp.,Nonionella turgida,Nothia latissima,Nummoloculina contraria,Nuttallides sp,Oolina spp.,Operculina sp.,Oridorsalis spp.,Oridorsalis umbonatus,Orthomorphina challengeriana,Orthomorphina cf. jedlitschkai,Orthomorphina spp.,Osangularia sp.,Osangulariella? sp.,Pattelina corrugata,Parafissurina sp.,Parafissurina spp.,Pararotalia spp.,Paratrochamminoides spp.,Placopsilina confusa,Planulina ariminensis,Planulina sp.,Planoglabratella cf. opercularis,Planorbulina mediterranensis,Plectofrondicularia spp.,Pleurostomella alternans,Pleurostomella cf. alternans,Pleurostomellidae indet.,Pleurostomella recens,Pleurostomella spp.,Porosononion sp.,Praebulimina spp.,Praeglobobulimina ovata,Protelphidium sp.,Proxifrons inaequalis,Psammosphaera spp.,Pseudoclavulina spp.,Pseudoglandulina spp.,Pseudoglandulina spp.?,Pullenia bulloides,Pullenia quinqueloba,Pullenia spp.,Pyramidulina sp.,Pyrgo anomala,Pyrgo laevis,Pyrgo lucernula,Pyrgo murrinha,Pyrgo oblonga,Pyrgo spp.,Pyrgoella sphaera,Pyrgoella spp.?,Pyrulina? angusta,Comment,File Data
339-U1391C-16R-CC-PAL-FORAM,339,U1391,C,16,16-CC,R,CC,PAL,FORAM,0,5,478.47,478.52,,,,,,,R ,,A ,P ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,P ,,,,,,P ,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,
339-U1391C-18R-CC-PAL-FORAM,339,U1391,C,18,18-CC,R,CC,PAL,FORAM,0,9,498.66,498.75,,,,,,,P ,,F ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,P ,,,R ,,,P ,,,,,,,,,,,,,,P ,,,P ,,,,,,,,,,,,R ,P ,,,,,,,,,,,,
339-U1391C-20R-CC-PAL-FORAM,339,U1391,C,20,20-CC,R,CC,PAL,FORAM,0,5,511.47,511.52,,,,,,,F ,,R ,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,R ,,,P ,,,,,,R ,,,,,,R ,,,,,,,,P ,,,,,
339-U1391C-22R-CC-PAL-FORAM,339,U1391,C,22,22-CC,R,CC,PAL,FORAM,0,5,537.17,537.22,,,,,,,,,F ,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,
339-U1391C-24R-CC-PAL-FORAM,339,U1391,C,24,24-CC,R,CC,PAL,FORAM,0,5,556.57,556.62,,,,,,,R ,,F ,P ,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,
339-U1391C-25R-CC-PAL-FORAM,339,U1391,C,25,25-CC,R,CC,PAL,FORAM,0,5,566.05,566.1,,,,,,,R ,,F ,R ,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,
339-U1391C-27R-CC-PAL-FORAM,339,U1391,C,27,27-CC,R,CC,PAL,FORAM,0,5,584.14,584.19,,,,,,,R ,,R ,P ,P ,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,
339-U1391C-31R-CC-PAL-FORAM,339,U1391,C,31,31-CC,R,CC,PAL,FORAM,0,6,623.39,623.45,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,P ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,R ,,,,,,,,,,,,,
339-U1391C-33R-6-PAL-FORAM,339,U1391,C,33,33-6,R,6,PAL,FORAM,0,5,641.55,641.6,,,,,,,,,R ,P ,,,,,,,,,F ,,,,,,F ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,R ,R ,,,,,,,,P ,,,,,
339-U1391C-36R-CC-PAL-FORAM,339,U1391,C,36,36-CC,R,CC,PAL,FORAM,0,5,670.93,670.98,,,,,,,,,R ,,P ,,,,,,,,F ,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,P ,,,,,,,,,,,,,,
