Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data,Zone name,Zone name (short)
339-U1391A-19H-4-PAL-FORAM,339,U1391,A,19,19-4,H,4,PAL,FORAM,0,5,171.05,171.1,,,,P ,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,,,,,,,,P ,R ,,,,P ,,P ,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,
339-U1391A-20X-CC-PAL-FORAM,339,U1391,A,20,20-CC,X,CC,PAL,FORAM,0,5,179.82,179.87,,,,R ,,,,,,,,,R ,,,,,,R ,A ,,,,,,,,,,,,,,,,,,,,,R ,,,,,P ,,,,P ,,,,,,P ,,,,,,,P ,,,,,,,,,P ,,,,,,,,,,,,,,
339-U1391A-21X-CC-PAL-FORAM,339,U1391,A,21,21-CC,X,CC,PAL,FORAM,0,5,189.22,189.27,,,,R ,,,,,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,P ,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,,,
339-U1391A-22X-CC-PAL-FORAM,339,U1391,A,22,22-CC,X,CC,PAL,FORAM,0,5,199.35,199.4,,,,F ,,,,,,,,,R ,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,R ,,,,F ,,,,,,,,,R ,,,,,,,,,R ,,,,,R ,,,,,,,,,
339-U1391A-23X-CC-PAL-FORAM,339,U1391,A,23,23-CC,X,CC,PAL,FORAM,0,5,208.42,208.47,,,,,,,,P ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1391A-25X-CC-PAL-FORAM,339,U1391,A,25,25-CC,X,CC,PAL,FORAM,0,5,227.41,227.46,,,,P ,,,,,,,,,,,,,,,P ,,,,,,P ,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,
339-U1391A-26X-CC-PAL-FORAM,339,U1391,A,26,26-CC,X,CC,PAL,FORAM,0,5,238.62,238.67,,,,P ,,,,P ,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-27X-CC-PAL-FORAM,339,U1391,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.53,246.58,,,,F ,,,,,,,,,P ,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,P ,,,,,,,,,R ,,,,,,,,,R ,,,,,P ,,,,,,,,,
339-U1391A-28X-CC-PAL-FORAM,339,U1391,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.92,256.97,,,,R ,,,,P ,,,,,R ,,,,,,R ,,,,,,P ,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,
339-U1391A-29X-CC-PAL-FORAM,339,U1391,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.45,265.5,,,,R ,,,,,,,R ,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,,,,,,,P ,F ,,,,,,,,,R ,,,,,P ,,,,,,,,,
339-U1391A-30X-CC-PAL-FORAM,339,U1391,A,30,30-CC,X,CC,PAL,FORAM,0,5,276.47,276.52,,,,R ,,,,R ,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,P ,,,P ,,,,,,,,,
339-U1391A-31X-CC-PAL-FORAM,339,U1391,A,31,31-CC,X,CC,PAL,FORAM,0,5,283.7,283.75,,,,P ,,,,,,,,,,,,,,,,P ,,,,,,,,,,,P ,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,P ,,,,,
339-U1391A-33X-CC-PAL-FORAM,339,U1391,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.65,302.7,,,,,,,,,,,,,,,,,,,,R ,,,,P ,,,,,,,,,,,,,,,,,R ,P ,,,,,,,,,,,,R ,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-34X-CC-PAL-FORAM,339,U1391,A,34,34-CC,X,CC,PAL,FORAM,0,5,314.51,314.56,,,,R ,,,,,,,,,P ,,,,,,,F ,,,,,,,,,,,P ,,,,,,,,,,P ,P ,,,,R ,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,P ,,,,,P ,,,,,,,,,
339-U1391A-35X-CC-PAL-FORAM,339,U1391,A,35,35-CC,X,CC,PAL,FORAM,0,5,324.39,324.44,,,,P ,,,,,,,P ,,P ,,,,,,,R ,,,,,P ,,,,,,,,,,,,,,,,P ,R ,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,
339-U1391A-36X-CC-PAL-FORAM,339,U1391,A,36,36-CC,X,CC,PAL,FORAM,0,5,334.05,334.1,,,,P ,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-37X-CC-PAL-FORAM,339,U1391,A,37,37-CC,X,CC,PAL,FORAM,0,5,343.2,343.25,,,,R ,,,,,,,R ,,,,,,,,P ,R ,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,
339-U1391A-38X-CC-PAL-FORAM,339,U1391,A,38,38-CC,X,CC,PAL,FORAM,0,5,353.46,353.51,,,,F ,,,,,,,P ,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,P ,,,,,,,P ,,,,,,,,,,,,,,R ,,,,,,,,,
