Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data
339-U1390A-11X-CC-PAL-FORAM,339,U1390,A,11,11-CC,X,CC,PAL,FORAM,0,5,92.56,92.61,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,P ,,,,,,P ,P ,,,,,,,,,,,,,,,P ,,,,,,
339-U1390A-12X-CC-PAL-FORAM,339,U1390,A,12,12-CC,X,CC,PAL,FORAM,0,5,101.15,101.2,,,,P ,,,,,,,,,,,,,,,,,,,,,P ,,P ,,,,,,,,,,,,,,P ,R ,,,,P ,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,
339-U1390A-13X-CC-PAL-FORAM,339,U1390,A,13,13-CC,X,CC,PAL,FORAM,0,5,110.44,110.49,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,P ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,
339-U1390A-14X-CC-PAL-FORAM,339,U1390,A,14,14-CC,X,CC,PAL,FORAM,0,5,121.18,121.23,,,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,P ,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1390A-15X-CC-PAL-FORAM,339,U1390,A,15,15-CC,X,CC,PAL,FORAM,0,5,129.38,129.43,,,,R ,,,,,,,P ,,,,R ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-16X-CC-PAL-FORAM,339,U1390,A,16,16-CC,X,CC,PAL,FORAM,0,5,140.05,140.1,,,,R ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1390A-17X-CC-PAL-FORAM,339,U1390,A,17,17-CC,X,CC,PAL,FORAM,0,5,149.92,149.97,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-18X-CC-PAL-FORAM,339,U1390,A,18,18-CC,X,CC,PAL,FORAM,0,5,159.02,159.07,,,,,,,,,,,,,,,R ,,,,,P ,,,,,,P ,,P ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-19X-CC-PAL-FORAM,339,U1390,A,19,19-CC,X,CC,PAL,FORAM,0,5,165.76,165.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,R ,,,,,,,
339-U1390A-20X-CC-PAL-FORAM,339,U1390,A,20,20-CC,X,CC,PAL,FORAM,0,5,178.73,178.78,,,,,,,,,,,,,,,P ,,,,,R ,,,,,,,R ,,,,,,,,,,,,,,,R ,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,
339-U1390A-21X-CC-PAL-FORAM,339,U1390,A,21,21-CC,X,CC,PAL,FORAM,0,5,187.55,187.6,,,,R ,,,,,,,,,,,A ,,,,,,,,,,,,P ,,,,,,,,,,,,,,P ,R ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,
339-U1390A-22X-CC-PAL-FORAM,339,U1390,A,22,22-CC,X,CC,PAL,FORAM,0,5,197.03,197.08,,,,,,,,,,,,,,,R ,,,,,,,,,,,P ,R ,,,,,,,,,,,,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-23X-CC-PAL-FORAM,339,U1390,A,23,23-CC,X,CC,PAL,FORAM,0,5,206.98,207.03,,,,,,,,,,,P ,,,,P ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-24X-CC-PAL-FORAM,339,U1390,A,24,24-CC,X,CC,PAL,FORAM,0,5,217.31,217.36,,,,P ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-25X-CC-PAL-FORAM,339,U1390,A,25,25-CC,X,CC,PAL,FORAM,0,5,224.61,224.66,,,,P ,,,,,,,,,,,F ,,,,,,,,,,R ,,F ,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-26X-CC-PAL-FORAM,339,U1390,A,26,26-CC,X,CC,PAL,FORAM,0,5,236.23,236.28,,,,R ,,,,,,,P ,,,,R ,,,,,,,,,,R ,,,,R ,,,,,,,,,,,,,,,,P ,P ,,,,P ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-27X-CC-PAL-FORAM,339,U1390,A,27,27-CC,X,CC,PAL,FORAM,0,5,246.21,246.26,,,,P ,,,,,,,P ,,,,,,,P ,,R ,,,,,P ,,,,P ,,,,,,,,,,,,R ,R ,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-28X-CC-PAL-FORAM,339,U1390,A,28,28-CC,X,CC,PAL,FORAM,0,5,256.03,256.08,,,,P ,,,,,,,P ,,,,P ,,,,,R ,,,,,P ,,,,P ,,,,,,,,,,,,,P ,,,,,,,,F ,,,,,,,,,,,,P ,,,,,,,,,,,,,,,P ,,,,,,,
339-U1390A-29X-CC-PAL-FORAM,339,U1390,A,29,29-CC,X,CC,PAL,FORAM,0,5,265.47,265.52,,,,,,,,,,,,,,,,,P ,,,,,,,,,,P ,P ,R ,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-30X-CC-PAL-FORAM,339,U1390,A,30,30-CC,X,CC,PAL,FORAM,0,5,275.32,275.37,,,,R ,,,,,,,,,,,R ,,,,,,,,,,,,R ,R ,R ,,,,,,,,,,,,P ,F ,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-31X-CC-PAL-FORAM,339,U1390,A,31,31-CC,X,CC,PAL,FORAM,0,5,284.56,284.61,,,,P ,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1390A-32X-CC-PAL-FORAM,339,U1390,A,32,32-CC,X,CC,PAL,FORAM,0,5,293.63,293.68,,,,,,,,,,,,,,,,,,,,P ,,,,,,,P ,P ,P ,,,,,,,,,,,,,R ,,,,,,,,P ,,,,R ,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,
339-U1390A-33X-CC-PAL-FORAM,339,U1390,A,33,33-CC,X,CC,PAL,FORAM,0,5,302.6,302.65,,,,R ,,,,,,,,,,,R ,,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,
339-U1390A-34X-CC-PAL-FORAM,339,U1390,A,34,34-CC,X,CC,PAL,FORAM,0,5,313.11,313.16,,,,R ,,,,,,,,,,,,,,,P ,,,,,,,P ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,R ,,,,,R ,,,,,,,
339-U1390A-35X-CC-PAL-FORAM,339,U1390,A,35,35-CC,X,CC,PAL,FORAM,0,5,323.17,323.22,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,R ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1390A-36X-CC-PAL-FORAM,339,U1390,A,36,36-CC,X,CC,PAL,FORAM,0,5,332.58,332.63,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,R ,,,,,,,,,,,,,,R ,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,P ,,,,,R ,,,,,,,
339-U1390A-37X-CC-PAL-FORAM,339,U1390,A,37,37-CC,X,CC,PAL,FORAM,0,5,335.22,335.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,R ,,,,P ,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1390A-38X-CC-PAL-FORAM,339,U1390,A,38,38-CC,X,CC,PAL,FORAM,0,5,351.21,351.26,,,,,,R ,,,,,,,,,,,,,,,,,,,,P ,P ,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,
