Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data
323-U1339B-11H-CC-PAL70-FORAM90   ,323,U1339,B,11,11-CC,H,CC,PAL70,FORAM90   ,0,0,99.25,99.25,abundant IRD,G [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1339B-12H-CC-PAL33-FORAM95   ,323,U1339,B,12,12-CC,H,CC,PAL33,FORAM95   ,0,0,108.4,108.4,few IRD,G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,P,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,
323-U1339B-13H-CC-PAL53-FORAM0    ,323,U1339,B,13,13-CC,H,CC,PAL53,FORAM0    ,0,0,108.89,108.89,abundant IRD,G [323_PF],R [323_PFs],,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,
323-U1339B-14H-CC-PAL61-FORAM5    ,323,U1339,B,14,14-CC,H,CC,PAL61,FORAM5    ,0,0,120.47,120.47,abundant IRD,G [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,P,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1339B-15H-CC-PAL70-FORAM60   ,323,U1339,B,15,15-CC,H,CC,PAL70,FORAM60   ,0,0,130.0,130.0,dominant IRD,G [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1339B-16H-CC-PAL-FORAM80   ,323,U1339,B,16,16-CC,H,CC,PAL,FORAM80   ,0,0,139.41,139.41,dominant IRD,G [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1339B-17H-CC-PAL-FORAM94   ,323,U1339,B,17,17-CC,H,CC,PAL,FORAM94   ,0,0,148.57,148.57,abundant IRD,G [323_PF],A [323_PFs],,,,,,P,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,
323-U1339B-18H-CC-PAL-FORAM17   ,323,U1339,B,18,18-CC,H,CC,PAL,FORAM17   ,0,0,158.79,158.79,dominant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,
323-U1339B-19H-CC-PAL-FORAM12   ,323,U1339,B,19,19-CC,H,CC,PAL,FORAM12   ,0,0,167.86,167.86,dominant IRD,G [323_PF],P [323_PFs],,,,,,P,,,,,,,,,,,P,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1339B-19H-CC-PAL-FORAM23   ,323,U1339,B,19,19-CC,H,CC,PAL,FORAM23   ,0,0,167.86,167.86,dominant IRD,G [323_PF],A [323_PFs],,,,,,,,,,,,,,,,,P,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,
323-U1339B-20H-CC-PAL-FORAM36   ,323,U1339,B,20,20-CC,H,CC,PAL,FORAM36   ,0,0,177.64,177.64,dominant IRD,G [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,
323-U1339B-21H-CC-PAL-FORAM87   ,323,U1339,B,21,21-CC,H,CC,PAL,FORAM87   ,0,0,187.6,187.6,dominant IRD,G [323_PF],P [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,
