Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Pteropod group abundance,Pteropod comment,PF preservation,PF group abundance,Globigerina bulloides,Globigerinoides ruber (white),Globigerinoides ruber (pink),Globigerinoides sacculifer,Globigerinoides trilobus,Globorotalia inflata,Globorotalia hirsuta (dex),Globorotalia hirsuta (sin),Globorotalia crassaformis s.l. (dex),Globorotalia crassaformis s.l. (sin),Globorotalia truncatulinoides (dex),Globorotalia truncatulinoides (sin),Beella digitata,Dentoglobigerina altispira,Globigerina apertura,Globigerina calida,Globigerina decoraperta,Globigerina falconensis,Globigerina nepenthes,Globigerinella siphonifera,Globigerinita glutinata,Globigerinoides conglobatus,Globigerinoides extremus,Globorotalia cf. crassula,Globorotalia margaritae,Globorotalia menardii (dex),Globorotalia menardii (sin),Globorotalia miocenica,Globorotalia miotumida,Globorotalia multicamerata,Globorotalia puncticulata,Globorotalia scitula (dex),Globorotalia scitula (sin),Globoturborotalita rubescens,Globoturborotalita tenella,Neogloboquadrina atlantica (dex),Neogloboquadrina atlantica (sin),Neogloboquadrina dutertrei,Neogloboquadrina pachyderma (dex),Neogloboquadrina pachyderma (sin),Orbulina universa,Pulleniatina obliquiloculata,Sphaeroidinella dehiscens,Sphaeroidinellopsis seminulina,Sphaeroidinellopsis subdehiscens,Turborotalita humilis,Turborotalita iota,Turborotalita quinqueloba,Comment,File Data
339-U1386C-12R-1-W 45/47-PAL-FORAM,339,U1386,C,12,12-1,R,1,W,45/47-PAL-FORAM,0,2,462.85,462.87,,,G ,F ,A ,R ,,P ,,,,,,,,,,,R ,,,,,P ,P ,,P ,P ,,,,,,,F ,,,,,,,,R ,,R ,,,,,,,,,
339-U1386C-12R-1-W 82/84-8037-FORAM,339,U1386,C,12,12-1,R,1,W,82/84-8037-FORAM,0,2,463.22,463.24,,,,D ,F ,R ,,,P ,,,,P ,,,,,,A ,,P ,,,,P ,,P ,,,,,,,,D ,,,,,,,,F ,,F ,,,,,,,,,
339-U1386C-12R-CC-PAL-FORAM,339,U1386,C,12,12-CC,R,CC,PAL,FORAM,0,5,467.86,467.91,,,M ,D ,D ,P ,,R ,,,,,,,,,,,R ,P ,,,,P ,,,P ,P ,,P ,,P ,,,F ,,,,,,,,A ,,F ,,,P ,,,,P ,,
339-U1386C-13R-3-W 43/45-PAL-FORAM,339,U1386,C,13,13-3,R,3,W,43/45-PAL-FORAM,0,2,475.43,475.45,,,P ,A ,F ,R ,,,,,,,,,,,,,R ,,,R ,,,R ,,,,,,,,,,D ,,,,,,,,R ,P ,R ,,,,,,,,,
339-U1386C-13R-CC-PAL-FORAM,339,U1386,C,13,13-CC,R,CC,PAL,FORAM,0,5,478.02,478.07,,,M ,R ,A ,P ,,F ,,,,,,,,,,,A ,,,,,,,,P ,,P ,,,,,,A ,,,,,,,,F ,,,,,P ,,,,,,
339-U1386C-14R-1-W 62/64-8041-FORAM,339,U1386,C,14,14-1,R,1,W,62/64-8041-FORAM,0,2,482.22,482.24,,,,,F ,R ,,,,,,,,,,,,,F ,,,,,P ,P ,,R ,,,,,,,,D ,,,,,,,,D ,P ,F ,,,,,,,,,
339-U1386C-14R-3-W 39/41-8042-FORAM,339,U1386,C,14,14-3,R,3,W,39/41-8042-FORAM,0,2,484.99,485.01,,,,,,R ,,,F ,,,,P ,,,,,,F ,,,,,,R ,,P ,,,,,,,,A ,,,,,,,,F ,,F ,,,P ,,,,,,
339-U1386C-14R-CC-PAL-FORAM,339,U1386,C,14,14-CC,R,CC,PAL,FORAM,0,5,486.54,486.59,,,G ,D ,A ,P ,,F ,,,,,P ,,,,,P ,A ,,,,,,,,F ,,R ,,,,,,A ,,,,,,,,,,P ,,,P ,,,,,,
339-U1386C-15R-1-W 0/2-PAL-FORAM,339,U1386,C,15,15-1,R,1,W,0/2-PAL-FORAM,0,2,490.9,490.92,,,M ,A ,F ,P ,,,A ,,,,,,,,,,A ,,,P ,,,P ,,,,P ,,,,,,A ,,,,,,,,A ,,P ,,,P ,,,,,,
339-U1386C-15R-1-W 85/87-8049-FORAM,339,U1386,C,15,15-1,R,1,W,85/87-8049-FORAM,0,2,491.75,491.77,,,M ,D ,A ,R ,,P ,A ,,P ,,,,,,,,F ,,,,,,P ,,,P ,,,,,,,F ,P ,,P ,,,,,F ,,R ,,P ,P ,,,,,,
339-U1386C-15R-3-W 48/50-8050-FORAM,339,U1386,C,15,15-3,R,3,W,48/50-8050-FORAM,0,2,494.38,494.4,,,,,A ,R ,,,R ,,,,,R ,,,,,A ,,,,,,,,,,,,,,,,A ,,,,,,,,F ,P ,F ,,,P ,,,,,,
339-U1386C-15R-4-W 24/26-PAL-FORAM,339,U1386,C,15,15-4,R,4,W,24/26-PAL-FORAM,0,2,495.64,495.66,,,G ,F ,A ,R ,,R ,R ,,,,,,,,,,F ,,,P ,,,R ,,P ,R ,P ,,,,,,F ,P ,,,,,,,R ,,P ,,,P ,P ,,,,,
339-U1386C-15R-CC-PAL-FORAM,339,U1386,C,15,15-CC,R,CC,PAL,FORAM,0,5,498.36,498.41,,,G ,D ,A ,R ,,P ,A ,,,,P ,,,,,P ,F ,,P ,,,R ,,,F ,,R ,,,,,,A ,,,,,,,,P ,,A ,,,R ,,,,P ,,
339-U1386C-16R-4-W 43/45-8044-FORAM,339,U1386,C,16,16-4,R,4,W,43/45-8044-FORAM,0,2,505.43,505.45,,,M ,D ,A ,R ,,R ,R ,,P ,,,,,,,,R ,,,,,,R ,,,,,,,,,,F ,,,P ,,,,,F ,,R ,,,R ,,,,P ,,
339-U1386C-16R-5-W 0/2-PAL-FORAM,339,U1386,C,16,16-5,R,5,W,0/2-PAL-FORAM,0,2,506.5,506.52,,,G ,D ,F ,R ,,,A ,,,,,,,,,,F ,,,R ,,,P ,,F ,,,,,,,,A ,P ,,,,,,,A ,P ,F ,,,,P ,,,,,
339-U1386C-16R-6-W 43/45-8043-FORAM,339,U1386,C,16,16-6,R,6,W,43/45-8043-FORAM,0,2,507.93,507.95,,,M ,D ,A ,R ,,,R ,,,,,,,,,,P ,,P ,,,,F ,,,P ,P ,,,,,,R ,,,,,,,,A ,P ,R ,,,P ,,,,,,
339-U1386C-16R-CC-PAL-FORAM,339,U1386,C,16,16-CC,R,CC,PAL,FORAM,0,5,508.23,508.28,,,G ,F ,A ,R ,,R ,R ,,,,,,,,,,A ,,P ,P ,P ,P ,,,F ,,R ,,,,,,,,,,,,,,P ,,F ,,,P ,P ,,,,,
339-U1386C-17R-1-W 0/2-PAL-FORAM,339,U1386,C,17,17-1,R,1,W,0/2-PAL-FORAM,0,2,510.1,510.12,,,M ,D ,A ,,,,R ,,,,,,,,,,F ,,F ,,P ,,P ,,A ,,R ,,,,,,,P ,,,,,,,A ,P ,R ,,,,,,,,,
339-U1386C-17R-1-W 70/72-8046-FORAM,339,U1386,C,17,17-1,R,1,W,70/72-8046-FORAM,0,2,510.8,510.82,,,M ,A ,F ,,,,,,,,,,,,,,P ,P ,,,,F ,P ,,,,,,,,,,P ,,,,,,,,A ,R ,R ,,,,,,,P ,,
339-U1386C-17R-3-W 27/29-8047-FORAM,339,U1386,C,17,17-3,R,3,W,27/29-8047-FORAM,0,2,513.37,513.39,,,,A ,P ,,,,P ,,,,,,,,,,F ,,R ,,,,P ,,R ,,F ,,,,,,P ,P ,,,,,,,A ,P ,F ,,,,,,,,,
339-U1386C-17R-4-W 55/57-PAL-FORAM,339,U1386,C,17,17-4,R,4,W,55/57-PAL-FORAM,0,2,515.15,515.17,,,M ,D ,A ,,,,P ,,,,,,,,,,R ,,A ,,P ,,P ,,F ,,,,,,,,,,,,,,,,A ,P ,R ,,,P ,P ,,,P ,,
339-U1386C-17R-5-W 90/92-8048-FORAM,339,U1386,C,17,17-5,R,5,W,90/92-8048-FORAM,0,2,517.0,517.02,,,G ,D ,F ,R ,,P ,R ,,,,,,,,,,,,R ,,R ,,A ,,F ,,R ,,,,,,,P ,,,P ,,,,A ,P ,R ,,,P ,,,,,,
339-U1386C-17R-CC-PAL-FORAM,339,U1386,C,17,17-CC,R,CC,PAL,FORAM,0,5,517.28,517.33,,,G ,F ,A ,F ,,,R ,,,,,,,,,,F ,,F ,,P ,,,,F ,,A ,,,,,,P ,,,,,,,,P ,P ,P ,,P ,P ,,,,,,
339-U1386C-18R-1-W 58/60-8051-FORAM,339,U1386,C,18,18-1,R,1,W,58/60-8051-FORAM,0,2,520.28,520.3,,,M ,A ,,,,,P ,,,,,,,,,,A ,,P ,,,,P ,,R ,,R ,,,,,,,R ,,,,,,,A ,P ,R ,,,,,,,,,
339-U1386C-18R-3-W 58/60-8052-FORAM,339,U1386,C,18,18-3,R,3,W,58/60-8052-FORAM,0,2,523.28,523.3,,,,,A ,R ,,,P ,,,,,,,,,,A ,,P ,,,,,,F ,,F ,,,,,,,R ,,,,,,,A ,F ,F ,,,,,,,,,
339-U1386C-18R-4-W 18/20-PAL-FORAM,339,U1386,C,18,18-4,R,4,W,18/20-PAL-FORAM,0,2,524.38,524.4,,,M ,R ,F ,P ,,,R ,,,,,,,,,,P ,,P ,P ,,,R ,,R ,,,,,,,,,P ,,,,,,,A ,,F ,,,,,,,,,
339-U1386C-18R-4-W 60/62-PAL-FORAM,339,U1386,C,18,18-4,R,4,W,60/62-PAL-FORAM,0,2,524.8,524.82,,,M ,R ,A ,,,,P ,,,,,,,,,,F ,,,,,,R ,,R ,,P ,,,,,,,,,,,,,,A ,P ,F ,,,,,,,,,
339-U1386C-18R-CC-PAL-FORAM,339,U1386,C,18,18-CC,R,CC,PAL,FORAM,0,5,525.14,525.19,,,M ,R ,A ,P ,,,P ,,,,,,,,,,A ,,P ,P ,,P ,R ,P ,R ,,F ,,,,,,,,,,,,,,A ,,F ,,,P ,P ,,,,,
