Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Amaurolithus amplificus,Amaurolithus bizarrus,Amaurolithus delicatus,Amaurolithus primus,Braarudosphaera bigelowii,Calcidiscus leptoporus (<5 microns),Calcidiscus leptoporus (>8 micron),Calcidiscus leptoporus (5-8 microns),Calcidiscus macintyrei,Calcidiscus premacintyrei,Calciosolenia spp.,Catinaster calyculus,Catinaster coalitus,Ceratolithus acutus,Ceratolithus cristatus,Ceratolithus rugosus,Coccolithus miopelagicus,Coccolithus pelagicus spp. azorinus,Coccolithus pelagicus spp. braarudii,Coccolithus pelagicus ssp. pelagicus,Coronocyclus nitescens,Cyclicargolithus floridanus,Discoaster asymmetricus,Discoaster bellus,Discoaster berggrenii,Discoaster bollii,Discoaster braarudii,Discoaster brouweri,Discoaster calcaris,Discoaster challengeri,Discoaster druggii,Discoaster exilis,Discoaster gr. variabilis,Discoaster hamatus,Discoaster intercalaris,Discoaster kugleri,Discoaster loeblichii,Discoaster neohamatus,Discoaster neorectus,Discoaster pansus,Discoaster pentaradiatus,Discoaster prepentaradiatus,Discoaster quinqueramus,Discoaster signus,Discoaster spp.,Discoaster surculus,Discoaster tamalis,Discoaster triradiatus,Discoaster variabilis,Emiliania huxleyi (<5 microns),Emiliania huxleyi (>5 microns),Florisphaera profunda,Florisphaera profunda var. elongata,Gephyrocapsa caribbeanica,medium Gephyrocapsa group,Gephyrocapsa oceanica (>5 micron),Gephyrocapsa oceanica (<5 micron),Gephyrocapsa omega,Gephyrocapsa spp. (<3 microns),Helicosphaera acuta,Helicosphaera ampliaperta,Helicosphaera carteri,Helicosphaera euphratis,Helicosphaera hyalina,Helicosphaera inversa,Helicosphaera mediterranea,Helicosphaera pavimentum,Helicosphaera sellii,Helicosphaera walbersdorfensis,Helicosphaera wallichii,Minylitha convallis,Oolithotus spp.,Pontosphaera spp.,Pseudoemiliania lacunosa,Reticulofenestra antarctica,Reticulofenestra asanoi (>6 microns),Reticulofenestra asanoi (<6 microns),Reticulofenestra cisnerosii,Reticulofenestra haqii,Reticulofenestra minuta (<3 microns),Reticulofenestra minuta,Reticulofenestra producta,Reticulofenestra pseudoumbilicus (>7 microns),Reticulofenestra pseudoumbilicus (5-7 microns),Reticulofenestra rotaria,Rhabdosphaera spp.,Scyphosphaera apsteinii,Sphenolithus abies,Sphenolithus belemnos,Sphenolithus capricornutus,Sphenolithus ciperoensis,Sphenolithus conicus,Sphenolithus delphix,Sphenolithus disbelemnos,Sphenolithus dissimilis,Sphenolithus heteromorphus,Sphenolithus neoabies,Syracosphaera spp.,Thoracosphaera spp.,Triquetrorhabdulus carinatus,Triquetrorhabdulus rugosus,Umbilicosphaera jafari,Umbilicosphaera rotula,Umbilicosphaera sibogae,Comments,File Data
339-U1389C-11X-CC-PAL-NANNO,339,U1389,C,11,11-CC,X,CC,PAL,NANNO,0,5,101.62,101.67,M-P ,A ,,,,,,,,R ,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,F ,R ,,A ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1389C-12X-CC-PAL-NANNO,339,U1389,C,12,12-CC,X,CC,PAL,NANNO,0,5,111.59,111.64,M-P ,VA ,,,,,,,,P ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,C ,,R ,F ,,VA ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,
339-U1389C-13X-CC-PAL-NANNO,339,U1389,C,13,13-CC,X,CC,PAL,NANNO,0,5,122.21,122.26,M-P ,A ,,,,,,F ,,F ,,,,,,,,,,R ,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,C ,C ,F ,F ,,A ,,,F ,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-14X-CC-PAL-NANNO,339,U1389,C,14,14-CC,X,CC,PAL,NANNO,0,5,131.61,131.66,M-P ,VA ,,,,,,,,R ,,,,,,,,,,F ,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,F ,F ,C ,,VA ,,,R ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1389C-15X-CC-PAL-NANNO,339,U1389,C,15,15-CC,X,CC,PAL,NANNO,0,5,140.96,141.01,M-P ,VA ,,,,,,,,R ,,,,,,,,,,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,C ,C ,,A ,,,F ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-16X-CC-PAL-NANNO,339,U1389,C,16,16-CC,X,CC,PAL,NANNO,0,5,148.43,148.48,M-P ,VA ,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,C ,C ,C ,,VA ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-17X-CC-PAL-NANNO,339,U1389,C,17,17-CC,X,CC,PAL,NANNO,0,5,155.32,155.37,M-P ,A ,,,,,,,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,C ,C ,C ,,A ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-18X-CC-PAL-NANNO,339,U1389,C,18,18-CC,X,CC,PAL,NANNO,0,5,163.01,163.06,M-P ,VA ,,,,,,,,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,C ,C ,,VA ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1389C-19X-CC-PAL-NANNO,339,U1389,C,19,19-CC,X,CC,PAL,NANNO,0,5,172.88,172.93,M-P ,VA ,,,,,,,,R ,,,,,,,,,,,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,C ,C ,C ,,A ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1389C-20X-CC-PAL-NANNO,339,U1389,C,20,20-CC,X,CC,PAL,NANNO,0,5,182.66,182.71,G ,VA ,,,,,,,,R ,,,,,,,,,,R ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,F ,F ,F ,,A ,,,R ,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-21X-CC-PAL-NANNO,339,U1389,C,21,21-CC,X,CC,PAL,NANNO,0,5,192.16,192.21,G ,VA ,,,,,,,,R ,,,,,,,,,,R ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,F ,F ,F ,,A ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-22X-CC-PAL-NANNO,339,U1389,C,22,22-CC,X,CC,PAL,NANNO,0,5,201.58,201.63,G ,VA ,,,,,,,,R ,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,C ,,A ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-23X-CC-PAL-NANNO,339,U1389,C,23,23-CC,X,CC,PAL,NANNO,0,5,211.47,211.52,G ,VA ,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,F ,,C ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-24X-CC-PAL-NANNO,339,U1389,C,24,24-CC,X,CC,PAL,NANNO,0,5,221.07,221.12,G ,VA ,,,,,,,F ,F ,,,,,,,,,,,F ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,A ,,C ,,VA ,,,F ,,,,,,,,,,,,A ,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,,,,
339-U1389C-25X-CC-PAL-NANNO,339,U1389,C,25,25-CC,X,CC,PAL,NANNO,0,5,228.41,228.46,G ,VA ,,,,,,,,,,,,,,,,,,R ,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VA ,,,,,VA ,,,F ,,,,,,,,,,,,C ,,,F ,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,
339-U1389C-26X-CC-PAL-NANNO,339,U1389,C,26,26-CC,X,CC,PAL,NANNO,0,5,239.09,239.14,G ,VA ,,,,,,,,,,,,,,,,,,R ,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,,,A ,,,F ,,,,,,,,,,,,C ,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1389C-27X-CC-PAL-NANNO,339,U1389,C,27,27-CC,X,CC,PAL,NANNO,0,5,249.73,249.78,G ,VA ,,,,,R ,,,,,,,,,,,,,R ,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A ,A ,,C ,,VA ,,,F ,,,,,,,,,,,,C ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1389C-28X-CC-PAL-NANNO,339,U1389,C,28,28-CC,X,CC,PAL,NANNO,0,5,259.28,259.33,G ,VA ,,,,,,,R ,R ,,,,,,,,,,R ,R ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,,F ,,A ,,,R ,,,,,,,,,,,,F ,,,R ,,,,,,,,,R ,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-29X-CC-PAL-NANNO,339,U1389,C,29,29-CC,X,CC,PAL,NANNO,0,5,269.07,269.12,G ,A ,,,,,,,,,,,,,,,,,,R ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,A ,,,R ,,,,,,,,,,,,F ,,,R ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-30X-CC-PAL-NANNO,339,U1389,C,30,30-CC,X,CC,PAL,NANNO,0,5,278.7,278.75,M-P ,VA ,,,,,,,F ,F ,,,,,,,,,,R ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,F ,P ,VA ,,,R ,,,,,,,,,,,,F ,,,F ,,,A ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-31X-CC-PAL-NANNO,339,U1389,C,31,31-CC,X,CC,PAL,NANNO,0,6,288.18,288.24,M-P ,A ,,,,,,,,F ,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,C ,,F ,,A ,,,F ,,,,,,,,,,,,F ,,,F ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1389C-32X-CC-PAL-NANNO,339,U1389,C,32,32-CC,X,CC,PAL,NANNO,0,5,297.72,297.77,M-P ,A ,,,,,,R ,R ,R ,,,,,,,,,,,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,F ,,,,A ,,,F ,,,,,,,,,,,R ,F ,,,,,,C ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-33X-CC-PAL-NANNO,339,U1389,C,33,33-CC,X,CC,PAL,NANNO,0,5,306.74,306.79,G ,A ,,,,,,F ,,F ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,F ,F ,F ,A ,,,F ,,,,,,,,,,,,F ,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,C ,,
339-U1389C-34X-CC-PAL-NANNO,339,U1389,C,34,34-CC,X,CC,PAL,NANNO,0,5,316.06,316.11,M-P ,VA ,,,,,P ,R ,,R ,,,,,,,,,,R ,R ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,P ,F ,F ,C ,VA ,,,R ,,,,,,,,,,,,F ,,,R ,,,A ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-35X-CC-PAL-NANNO,339,U1389,C,35,35-CC,X,CC,PAL,NANNO,0,5,323.24,323.29,M-P ,VA ,,,,,,R ,,R ,,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,R ,F ,VA ,,,F ,,,,,,,,,,,,C ,,,F ,,,F ,,,,,,,,,,,,,,,,,,R ,,,,,,,,
339-U1389C-36X-CC-PAL-NANNO,339,U1389,C,36,36-CC,X,CC,PAL,NANNO,0,5,328.42,328.47,,* ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1389C-37X-CC-PAL-NANNO,339,U1389,C,37,37-CC,X,CC,PAL,NANNO,0,5,338.45,338.5,M-P ,A ,,,,,,F ,,F ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,F ,F ,F ,A ,,,R ,,,,,,,,,,,,F ,,C ,C ,,,A ,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1389C-38X-CC-PAL-NANNO,339,U1389,C,38,38-CC,X,CC,PAL,NANNO,0,5,346.84,346.89,M-P ,VA ,,,,,,R ,,VA ,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,R ,P ,VA ,,,R ,,,,,,,,,,,,F ,,F ,R ,,,C ,,,,,,,,,,,,,,,,,,,,,,,,,,
