Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Fissurina alveolata,Fissurina cf. radiata,Fissurina cf. staphyllearia,Fissurina spp.,Frondicularia sagittula,Frondicularia spp.,Fursenkoina bradyi,Fursenkoina complanata,Fursenkoina rotundata,Fursenkoina schreibersiana,Fursenkoina spp.,Gaudryina spp.,Gavelinella spp.,Gavelinopsis praegeri,Gavelinopsis? Sp.,Gavelinopsis translucens,Glabratella patelliformis,Glandulina ovula,Glandulina spp.,Globobulimina affinis,Globobulimina auriculata,Globobulimina cf. pacifica,Globobulimina pacifica,Globobulimina spinescens,Globobulimina spp.,Globobulimina turgida,Globocassidulina globosa,Globocassidulina oblonga,Globocassidulina spp.,Globocassidulina? sp. 1,Globulina gibba,Glomospira charoides,Glomospira gordialis,Glomospira spp.,Grigelis spp.,Guttulina spp.,Gyroidina orbicularis,Gyroidina cf. broeckhiana,Gyroidina spp.,Gyroidinoides octocameratus,Gyroidinoides soldanii,Gyroidinoides spp.,Hanzawaia concentrica,Hanzawaia rhodiensis,Hanzawaia? sp.,Hanzawaia spp.,Haplophragmoides spp.,Haynesina sp.,Heterolepa sp.,Hoeglundina elegans,Hopkinsina spp.,Hormosina globulifera,Hormosina spp.,Hyalina balthica,Hyaline indet.,Hyalinonetrion gracillimum,Hyperammina elongata,Hyperammina laevigata,Hyperammina spp.,Islandiella islandica,Jaculella obtusa,Karreriella bradyi,Karreriella spp.,Karrerulina spp.,Labrospira jeffreysi,Labrospira sp.,Laevidentalina spp.,Lagena costata,Lagena gracilis,Lagena hispidula,Lagena semistriata,Lagena spp.,Lagenammina spp.,Laticarinina pauperata,Lenticulina gibba,Lenticulina rotulata,Lenticulina spp.,Lingulina seminuda,Lingulina spp.,Loxostomina cf. major,Loxostomina major,Loxostomum spp.,Comment,File Data
339-U1388B-13X-CC-PAL-FORAM,339,U1388,B,13,13-CC,X,CC,PAL,FORAM,0,5,120.66,120.71,,,,,,,,,,,A ,,,,,,,,,P ,,,,R ,P ,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-14X-CC-PAL-FORAM,339,U1388,B,14,14-CC,X,CC,PAL,FORAM,0,5,130.14,130.19,,,,P ,,,,,,,P ,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-15X-CC-PAL-FORAM,339,U1388,B,15,15-CC,X,CC,PAL,FORAM,0,5,139.81,139.86,,,,P ,,,,,,,,,,,,,,,,,,,,,,,P ,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1388B-16X-CC-PAL-FORAM,339,U1388,B,16,16-CC,X,CC,PAL,FORAM,0,5,149.27,149.32,,,,P ,,,,,,,P ,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-17X-CC-PAL-FORAM,339,U1388,B,17,17-CC,X,CC,PAL,FORAM,0,5,151.74,151.79,,,,P ,,,,,,,R ,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339-U1388B-19X-CC-PAL-FORAM,339,U1388,B,19,19-CC,X,CC,PAL,FORAM,0,5,177.97,178.02,,,,P ,,,,,,,,,,,,,,,,,,,,,,P ,,P ,,,,,,,,,,,,,,P ,,,,,,,,R ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,
339-U1388B-20X-CC-PAL-FORAM,339,U1388,B,20,20-CC,X,CC,PAL,FORAM,0,6,185.85,185.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,P ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1388B-22X-CC-PAL-FORAM,339,U1388,B,22,22-CC,X,CC,PAL,FORAM,0,5,198.99,199.04,,,,R ,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,
339-U1388B-23X-CC-PAL-FORAM,339,U1388,B,23,23-CC,X,CC,PAL,FORAM,0,7,211.8,211.87,,,,P ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,R ,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1388B-24X-CC-PAL-FORAM,339,U1388,B,24,24-CC,X,CC,PAL,FORAM,0,5,225.68,225.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,P ,,,,,,,,,,,F ,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,
