Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],BF preservation,BF Group abundance,Agglutinated spp. (indeterminate),Adelosina dubia?,Alabamina spp.,Ammobaculites agglutinans,Ammobaculites spp.,Ammodiscus anguillae,Ammodiscus spp.,Ammodiscus tenuis,Ammolagena clavata,Ammonia beccarii,Ammoscalaria foliacea,Ammoscalaria tenuimargo,Amphicoryna scalaris,Amphicoryna spp.,Amphistegina spp,Angulogerina spp.,Anomalina spp.,Anomalinoides spp.,Articulina cf. tubulosa,Astacolus crepidulus,Astacolus spp.,Asterigerina planorbis,Asterigerinata sp.,Astrononion spp.,Awhea spp.,Bathysiphon filiformis,Bathysiphon spp.,Bigenerina nodosaria,Biloculinella sp.,Bolivina spp.,Bolivina cf. robusta,Bolivinita quadrilatera,Bolivina subaenariensis,Bolivina/Brizalina spp.,Brizalina spp.,Brizalina alata,Brizalina cf. difformis,Brizalina cf. dilatata,Brizalina dilatata,Brizalina earlandi,Brizalina spathulata,Brizalina striatula,Budashevaella multicamerata,Bulimina acanthia,Bulimina aculeata,Bulimina cf. alazanensis,Bulimina elongata,Bulimina gibba,Bulimina marginata,Bulimina spp.,Bulimina striata gr.,Bulimina striata mexicana,Bulimina striata striata,Buliminella elegantissima,BF Comment,File Data,Zone name,Zone name (short)
339-U1391C-16R-CC-PAL-FORAM,339,U1391,C,16,16-CC,R,CC,PAL,FORAM,0,5,478.47,478.52,M ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,P ,,,,,,,,,,,,R ,,,,,,,
339-U1391C-18R-CC-PAL-FORAM,339,U1391,C,18,18-CC,R,CC,PAL,FORAM,0,9,498.66,498.75,G ,A ,,,,,,,,,,,,,P ,,,,,,,,,,,,,,,,,,,,,R ,,,,,,,,,,,P ,,,,,,A ,,,,,,,
339-U1391C-20R-CC-PAL-FORAM,339,U1391,C,20,20-CC,R,CC,PAL,FORAM,0,5,511.47,511.52,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,,
339-U1391C-22R-CC-PAL-FORAM,339,U1391,C,22,22-CC,R,CC,PAL,FORAM,0,5,537.17,537.22,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,P ,P ,,,,,P ,,,,,,P ,,,,,,,
339-U1391C-24R-CC-PAL-FORAM,339,U1391,C,24,24-CC,R,CC,PAL,FORAM,0,5,556.57,556.62,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,P ,,,F ,,,,,P ,,,,,P ,,,,,,,,,
339-U1391C-25R-CC-PAL-FORAM,339,U1391,C,25,25-CC,R,CC,PAL,FORAM,0,5,566.05,566.1,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,R ,,,,,R ,,P ,,,,,,,,,,P ,,,,,,,
339-U1391C-27R-CC-PAL-FORAM,339,U1391,C,27,27-CC,R,CC,PAL,FORAM,0,5,584.14,584.19,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,F ,,,,,A ,P ,R ,,,,R ,,,,,,R ,,,,,,,
339-U1391C-31R-CC-PAL-FORAM,339,U1391,C,31,31-CC,R,CC,PAL,FORAM,0,6,623.39,623.45,M ,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R ,,,,,A ,,,,,,,,,,,F ,,,,,,,,
339-U1391C-33R-6-PAL-FORAM,339,U1391,C,33,33-6,R,6,PAL,FORAM,0,5,641.55,641.6,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F ,,,,,A ,,,,,,,,,,,,,,,,,,,
339-U1391C-36R-CC-PAL-FORAM,339,U1391,C,36,36-CC,R,CC,PAL,FORAM,0,5,670.93,670.98,G ,A ,,,,,,,,,,,,,,,,,,,,,,,,,,,,P ,,,,,,R ,,,,,F ,,,,,,,,,,,R ,,,,,,,,
