Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance, Circodiscus (Porodiscus) circularis, Cycladophora nakasekoi , Cycladophora sakaii, Lithelius barbatus, Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum ,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana ,Cyrtocapsella cornuta ,Cyrtocapsella japonica ,Cyrtocapsella tetrapera ,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda ,Dictyophimus bullatus,Dictyophimus hirundo ,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai ,Giraffospyris angulata ,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis ,Lamprocyclas junonis ,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae ,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii ,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B ,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta ,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica ,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus ,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Extra Sample ID Data
341-U1417D-11H-CC-PAL-RADS,341,U1417,D,11,11-CC,H,CC,PAL,0,5,93.19,93.24,S. universus [K07],Stylatractus universus,,P [P28],R [A81],,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,R,,,,,,,,,,,,
341-U1417D-12H-CC-PAL-RADS,341,U1417,D,12,12-CC,H,CC,PAL,0,5,101.82,101.87,S. universus [K07],Stylatractus universus,,M [P28],C [A81],,,,,,,,R,C,,,,,F,,,,F,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,A,,,,,,R,,,,,,,,R,,,,C,,,,,C,,,F,,,,,,,A,C,,,F,,,,,,,,,
341-U1417D-13H-CC-PAL-RADS,341,U1417,D,13,13-CC,H,CC,PAL,0,5,110.01,110.06,S. universus [K07],Stylatractus universus,,P [P28],R [A81],,,,,,,,R,R,,,,,,,,,R,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,F,,,,F,,,,,F,,,F,,,,,,,C,R,,,R,,,,,,,,,
341-U1417D-14H-CC-PAL-RADS,341,U1417,D,14,14-CC,H,CC,PAL,0,5,118.25,118.3,S. universus [K07],Stylatractus universus,,P [P28],R [A81],,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,R,,,,,,,,,,A,,,,R,,,,,,,,,
341-U1417D-15H-7-PAL-RADS,341,U1417,D,15,15-CC,H,CC,PAL,0,5,128.83,128.88,S. universus [K07],Stylatractus universus,,P [P28],R [A81],,,,,,,,,R,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,A,R,,,R,,,,,,,,,
341-U1417D-16H-CC-PAL-RADS,341,U1417,D,16,16-CC,H,CC,PAL,0,5,138.23,138.28,S. universus [K07],Stylatractus universus,,M [P28],C [A81],,,,,,,,F,F,,,,,R,,,,A,,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,C,,,,,,,,,,,,,,F,,,,F,,,,,A,,,A,,,,,,,A,,,,R,,,,,,,,,
341-U1417D-17H-CC-PAL-RADS,341,U1417,D,17,17-CC,H,CC,PAL,0,5,147.37,147.42,E. matuyamai [K07],Eucyrtidium matuyamai,"LO Eucyrtidium matuyamai (Kamikuri et al., 2007)",G [P28],A [A81],,,,,,,,,A,,,,,,,,,A,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,F,,,,R,,,,A,R,,,,C,A,,F,,,,,,,F,,,,F,,,,,,,,,
341-U1417D-18H-7-PAL-RADS,341,U1417,D,18,18-CC,H,CC,PAL,0,5,156.91,156.96,E. matuyamai [K07],Eucyrtidium matuyamai,,M [P28],C [A81],,,R,,,,,R,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,R,,,,R,,,,,,,,C,R,,,,R,F,,,,,,,,,A,F,,,A,,,,,,,,,
341-U1417D-19H-CC-PAL-RADS,341,U1417,D,19,19-CC,H,CC,PAL,0,5,157.03,157.08,E. matuyamai [K07],Eucyrtidium matuyamai,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,
341-U1417D-20H-CC-PAL-RADS,341,U1417,D,20,20-CC,H,CC,PAL,0,5,162.49,162.54,E. matuyamai [K07],Eucyrtidium matuyamai,,M [P28],F [A81],,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,R,,,,R,R,,,,C,C,,,,,,,,,A,R,,,A,,,,,,,,,
341-U1417D-22H-CC-PAL-RADS,341,U1417,D,22,22-CC,H,CC,PAL,0,5,170.61,170.66,E. matuyamai [K07],Eucyrtidium matuyamai,,G [P28],C [A81],,,,,,,,,R,,,,,,,,,R,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,F,,,,,,,,,R,,,,,,,,,,F,R,,,,,,,,,,,,
341-U1417D-23H-CC-PAL-RADS,341,U1417,D,23,23-CC,H,CC,PAL,0,5,175.96,176.01,E. matuyamai [K07],Eucyrtidium matuyamai,,P [P28],F [A81],,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,R,,,,,,,,,C,,,R,,,,,,,R,R,,,,,,,,,,,,
341-U1417D-24H-CC-RADS,341,U1417,D,24,24-CC,H,CC,PAL,0,0,180.2,180.2,C. sakaii [K07],Cycladophora sakaii,"FO Eucyrtidium matuyamai (Kamikuri et al., 2007)",P [P28],F [A81],,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,C,R,R,,,,,,,,A,R,,,,,,,,,,,,
341-U1417D-25H-CC-RADS,341,U1417,D,25,25-CC,H,CC,PAL,0,0,185.12,185.12,C. sakaii [K07],Cycladophora sakaii,,P [P28],F [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,R,,,,,,,,,C,,,,,,,,,,,,,
341-U1417D-26H-CC-RADS,341,U1417,D,26,26-CC,H,CC,PAL,0,0,187.21,187.21,C. sakaii [K07],Cycladophora sakaii,,P [P28],F [A81],,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,,
341-U1417D-27H-CC-RADS,341,U1417,D,27,27-CC,H,CC,PAL,0,5,189.2,189.25,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-28H-CC-RADS,341,U1417,D,28,28-CC,H,CC,PAL,0,0,191.82,191.82,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-29H-CC-RADS,341,U1417,D,29,29-CC,H,CC,PAL,0,0,196.24,196.24,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-30H-CC-RADS,341,U1417,D,30,30-CC,H,CC,PAL,0,0,200.95,200.95,C. sakaii [K07],Cycladophora sakaii,"FO Cycladophora davisiana (Kamikuri et al., 2007)",P [P28],F [A81],,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,A,,,,,,,,,,,,,
341-U1417D-31H-CC-PAL-RADS,341,U1417,D,31,31-CC,H,CC,PAL,0,5,203.85,203.9,C. sakaii [K07],Cycladophora sakaii,,P [P28],R [A81],,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,
341-U1417D-32H-CC-PAL-RADS,341,U1417,D,32,32-CC,H,CC,PAL,0,5,208.87,208.92,C. sakaii [K07],Cycladophora sakaii,,P [P28],F [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,,,,,,A,R,,R,,,,,,,A,,,,R,,,,,,,,,
341-U1417D-33H-CC-PAL-RADS,341,U1417,D,33,33-CC,H,CC,PAL,0,5,209.37,209.42,C. sakaii [K07],Cycladophora sakaii,,M [P28],F [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,R,,,,,,,,,,,,,R,,,,C,,,,,,,,,,A,,,,C,,,,,,,,,
341-U1417D-34H-CC-PAL-RADS,341,U1417,D,34,34-CC,H,CC,PAL,0,5,214.02,214.07,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-35H-CC-PAL-RADS,341,U1417,D,35,35-CC,H,CC,PAL,0,5,218.72,218.77,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-36H-CC-PAL-RADS,341,U1417,D,36,36-CC,H,CC,PAL,0,5,223.32,223.37,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-37H-CC-PAL-RADS,341,U1417,D,37,37-CC,H,CC,PAL,0,5,223.84,223.89,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-38X-CC-PAL-RADS,341,U1417,D,38,38-CC,H,CC,PAL,0,5,225.04,225.09,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-39X-CC-RADS,341,U1417,D,39,39-CC,H,CC,PAL,0,0,235.03,235.03,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-40X-CC-RADS,341,U1417,D,40,40-CC,H,CC,PAL,0,0,247.04,247.04,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-41X-CC-RADS,341,U1417,D,41,41-CC,H,CC,PAL,0,0,259.85,259.85,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-42X-CC-RADS,341,U1417,D,42,42-CC,H,CC,PAL,0,0,267.48,267.48,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-43X-CC-RADS,341,U1417,D,43,43-CC,H,CC,PAL,0,5,278.65,278.7,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-44X-CC-PAL-RADS,341,U1417,D,44,44-CC,H,CC,PAL,0,5,283.45,283.5,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-45X-CC-PAL-RADS,341,U1417,D,45,45-CC,H,CC,PAL,0,5,292.15,292.2,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-47X-CC-PAL-RADS,341,U1417,D,47,47-CC,H,CC,PAL,0,5,307.81,307.86,C. sakaii [K07],Cycladophora sakaii,,P [P28],F [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,A,,,R,C,,,,,,,,,
341-U1417D-48X-CC-PAL-RADS,341,U1417,D,48,48-CC,H,CC,PAL,0,5,317.71,317.76,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-49X-CC-RADS,341,U1417,D,49,49-CC,H,CC,PAL,0,0,328.22,328.22,C. sakaii [K07],Cycladophora sakaii,"LO Stichocorys peregrina (Kamikuri et al., 2007)",P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,R,R,,,,,,R,,R,,,,,,,,,,,,,
341-U1417D-50X-CC-RADS,341,U1417,D,50,50-CC,H,CC,PAL,0,0,339.4,339.4,C. sakaii [K07],Cycladophora sakaii,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,C,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,,,
341-U1417D-51X-CC-RADS,341,U1417,D,51,51-CC,H,CC,PAL,0,0,349.17,349.17,C. sakaii [K07],Cycladophora sakaii,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,,,,,,F,,,R,,,,,,,,,,,,,,,,,,,,
341-U1417D-52X-CC-RADS,341,U1417,D,52,52-CC,H,CC,PAL,0,0,357.76,357.76,C. sakaii [K07],Cycladophora sakaii,,P [P28],R [A81],,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-53X-CC-RADS,341,U1417,D,53,53-CC,H,CC,PAL,0,0,365.43,365.43,C. sakaii [K07],Cycladophora sakaii,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,F,,,,,,,,,,,,,
341-U1417D-54X-CC-RADS,341,U1417,D,54,54-CC,H,CC,PAL,0,0,378.14,378.14,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-55X-CC-PAL-RADS,341,U1417,D,55,55-CC,H,CC,PAL,0,5,388.14,388.19,C. sakaii [K07],Cycladophora sakaii,,M [P28],F [A81],,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,A,,,,,,F,,,,,,,,,,,,,R,,,,C,,,F,,,,,,,F,R,,,C,,,,,,,,,
341-U1417D-56X-CC-PAL-RADS,341,U1417,D,56,56-CC,H,CC,PAL,0,5,394.41,394.46,C. sakaii [K07],Cycladophora sakaii,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,R,,,,,,,,,,,,,,,,,R,F,,,,,,,,,,R,,,R,,,,,,,,,
341-U1417D-57X-CC-PAL-RADS,341,U1417,D,57,57-CC,H,CC,PAL,0,5,404.85,404.9,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417D-58X-CC-PAL-RADS,341,U1417,D,58,58-CC,H,CC,PAL,0,5,416.07,416.12,S. pylomaticus [K07],Spongurus pylomaticus,"LO Phormostichoartus fistula (Kamikuri et al., 2007)",M [P28],C [A81],,,R,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,F,,,R,,,,,,,,,,,,,,R,A,,R,,,,,,,F,R,,,A,,,,,,,,,
