Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance, Circodiscus (Porodiscus) circularis, Cycladophora nakasekoi , Cycladophora sakaii, Lithelius barbatus, Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum ,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana ,Cyrtocapsella cornuta ,Cyrtocapsella japonica ,Cyrtocapsella tetrapera ,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda ,Dictyophimus bullatus,Dictyophimus hirundo ,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai ,Giraffospyris angulata ,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis ,Lamprocyclas junonis ,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae ,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii ,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B ,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta ,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica ,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus ,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data
341-U1417B-12H-CC-PAL,341,U1417,B,12,12-CC,H,CC,PAL,0,28,103.75,104.03,S. universus [K07],Stylatractus universus,,G [P28],C [A81],,,,,,,,,A,,,,,,,,,C,,A,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,F,,,,,,F,,,,,,,,C,,,,F,,,,,A,C,,F,,,,,,,,F,,,R,,,,,,,,
341-U1417B-12H-CC-PAL,341,U1417,B,12,12-CC,H,CC,PAL,0,28,103.75,104.03,,,,M [P28],F [A81],,,,,,,,F,C,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,R,,,,R,,,,,C,,,R,,,,,,,F,R,,,F,,,,,,,,
341-U1417B-13H-CC-PAL,341,U1417,B,13,13-CC,H,CC,PAL,0,3,112.84,112.87,S. universus [K07],Stylatractus universus,,M [P28],F [A81],,,,,,,,F,C,,,,,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,R,,,,,,,,R,,,,R,,,,,C,C,,R,,,,,,,R,R,,,R,,,,,,,,
341-U1417B-14H-CC-PAL,341,U1417,B,14,14-CC,H,CC,PAL,0,3,123.52,123.55,S. universus [K07],Stylatractus universus,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-16H-CC-PAL,341,U1417,B,16,16-CC,H,CC,PAL,0,16,142.51,142.67,S. universus [K07],Stylatractus universus,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-17H-CC-PAL,341,U1417,B,17,17-CC,H,CC,PAL,0,24,151.82,152.06,S. universus [K07],Stylatractus universus,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-18H-CC-PAL,341,U1417,B,18,18-CC,H,CC,PAL,0,19,161.24,161.43,S. universus [K07],Stylatractus universus,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-19H-CC-PAL,341,U1417,B,19,19-CC,H,CC,PAL,0,6,167.95,168.01,E. matuyamai [K07],Eucyrtidium matuyamai,"LO Eucyrtidium matuyamai (Kamikuri et al., 2007)",G [P28],C [A81],,,,,,,,R,,,,,,,,,,R,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,F,,,,,,,,,,,,,,R,,,,R,,,,,A,R,C,,,,,,,,A,A,,,,,,,,,,,
341-U1417B-20H-7-A,341,U1417,B,20,20-7,H,7,PAL,0,54,175.68,176.22,E. matuyamai [K07],Eucyrtidium matuyamai,,P [P28],F [A81],,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,A,,R,,,,,,,,A,R,,,,,,,,,,,
341-U1417B-21H-1-W,341,U1417,B,21,21-1,H,1,PAL,0,120,176.3,177.5,E. matuyamai [K07],Eucyrtidium matuyamai,,G [P28],A [A81],,,,,,,,F,,,,,,,,,,F,,F,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,C,,,,,,,,,,,,,,R,,,,F,,,,,A,R,C,,,,,,,,A,A,,,,,,,,,,,
341-U1417B-22H-CC-PAL,341,U1417,B,22,22-CC,H,CC,PAL,0,31,183.02,183.33,E. inflatum [K07],Eucyrtidium inflatum,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,A,R,,,,,,,,,,,
341-U1417B-23H-CC-PAL,341,U1417,B,23,23-CC,H,CC,PAL,0,21,187.68,187.89,E. inflatum [K07],Eucyrtidium inflatum,,P [P28],R [A81],,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,C,F,,,,,,,,,,,
341-U1417B-24H-CC-PAL,341,U1417,B,24,24-CC,H,CC,PAL,0,16,192.2,192.36,E. inflatum [K07],Eucyrtidium inflatum,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,C,,,,,,,,,,,,
341-U1417B-25H-CC-PAL,341,U1417,B,25,25-CC,H,CC,PAL,0,29,196.27,196.56,E. inflatum [K07],Eucyrtidium inflatum,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,
341-U1417B-26H-CC-PAL,341,U1417,B,26,26-CC,H,CC,PAL,0,27,197.52,197.79,E. inflatum [K07],Eucyrtidium inflatum,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-27H-CC-PAL,341,U1417,B,27,27-CC,H,CC,PAL,0,32,202.51,202.83,C. sakaii [K07],Cycladophora sakaii,,M [P28],C [A81],,,,,,,,F,R,,,,,,,,,,,R,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,R,,,,A,F,,C,,,,,,,C,F,,,C,,,,,,,,
341-U1417B-28H-CC-PAL,341,U1417,B,28,28-CC,H,CC,PAL,0,35,207.26,207.61,,,"FO Eucyrtidium matuyamai (Kamikuri et al., 2007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-29H-CC-PAL,341,U1417,B,29,29-CC,H,CC,PAL,0,21,211.75,211.96,C. sakaii [K07],Cycladophora sakaii,,M [P28],F [A81],,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,F,,,F,,,,,,,A,R,,,R,,,,,,,,
341-U1417B-30H-CC-PAL,341,U1417,B,30,30-CC,H,CC,PAL,0,27,215.41,215.68,C. sakaii [K07],Cycladophora sakaii,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-31H-CC-PAL,341,U1417,B,31,31-CC,H,CC,PAL,0,37,220.98,221.35,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-32H-CC-PAL,341,U1417,B,32,32-CC,H,CC,PAL,0,33,222.16,222.49,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-33H-CC-PAL,341,U1417,B,33,33-CC,H,CC,PAL,0,6,223.39,223.45,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-34X-CC-PAL,341,U1417,B,34,34-CC,H,CC,PAL,0,52,230.75,231.27,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-35X-CC-PAL,341,U1417,B,35,35-CC,H,CC,PAL,0,32,235.83,236.15,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-36X-CC-PAL,341,U1417,B,36,36-CC,H,CC,PAL,0,43,244.69,245.12,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-37X-CC-PAL,341,U1417,B,37,37-CC,H,CC,PAL,0,35,256.14,256.49,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-38X-CC-PAL,341,U1417,B,38,38-CC,H,CC,PAL,0,19,265.75,265.94,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-39X-CC-PAL,341,U1417,B,39,39-CC,H,CC,PAL,0,38,276.27,276.65,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-40X-CC-PAL,341,U1417,B,40,40-CC,H,CC,PAL,0,28,285.51,285.79,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-41X-CC-PAL,341,U1417,B,41,41-CC,H,CC,PAL,0,47,293.77,294.24,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-42X-CC-PAL,341,U1417,B,42,42-CC,H,CC,PAL,0,29,303.06,303.35,C. sakaii [K07],Cycladophora sakaii,"FO Cycladophora davisiana (Kamikuri et al., 2007)",M [P28],R [A81],,,R,,,,,R,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,R,,,,F,F,,R,,,,,,,F,R,,,C,,,,,,,,
341-U1417B-43X-CC-PAL,341,U1417,B,43,43-CC,H,CC,PAL,0,47,315.14,315.61,C. sakaii [K07],Cycladophora sakaii,,M [P28],F [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,R,R,,,C,,,,,,,,
341-U1417B-44X-CC-PAL,341,U1417,B,44,44-CC,H,CC,PAL,0,19,324.02,324.21,C. sakaii [K07],Cycladophora sakaii,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,R,,,,,,,,,,,,,R,,,,R,R,,,,,,,,,R,R,,,R,,,,,,,,
341-U1417B-45X-CC-PAL,341,U1417,B,45,45-CC,H,CC,PAL,0,20,332.12,332.32,C. sakaii [K07],Cycladophora sakaii,,P [P28],F [A81],,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,R,,,,R,,,,,,,,,,C,,,,A,,,,,,,,
341-U1417B-46X-CC-PAL,341,U1417,B,46,46-CC,H,CC,PAL,0,40,342.78,343.18,,,,,B [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-47X-CC-PAL,341,U1417,B,47,47-CC,H,CC,PAL,0,32,350.16,350.48,C. sakaii [K07],Cycladophora sakaii,,P [P28],R [A81],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,R,,R,,,,,,,,R,,,,R,,,,,,,,
