Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral) ,Neogloboquadrina incompta (sinsitral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data
341-U1421A-13H-CC-PAL,0,5,83.31,83.36,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],D [A84],,D [A84],,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-15H-CC-PAL,0,5,87.32,87.37,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],D [A84],,D [A84],,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-17H-CC-PAL,0,5,91.71,91.76,,,,,B [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1421A-19H-cc-PAL,0,5,96.33,96.38,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],D [A84],,D [A84],,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-21X-CC-PAL,0,5,103.18,103.23,,,,,B [A83],,,,P [A84],,,,,,,,,,,,,,,,,,,
341-U1421A-22X-CC-PAL,0,5,114.65,114.7,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],D [A83],A [A84],,A [A84],,,,,,,,,,,D [A84],R [A84],,P [A84],,,,,,
341-U1421A-23X-CC-PAL,0,5,122.83,122.88,,,,G [P15],P [A83],D [A84],,,,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-25X-CC-PAL,0,5,142.19,142.24,,,,,B [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1421A-27X-CC-PAL,0,5,161.1,161.15,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],D [A84],,D [A84],,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-29X-CC-PAL,0,5,180.63,180.68,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],F [A84],,D [A84],,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-31X-CC-PAL,0,5,200.22,200.27,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,A [A84],,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-35X-CC-PAL,0,5,238.75,238.8,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1421A-39X-1-PAL,0,5,275.96,276.01,,,,,B [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1421A-41X-2-PAL,0,5,296.08,296.13,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,D [A84],,,,,,,,,,,,,,,,,,,,
341-U1421A-43X-CC-PAL,0,5,314.78,314.83,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,D [A84],,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-45X-CC-PAL,0,5,334.08,334.13,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1421A-47X-CC-PAL,0,5,353.38,353.43,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],D [A84],,,A [A84],,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-49X-CC-PAL,0,3,372.85,372.88,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1421A-51X-1-PAL,0,5,392.77,392.82,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],A [A84],,F [A84],,,,,,,,,,F [A84],D [A84],F [A84],,,,,,,,
341-U1421A-54X-CC-PAL,0,5,421.29,421.34,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],A [A84],,,,,,,,,,,,,D [A84],,,F [A84],,,,,,
341-U1421A-55X-CC-PAL,0,5,432.81,432.86,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],F [A84],,R [A84],F [A84],,,,,,,,,,D [A84],F [A84],,R [A84],,,,,,
341-U1421A-56X-CC-PAL,0,5,442.56,442.61,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],A [A84],,R [A84],R [A84],,,,,,,,,,D [A84],R [A84],,R [A84],,,,,,
341-U1421A-57X-CC-PAL,0,5,451.44,451.49,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-59X-CC-PAL,0,5,469.7,469.75,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-61X-CC-PAL,0,5,488.12,488.17,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1421A-62X-CC-PAL,0,5,495.73,495.78,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1421A-65X-CC-PAL,0,5,507.06,507.11,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1421A-67X-1-PAL,0,5,521.04,521.09,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],A [A84],,F [A84],F [A84],,,,,,,,,F [A84],D [A84],,,,,,,,,
341-U1421A-69X-CC-PAL,0,5,540.01,540.06,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-71X-CC-PAL,0,5,557.29,557.34,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1421A-73X-CC-PAL,0,5,578.69,578.74,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,D [A84],,,,,,,,,
341-U1421A-75X-CC-PAL,0,5,598.42,598.47,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],F [A84],,A [A84],,,,,,,R [A84],,,,D [A84],,,,,,,,,
341-U1421A-77X-CC-PAL,0,6,616.3,616.36,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,F [A84],,,,D [A84],,,,,,N. inglei? only sinistral specimen (2 specimen) found here.,,,
341-U1421A-79X-CC-PAL,0,5,635.89,635.94,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,D [A84],,,,,,N. inglei? only sinistral specimen (1 specimen) found here.,,,
341-U1421A-81X-1-PAL,0,5,654.71,654.76,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],P [A83],,,,,,,,,,,,,,,,,,,,,,,
