Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis ,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp. ,Guttulina sp.,Gyroidina sp. ,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?) ,Karreriella sp. ,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp. ,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp. ,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp. ,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp. ,Uvigerina elongata,Valvulina spinosa?,Others,Comment,File Data
342-U1406A-21H-CC-PAL,342,U1406,A,21,21-CC,H,CC,PAL,0,5,191.48,191.53,191.51,VG [P21],R [A60],,,,P [A21],,,F [A21],F [A21],,,P [A21],,,F [A21],,,,A [A21],,A [A21],F [A21],,,,P [A21],,,,,,,,F [A21],,,,,P [A21],,F [A21],,,,,,,,,,F [A21],,F [A21],,,P [A21],,,,,,,,,,,,F [A21],,,P [A21],F [A21],,,P [A21],,,F [A21],,,,,F [A21],,,,F [A21],,,,,F [A21],A [A21],,F [A21],P [A21],,,,,,,P [A21],F [A21],,
342-U1406A-22H-CC-PAL,342,U1406,A,22,22-CC,H,CC,PAL,0,5,199.26,199.31,199.29,VG [P21],F [A60],,,,F [A21],,A [A21],,A [A21],,,,,,F [A21],,,,A [A21],,F [A21],,,,,P [A21],F [A21],,,,F [A21],,,F [A21],F [A21],,,,,,,,,,,,,,,,F [A21],,F [A21],,,,,,,,F [A21],,,,,,,,,P [A21],F [A21],F [A21],,,F [A21],,F [A21],P [A21],,F [A21],,F [A21],F [A21],,,,,,,,,,F [A21],,F [A21],,,,,,,,,F [A21],,
342-U1406A-23H-6-PAL,342,U1406,A,23,23-6,H,6,PAL,0,23,207.93,208.16,208.05,VG [P21],A [A60],,,,F [A21],,F [A21],,F [A21],,,,,,F [A21],,,,A [A21],,F [A21],F [A21],,,,F [A21],F [A21],,,,F [A21],,,F [A21],F [A21],P [A21],,,F [A21],,,,,F [A21],,,,,,,F [A21],,F [A21],,,F [A21],,F [A21],,,,,,,,,F [A21],P [A21],P [A21],,F [A21],F [A21],,,P [A21],,,F [A21],,F [A21],,,F [A21],,,,,P [A21],,,,P [A21],P [A21],,F [A21],F [A21],,,,,,,,F [A21],,
342-U1406A-25H-CC-PAL,342,U1406,A,25,25-CC,H,CC,PAL,0,15,217.6,217.75,217.68,G [P21],F [A60],,,,,,A [A21],,F [A21],,,,,,F [A21],,P [A21],,P [A21],P [A21],A [A21],F [A21],F [A21],,,F [A21],,,,,F [A21],,,F [A21],F [A21],,,,F [A21],,P [A21],,,P [A21],,,,,,,F [A21],,F [A21],,,P [A21],,,,,,,,,,,F [A21],,,,P [A21],A [A21],,,,,,P [A21],,F [A21],,P [A21],,,,,,,,,,P [A21],F [A21],,P [A21],P [A21],,F [A21],,,,,,,,
342-U1406A-26X-CC-PAL,342,U1406,A,26,26-CC,X,CC,PAL,0,5,221.74,221.79,221.77,G [P21],R [A60],,,,,,F [A21],,F [A21],,,,,,F [A21],,,,F [A21],P [A21],F [A21],,,,P [A21],F [A21],F [A21],,,,,,,F [A21],P [A21],,,,F [A21],,,,,P [A21],F [A21],,,,,,F [A21],,F [A21],,,F [A21],,F [A21],,,,,,,,,D [A21],P [A21],,,,A [A21],,,F [A21],,,F [A21],P [A21],P [A21],,P [A21],P [A21],,,,,P [A21],,,,,F [A21],,F [A21],F [A21],,,,,,,P [A21],F [A21],,
342-U1406A-27X-CC-PAL,342,U1406,A,27,27-CC,X,CC,PAL,0,9,232.26,232.35,232.31,M [P21],R [A60],,,,F [A21],,F [A21],F [A21],A [A21],,,,,,F [A21],,,,F [A21],F [A21],F [A21],F [A21],,,,F [A21],F [A21],,,F [A21],,,,F [A21],F [A21],,,,,,,,,,,,,,,,F [A21],,F [A21],,,F [A21],,,,P [A21],,,,,,,A [A21],,,,P [A21],F [A21],,,,,,P [A21],,P [A21],,,,,,,,P [A21],,,,F [A21],A [A21],,F [A21],,,P [A21],,,,,F [A21],P [A21],,
342-U1406A-28X-CC-PAL,342,U1406,A,28,28-CC,X,CC,PAL,0,6,242.27,242.33,242.3,G [P21],P [A60],P [A21],,,F [A21],,F [A21],,F [A21],,P [A21],P [A21],,,F [A21],,,,P [A21],F [A21],,P [A21],F [A21],,,P [A21],P [A21],,,,F [A21],,,A [A21],,,,,F [A21],,,,,,,,,,,,,,F [A21],,,F [A21],,,,,,,,,,,F [A21],P [A21],,,F [A21],F [A21],,,F [A21],,P [A21],F [A21],,,,,,,,,,,,,,F [A21],F [A21],,F [A21],F [A21],,,,,,,,P [A21],,
342-U1406A-29X-CC-PAL,342,U1406,A,29,29-CC,X,CC,PAL,0,8,250.75,250.83,250.79,M [P21],P [A60],,,,,,,,P [A21],,,,,,P [A21],,,,,,A [A21],,,,,,,,,,F [A21],,,P [A21],,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,D [A21],,,,,A [A21],,,,,,,,,,,,,,,,P [A21],,,,,P [A21],,F [A21],,,,,,,,,,,
342-U1406A-30X-CC-PAL,342,U1406,A,30,30-CC,X,CC,PAL,0,7,254.64,254.71,254.68,VG [P21],P [A60],,,,,,,,,,,,,,,,,,,P [A21],A [A21],P [A21],P [A21],,,,,,,,F [A21],,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,P [A21],A [A21],,,,,,P [A21],,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,
342-U1406A-31X-CC-PAL,342,U1406,A,31,31-CC,X,CC,PAL,0,6,260.41,260.47,260.44,G [P21],P [A60],,,,,,F [A21],,F [A21],,,P [A21],,,F [A21],,,,,,,,,,,,,,,A [A21],,A [A21],A [A21],F [A21],F [A21],,,,,,,,,P [A21],,,,,,,F [A21],,P [A21],,,,,,,P [A21],,,,,,,A [A21],P [A21],,,P [A21],F [A21],,,,F [A21],,P [A21],,,,,,,,,,,F [A21],,,,,,,,,,,,,,,P [A21],,
342-U1406A-32X-CC-PAL,342,U1406,A,32,32-CC,X,CC,PAL,0,5,266.16,266.21,266.19,G [P21],P [A60],,,,P [A21],,F [A21],,F [A21],,,,,,A [A21],,,,,,,,,,,,,,,F [A21],,A [A21],,A [A21],P [A21],,,,F [A21],,,,,P [A21],,,,,,F [A21],P [A21],F [A21],,,,,,,,,,,,,,,,,,,,P [A21],,,,,,P [A21],,,,,,,,,,,,,,,,,,F [A21],,,,,,,,P [A21],,
342-U1406A-33X-CC-PAL,342,U1406,A,33,33-CC,X,CC,PAL,0,5,278.6,278.65,278.63,M [P21],P [A60],,,,,,F [A21],P [A21],F [A21],,,,,,F [A21],,,,,,,,,,,,,,,F [A21],,F [A21],F [A21],F [A21],F [A21],,,,,,,,,P [A21],,,,,,F [A21],,P [A21],F [A21],,,,,,,F [A21],,,,,,,A [A21],,,,P [A21],F [A21],,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,F [A21],,
342-U1406A-34X-CC-PAL,342,U1406,A,34,34-CC,X,CC,PAL,0,5,281.0,281.05,281.03,M [P21],A [A60],,,,P [A21],,P [A21],,F [A21],,,,,,,,,,,,,,,,,,,,,,,A [A21],,F [A21],F [A21],,,,,F [A21],,,,,,,,,,F [A21],P [A21],P [A21],P [A21],,,,,,,,,,,,,,A [A21],,,,,,,,,F [A21],,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,F [A21],,
