Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Preservation,Group abundance,Alabaminella sp.,Alabaminella weddellensis,Angulogerina fluens,Astacolus sp.,Astrononion sp. ,Astrorhiza sp.,Baggina philippinensis,Bolivina alata,Bolivina decussata,Bolivina pacifica,Bolivina sp.,Bolivina spathulata,Bolivina spissa,Bolivina spp.,Botellina labyrinthica,Brizalina earlandi,Brizalina pygmaea,Buccella frigida ,Buccella inusitata,Buccella sp.,Buccella spp.,Bulimina sp.,Bulimina striata,Buliminella elegantissima,Buliminella sp.,Buliminella tenuata,Cassidulina californica,Cassidulina cushmani,Cassidulina laevigata var. carinata,Cassidulina mexicana,Cassidulina sp.,Cassidulina teretis ,Cassidulina translucens,Cassidulinoides cornuta,Cassidulinoides parkerianus,Cassidulinoides tenuis ,Chilostomella oolina,Chilostomellina frimbriata,Cibicides fletcheri ,Cibicides lobatulus,Cibicides mckannai,Cibicides sp.,Cibicides spiralis,Cibicides spp.,Cibicidoides mundulus,Cibicidoides sp.,Cibicidoides subhaidingerii,Cribrostomoides jeffreysii,Cribrostomoides subglobosus,Cyclammina cancellata,Dentalina sp.,Dentalinoides sp.,Discorbis sp.,Dorothia pseudofiliformis,Eggerella advena,Eggerella bradyi,Ehrenbergina sp.,Eilohedra vitrea,Elphidiella sp.,Elphidiellia groenlandica,Elphidium bartletti,Elphidium batialis,Elphidium clavatum,Elphidium excavatum,Elphidium frigidum,Elphidium hughesi,Elphidium sp.,Elphidium spp. ,Epistominella pacifica ,Epistominella pulchella,Epistominella sp.,Epistominella vitrea ,Eponides healdi ,Eponides sp.,Eubuliminella exilis ,Fissurina lucida ,Fissurina sp.,Fursenkoina bradyi,Fursenkoina sp.,Glandulina sp.,Globobulimina auriculata,Globobulimina pacifica,Globobulimina sp.,Globocassidulina sp.,Globocassidulina subglobosa,Gyroidina gemma,Gyroidina lamarckiana,Gyroidina spp.,Gyroidinoides soldanii,Gyroidinoides sp.,Haplophragmoides sp.,Haynesina sp.,Hormosinella guttifera,Hyalinonetrion gracillima,Hyperammina sp.,Ioanella sp.,Islandiella norcrossi,Islandiella sp.,Karreriella baccata,Karreriella parkerae,Laevidentalina advena,Lagena elongata,Lagena gracilis ,Lagena laevis ,Lagena meridionalis ,Lagena sp.,Lagena spp.,Lagena striata,Laticarinina pauperata,Lenticulina sp.,Lenticulina spp. ,Liebusella soldanii,Martinottiella communis,Melonis barleeanus,Melonis pompilioides,Neugeborina longiscata,Nodosaria aff. pyrula,Nodosaria sp.,Nonion sp.,Nonionella labradorica,Nonionella pulchella,Nonionella sp.,Nonionella spp. ,Nonionella turgida,Nonionella turgida digitata,Oolina globosa,Oolina laevigata,Oolina sp.,Oolina spp.,Oridorsalis sp.,Oridorsalis umbonatus,Paratrochammina challengeri,Planulina ariminensis,Planulina wuellerstorfi,Plectofrondicularia sp.,Pleurostomella alternans,Portatrochammina karica,Psammosphaera fusca,Pseudononion auricula,Pullenia bulloides,Pullenia salisburyi,Pullenia sp.,Pygmaeoseistron hispidum,Pyrgo sp.,Pyrgo spp. N/A,Quinqueloculina sp.,Quinqueloculina stalkeri,Reophax dentaliniformis,Reophax pilulifer,Reophax sp.,Reussella sp.,Rhabdammina sp.,Rhizammina algaeformis,Saccammina sp.,Sigmoilina distorta ,Sigmoilinita sp.,Sphaeroidina bulloides,Spiroculina sp.,Stainforthia fusiformis,Stainforthia sp.,Subreophax aduncus,Takayanagia delicata,Trichohyalus ornatissimus,Trifarina angulosa,Trifarina sp.,Triloculina sp.,Triloculina trihedra,Trochammina globigeriniformis,Trochammina globorotaliformis ,Trochammina sp.,Uvigerina akitaensis ,Uvigerina auberiana,Uvigerina cf. proboscidea,Uvigerina juncea,Uvigerina peregrina,Uvigerina senticosa ,Uvigerina sp.,Uvigerina spp.,Valvulineria sp.,Veleroninoides sp.,Comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data,Zone name,Zone name (short)
341-U1419A-13H-CC-PAL,0,5,98.36,98.41,G [P20],R [A40],,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,D [A21],,,R [A21],A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,F [A21],,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,341,U1419,A,13,H,CC,PAL,,,
341-U1419A-14H-CC-PAL,0,5,102.44,102.49,P [P20],F [A40],,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,R [A21],,,A [A21],,,,,,F [A21],,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,R [A21],,F [A21],,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,D [A21],,,,,,,,,,P [A21],,,,,,,P [A21],,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,R [A21],,,,,,P [A21],,,,,R [A21],,,,,,,,,,,,,,341,U1419,A,14,H,CC,PAL,,,
341-U1419A-15H-CC-PAL,0,5,104.68,104.73,G [P20],A [A40],,,,,,,,,,R [A21],,,,,,R [A21],,,,,,,,,,,,A [A21],,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,A [A21],,,,,,A [A21],,,,,,,,,,,,,A [A21],,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,R [A21],,,,,,,,341,U1419,A,15,H,CC,PAL,,,
341-U1419A-16H-CC-PAL,0,5,109.54,109.59,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,16,H,CC,PAL,,,
341-U1419A-17H-CC-PAL,0,5,113.75,113.8,M [P20],F [A40],,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,D [A21],,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,A [A21],,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,17,H,CC,PAL,,,
341-U1419A-18H-CC-PAL,0,5,116.4,116.45,M [P20],R [A40],,,,,,,,,,,,R [A21],,,,,,,R [A21],,,,,,,,,R [A21],,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,18,H,CC,PAL,,,
341-U1419A-19H-CC-PAL,0,5,118.5,118.55,M [P20],P [A71],,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,A [A21],,,R [A21],F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,19,H,CC,PAL,,,
341-U1419A-20H-CC-PAL,0,2,118.5,118.52,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,A [A21],,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,20,H,CC,PAL,,,
341-U1419A-21X-CC-PAL,0,5,120,120.05,M [P20],P [A71],,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,D [A21],,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,21,X,CC,PAL,,,
341-U1419A-23X-CC-PAL,0,5,144.43,144.48,M [P20],P [A71],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,D [A21],,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,23,X,CC,PAL,,,
341-U1419A-24X-CC-PAL,0,5,149.55,149.6,G [P20],P [A71],,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,A [A21],,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,24,X,CC,PAL,,,
341-U1419A-25X-CC-PAL,0,5,158.47,158.52,G [P20],F [A40],,,,,,,,,,R [A21],,,,,,,,,R [A21],,,,,,,,,A [A21],,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,A [A21],,A [A21],,,,,,P [A21],,,,,,,,P [A21],,,,,A [A21],,,,,,,,,P [A21],,,,,,,,,,,,,,,,,P [A21],,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,341,U1419,A,25,X,CC,PAL,,,
341-U1419A-26X-CC-PAL,0,5,169.23,169.28,M [P20],F [A40],,,,,,,,,P [A21],,,,,,,,,,P [A21],,,,,,,,,D [A21],,,,R [A21],,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,A [A21],,R [A21],,,,,,P [A21],,,,,,,,,,,,,A [A21],,,,,,,,,R [A21],,,,,,,,,,,,,P [A21],,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,26,X,CC,PAL,,,
341-U1419A-27X-CC-PAL,0,5,177.61,177.66,P [P20],R [A40],,,,,,,,,,,,,,,,,,,,,,,,,,,,R [A21],,,P [A21],P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,,,,,,,,,P [A21],,,,,,A [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,27,X,CC,PAL,,,
341-U1419A-28X-CC-PAL,0,3,186.5,186.53,P [P20],P [A71],,,,,,,,,,,,,,,,,,,R [A21],,,,,,,,,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,28,X,CC,PAL,,,
341-U1419A-29X-CC-PAL,0,8,189.5,189.58,P [P20],P [A71],,,,,,,,,,,,,,,,,,,A [A21],,,,,,,,,A [A21],,,P [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F [A21],,,,,,,,,,,,,,,,,R [A21],,,,,,R [A21],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1419,A,29,X,CC,PAL,,,
