Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data,Zone name,Zone name (short)
323-U1339C-11H-CC-PAL86-FORAM11   ,323,U1339,C,11,11-CC,H,CC,PAL86,FORAM11   ,0,0,104.43,104.43,abundant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,F,,P,,,,,,,,
323-U1339C-12H-CC-PAL83-FORAM16   ,323,U1339,C,12,12-CC,H,CC,PAL83,FORAM16   ,0,0,114.36,114.36,abundant IRD,,B [323_PFs],,,,,,,,,,,,,,,,,,,,,,,,,,,,
323-U1339C-13H-CC-PAL41-FORAM91   ,323,U1339,C,13,13-CC,H,CC,PAL41,FORAM91   ,0,0,123.71,123.71,abundant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,P,,,,,,,,,,,
323-U1339C-14H-CC-PAL18-FORAM96   ,323,U1339,C,14,14-CC,H,CC,PAL18,FORAM96   ,0,0,133.99,133.99,abundant IRD,G [323_PF],R [323_PFs],,,,,,R,,,,,,,,,,,,,,,,,,,,,,
323-U1339C-15H-CC-PAL2-FORAM1    ,323,U1339,C,15,15-CC,H,CC,PAL2,FORAM1    ,0,0,142.92,142.92,abundant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,P,P,,,,,,,,,,
323-U1339C-16H-CC-PAL40-FORAM6    ,323,U1339,C,16,16-CC,H,CC,PAL40,FORAM6    ,0,0,146.52,146.52,abundant IRD,P [323_PF],P [323_PFs],,,,,,P,,,,,,,,,,,,P,,,,,,,,,,
323-U1339C-17H-CC-PAL64-FORAM0    ,323,U1339,C,17,17-CC,H,CC,PAL64,FORAM0    ,0,2,157.51,157.53,dominant IRD,G [323_PF],D [323_PFs],,,,,,D,,,,,,,,,,,,R,,,,,,,,,,
323-U1339C-18H-CC-PAL,323,U1339,C,18,18-CC,H,CC,PAL,,0,2,165.92,165.94,dominant IRD,G [323_PF],R [323_PFs],,,,,,R,,,,,,,,,,,,,,,,,,,,,,
323-U1339C-19H-CC-PAL-FORAM29   ,323,U1339,C,19,19-CC,H,CC,PAL,FORAM29   ,0,0,176.38,176.38,few IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,,
323-U1339C-20H-CC-PAL-FORAM34   ,323,U1339,C,20,20-CC,H,CC,PAL,FORAM34   ,0,0,185.75,185.75,abundant IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,A,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,,,
323-U1339C-21H-CC-PAL-FORAM39   ,323,U1339,C,21,21-CC,H,CC,PAL,FORAM39   ,0,0,195.24,195.24,few IRD,G [323_PF],A [323_PFs],,,,,,A,,,,,,,,,,,,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,,
323-U1339C-21H-CC-PAL-FORAM39   ,323,U1339,C,21,21-CC,H,CC,PAL,FORAM39   ,0,2,195.24,195.26,,M [323_PF],R [323_PFs],,,,,,R,,,,,,,,,,,P,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,,
